»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,96,¡º,71,139,54,1.7,79,72
2014-01-01,151,÷–∂»Œ€»æ,116,182,66,1.5,85,76
2014-01-02,171,÷–∂»Œ€»æ,129,198,67,2,99,59
2014-01-03,197,÷–∂»Œ€»æ,148,213,96,1.8,92,67
2014-01-04,157,÷–∂»Œ€»æ,120,182,67,1.2,46,41
2014-01-05,114,«·∂»Œ€»æ,86,136,54,1.2,56,49
2014-01-06,65,¡º,42,80,45,0.8,48,67
2014-01-07,70,¡º,51,77,38,0.8,51,48
2014-01-08,86,¡º,64,53,16,0.6,32,119
2014-01-09,75,¡º,55,61,23,0.6,28,74
2014-01-10,77,¡º,56,103,37,0.9,62,58
2014-01-11,79,¡º,58,79,34,0.8,49,50
2014-01-12,136,«·∂»Œ€»æ,104,128,38,1,48,71
2014-01-13,121,«·∂»Œ€»æ,92,92,19,0.4,29,65
2014-01-14,48,”≈,32,48,24,0.6,37,76
2014-01-15,57,¡º,40,59,31,0.7,43,82
2014-01-16,120,«·∂»Œ€»æ,91,127,34,1.3,63,74
2014-01-17,193,÷–∂»Œ€»æ,145,198,64,1.9,91,52
2014-01-18,223,÷ÿ∂»Œ€»æ,173,210,58,1.7,53,63
2014-01-19,204,÷ÿ∂»Œ€»æ,154,198,45,1.8,62,96
2014-01-20,229,÷ÿ∂»Œ€»æ,179,281,78,1.6,64,55
2014-01-21,93,¡º,56,135,47,1.2,42,48
2014-01-22,80,¡º,59,93,57,1.3,57,50
2014-01-23,76,¡º,56,82,33,1.1,51,75
2014-01-24,60,¡º,43,68,28,1,47,83
2014-01-25,130,«·∂»Œ€»æ,99,141,44,1.1,38,72
2014-01-26,58,¡º,37,67,17,0.8,13,86
2014-01-27,48,”≈,23,48,20,0.9,33,76
2014-01-28,71,¡º,52,80,30,1.1,30,78
2014-01-29,82,¡º,61,90,24,1.1,39,70
2014-01-30,224,÷ÿ∂»Œ€»æ,174,207,63,2,52,75
2014-01-31,186,÷–∂»Œ€»æ,140,174,31,1.4,26,118
2014-02-01,95,¡º,71,89,41,1.1,41,89
