日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2017-01-07,95,良,58,141,14,2.3,61,68
2017-01-08,48,优,21,48,9,1.2,24,90
2017-01-09,54,良,22,58,8,1.1,22,52
2017-01-16,66,良,38,82,11,1.6,37,77
2017-01-17,52,良,30,55,9,1.3,25,95
2017-01-18,58,良,35,66,11,1.5,30,88
2017-01-19,51,良,24,52,9,1.2,22,90
2017-01-20,55,良,31,60,10,1.4,27,81
2017-01-21,44,优,18,44,10,1.4,22,87
2017-01-22,60,良,39,71,11,1.8,28,72
2017-01-23,58,良,39,66,10,1.5,26,79
2017-01-24,47,优,20,38,9,1.2,17,94
2017-01-25,54,良,34,59,10,1.7,27,77
2017-01-26,53,良,35,57,10,1.6,24,85
2017-01-27,41,优,21,41,9,1.3,15,82
2017-01-28,56,良,37,62,14,1.3,14,89
2017-01-29,50,优,21,51,9,1.2,11,91
2017-01-30,46,优,19,34,9,1.2,10,92
2017-01-31,45,优,17,32,9,1.2,10,90
2017-02-01,44,优,14,29,9,1.2,8,89
2017-02-02,46,优,9,18,9,1.2,9,92
2017-02-03,49,优,16,32,9,1.3,12,98
2017-02-04,44,优,23,36,9,1.5,16,89
2017-02-05,58,良,26,49,13,1.7,22,110
2017-02-06,67,良,15,32,9,1.3,14,121
2017-02-07,55,良,17,47,9,1.3,13,107
2017-02-08,47,优,19,41,9,1.4,17,94
2017-02-09,44,优,16,37,11,1.7,23,89
2017-02-10,49,优,19,44,9,1.5,17,99
2017-02-11,68,良,17,32,10,1.3,12,122
2017-02-12,50,优,16,32,10,1.4,15,101
2017-02-13,46,优,17,30,9,1,12,93
2017-02-14,47,优,15,27,10,1,18,94
2017-02-15,51,良,23,40,11,1.2,21,102
2017-02-16,46,优,26,43,11,1.2,25,93
2017-02-17,54,良,28,58,12,1.6,35,88
2017-02-18,61,良,25,73,10,1.4,30,83
2017-02-19,53,良,22,56,12,1.6,25,89
2017-02-20,64,良,25,79,10,1.2,25,88
2017-02-21,51,良,14,45,10,1.1,18,102
2017-02-22,52,良,17,55,10,1.2,19,103
2017-02-23,47,优,27,44,9,1.1,14,95
2017-02-24,55,良,18,22,7,1.1,7,107
2017-02-25,55,良,32,50,8,1.2,21,106
2017-02-26,56,良,25,63,11,1.2,24,99
2017-02-27,62,良,35,75,12,1.1,16,110
2017-02-28,50,优,16,44,11,1,15,100
2017-03-01,50,优,22,43,10,1,13,101
2017-03-02,52,良,19,44,11,1.2,17,103
2017-03-03,55,良,39,37,12,1.2,20,107
2017-03-04,59,良,15,23,10,1.1,10,111
2017-03-05,57,良,20,25,13,1.3,10,109
2017-03-06,48,优,20,35,10,1.2,17,96
2017-03-07,70,良,31,36,10,1.2,18,124
2017-03-08,64,良,23,49,10,1.2,20,117
2017-03-09,72,良,27,66,11,1.3,29,127
2017-03-10,70,良,24,51,11,1.3,25,125
2017-03-11,58,良,17,49,10,1.3,22,110
2017-03-12,76,良,11,32,12,1,15,132
2017-03-13,83,良,19,59,11,0.8,28,140
2017-03-14,56,良,17,63,10,0.7,17,107
2017-03-15,74,良,14,35,10,0.8,19,129
2017-03-16,60,良,18,56,13,0.8,28,112
2017-03-17,65,良,25,80,14,0.9,33,110
2017-03-18,81,良,23,112,13,0.9,31,132
2017-03-19,65,良,10,32,10,1.1,14,119
2017-03-20,60,良,11,27,7,1,8,112
2017-03-21,68,良,27,87,13,0.8,32,115
2017-03-22,67,良,27,85,13,0.8,30,99
2017-03-23,70,良,21,90,14,1.1,27,77
