»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,128,«·∂»Œ€»æ,98,187,87,0.9,38,127
2015-01-01,125,«·∂»Œ€»æ,95,151,49,0.7,32,81
2015-01-02,125,«·∂»Œ€»æ,95,148,45,0.8,27,60
2015-01-03,154,÷–∂»Œ€»æ,118,189,113,1.5,41,85
2015-01-04,74,¡º,39,99,49,0.5,21,90
2015-01-05,57,¡º,36,65,26,0.6,18,76
2015-01-06,58,¡º,40,66,28,0.4,14,90
2015-01-07,64,¡º,46,75,40,0.5,21,70
2015-01-08,47,”≈,33,46,33,0.6,21,50
2015-01-09,55,¡º,39,53,82,0.8,19,68
2015-01-10,68,¡º,50,76,73,0.8,21,67
2015-01-11,53,¡º,31,56,41,0.5,13,77
2015-01-12,56,¡º,37,62,82,0.9,15,102
2015-01-13,98,¡º,73,117,89,1.2,28,104
2015-01-14,69,¡º,46,89,53,0.9,21,99
2015-01-15,90,¡º,67,100,52,1.3,21,74
2015-01-16,61,¡º,44,64,33,1.1,19,61
2015-01-17,77,¡º,57,84,42,1.1,18,80
2015-01-18,50,”≈,35,45,30,1.2,18,78
2015-01-19,44,”≈,28,44,52,1.1,8,84
2015-01-20,83,¡º,61,92,67,1.5,23,72
2015-01-21,58,¡º,40,66,51,1.2,14,88
2015-01-22,79,¡º,59,100,108,1.6,22,86
2015-01-23,92,¡º,66,134,79,1.4,30,93
2015-01-24,104,«·∂»Œ€»æ,78,121,56,1.4,26,76
2015-01-25,88,¡º,65,89,35,1.1,13,113
2015-01-26,113,«·∂»Œ€»æ,85,120,36,0.9,14,97
2015-01-27,77,¡º,57,82,34,1,17,94
2015-01-28,58,¡º,35,66,27,0.9,16,100
2015-01-29,44,”≈,24,44,21,1.2,13,62
2015-01-30,34,”≈,19,34,16,1.2,12,42
2015-01-31,71,¡º,43,93,46,1.4,21,57
2015-02-01,61,¡º,40,72,37,1.1,15,109
2015-02-02,75,¡º,50,101,80,1.3,20,94
2015-02-03,62,¡º,37,73,38,1.1,15,77
2015-02-04,47,”≈,31,47,24,1.1,10,66
2015-02-05,65,¡º,47,71,30,0.9,7,93
2015-02-06,71,¡º,52,78,38,1.1,13,82
2015-02-07,48,”≈,34,37,28,1.1,7,77
2015-02-08,52,¡º,35,53,36,1.1,8,76
2015-02-09,53,¡º,32,56,24,1,15,68
2015-02-10,54,¡º,32,58,20,1,13,71
2015-02-11,62,¡º,45,69,47,1.2,14,107
2015-02-12,114,«·∂»Œ€»æ,86,144,93,1.7,26,105
2015-02-13,88,¡º,65,93,30,1.1,12,114
2015-02-14,94,¡º,70,117,44,1.2,17,101
2015-02-15,121,«·∂»Œ€»æ,92,143,41,1.2,17,102
2015-02-16,87,¡º,65,104,28,1.1,10,105
2015-02-17,76,¡º,56,93,45,1.1,9,105
2015-02-18,75,¡º,40,100,85,1.4,12,99
2015-02-19,79,¡º,43,108,49,1,8,96
2015-02-20,69,¡º,50,76,17,0.8,9,95
2015-02-21,87,¡º,64,97,26,1.1,13,102
2015-02-22,52,¡º,31,53,17,1.2,15,88
2015-02-23,54,¡º,37,58,28,1.3,17,88
2015-02-24,63,¡º,44,76,22,1.1,17,101
2015-02-25,56,¡º,35,63,18,1.1,20,98
2015-02-26,62,¡º,27,74,23,1.1,10,110
2015-02-27,71,¡º,38,92,11,0.9,7,115
2015-02-28,53,¡º,24,56,12,1.2,4,83
2015-03-01,53,¡º,25,55,19,1.2,8,81
2015-03-02,86,¡º,32,83,28,1.2,13,143
2015-03-03,56,¡º,36,63,14,1.1,9,89
2015-03-04,73,¡º,42,96,23,1.1,11,100
2015-03-05,54,¡º,29,58,17,1,15,83
2015-03-06,55,¡º,27,61,21,0.7,15,90
2015-03-07,59,¡º,28,68,24,0.6,14,107
2015-03-08,60,¡º,38,70,20,0.7,16,102
2015-03-09,69,¡º,50,88,14,0.7,13,108
2015-03-10,77,¡º,57,103,19,0.7,15,104
2015-03-11,52,¡º,32,54,23,0.8,14,97
2015-03-12,64,¡º,36,78,37,0.7,11,112
2015-03-13,81,¡º,53,113,29,0.8,20,118
2015-03-14,78,¡º,45,74,21,0.8,16,133
2015-03-15,106,«·∂»Œ€»æ,80,130,44,0.8,18,145
2015-03-16,85,¡º,63,111,28,0.7,15,130
2015-03-17,71,¡º,39,93,22,0.6,14,122
2015-03-18,75,¡º,54,99,27,0.7,14,127
2015-03-19,81,¡º,53,113,23,0.6,14,125
2015-03-20,62,¡º,34,75,21,0.8,14,99
2015-03-21,77,¡º,35,67,17,0.6,10,132
2015-03-22,88,¡º,62,125,19,0.7,15,134
2015-03-23,75,¡º,46,66,17,0.7,9,130
2015-03-24,52,¡º,30,50,23,0.7,18,102
2015-03-25,68,¡º,36,61,34,0.6,12,121
2015-03-26,67,¡º,44,77,28,0.7,14,120
2015-03-27,75,¡º,74,105,49,1,20,120
2015-03-28,75,¡º,18,55,23,0.5,13,130
2015-03-29,81,¡º,26,57,22,0.5,12,137
2015-03-30,69,¡º,48,86,53,0.6,20,123
2015-03-31,62,¡º,30,64,28,0.2,6,114
2015-04-01,65,¡º,33,77,20,0.3,3,118
2015-04-02,66,¡º,30,58,31,0.4,6,119
2015-04-03,60,¡º,25,56,19,0.3,5,112
2015-04-04,68,¡º,41,86,43,0.5,10,117
2015-04-05,66,¡º,36,82,16,0.5,14,107
2015-04-06,63,¡º,30,75,16,0.6,14,90
2015-04-07,45,”≈,22,37,14,0.6,8,90
2015-04-08,45,”≈,21,41,22,0.6,10,89
2015-04-09,44,”≈,24,43,20,0.8,11,87
2015-04-10,50,”≈,25,50,18,0.7,12,86
2015-04-11,60,¡º,24,70,20,0.6,12,88
2015-04-12,73,¡º,32,67,26,0.5,11,127
2015-04-13,76,¡º,56,98,81,0.8,22,128
2015-04-14,71,¡º,47,89,53,0.7,18,125
2015-04-15,93,¡º,51,82,39,0.5,11,151
2015-04-16,82,¡º,56,109,62,0.8,20,138
2015-04-17,75,¡º,33,75,23,0.4,5,130
2015-04-18,63,¡º,23,60,16,0.3,3,116
2015-04-19,63,¡º,26,77,10,0.4,6,107
2015-04-20,74,¡º,27,52,24,0.4,7,129
2015-04-21,60,¡º,32,49,12,0.5,12,112
2015-04-22,48,”≈,15,18,13,0.6,15,96
2015-04-23,42,”≈,12,33,22,0.6,18,84
2015-04-24,58,¡º,21,41,37,0.6,18,109
2015-04-25,67,¡º,39,72,49,0.7,27,120
2015-04-26,66,¡º,43,83,29,0.7,27,106
2015-04-27,61,¡º,41,68,31,0.7,28,113
2015-04-28,73,¡º,24,35,33,0.6,20,127
2015-04-29,67,¡º,41,84,62,0.8,31,115
2015-04-30,70,¡º,39,81,68,0.8,29,124
2015-05-01,69,¡º,41,89,54,0.7,26,117
2015-05-02,78,¡º,26,72,39,0.5,18,134
2015-05-03,68,¡º,27,69,28,0.4,23,121
2015-05-04,65,¡º,22,38,18,0.5,17,118
2015-05-05,56,¡º,25,63,19,0.5,19,105
2015-05-06,87,¡º,31,63,24,0.7,12,144
2015-05-07,90,¡º,23,48,19,0.7,12,148
2015-05-08,72,¡º,19,58,29,0.7,22,126
2015-05-09,83,¡º,21,54,38,0.7,16,140
2015-05-10,84,¡º,29,55,30,0.7,12,141
2015-05-11,91,¡º,22,45,15,0.7,15,149
2015-05-12,70,¡º,29,88,34,0.8,25,124
2015-05-13,76,¡º,34,91,29,0.7,19,131
2015-05-14,96,¡º,60,130,23,0.8,18,155
2015-05-15,105,«·∂»Œ€»æ,38,61,16,0.8,16,166
2015-05-16,82,¡º,25,67,32,0.7,16,138
2015-05-17,62,¡º,29,74,18,0.8,21,112
2015-05-18,66,¡º,12,37,25,0.7,16,119
2015-05-19,76,¡º,26,73,43,0.8,22,131
2015-05-20,84,¡º,31,57,23,0.8,16,141
2015-05-21,63,¡º,32,64,21,0.8,16,115
2015-05-22,50,”≈,7,21,13,0.8,12,99
