»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,51,¡º,18,52,54,1.4,25,37
2015-01-01,69,¡º,47,89,126,2.7,33,25
2015-01-02,103,«·∂»Œ€»æ,77,130,170,3.3,43,16
2015-01-03,145,«·∂»Œ€»æ,111,175,188,4.5,51,19
2015-01-04,142,«·∂»Œ€»æ,109,192,183,2.7,57,13
2015-01-05,128,«·∂»Œ€»æ,97,173,143,3,42,35
2015-01-06,65,¡º,36,80,102,2.1,32,34
2015-01-07,126,«·∂»Œ€»æ,96,153,194,3.5,42,17
2015-01-08,110,«·∂»Œ€»æ,83,143,190,3.1,38,29
2015-01-09,104,«·∂»Œ€»æ,78,138,173,3,40,27
2015-01-10,108,«·∂»Œ€»æ,82,140,192,3.2,41,26
2015-01-11,103,«·∂»Œ€»æ,78,134,175,2.6,41,25
2015-01-12,114,«·∂»Œ€»æ,86,148,161,2.7,41,31
2015-01-13,144,«·∂»Œ€»æ,111,168,163,2.8,49,49
2015-01-14,187,÷–∂»Œ€»æ,141,213,176,2.9,56,40
2015-01-15,245,÷ÿ∂»Œ€»æ,195,271,246,3.3,58,20
2015-01-16,99,¡º,74,124,139,1.3,32,50
2015-01-17,86,¡º,64,112,186,2.1,40,25
2015-01-18,85,¡º,40,119,92,1.2,21,58
2015-01-19,106,«·∂»Œ€»æ,80,140,217,2.7,38,46
2015-01-20,108,«·∂»Œ€»æ,81,143,179,2.4,42,48
2015-01-21,63,¡º,28,76,77,1.2,27,63
2015-01-22,93,¡º,69,111,162,2.1,44,35
2015-01-23,166,÷–∂»Œ€»æ,126,189,237,3.2,60,33
2015-01-24,113,«·∂»Œ€»æ,85,150,131,1.9,48,31
2015-01-25,211,÷ÿ∂»Œ€»æ,161,207,126,3.3,56,32
2015-01-26,232,÷ÿ∂»Œ€»æ,182,246,179,2.8,50,44
2015-01-27,89,¡º,66,108,96,1.5,35,39
2015-01-28,61,¡º,41,72,95,1.3,33,32
2015-01-29,118,«·∂»Œ€»æ,90,124,146,2.2,35,40
2015-01-30,54,¡º,32,58,98,1.5,31,46
2015-01-31,61,¡º,43,72,138,1.6,36,40
2015-02-01,104,«·∂»Œ€»æ,78,117,149,2.2,42,49
2015-02-02,153,÷–∂»Œ€»æ,117,172,192,2.8,50,38
2015-02-03,199,÷–∂»Œ€»æ,149,195,215,3.2,50,28
2015-02-04,61,¡º,43,72,101,1.2,28,52
2015-02-05,58,¡º,36,67,122,1.4,34,49
2015-02-06,100,¡º,75,114,192,2.3,43,33
2015-02-07,80,¡º,59,101,153,1.8,30,103
2015-02-08,54,¡º,30,58,115,1.4,29,103
2015-02-09,89,¡º,66,107,171,2.2,39,36
2015-02-10,100,¡º,75,123,165,2.3,36,58
2015-02-11,78,¡º,46,106,106,1.9,30,52
2015-02-12,76,¡º,41,102,112,1.4,27,45
2015-02-13,71,¡º,46,92,113,2.1,31,44
