»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,57,¡º,23,63,52,0.7,15,34
2015-01-01,84,¡º,62,98,166,2.1,22,24
2015-01-02,134,«·∂»Œ€»æ,102,164,251,3.4,30,18
2015-01-03,175,÷–∂»Œ€»æ,132,200,216,3,36,21
2015-01-04,195,÷–∂»Œ€»æ,147,213,169,2.3,43,31
2015-01-05,190,÷–∂»Œ€»æ,143,197,101,1.6,33,36
2015-01-06,82,¡º,59,115,79,1.2,25,17
2015-01-07,117,«·∂»Œ€»æ,89,147,127,2.4,28,29
2015-01-08,128,«·∂»Œ€»æ,98,155,85,2.3,25,32
2015-01-09,131,«·∂»Œ€»æ,100,163,121,2.9,31,32
2015-01-10,110,«·∂»Œ€»æ,83,132,149,3,36,29
2015-01-11,104,«·∂»Œ€»æ,78,130,137,3.6,38,33
2015-01-12,112,«·∂»Œ€»æ,85,130,124,2.7,35,34
2015-01-13,97,¡º,73,109,100,1.7,32,30
2015-01-14,131,«·∂»Œ€»æ,100,156,83,1.6,32,28
2015-01-15,172,÷–∂»Œ€»æ,130,212,99,2.1,41,29
2015-01-16,68,¡º,47,86,78,1.3,22,35
2015-01-17,85,¡º,63,103,114,1.6,30,34
2015-01-18,66,¡º,38,82,61,1,19,37
2015-01-19,74,¡º,49,98,157,2.3,33,28
2015-01-20,88,¡º,66,123,161,2.2,35,39
2015-01-21,43,”≈,17,43,51,0.9,16,38
2015-01-22,74,¡º,54,93,113,2.1,30,32
2015-01-23,140,«·∂»Œ€»æ,107,171,162,4,44,26
2015-01-24,218,÷ÿ∂»Œ€»æ,168,247,132,5,43,13
2015-01-25,187,÷–∂»Œ€»æ,141,186,69,2.7,33,21
2015-01-26,186,÷–∂»Œ€»æ,140,209,100,4.1,36,20
2015-01-27,105,«·∂»Œ€»æ,79,138,43,2,28,11
2015-01-28,66,¡º,48,69,43,1.5,21,15
2015-01-29,79,¡º,58,82,76,1.8,21,41
2015-01-30,101,«·∂»Œ€»æ,76,114,103,2.7,26,30
2015-01-31,120,«·∂»Œ€»æ,91,142,85,2.3,29,33
2015-02-01,65,¡º,46,79,84,1.6,30,32
2015-02-02,67,¡º,47,84,80,1.8,26,30
2015-02-03,113,«·∂»Œ€»æ,85,146,133,3.4,29,31
2015-02-04,62,¡º,38,74,72,1.5,18,36
