日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,59,良,33,67,5,0.6,13,75
2015-01-01,54,良,37,58,6,0.5,10,70
2015-01-02,60,良,42,70,7,0.5,13,93
2015-01-03,63,良,44,75,7,0.5,14,86
2015-01-04,58,良,42,64,9,0.5,16,68
2015-01-05,65,良,43,80,10,0.6,17,69
2015-01-06,69,良,34,88,11,0.5,17,72
2015-01-07,71,良,44,93,11,0.6,16,77
2015-01-08,66,良,47,81,9,0.7,17,68
2015-01-09,30,优,13,13,3,0.5,6,59
2015-01-10,27,优,10,9,3,0.8,7,54
2015-01-11,32,优,14,19,3,0.6,7,64
2015-01-12,38,优,26,38,3,0.7,9,75
2015-01-13,52,良,37,54,2,0.7,13,58
2015-01-14,58,良,42,62,2,0.7,14,72
2015-01-15,57,良,37,64,3,0.7,13,73
2015-01-16,62,良,42,74,5,0.7,17,83
2015-01-17,44,优,22,44,4,0.5,8,58
2015-01-18,43,优,23,43,2,0.6,5,68
2015-01-19,39,优,19,5,3,0.8,7,78
2015-01-20,36,优,22,35,2,0.6,10,71
2015-01-21,47,优,27,47,2,0.5,12,76
2015-01-22,53,良,26,56,3,0.6,13,80
2015-01-23,54,良,23,57,3,0.6,15,85
2015-01-24,60,良,30,71,3,0.6,17,89
2015-01-25,65,良,25,79,3,0.6,16,94
2015-01-26,73,良,20,90,4,0.6,19,128
2015-01-27,55,良,9,59,6,0.7,25,81
2015-01-28,60,良,32,70,7,0.6,27,94
2015-01-29,69,良,41,88,11,0.7,23,96
2015-01-30,74,良,48,99,13,0.8,22,96
2015-01-31,81,良,60,95,14,0.9,21,106
2015-02-01,92,良,68,105,13,0.9,17,96
2015-02-02,83,良,62,91,14,0.8,16,83
2015-02-03,64,良,47,77,13,0.7,17,73
2015-02-04,64,良,43,78,11,0.7,22,49
2015-02-05,65,良,40,80,10,0.6,23,46
2015-02-06,64,良,40,78,10,0.6,23,50
2015-02-07,64,良,39,77,9,0.7,23,48
2015-02-08,70,良,51,78,8,0.8,26,53
2015-02-09,65,良,46,80,8,1,19,95
2015-02-10,76,良,56,82,10,0.8,21,56
2015-02-11,69,良,50,78,9,0.7,24,49
2015-02-12,74,良,55,86,11,0.8,27,46
2015-02-13,85,良,63,78,12,0.9,15,98
2015-02-14,55,良,39,51,13,0.6,10,99
2015-02-15,55,良,38,46,12,0.6,10,106
2015-02-16,79,良,58,59,13,0.8,13,128
2015-02-17,81,良,60,57,13,0.7,9,112
2015-02-18,93,良,70,79,16,0.8,9,115
2015-02-19,162,中度污染,123,120,25,0.8,8,112
2015-02-20,88,良,65,62,15,0.7,9,109
2015-02-21,62,良,45,59,14,0.6,7,98
2015-02-22,60,良,43,55,14,0.9,9,103
2015-02-23,60,良,43,53,13,1.1,8,102
2015-02-24,59,良,35,50,14,0.8,10,111
2015-02-25,61,良,38,54,14,0.7,13,113
2015-02-26,71,良,52,75,16,0.8,13,125
2015-02-27,87,良,52,76,17,0.8,16,144
2015-02-28,83,良,55,80,17,0.8,16,140
2015-03-01,80,良,54,73,19,0.8,17,136
2015-03-02,73,良,48,73,17,0.8,19,127
2015-03-03,64,良,44,77,19,0.5,17,112
2015-03-04,72,良,52,80,14,0.4,20,114
2015-03-05,57,良,41,61,11,0.3,20,98
2015-03-06,65,良,40,59,11,0.3,20,118
2015-03-07,81,良,55,81,13,0.4,25,137
2015-03-08,86,良,51,78,13,0.4,24,143
2015-03-09,77,良,57,89,13,0.5,27,128
2015-03-10,92,良,59,90,14,0.5,31,150
2015-03-11,110,轻度污染,83,125,15,0.8,32,159
2015-03-12,101,轻度污染,73,100,13,0.7,26,161
2015-03-13,118,轻度污染,82,108,12,0.7,35,180
2015-03-14,118,轻度污染,87,128,16,0.7,36,180
2015-03-15,120,轻度污染,91,130,15,0.7,38,159
2015-03-16,97,良,72,106,10,0.7,32,133
2015-03-17,87,良,58,125,5,0.6,23,136
2015-03-18,106,轻度污染,80,111,12,0.8,34,157
2015-03-19,118,轻度污染,89,121,12,0.8,32,159
2015-03-20,103,轻度污染,78,107,13,0.7,31,161
2015-03-21,138,轻度污染,105,136,16,0.9,33,175
2015-03-22,203,重度污染,153,182,16,1.3,27,153
2015-03-23,184,中度污染,139,169,16,0.9,24,138
2015-03-24,70,良,51,54,12,0.6,12,122
2015-03-25,54,良,38,26,11,0.5,19,84
2015-03-26,58,良,25,26,11,0.3,13,110
2015-03-27,56,良,21,15,7,0.4,12,107
2015-03-28,56,良,16,28,9,0.3,14,107
2015-03-29,65,良,26,41,8,0.3,16,118
2015-03-30,68,良,32,53,10,0.3,19,122
2015-03-31,74,良,37,67,11,0.4,23,129
2015-04-01,75,良,55,82,11,0.5,24,124
2015-04-02,63,良,41,73,10,0.3,24,115
2015-04-03,60,良,30,54,7,0.2,18,112
2015-04-04,60,良,23,65,9,0.2,20,112
2015-04-05,78,良,39,82,12,0.3,22,134
2015-04-06,71,良,37,68,13,0.3,20,125
2015-04-07,76,良,32,55,13,0.3,15,131
2015-04-08,78,良,49,81,14,0.5,22,133
2015-04-09,78,良,57,77,13,0.5,15,121
2015-04-10,59,良,21,37,11,0.3,14,111
2015-04-11,59,良,20,39,11,0.3,10,111
2015-04-12,46,优,22,42,10,0.2,12,92
2015-04-13,80,良,24,46,12,0.3,18,136
2015-04-14,60,良,19,45,13,0.2,18,112
2015-04-15,73,良,30,61,11,0.3,20,127
2015-04-16,71,良,34,67,12,0.4,19,125
2015-04-17,78,良,39,74,8,0.4,22,134
2015-04-18,70,良,32,56,8,0.4,17,124
2015-04-19,44,优,17,44,7,0.3,14,70
2015-04-20,48,优,19,48,8,0.3,15,86
2015-04-21,54,良,22,57,9,0.2,19,80
2015-04-22,40,优,12,25,8,0.2,11,80
2015-04-23,38,优,13,25,8,0.3,10,75
2015-04-24,61,良,14,40,8,0.4,15,113
2015-04-25,44,优,15,29,10,0.4,12,88
2015-04-26,52,良,9,23,10,0.4,10,102
2015-04-27,42,优,7,20,9,0.3,10,83
2015-04-28,45,优,12,29,10,0.4,13,89
2015-04-29,55,良,11,28,11,0.4,11,106
2015-04-30,46,优,14,29,11,0.3,12,91
2015-05-01,63,良,17,47,10,0.3,14,116
2015-05-02,67,良,26,70,10,0.3,18,120
2015-05-03,68,良,31,78,11,0.4,18,122
2015-05-04,72,良,33,84,11,0.4,19,126
2015-05-05,84,良,34,80,9,0.4,22,141
2015-05-06,108,轻度污染,37,76,9,0.4,22,169
2015-05-07,103,轻度污染,39,73,8,0.5,22,163
2015-05-08,90,良,47,84,10,0.5,24,148
2015-05-09,75,良,48,72,9,0.5,20,130
2015-05-10,68,良,45,62,9,0.4,21,122
2015-05-11,68,良,43,69,9,0.4,20,122
2015-05-12,69,良,44,56,16,0.5,15,123
2015-05-13,49,优,28,49,43,0.5,13,98
2015-05-14,57,良,25,52,59,0.5,18,108
2015-05-15,57,良,26,53,51,0.5,16,108
2015-05-16,63,良,19,53,9,0.5,17,115
2015-05-17,46,优,23,46,9,0.4,12,92
2015-05-18,45,优,17,38,44,0.4,10,89
2015-05-19,32,优,10,21,87,0.4,8,63
2015-05-20,29,优,7,14,86,0.6,7,54
2015-05-21,26,优,6,7,49,0.6,5,52
2015-05-22,32,优,5,10,33,0.5,6,64
2015-05-23,36,优,6,15,44,0.5,6,71
2015-05-24,49,优,11,26,45,0.4,7,98
2015-05-25,61,良,16,50,61,0.5,9,113
2015-05-26,55,良,21,58,62,0.5,14,106
2015-05-27,54,良,21,55,59,0.5,16,105
2015-05-28,53,良,20,57,62,0.5,16,90
2015-05-29,60,良,20,54,32,0.7,13,112
2015-05-30,64,良,20,54,57,0.6,14,117
2015-05-31,53,良,22,54,24,0.6,13,103
2015-06-01,50,优,14,39,12,0.6,12,99
2015-06-02,49,优,15,46,8,0.5,11,98
2015-06-03,58,良,18,41,9,0.5,9,109
2015-06-04,55,良,13,38,10,0.5,7,106
2015-06-05,46,优,11,29,14,0.6,6,92
2015-06-06,45,优,10,27,10,0.5,9,90
2015-06-07,40,优,8,20,9,0.5,9,79
2015-06-08,36,优,7,16,8,0.5,11,71
2015-06-09,36,优,7,21,8,0.6,10,71
2015-06-10,36,优,9,18,8,0.6,8,72
2015-06-11,35,优,8,19,8,0.7,9,70
2015-06-12,28,优,6,18,8,0.8,8,56
2015-06-13,22,优,6,17,9,0.4,6,43
2015-06-14,30,优,7,19,10,0.4,10,59
2015-06-15,21,优,7,21,8,0.4,11,41
2015-06-16,23,优,4,10,8,0.4,6,45
2015-06-17,24,优,5,13,7,0.3,7,48
2015-06-18,24,优,10,24,6,0.4,14,41
2015-06-19,26,优,10,26,6,0.4,13,41
2015-06-20,29,优,12,29,7,0.5,19,41
2015-06-21,24,优,8,24,6,0.4,16,37
2015-06-22,20,优,6,20,6,0.4,13,37
2015-06-23,19,优,6,19,7,0.3,14,35
2015-06-24,19,优,6,17,7,0.3,15,38
2015-06-25,23,优,8,23,7,0.3,11,39
2015-06-26,19,优,6,11,7,0.2,6,37
2015-06-27,18,优,3,9,7,0.2,6,36
2015-06-28,18,优,6,14,7,0.3,7,35
2015-06-29,18,优,6,17,8,0.3,11,35
2015-06-30,21,优,7,21,11,0.3,12,36
2015-07-01,26,优,6,26,13,0.3,14,37
2015-07-02,21,优,8,21,14,0.3,14,37
2015-07-03,26,优,11,26,14,0.4,15,41
2015-07-04,24,优,11,24,15,0.5,17,34
2015-07-05,22,优,11,22,15,0.4,13,33
2015-07-06,25,优,6,12,14,0.5,11,50
2015-07-07,30,优,15,27,15,0.5,11,60
2015-07-08,32,优,14,27,15,0.4,11,64
2015-07-09,32,优,20,32,16,0.5,16,63
2015-07-10,33,优,20,29,15,0.5,10,66
2015-07-11,49,优,29,49,19,0.6,19,54
2015-07-12,45,优,28,45,17,0.5,14,73
2015-07-13,32,优,16,32,17,0.4,12,54
2015-07-14,24,优,15,22,17,0.4,9,48
2015-07-15,21,优,10,16,15,0.3,8,42
2015-07-16,26,优,9,17,15,0.5,14,51
2015-07-17,19,优,10,19,16,0.5,14,38
2015-07-18,18,优,6,9,15,0.4,10,35
2015-07-19,16,优,5,10,16,0.4,11,32
2015-07-20,17,优,8,16,16,0.4,12,34
2015-07-21,16,优,8,16,16,0.4,10,30
2015-07-22,16,优,4,11,16,0.3,8,24
2015-07-23,32,优,5,12,15,1.3,7,49
2015-07-24,25,优,5,12,10,0.4,10,50
2015-07-25,55,良,10,19,8,0.5,14,106
2015-07-26,48,优,12,25,8,0.5,11,96
2015-07-27,37,优,7,16,12,0.4,7,73
2015-07-28,23,优,4,11,8,0.2,6,46
2015-07-29,18,优,4,11,8,0.3,8,36
2015-07-30,20,优,4,10,7,0.2,6,39
2015-07-31,20,优,3,18,8,0.2,6,39
2015-08-01,18,优,4,18,8,0.3,12,34
2015-08-02,21,优,5,17,10,0.3,10,42
2015-08-03,19,优,4,11,11,0.2,10,38
2015-08-04,17,优,4,8,8,0.3,7,34
2015-08-05,18,优,4,9,7,0.3,8,35
2015-08-06,18,优,4,10,7,0.4,8,35
2015-08-07,17,优,6,16,7,0.3,7,34
2015-08-08,21,优,6,18,7,0.3,8,42
2015-08-09,21,优,6,16,8,0.3,8,41
2015-08-10,19,优,6,19,7,0.3,9,36
2015-08-11,26,优,8,19,13,0.5,10,52
2015-08-12,27,优,7,14,18,0.4,4,54
2015-08-13,25,优,6,16,8,0.3,8,50
2015-08-14,25,优,4,14,8,0.3,6,50
2015-08-15,17,优,4,14,7,0.3,6,34
2015-08-16,18,优,3,12,7,0.3,6,36
2015-08-17,15,优,4,12,6,0.3,4,29
2015-08-18,17,优,5,14,8,0.3,6,34
