»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,50,”≈,25,51,120,0.8,29,44
2015-01-01,76,¡º,42,101,193,1.3,41,45
2015-01-02,100,¡º,70,151,278,2,58,32
2015-01-03,80,¡º,44,110,182,1.4,40,55
2015-01-04,124,«·∂»Œ€»æ,87,199,294,2.6,67,38
2015-01-05,99,¡º,57,148,165,1.8,44,59
2015-01-06,71,¡º,45,93,201,1.3,48,39
2015-01-07,91,¡º,55,133,214,1.7,53,39
2015-01-08,79,¡º,34,108,137,1.2,36,75
2015-01-09,83,¡º,54,115,150,1.3,39,76
2015-01-10,92,¡º,68,123,186,1.5,57,88
2015-01-11,148,«·∂»Œ€»æ,113,190,243,2,71,58
2015-01-12,201,÷ÿ∂»Œ€»æ,151,223,271,2.7,71,43
2015-01-13,264,÷ÿ∂»Œ€»æ,214,288,305,3.1,85,48
2015-01-14,223,÷ÿ∂»Œ€»æ,173,253,173,2.5,67,50
2015-01-15,167,÷–∂»Œ€»æ,127,199,164,2.1,49,62
2015-01-16,62,¡º,26,74,102,0.8,28,81
2015-01-17,117,«·∂»Œ€»æ,89,165,204,1.7,59,49
2015-01-18,67,¡º,25,85,65,0.6,15,97
2015-01-19,117,«·∂»Œ€»æ,88,162,222,1.9,60,64
2015-01-20,96,¡º,72,140,153,1.4,46,79
2015-01-21,67,¡º,40,83,141,1,42,71
2015-01-22,162,÷–∂»Œ€»æ,123,207,288,2.5,65,44
2015-01-23,133,«·∂»Œ€»æ,101,183,227,2.1,66,60
2015-01-24,206,÷ÿ∂»Œ€»æ,156,248,251,2.5,64,47
2015-01-25,147,«·∂»Œ€»æ,113,155,174,1.9,52,99
2015-01-26,95,¡º,62,139,114,1.4,42,65
2015-01-27,71,¡º,52,91,102,0.8,35,60
2015-01-28,125,«·∂»Œ€»æ,95,146,171,1.4,57,42
2015-01-29,77,¡º,57,84,108,1,34,88
2015-01-30,86,¡º,64,94,128,1.3,44,68
2015-01-31,119,«·∂»Œ€»æ,90,133,181,2,51,53
2015-02-01,206,÷ÿ∂»Œ€»æ,156,219,246,2.9,61,40
2015-02-02,262,÷ÿ∂»Œ€»æ,212,263,273,9.7,68,35
2015-02-03,175,÷–∂»Œ€»æ,133,161,175,1.9,46,82
2015-02-04,66,¡º,46,81,109,0.8,34,74
2015-02-05,96,¡º,72,124,160,1.5,47,64
2015-02-06,116,«·∂»Œ€»æ,88,128,166,1.4,47,72
2015-02-07,92,¡º,69,95,114,1.1,40,78
2015-02-08,107,«·∂»Œ€»æ,81,100,166,1.2,46,60
2015-02-09,129,«·∂»Œ€»æ,98,145,229,1.9,60,72
2015-02-10,132,«·∂»Œ€»æ,100,155,184,1.8,54,113
2015-02-11,113,«·∂»Œ€»æ,85,152,145,1.5,48,136
2015-02-12,106,«·∂»Œ€»æ,80,151,163,1.4,49,121
2015-02-13,95,¡º,71,138,149,1.5,45,137
2015-02-14,147,«·∂»Œ€»æ,112,166,217,2.1,65,115
2015-02-15,113,«·∂»Œ€»æ,78,175,114,1.1,31,108
2015-02-16,100,¡º,45,150,92,0.8,22,106
2015-02-17,100,¡º,75,130,135,1.4,39,78
2015-02-18,140,«·∂»Œ€»æ,107,91,137,1.4,32,95
