»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,65,¡º,14,79,20,2.1,9,38
2015-01-01,38,”≈,24,38,33,2.7,14,37
2015-01-02,51,¡º,31,52,43,2.8,19,40
2015-01-03,92,¡º,68,110,55,3.7,36,31
2015-01-04,109,«·∂»Œ€»æ,82,135,75,4.2,35,30
2015-01-05,75,¡º,42,99,57,2.5,22,37
2015-01-06,55,¡º,29,59,44,1,18,42
2015-01-07,105,«·∂»Œ€»æ,79,132,104,1.5,32,28
2015-01-08,165,÷–∂»Œ€»æ,125,196,147,2.2,39,15
2015-01-09,153,÷–∂»Œ€»æ,117,167,66,2.4,31,32
2015-01-10,69,¡º,45,88,65,1.4,26,32
2015-01-11,58,¡º,35,66,54,1,21,41
2015-01-12,92,¡º,68,104,59,1.6,26,28
2015-01-13,166,÷–∂»Œ€»æ,126,165,86,2.6,41,26
2015-01-14,101,«·∂»Œ€»æ,76,122,103,1.9,29,30
2015-01-15,86,¡º,64,104,116,1.4,27,30
2015-01-16,70,¡º,51,85,61,1,18,36
2015-01-17,53,¡º,37,51,49,1.3,23,38
2015-01-18,70,¡º,49,89,52,1.6,26,34
2015-01-19,46,”≈,27,46,41,1,17,38
2015-01-20,113,«·∂»Œ€»æ,85,125,163,1.8,37,30
2015-01-21,62,¡º,45,64,131,1.3,25,31
2015-01-22,81,¡º,60,90,61,1.7,27,33
2015-01-23,106,«·∂»Œ€»æ,79,128,58,2,31,36
2015-01-24,64,¡º,46,72,71,1.3,22,35
2015-01-25,123,«·∂»Œ€»æ,94,104,46,1.6,26,32
2015-01-26,85,¡º,63,96,73,1.6,25,36
2015-01-27,62,¡º,45,65,58,1.6,21,28
2015-04-10,55,¡º,17,60,18,2.7,13,43
2015-04-11,56,¡º,21,62,17,2.8,14,44
2015-04-12,44,”≈,15,44,13,2.6,9,41
2015-04-13,51,¡º,23,52,16,2.5,19,46
2015-04-14,53,¡º,30,57,18,2.8,19,48
2015-04-15,96,¡º,51,142,19,2.9,23,64
2015-04-16,75,¡º,19,99,11,2.2,11,52
2015-04-17,64,¡º,25,78,15,2.5,19,50
2015-04-18,97,¡º,55,143,39,2.6,29,57
2015-04-19,69,¡º,31,88,13,2.3,15,50
2015-04-20,62,¡º,25,75,18,2.4,18,48
2015-04-21,67,¡º,34,84,21,2.5,21,47
2015-04-22,66,¡º,32,82,17,2.6,19,52
2015-04-23,104,«·∂»Œ€»æ,28,159,16,2.6,13,51
2015-04-24,55,¡º,18,60,15,2.6,16,46
2015-04-25,67,¡º,23,85,15,2.6,19,51
2015-04-26,74,¡º,37,99,21,2.9,14,67
2015-04-27,93,¡º,52,136,29,3.2,16,94
2015-04-28,68,¡º,49,78,22,2.7,16,81
2015-04-29,63,¡º,37,76,14,2.8,16,72
2015-04-30,80,¡º,34,111,17,3.5,14,116
2015-05-01,85,¡º,27,120,21,3,11,99
2015-05-02,44,”≈,15,44,13,2.7,11,67
2015-05-03,60,¡º,10,69,15,2.7,12,61
2015-05-04,43,”≈,4,43,13,2.3,8,59
2015-05-05,89,¡º,14,129,16,2,12,60
2015-05-06,53,¡º,6,57,11,1.7,10,56
2015-05-07,65,¡º,8,80,12,1,10,55
2015-05-08,55,¡º,13,60,21,0.6,19,43
2015-05-09,47,”≈,12,47,13,0.8,18,50
2015-05-10,59,¡º,24,68,43,0.7,24,46
2015-05-11,36,”≈,25,36,9,0.6,15,41
2015-05-12,40,”≈,22,40,6,0.5,23,51
2015-05-13,56,¡º,30,61,8,0.6,22,56
2015-05-14,65,¡º,29,80,11,0.4,10,52
2015-05-15,53,¡º,32,55,8,0.5,13,50
2015-05-16,49,”≈,23,49,9,0.8,17,51
2015-05-17,90,¡º,67,118,17,1.3,20,88
2015-05-18,66,¡º,32,81,11,0.7,16,67
2015-05-19,65,¡º,13,80,7,0.5,13,52
2015-05-20,64,¡º,21,77,10,0.8,23,56
2015-05-21,54,¡º,18,57,8,0.6,18,62
2015-05-22,62,¡º,26,74,11,0.8,15,69
2015-05-23,74,¡º,49,99,17,1,17,84
2015-05-24,75,¡º,55,98,15,0.9,15,86
2015-05-25,85,¡º,54,120,17,1.2,16,106
2015-05-26,89,¡º,12,128,20,1.4,18,123
2015-05-27,84,¡º,15,119,16,1.1,15,120
2015-05-28,87,¡º,43,124,15,1.1,13,114
2015-05-29,68,¡º,49,80,13,1.1,17,94
2015-05-30,59,¡º,19,68,12,0.7,17,64
2015-05-31,110,«·∂»Œ€»æ,56,170,21,1.5,18,100
2015-06-01,92,¡º,68,131,9,1.2,12,103
2015-06-02,88,¡º,41,127,7,0.8,14,51
2015-06-03,67,¡º,31,85,8,0.9,21,47
2015-06-04,61,¡º,35,72,10,0.9,20,59
2015-06-05,64,¡º,46,22,4,0.7,12,66
2015-06-06,85,¡º,63,51,5,0.9,14,77
2015-06-07,30,”≈,14,30,5,0.8,12,42
2015-06-08,35,”≈,12,35,8,0.7,14,46
2015-06-09,49,”≈,8,49,11,0.7,21,41
2015-06-10,44,”≈,11,44,4,0.7,12,41
2015-06-11,27,”≈,4,27,5,0.6,8,50
2015-06-12,30,”≈,6,30,6,0.8,12,44
2015-06-13,43,”≈,8,43,14,0.8,17,52
2015-06-14,40,”≈,7,40,7,0.7,13,60
2015-06-15,52,¡º,11,55,8,0.9,16,101
2015-06-16,70,¡º,16,10,11,1,15,124
2015-06-17,113,«·∂»Œ€»æ,28,7,27,1.2,22,174
2015-06-18,50,”≈,14,18,14,0.9,15,100
2015-06-19,47,”≈,27,47,13,1.2,17,62
2015-06-20,46,”≈,32,41,6,1,15,74
2015-06-21,59,¡º,40,56,8,0.8,14,111
2015-06-22,103,«·∂»Œ€»æ,77,89,6,1.1,11,123
2015-06-23,71,¡º,40,63,9,1,10,125
2015-06-24,65,¡º,47,63,7,1.4,12,107
2015-06-25,48,”≈,31,28,8,1.7,13,95
2015-06-26,40,”≈,18,25,16,1.4,17,80
2015-06-27,41,”≈,20,29,7,1.6,16,82
2015-06-28,44,”≈,21,30,5,1.5,14,88
2015-06-29,40,”≈,8,12,4,0.8,10,79
2015-06-30,25,”≈,6,10,6,0.9,14,49
2015-07-01,23,”≈,8,18,6,0.8,13,45
2015-07-02,39,”≈,15,39,9,0.9,16,29
2015-07-03,26,”≈,11,26,5,0.8,13,39
2015-07-04,48,”≈,29,48,6,1.1,19,57
2015-07-05,36,”≈,20,36,8,1,12,59
2015-07-06,46,”≈,29,46,4,1,15,91
2015-07-07,46,”≈,25,46,5,1,14,90
2015-07-08,61,¡º,42,73,5,1.2,16,96
2015-07-09,54,¡º,25,58,4,1,17,85
2015-07-10,54,¡º,27,59,6,1,16,68
2015-07-11,97,¡º,72,72,6,1.3,10,109
2015-07-12,109,«·∂»Œ€»æ,82,93,9,1.8,16,124
2015-07-13,39,”≈,16,32,7,1.1,14,77
2015-07-14,61,¡º,26,41,8,1.1,20,113
2015-07-15,44,”≈,22,39,14,1.2,17,87
2015-07-16,33,”≈,8,16,5,0.8,11,66
2015-07-17,34,”≈,10,21,8,0.9,11,68
2015-07-18,37,”≈,14,28,10,1,14,73
2015-07-19,42,”≈,29,26,3,1,8,62
2015-07-20,30,”≈,18,23,4,0.9,8,59
2015-07-21,46,”≈,32,38,4,1.2,8,83
2015-07-22,80,¡º,59,67,6,1.6,12,78
2015-07-23,42,”≈,25,42,6,1.5,15,80
2015-07-24,47,”≈,26,47,6,1.6,14,68
2015-07-25,55,¡º,39,60,4,1.6,9,77
2015-07-26,59,¡º,36,68,5,1.6,8,76
2015-07-27,51,¡º,34,52,6,1.5,8,100
2015-07-28,64,¡º,46,67,5,1.5,9,84
2015-07-29,65,¡º,47,70,7,1.7,9,80
2015-07-30,38,”≈,18,28,6,1.5,10,53
2015-07-31,40,”≈,19,40,8,1.5,13,62
2015-08-01,45,”≈,28,45,8,1.4,14,82
2015-08-02,46,”≈,32,44,6,1.6,9,65
2015-08-03,48,”≈,25,41,5,1.9,11,42
2015-08-04,38,”≈,16,35,8,1.5,14,72
2015-08-05,49,”≈,32,49,9,1.9,13,90
2015-08-06,74,¡º,54,74,8,1.9,9,81
2015-08-07,52,¡º,36,54,6,1.6,9,76
2015-08-08,43,”≈,20,43,10,1.6,15,78
2015-08-09,45,”≈,18,45,12,1.6,14,54
2015-08-10,52,¡º,14,54,12,1.4,14,54
2015-08-11,50,”≈,17,50,14,1.5,16,56
2015-08-12,53,¡º,16,56,15,1.5,18,60
2015-08-13,62,¡º,32,74,11,1.8,16,90
2015-08-14,96,¡º,62,142,9,2.3,12,91
2015-08-15,45,”≈,16,45,10,1.5,14,68
2015-08-16,66,¡º,32,82,11,1.7,16,91
2015-08-17,73,¡º,53,96,12,2,15,92
2015-08-18,64,¡º,46,77,10,1.8,10,89
2015-08-19,73,¡º,53,89,10,2,12,87
2015-08-20,51,¡º,24,52,9,1.6,13,64
2015-08-21,39,”≈,14,39,15,1.4,12,54
2015-08-22,48,”≈,19,48,16,1.6,18,55
2015-08-23,38,”≈,13,31,9,1.5,11,54
2015-08-24,37,”≈,12,31,10,1.5,10,49
2015-08-25,37,”≈,13,34,8,1.5,9,53
2015-08-26,36,”≈,10,33,9,1.4,10,49
2015-08-27,46,”≈,14,46,10,1.5,12,52
2015-08-28,52,¡º,17,53,11,1.6,18,54
2015-08-29,38,”≈,13,35,14,1.5,14,42
2015-08-30,44,”≈,16,44,13,1.5,16,45
2015-08-31,50,”≈,16,50,11,1.6,16,38
2015-09-01,40,”≈,14,40,10,1.6,13,46
2015-09-02,42,”≈,15,42,11,1.6,14,52
2015-09-03,39,”≈,12,39,10,1.6,12,52
2015-09-04,51,¡º,14,51,12,1.6,16,57
2015-09-05,53,¡º,13,56,26,1.4,13,62
2015-09-06,46,”≈,10,46,13,1.4,15,49
2015-09-07,53,¡º,16,55,10,1.7,12,90
2015-09-08,67,¡º,41,84,12,2.2,14,113
2015-09-09,59,¡º,20,50,30,1.6,13,110
2015-09-10,54,¡º,12,58,26,1.5,19,46
2015-09-11,38,”≈,11,38,14,1.4,15,44
2015-09-12,36,”≈,12,26,9,1.4,13,40
2015-09-13,42,”≈,13,42,8,1.6,16,43
2015-09-14,49,”≈,19,49,12,1.7,13,73
2015-09-15,66,¡º,44,82,17,2.2,14,103
2015-09-16,67,¡º,48,77,13,2.1,12,96
2015-09-17,142,«·∂»Œ€»æ,108,149,13,2.8,15,109
2015-09-18,128,«·∂»Œ€»æ,97,138,19,2.4,21,91
2015-09-19,56,¡º,28,62,12,1.7,20,52
2015-09-20,62,¡º,30,73,14,2.1,18,92
2015-09-21,67,¡º,41,84,14,2.2,14,101
2015-09-22,82,¡º,60,100,11,1.9,10,96
2015-09-23,43,”≈,17,31,8,1.7,11,74
2015-09-24,54,¡º,38,56,12,1.7,12,35
2015-09-25,51,¡º,16,52,14,1.7,19,51
2015-09-26,53,¡º,18,55,13,1.9,17,66
2015-09-27,50,”≈,23,50,14,1.7,12,80
2015-09-28,51,¡º,14,52,18,1.4,16,45
2015-09-29,64,¡º,25,77,26,1.7,24,32
2015-09-30,54,¡º,21,58,11,1.7,14,72
2015-10-01,42,”≈,15,41,10,1.7,12,57
2015-10-02,42,”≈,8,42,8,1.4,10,54
2015-10-03,45,”≈,12,45,10,1.5,15,54
2015-10-04,67,¡º,32,83,16,2,22,75
2015-10-05,110,«·∂»Œ€»æ,83,149,23,2.9,20,113
2015-10-06,152,÷–∂»Œ€»æ,116,211,20,3,19,100
2015-10-07,114,«·∂»Œ€»æ,86,146,21,2.5,17,107
2015-10-08,49,”≈,11,49,13,1.5,13,70
2015-10-09,48,”≈,14,48,13,1.6,16,41
2015-10-10,39,”≈,6,35,10,1.5,8,40
2015-10-11,40,”≈,8,32,9,1.6,11,44
2015-10-12,57,¡º,24,64,13,1.9,24,47
2015-10-13,68,¡º,33,86,15,2,22,49
2015-10-14,77,¡º,47,104,14,2.3,31,68
2015-10-15,112,«·∂»Œ€»æ,84,140,18,2.8,22,102
2015-10-16,145,«·∂»Œ€»æ,111,162,20,3.3,26,134
2015-10-17,93,¡º,68,136,20,2.6,16,97
2015-10-18,48,”≈,15,48,11,1.8,14,48
2015-10-19,72,¡º,30,93,17,2.2,21,63
2015-10-20,45,”≈,14,45,19,1.8,10,45
2015-10-21,55,¡º,26,46,12,2.2,18,40
2015-10-22,57,¡º,32,62,13,2.2,23,39
2015-10-23,61,¡º,36,72,13,2.4,26,34
2015-10-24,46,”≈,14,44,12,1.8,15,46
2015-10-25,61,¡º,32,72,17,2.1,23,41
2015-10-26,78,¡º,36,105,11,2.2,16,43
2015-10-27,51,¡º,15,42,15,2,16,40
2015-10-28,52,¡º,18,46,18,2.1,17,45
2015-10-29,54,¡º,18,57,17,2.1,16,40
2015-10-30,62,¡º,32,70,22,2.4,20,40
2015-10-31,65,¡º,38,80,22,2.6,26,36
2015-11-01,82,¡º,58,114,32,3,32,40
2015-11-02,81,¡º,57,112,35,3,35,44
2015-11-03,70,¡º,51,84,37,2.7,30,72
2015-11-04,108,«·∂»Œ€»æ,81,102,42,2.7,27,90
2015-11-05,46,”≈,8,20,27,1.8,12,56
2015-11-06,47,”≈,9,22,29,1.9,14,41
2015-11-07,79,¡º,58,81,36,2.2,19,48
2015-11-08,118,«·∂»Œ€»æ,89,114,35,2.4,21,48
2015-11-09,130,«·∂»Œ€»æ,99,124,48,2.8,32,45
2015-11-10,138,«·∂»Œ€»æ,105,129,36,2.8,30,48
2015-11-11,211,÷ÿ∂»Œ€»æ,161,196,85,3,40,47
2015-11-12,212,÷ÿ∂»Œ€»æ,162,206,47,3.3,35,24
2015-11-13,139,«·∂»Œ€»æ,106,146,25,3.8,34,32
2015-11-14,98,¡º,73,98,27,3.1,27,52
2015-11-15,58,¡º,31,53,50,2.3,23,37
2015-11-16,51,¡º,23,41,45,2,24,37
2015-11-17,57,¡º,22,35,64,2,21,35
2015-11-18,48,”≈,14,26,45,1.9,18,38
2015-11-19,46,”≈,22,32,45,1.8,16,37
2015-11-20,52,¡º,22,32,54,1.8,17,42
2015-11-21,76,¡º,36,48,102,2,24,43
2015-11-22,57,¡º,17,31,64,1.9,16,42
2015-11-23,49,”≈,19,28,42,1.9,16,43
2015-11-24,62,¡º,22,32,74,2,19,43
2015-11-25,57,¡º,28,38,60,2.2,24,44
2015-11-26,56,¡º,25,33,50,2.2,22,49
2015-11-27,92,¡º,68,88,84,3.1,37,33
2015-11-28,119,«·∂»Œ€»æ,90,112,78,3.4,34,34
2015-11-29,162,÷–∂»Œ€»æ,123,112,95,3.8,38,30
2015-11-30,175,÷–∂»Œ€»æ,132,144,66,4,40,26
2015-12-01,144,«·∂»Œ€»æ,110,161,52,4.4,44,22
2015-12-02,74,¡º,28,50,24,2.9,20,38
2015-12-03,63,¡º,15,28,18,2.5,14,44
2015-12-04,73,¡º,20,28,34,2.9,22,45
2015-12-05,77,¡º,38,52,39,3.1,26,40
2015-12-06,89,¡º,62,93,96,3.5,36,22
2015-12-07,118,«·∂»Œ€»æ,89,110,114,3.8,40,19
2015-12-08,165,÷–∂»Œ€»æ,125,159,62,4.2,37,40
2015-12-09,172,÷–∂»Œ€»æ,130,169,48,3.8,38,33
2015-12-10,61,¡º,37,72,48,2.2,23,44
2015-12-11,56,¡º,20,36,62,2,26,43
2015-12-12,82,¡º,51,86,87,3.3,39,17
2015-12-13,70,¡º,43,76,90,2.8,35,33
2015-12-14,64,¡º,46,72,52,2.3,33,29
2015-12-15,26,”≈,10,14,26,0.9,18,42
2015-12-16,36,”≈,8,14,36,0.8,16,38
2015-12-17,37,”≈,13,21,37,1.2,19,34
2015-12-18,66,¡º,34,49,82,2,33,36
2015-12-19,64,¡º,46,60,56,2.2,36,30
2015-12-20,64,¡º,46,68,50,2.2,40,29
2015-12-21,117,«·∂»Œ€»æ,88,138,70,2,39,32
2015-12-22,246,÷ÿ∂»Œ€»æ,196,236,83,2.5,42,23
2015-12-23,314,—œ÷ÿŒ€»æ,264,342,133,3.2,50,22
2015-12-24,129,«·∂»Œ€»æ,98,152,116,1.8,42,22
2015-12-25,114,«·∂»Œ€»æ,86,142,64,1.9,35,30
2015-12-26,51,¡º,21,51,52,0.9,17,41
2015-12-27,69,¡º,50,76,51,1.6,25,36
2015-12-28,119,«·∂»Œ€»æ,90,125,71,2.3,34,28
2015-12-29,163,÷–∂»Œ€»æ,124,185,183,2.7,43,14
2015-12-30,104,«·∂»Œ€»æ,78,106,86,1.7,30,29
2015-12-31,150,«·∂»Œ€»æ,115,150,63,2.5,35,28
2016-01-01,253,÷ÿ∂»Œ€»æ,203,261,67,3.1,49,31
2016-01-02,160,÷–∂»Œ€»æ,122,193,128,2.3,38,32
2016-01-03,82,¡º,60,82,92,1.7,30,34
2016-01-04,54,¡º,34,57,32,1.3,24,37
2016-01-05,63,¡º,45,65,47,1.4,25,40
2016-01-06,62,¡º,42,73,74,1.6,26,38
2016-01-07,45,”≈,18,32,45,1.4,23,42
2016-01-08,44,”≈,18,34,44,1.4,24,50
2016-01-09,62,¡º,22,44,74,1.7,29,42
2016-01-10,60,¡º,17,32,70,1.4,24,44
2016-01-11,40,”≈,10,22,40,1.2,19,49
2016-01-12,47,”≈,14,28,47,1.5,23,52
2016-01-13,51,¡º,18,30,51,1.7,24,52
2016-01-14,71,¡º,28,50,92,2.1,33,45
2016-01-15,88,¡º,34,64,126,2.1,32,38
2016-01-16,56,¡º,23,43,61,1.4,17,48
2016-01-17,61,¡º,17,28,72,1.5,19,51
2016-01-18,47,”≈,15,28,47,1.6,20,48
2016-01-19,72,¡º,16,31,94,1.6,22,46
2016-01-20,79,¡º,32,58,108,2.3,32,38
2016-01-21,90,¡º,28,52,129,2,28,42
2016-01-22,61,¡º,14,26,72,1.5,18,46
2016-01-23,41,”≈,7,16,41,1.3,12,46
2016-01-24,43,”≈,10,32,43,1.5,18,46
2016-01-25,63,¡º,43,50,75,2.1,27,48
2016-01-26,73,¡º,53,83,89,2.3,28,46
2016-01-27,62,¡º,38,47,74,2,27,51
2016-01-28,78,¡º,48,60,106,2.3,28,42
2016-01-29,61,¡º,26,37,72,1.8,21,45
2016-01-30,76,¡º,42,63,102,2.6,32,39
2016-01-31,67,¡º,41,69,84,2.4,30,46
2016-02-01,85,¡º,63,73,74,2.6,31,46
2016-02-02,75,¡º,55,59,77,2.9,31,48
2016-02-03,74,¡º,47,58,78,2.9,30,47
2016-02-04,59,¡º,26,32,44,2.3,22,52
2016-02-05,57,¡º,22,29,43,2.3,21,49
2016-02-06,54,¡º,21,28,38,2.1,16,52
2016-02-07,79,¡º,58,82,76,2.7,22,57
2016-02-08,124,«·∂»Œ€»æ,94,198,83,2.2,19,58
2016-02-09,51,¡º,24,28,30,2,13,54
2016-02-10,51,¡º,30,40,30,2,16,57
2016-02-11,69,¡º,50,54,27,2,22,51
2016-02-12,63,¡º,45,70,42,2.1,20,41
2016-02-13,42,”≈,14,30,41,1.7,12,52
2016-02-14,32,”≈,15,22,31,1.3,14,56
2016-02-15,26,”≈,14,20,22,1,12,52
2016-02-16,26,”≈,11,20,25,1,14,52
2016-02-17,30,”≈,14,20,25,1.2,16,56
2016-02-18,36,”≈,18,30,36,1.1,18,54
2016-02-19,36,”≈,18,28,36,1.2,19,52
2016-02-20,29,”≈,12,18,27,1,13,57
2016-02-21,28,”≈,18,27,25,1.1,13,53
2016-02-22,62,¡º,44,72,52,1.3,18,53
2016-02-23,46,”≈,32,35,43,1.2,18,53
2016-02-24,39,”≈,26,35,39,1.4,20,52
2016-02-25,43,”≈,26,29,43,1.5,22,54
2016-02-26,46,”≈,32,35,42,1.6,22,51
2016-02-27,59,¡º,27,34,68,1.6,20,50
2016-02-28,46,”≈,20,46,35,1.5,18,54
2016-02-29,33,”≈,10,19,29,1.3,11,54
2016-03-01,50,”≈,28,34,30,2,24,53
2016-03-02,51,¡º,34,51,43,1.9,28,58
2016-03-03,108,«·∂»Œ€»æ,81,98,78,2.2,37,58
2016-03-04,138,«·∂»Œ€»æ,105,119,70,2.1,40,57
2016-03-05,62,¡º,38,73,14,1.4,21,56
2016-03-06,40,”≈,24,40,33,1.5,25,48
2016-03-07,36,”≈,14,30,29,1.4,18,54
2016-03-08,33,”≈,10,16,24,1.3,14,50
2016-03-09,32,”≈,12,17,27,1.3,16,50
2016-03-10,34,”≈,14,22,28,1.4,17,52
2016-03-11,44,”≈,28,44,28,1.6,22,53
2016-03-12,78,¡º,52,106,34,1.9,27,58
2016-03-13,60,¡º,33,69,50,1.4,22,56
2016-03-14,77,¡º,56,87,30,1.9,28,59
2016-03-15,113,«·∂»Œ€»æ,85,158,36,2.2,32,82
2016-03-16,180,÷–∂»Œ€»æ,136,208,33,2.3,31,80
2016-03-17,230,÷ÿ∂»Œ€»æ,180,228,37,2.5,32,99
2016-03-18,107,«·∂»Œ€»æ,80,153,30,1.8,24,79
2016-03-19,55,¡º,31,59,31,1.5,23,63
2016-03-20,67,¡º,45,83,36,1.9,34,58
2016-03-21,87,¡º,44,124,26,1.8,28,73
2016-03-22,95,¡º,28,140,35,1.4,18,61
2016-03-23,58,¡º,14,66,32,1.4,18,53
2016-03-24,43,”≈,16,43,29,1.5,20,54
2016-03-25,60,¡º,31,69,29,1.8,30,57
2016-03-26,61,¡º,30,72,30,1.8,32,56
2016-03-27,60,¡º,26,70,23,1.8,25,60
2016-03-28,82,¡º,40,114,26,1.8,25,70
2016-03-29,47,”≈,23,47,22,1.6,20,57
2016-03-30,63,¡º,26,76,20,1.7,21,60
2016-03-31,133,«·∂»Œ€»æ,78,216,32,2.2,24,104
2016-04-01,79,¡º,47,107,21,1.8,18,96
2016-04-02,58,¡º,13,65,20,1.6,18,60
2016-04-03,61,¡º,16,72,12,1.6,18,59
2016-04-04,61,¡º,26,71,16,1.9,23,68
2016-04-05,43,”≈,14,43,16,1.6,14,68
2016-04-06,84,¡º,61,118,20,2.1,23,95
2016-04-07,69,¡º,28,88,18,2,18,87
2016-04-08,105,«·∂»Œ€»æ,22,159,14,1.7,15,62
2016-04-09,130,«·∂»Œ€»æ,32,209,14,1.6,11,58
2016-04-10,59,¡º,19,67,18,1.6,13,56
2016-04-11,66,¡º,26,82,16,1.7,18,69
2016-04-12,83,¡º,61,82,16,2.4,24,68
2016-04-13,90,¡º,67,110,16,2.3,32,60
2016-04-14,42,”≈,14,38,18,1.6,17,75
2016-04-15,74,¡º,43,98,17,2,19,89
2016-04-16,91,¡º,41,132,15,1.8,20,85
2016-04-17,42,”≈,16,40,12,1.7,17,66
2016-04-18,49,”≈,29,48,14,1.9,22,66
2016-04-19,58,¡º,35,66,14,1.9,20,78
2016-04-20,57,¡º,40,64,15,2.1,18,76
2016-04-21,103,«·∂»Œ€»æ,62,156,18,2.1,20,88
2016-04-22,144,«·∂»Œ€»æ,46,238,14,1.7,12,67
2016-04-23,51,¡º,17,52,15,1.8,15,64
2016-04-24,94,¡º,40,138,19,2.2,21,85
2016-04-25,83,¡º,30,116,17,1.8,14,80
2016-04-26,46,”≈,23,46,21,1.8,15,57
2016-04-27,58,¡º,35,65,23,2,19,71
2016-04-28,52,¡º,22,54,20,1.9,16,70
2016-04-29,72,¡º,52,92,28,2.1,25,90
2016-04-30,69,¡º,46,87,19,2,17,91
2016-05-01,110,«·∂»Œ€»æ,83,145,18,2.3,16,119
2016-05-02,69,¡º,29,87,14,1.9,12,104
2016-05-03,59,¡º,12,67,12,1.9,12,73
2016-05-04,50,”≈,21,50,12,2,18,74
2016-05-05,50,”≈,20,38,11,2,14,86
2016-05-06,74,¡º,24,98,12,1.9,13,68
2016-05-07,47,”≈,14,33,12,1.8,12,74
2016-05-08,67,¡º,30,84,20,2.3,22,108
2016-05-09,61,¡º,33,72,16,2.1,25,72
2016-05-10,59,¡º,28,67,17,2.1,22,88
2016-05-11,88,¡º,65,113,19,2.4,18,135
2016-05-12,79,¡º,35,60,14,2.1,19,134
2016-05-13,56,¡º,22,50,12,2.2,16,72
2016-05-14,61,¡º,34,54,13,2.4,20,67
2016-05-15,58,¡º,20,44,13,2.3,18,61
2016-05-16,60,¡º,20,42,13,2.4,19,69
2016-05-17,66,¡º,26,61,17,2.6,18,98
2016-05-18,74,¡º,46,87,18,2.3,16,128
2016-05-19,86,¡º,62,86,21,2.1,18,143
2016-05-20,78,¡º,35,56,17,1.7,16,133
2016-05-21,70,¡º,33,90,16,1.7,16,94
2016-05-22,52,¡º,21,54,16,1.6,16,69
2016-05-23,65,¡º,46,80,25,2,30,66
2016-05-24,54,¡º,30,52,12,2.2,19,78
2016-05-25,49,”≈,16,34,12,2,14,76
2016-05-26,62,¡º,26,74,14,2.1,18,72
2016-05-27,67,¡º,34,84,19,2.2,21,108
2016-05-28,65,¡º,38,78,21,2.4,18,118
2016-05-29,62,¡º,20,52,12,1.9,12,114
2016-05-30,72,¡º,28,73,16,2.2,16,126
2016-05-31,55,¡º,22,48,16,2.2,19,89
2016-06-01,58,¡º,25,52,16,2.3,19,80
2016-06-02,58,¡º,30,62,16,2.3,20,100
2016-06-03,76,¡º,41,74,20,2.6,19,131
2016-06-04,83,¡º,61,84,24,2.6,18,128
2016-06-05,69,¡º,50,74,17,2.5,16,119
2016-06-06,58,¡º,28,59,14,2.3,16,98
2016-06-07,54,¡º,22,38,14,2.1,13,80
2016-06-08,60,¡º,34,62,15,2.4,19,86
2016-06-09,97,¡º,72,88,16,2.7,16,138
