日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,163,中度污染,124,154,27,1.8,60,108
2015-01-01,128,轻度污染,98,134,24,0.9,42,97
2015-01-02,165,中度污染,126,197,42,1.3,56,101
2015-01-03,202,重度污染,152,191,87,1.4,61,102
2015-01-04,137,轻度污染,104,106,51,0.9,47,66
2015-01-05,114,轻度污染,86,80,28,0.8,38,39
2015-01-06,89,良,66,55,22,1.1,32,35
2015-01-07,89,良,66,30,13,1.1,28,40
2015-01-08,93,良,69,69,19,1,30,62
2015-01-09,93,良,70,83,15,0.8,25,50
2015-01-10,39,优,27,26,2,0.8,23,41
2015-01-11,37,优,26,19,2,0.7,23,28
2015-01-12,43,优,30,24,3,0.6,20,39
2015-01-13,90,良,67,71,9,1.1,30,63
2015-01-14,104,轻度污染,78,106,12,1.2,35,71
2015-01-15,122,轻度污染,93,133,12,0.9,38,72
2015-01-16,143,轻度污染,109,160,18,1,45,64
2015-01-17,148,轻度污染,113,142,23,1.1,48,92
2015-01-18,147,轻度污染,113,143,170,1.2,49,83
2015-01-19,127,轻度污染,97,123,19,1,43,84
2015-01-20,263,重度污染,213,267,60,1.6,70,88
2015-01-21,187,中度污染,141,196,26,1.4,58,78
2015-01-22,161,中度污染,123,174,43,1.3,60,87
2015-01-23,170,中度污染,129,179,28,1.4,56,96
2015-01-24,70,良,51,86,26,1,39,74
2015-01-25,102,轻度污染,77,124,72,1.8,52,77
2015-01-26,144,轻度污染,110,155,72,1.7,55,53
2015-01-27,166,中度污染,126,155,33,1.5,46,64
2015-01-28,142,轻度污染,109,133,18,2.2,54,38
2015-01-29,42,优,29,12,10,1.3,37,12
2015-01-30,50,优,34,50,7,1.2,32,16
2015-01-31,76,良,56,58,10,1,32,22
2015-02-01,72,良,52,61,9,1.1,31,14
2015-02-02,108,轻度污染,81,101,12,1.3,36,22
2015-02-03,59,良,42,52,8,1.3,32,7
2015-02-04,56,良,40,41,7,1,32,29
2015-02-05,131,轻度污染,99,102,25,1,37,59
