»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,42,”≈,27,42,10,0.6,26,43
2015-01-01,39,”≈,27,39,23,0.6,23,28
2015-01-02,40,”≈,28,40,18,0.6,21,30
2015-01-03,63,¡º,46,74,53,1.2,38,31
2015-01-04,167,÷–∂»Œ€»æ,127,187,62,1.4,50,25
2015-01-05,75,¡º,55,93,50,0.7,30,46
2015-01-06,46,”≈,21,46,16,0.7,26,46
2015-01-07,58,¡º,38,67,29,0.9,35,33
2015-01-08,57,¡º,37,64,25,0.8,39,34
2015-01-09,82,¡º,60,100,30,1.1,44,38
2015-01-10,120,«·∂»Œ€»æ,91,143,93,1.2,60,31
2015-01-11,77,¡º,57,90,24,0.9,40,36
2015-01-12,58,¡º,40,67,46,0.9,40,40
2015-01-13,91,¡º,68,115,70,1.4,53,32
2015-01-14,151,÷–∂»Œ€»æ,116,183,46,1.6,57,30
2015-01-15,102,«·∂»Œ€»æ,77,119,42,1.2,42,50
2015-01-16,73,¡º,53,88,36,0.9,41,43
2015-01-17,49,”≈,26,49,23,0.6,30,44
2015-01-18,95,¡º,71,114,79,1.5,54,29
2015-01-19,71,¡º,52,79,35,1.1,40,46
2015-01-20,115,«·∂»Œ€»æ,87,138,133,1.4,61,41
2015-01-21,205,÷ÿ∂»Œ€»æ,155,235,53,2.2,75,51
2015-01-22,174,÷–∂»Œ€»æ,132,195,92,1.4,68,48
2015-01-23,167,÷–∂»Œ€»æ,127,184,160,1.7,70,37
2015-01-24,172,÷–∂»Œ€»æ,131,186,33,1.6,48,50
2015-01-25,183,÷–∂»Œ€»æ,138,207,110,1.5,60,48
2015-01-26,89,¡º,66,102,26,0.9,29,47
2015-01-27,47,”≈,27,47,19,0.8,27,38
2015-01-28,65,¡º,47,76,43,0.9,36,33
2015-01-29,68,¡º,50,81,51,0.9,36,38
2015-01-30,55,¡º,37,60,18,0.8,29,43
2015-01-31,54,¡º,34,58,32,0.8,32,39
2015-02-01,88,¡º,65,106,52,0.9,39,40
2015-02-02,140,«·∂»Œ€»æ,107,172,75,1.6,61,52
2015-02-03,291,÷ÿ∂»Œ€»æ,241,366,71,2.8,85,57
2015-02-04,141,«·∂»Œ€»æ,108,167,30,1.5,44,49
