日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2017-01-07,45,优,9,38,4,0.3,7,90
2017-01-08,49,优,9,29,4,0.4,7,98
2017-01-09,45,优,11,28,4,0.4,7,90
2017-01-16,54,良,11,59,4,0.5,7,91
2017-01-17,46,优,13,38,4,0.5,6,92
2017-01-18,45,优,14,44,4,0.5,8,90
2017-01-19,47,优,14,47,4,0.5,9,86
2017-01-20,46,优,14,46,4,0.5,9,82
2017-01-21,53,良,20,57,5,0.6,17,75
2017-01-22,53,良,16,57,4,0.4,10,80
2017-01-23,43,优,16,40,4,0.3,8,87
2017-01-24,40,优,15,37,4,0.4,14,81
2017-01-25,40,优,11,33,4,0.4,13,81
2017-01-26,49,优,14,49,5,0.5,13,82
2017-01-27,52,良,12,54,5,0.3,8,88
2017-01-28,48,优,13,33,5,0.3,5,97
2017-01-29,44,优,11,35,4,0.4,6,88
2017-01-30,47,优,13,38,4,0.5,6,94
2017-01-31,48,优,16,38,4,0.5,6,96
2017-02-01,47,优,13,28,4,0.5,6,95
2017-02-02,46,优,11,29,4,0.5,6,92
2017-02-03,45,优,13,37,4,0.5,10,90
2017-02-04,40,优,15,35,5,0.5,15,81
2017-02-05,42,优,12,38,5,0.3,10,85
2017-02-06,66,良,17,82,4,0.3,8,92
2017-02-07,50,优,13,30,4,0.4,6,101
2017-02-08,49,优,13,37,4,0.4,7,99
2017-02-09,47,优,21,47,4,0.4,8,92
2017-02-10,55,良,15,39,4,0.5,6,107
2017-02-11,60,良,14,28,4,0.5,6,112
2017-02-12,50,优,15,29,4,0.6,7,101
2017-02-13,52,良,21,37,4,0.4,6,103
2017-02-14,48,优,16,34,4,0.3,7,97
2017-02-15,53,良,14,32,5,0.3,12,104
2017-02-16,46,优,13,37,4,0.3,9,93
2017-02-17,44,优,17,41,4,0.3,9,88
2017-02-18,54,良,22,59,5,0.3,10,99
2017-02-19,69,良,27,88,5,0.3,8,87
2017-02-20,53,良,16,33,4,0.4,8,104
2017-02-21,56,良,10,24,4,0.6,7,108
2017-02-22,47,优,10,29,4,0.5,7,95
2017-02-23,51,良,11,49,4,0.5,7,102
2017-02-24,55,良,11,50,4,0.5,7,107
2017-02-25,54,良,13,58,5,0.5,9,98
2017-02-26,55,良,15,54,4,0.5,8,107
2017-02-27,55,良,17,46,5,0.7,8,107
2017-02-28,47,优,16,42,4,0.5,7,95
2017-03-01,51,良,18,46,4,0.3,7,102
2017-03-02,61,良,17,33,4,0.3,8,114
2017-03-03,62,良,12,37,4,0.3,7,115
2017-03-04,52,良,14,41,4,0.2,8,103
2017-03-05,51,良,14,42,4,0.2,8,102
2017-03-06,55,良,16,57,4,0.2,8,106
2017-03-07,64,良,12,45,4,0.2,8,117
2017-03-08,67,良,17,37,4,0.2,8,121
2017-03-09,69,良,20,37,4,0.3,8,123
2017-03-10,60,良,13,36,4,0.3,7,113
2017-03-11,55,良,10,22,4,0.3,8,106
2017-03-12,60,良,10,52,4,0.3,7,113
2017-03-13,72,良,14,50,4,0.3,7,127
2017-03-14,70,良,10,47,4,0.2,7,124
2017-03-15,62,良,13,42,4,0.3,9,115
2017-03-16,49,优,19,49,4,0.3,10,82
2017-03-17,53,良,16,54,4,0.4,9,104
2017-03-18,58,良,11,38,4,0.6,9,110
2017-03-19,63,良,10,24,4,0.5,10,116
2017-03-20,69,良,11,26,4,0.4,8,123
2017-03-21,62,良,16,40,4,0.3,11,115
2017-03-22,60,良,18,70,4,0.3,12,107
2017-03-23,96,良,27,143,5,0.3,11,89
2017-03-24,43,优,12,41,4,0.4,7,87
2017-03-25,48,优,14,30,4,0.2,14,97
2017-03-26,47,优,13,32,4,0.2,13,94
2017-03-27,54,良,12,25,6,0.3,15,105
2017-03-28,43,优,15,40,4,0.3,14,87
2017-03-29,45,优,10,30,3,0.3,9,90
2017-03-30,47,优,11,31,3,0.5,10,94
2017-03-31,49,优,12,42,4,0.4,10,98
2017-04-01,46,优,11,39,4,0.3,11,93
2017-04-02,44,优,10,21,4,0.3,9,89
2017-04-03,64,良,10,30,3,0.4,10,117
2017-04-04,52,良,10,22,3,0.4,11,103
2017-04-05,68,良,11,29,4,0.4,8,122
2017-04-06,56,良,12,39,3,0.4,11,108
2017-04-07,46,优,12,46,3,0.4,8,92
2017-04-08,46,优,10,45,4,0.4,6,92
2017-04-09,73,良,11,49,3,0.4,7,128
2017-04-10,66,良,13,62,4,0.3,7,120
2017-04-11,83,良,13,27,3,0.3,12,140
2017-04-12,77,良,12,34,3,0.2,9,133
2017-04-13,80,良,13,36,4,0.2,11,136
2017-04-14,72,良,17,48,3,0.3,10,127
2017-04-15,104,轻度污染,22,43,3,0.4,8,165
2017-04-16,85,良,16,43,3,0.4,11,142
2017-04-17,94,良,17,53,3,0.3,11,153
2017-04-18,56,良,15,48,4,0.3,12,108
2017-04-19,54,良,20,58,4,0.4,9,93
2017-04-20,50,优,13,37,3,0.5,8,101
2017-04-21,55,良,16,45,4,0.4,7,106
2017-04-22,41,优,14,34,4,0.3,10,83
2017-04-23,47,优,14,35,4,0.4,8,95
2017-04-24,46,优,12,29,4,0.4,8,92
2017-04-25,46,优,10,24,4,0.4,11,92
2017-04-26,44,优,13,27,3,0.5,9,88
2017-04-27,57,良,13,21,3,0.5,11,109
2017-04-28,67,良,10,20,3,0.5,7,121
2017-04-29,80,良,11,25,3,0.6,11,137
2017-04-30,84,良,12,25,3,0.4,10,141
2017-05-01,62,良,13,30,4,0.4,10,115
2017-05-02,60,良,12,29,4,0.5,14,113
2017-05-03,67,良,11,27,3,0.4,11,121
2017-05-04,49,优,10,19,3,0.4,16,98
2017-05-05,62,良,7,26,1,0.4,15,115
2017-05-06,57,良,7,24,2,0.4,12,109
2017-05-07,68,良,13,31,4,0.4,10,122
2017-05-08,64,良,16,48,4,0.4,12,117
2017-05-09,60,良,17,65,3,0.4,12,112
2017-05-10,75,良,17,34,3,0.5,9,131
2017-05-11,67,良,14,27,3,0.5,12,121
2017-05-12,70,良,12,33,4,0.4,9,125
2017-05-13,61,良,19,48,4,0.5,9,114
2017-05-14,66,良,17,38,4,0.4,9,120
2017-05-15,64,良,21,71,3,0.5,11,117
2017-05-16,60,良,19,44,4,0.4,9,113
2017-05-17,55,良,15,42,3,0.5,8,107
2017-05-18,51,良,16,33,3,0.5,7,102
2017-05-19,44,优,15,26,3,0.5,7,88
2017-05-20,51,良,15,33,4,0.5,7,102
2017-05-21,64,良,16,33,3,0.5,7,117
2017-05-22,66,良,16,37,4,0.5,9,120
2017-05-23,60,良,14,35,3,0.4,9,112
2017-05-24,54,良,15,31,3,0.5,9,105
2017-05-25,53,良,14,36,4,0.4,10,104
2017-05-26,49,优,21,45,4,0.4,10,98
2017-05-27,62,良,16,29,4,0.5,9,115
2017-05-28,60,良,19,41,3,0.5,10,113
2017-05-29,63,良,21,44,4,0.5,9,116
2017-05-30,43,优,23,30,4,0.5,10,87
2017-05-31,43,优,16,26,4,0.5,8,86
2017-06-01,50,优,16,33,4,0.4,7,101
2017-06-02,55,良,19,29,4,0.4,7,106
2017-06-03,77,良,14,24,4,0.3,8,133
2017-06-04,89,良,16,37,4,0.3,9,147
2017-06-05,80,良,14,45,4,0.4,12,137
2017-06-06,71,良,17,74,3,0.3,11,126
2017-06-07,53,良,12,44,3,0.2,8,104
2017-06-08,53,良,10,34,3,0.3,10,104
2017-06-09,46,优,9,29,4,0.3,8,93
2017-06-10,55,良,10,37,3,0.3,7,106
2017-06-11,53,良,9,35,3,0.3,8,104
2017-06-12,33,优,6,18,3,0.3,11,67
2017-06-13,34,优,5,12,4,0.3,8,69
2017-06-14,43,优,5,12,3,0.3,8,86
2017-06-15,70,良,6,19,3,0.3,8,125
2017-06-16,54,良,6,16,4,0.3,7,105
2017-06-17,38,优,6,18,3,0.3,8,77
2017-06-18,36,优,5,15,4,0.4,9,72
2017-06-19,65,良,5,13,3,0.3,9,118
2017-06-20,47,优,7,19,3,0.4,11,95
2017-06-21,44,优,5,22,3,0.3,9,89
2017-06-22,43,优,5,17,3,0.3,9,86
2017-06-23,37,优,8,27,3,0.3,13,75
2017-06-24,32,优,7,22,3,0.4,15,64
2017-06-25,33,优,8,21,4,0.4,14,66
2017-06-26,41,优,6,24,3,0.3,8,82
2017-06-27,42,优,6,35,4,0.3,8,84
2017-06-28,35,优,6,26,4,0.3,8,70
2017-06-29,34,优,6,15,3,0.3,10,68
2017-06-30,18,优,7,18,2,0.3,12,34
2017-07-01,23,优,6,20,3,0.2,9,47
2017-07-02,22,优,7,22,3,0.2,10,41
2017-07-03,22,优,4,17,3,0.2,10,44
2017-07-04,23,优,4,17,3,0.3,8,46
2017-07-05,28,优,6,23,3,0.2,10,57
2017-07-06,25,优,6,20,4,0.3,9,51
2017-07-07,18,优,7,18,4,0.3,10,36
2017-07-08,17,优,7,17,4,0.3,13,25
2017-07-09,26,优,8,26,4,0.3,11,41
2017-07-10,37,优,5,20,4,0.2,10,74
2017-07-11,48,优,8,34,4,0.3,9,97
2017-07-12,52,良,13,46,4,0.3,9,103
2017-07-13,45,优,11,43,4,0.3,9,91
