»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,76,¡º,43,101,18,0.5,14,92
2015-01-01,91,¡º,68,130,24,0.8,20,80
2015-01-02,73,¡º,46,96,19,0.8,20,94
2015-01-03,64,¡º,44,78,22,0.7,20,84
2015-01-04,113,«·∂»Œ€»æ,85,107,27,0.8,22,90
2015-01-05,68,¡º,39,85,17,0.5,13,106
2015-01-06,60,¡º,33,71,15,0.3,11,102
2015-01-07,55,¡º,33,50,19,0.4,11,106
2015-01-08,54,¡º,22,46,17,0.3,8,105
2015-01-09,60,¡º,43,62,29,0.5,15,96
2015-01-10,71,¡º,52,73,37,0.6,16,86
2015-01-11,67,¡º,48,75,31,0.6,17,80
2015-01-12,55,¡º,27,60,19,0.3,12,60
2015-01-14,53,¡º,31,55,15,0.8,15,82
2015-01-15,61,¡º,39,73,23,0.6,16,93
2015-01-16,73,¡º,46,97,27,0.6,17,90
2015-01-17,98,¡º,43,147,17,0.3,9,102
2015-01-18,69,¡º,41,88,27,0.5,12,90
2015-01-19,58,¡º,37,65,29,0.5,11,88
2015-01-20,62,¡º,42,74,32,0.5,13,97
2015-01-21,68,¡º,45,86,40,0.6,15,89
2015-01-22,73,¡º,49,97,39,0.6,16,91
2015-01-23,85,¡º,39,119,34,0.6,17,99
2015-01-24,68,¡º,42,87,23,0.7,15,94
2015-01-25,79,¡º,56,108,26,0.8,18,74
2015-01-26,137,«·∂»Œ€»æ,63,224,24,0.7,17,79
2015-01-27,91,¡º,42,132,21,0.7,16,86
2015-01-28,87,¡º,45,124,25,0.6,15,94
2015-01-29,84,¡º,40,119,20,0.5,12,92
2015-01-30,78,¡º,38,106,17,0.5,11,80
2015-01-31,64,¡º,39,78,28,0.5,12,105
2015-02-01,62,¡º,41,73,28,0.5,14,101
2015-02-02,59,¡º,36,67,24,0.5,13,99
2015-02-03,62,¡º,37,74,31,0.6,14,90
2015-02-04,55,¡º,29,61,28,0.5,11,92
2015-02-05,69,¡º,30,88,17,0.3,10,105
2015-02-06,84,¡º,40,117,27,0.4,12,86
2015-02-07,97,¡º,52,145,26,0.5,14,85
2015-02-08,74,¡º,44,97,36,0.4,10,78
2015-02-09,70,¡º,40,90,35,0.5,14,87
