»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,127,«·∂»Œ€»æ,97,174,63,1.5,75,108
2013-12-03,147,«·∂»Œ€»æ,113,185,55,1.5,78,107
2013-12-04,145,«·∂»Œ€»æ,111,196,73,1.2,68,143
2013-12-05,151,÷–∂»Œ€»æ,115,177,94,1.3,88,124
2013-12-06,145,«·∂»Œ€»æ,111,156,62,1.1,58,128
2013-12-07,178,÷–∂»Œ€»æ,135,195,66,1.2,70,126
2013-12-08,199,÷–∂»Œ€»æ,150,198,43,1.3,67,131
2013-12-09,217,÷ÿ∂»Œ€»æ,167,215,77,1.6,51,131
2013-12-10,130,«·∂»Œ€»æ,99,132,55,1.2,46,106
2013-12-11,128,«·∂»Œ€»æ,98,126,67,1.1,43,61
2013-12-12,140,«·∂»Œ€»æ,107,132,62,1.1,42,59
2013-12-13,171,÷–∂»Œ€»æ,130,161,56,1.1,49,90
2013-12-14,136,«·∂»Œ€»æ,103,99,23,1.2,34,57
2013-12-15,64,¡º,46,52,31,1.3,33,64
2013-12-16,46,”≈,32,42,54,1.2,36,64
2013-12-17,61,¡º,43,52,41,1,28,76
2013-12-18,82,¡º,60,73,37,0.9,31,88
2013-12-19,93,¡º,69,89,39,1,37,96
2013-12-20,120,«·∂»Œ€»æ,91,107,41,1,36,112
2013-12-21,167,÷–∂»Œ€»æ,127,146,52,1.4,41,120
2013-12-22,209,÷ÿ∂»Œ€»æ,159,184,49,1.6,51,129
2013-12-23,207,÷ÿ∂»Œ€»æ,157,187,72,1.5,59,124
2013-12-24,162,÷–∂»Œ€»æ,124,139,55,1.2,48,128
2013-12-25,184,÷–∂»Œ€»æ,138,165,63,1.4,60,131
2013-12-26,195,÷–∂»Œ€»æ,146,165,81,1.4,47,122
2013-12-27,122,«·∂»Œ€»æ,93,114,47,0.9,34,112
2013-12-28,90,¡º,67,90,41,0.8,36,109
2013-12-29,83,¡º,62,86,38,0.8,35,116
2013-12-30,134,«·∂»Œ€»æ,102,143,71,1.3,56,113
2013-12-31,171,÷–∂»Œ€»æ,130,173,70,1.5,67,117
2014-01-01,208,÷ÿ∂»Œ€»æ,158,203,77,1.8,77,111
2014-01-02,234,÷ÿ∂»Œ€»æ,184,224,71,1.7,85,95
2014-01-03,206,÷ÿ∂»Œ€»æ,156,191,64,1.4,59,152
2014-01-04,194,÷–∂»Œ€»æ,146,176,56,1.3,56,150
2014-01-05,215,÷ÿ∂»Œ€»æ,165,236,65,1.6,83,130
2014-01-06,299,÷ÿ∂»Œ€»æ,249,343,77,2.1,107,75
2014-01-07,160,÷–∂»Œ€»æ,122,142,28,1.3,44,88
2014-01-08,84,¡º,62,71,42,1.6,32,65
2014-01-09,109,«·∂»Œ€»æ,82,97,44,1.4,30,83
2014-01-10,170,÷–∂»Œ€»æ,129,151,31,1.7,38,67
2014-01-11,96,¡º,72,76,37,2,31,15
2014-01-12,56,¡º,40,53,33,1.8,26,44
2014-01-13,83,¡º,62,70,62,1.8,36,80
2014-01-14,144,«·∂»Œ€»æ,110,142,54,1.9,51,76
2014-01-15,153,÷–∂»Œ€»æ,117,144,53,1.5,54,97
2014-01-16,190,÷–∂»Œ€»æ,143,189,65,1.6,70,117
2014-01-17,186,÷–∂»Œ€»æ,140,174,56,1.3,60,109
2014-01-18,154,÷–∂»Œ€»æ,118,144,38,1.1,47,133
2014-01-19,185,÷–∂»Œ€»æ,140,188,43,1.5,78,135
2014-01-20,200,÷–∂»Œ€»æ,150,194,59,1.6,65,139
2014-01-21,139,«·∂»Œ€»æ,106,149,41,0.8,42,104
2014-01-22,122,«·∂»Œ€»æ,92,138,38,0.9,54,138
2014-01-23,177,÷–∂»Œ€»æ,134,183,40,1.2,74,162
2014-01-24,156,÷–∂»Œ€»æ,119,161,26,0.9,64,118
2014-01-25,273,÷ÿ∂»Œ€»æ,223,246,37,1.4,69,56
2014-01-26,262,÷ÿ∂»Œ€»æ,212,218,34,1.2,46,104
