»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,104,«·∂»Œ€»æ,79,117,57,1.3,64,80
2013-12-03,151,÷–∂»Œ€»æ,116,152,86,1.4,75,61
2013-12-04,190,÷–∂»Œ€»æ,143,194,80,1.4,77,67
2013-12-05,198,÷–∂»Œ€»æ,149,187,75,1.4,79,71
2013-12-06,244,÷ÿ∂»Œ€»æ,194,254,98,1.7,82,38
2013-12-07,249,÷ÿ∂»Œ€»æ,199,255,67,2.2,77,67
2013-12-08,226,÷ÿ∂»Œ€»æ,176,222,60,1.7,66,87
2013-12-09,143,«·∂»Œ€»æ,109,177,46,0.8,48,57
2013-12-10,130,«·∂»Œ€»æ,99,139,55,1,52,49
2013-12-11,146,«·∂»Œ€»æ,112,152,55,1,62,42
2013-12-12,136,«·∂»Œ€»æ,103,145,65,1.1,70,14
2013-12-13,151,÷–∂»Œ€»æ,116,155,56,1.2,61,49
2013-12-14,228,÷ÿ∂»Œ€»æ,178,218,68,1.4,87,19
2013-12-15,240,÷ÿ∂»Œ€»æ,190,220,32,1.2,67,13
2013-12-16,175,÷–∂»Œ€»æ,132,168,21,0.9,38,29
2013-12-17,54,¡º,25,58,11,0.6,24,22
2013-12-18,73,¡º,54,51,23,0.7,35,27
2013-12-19,164,÷–∂»Œ€»æ,125,145,45,1,52,44
2013-12-20,201,÷ÿ∂»Œ€»æ,151,178,44,1.3,55,54
2013-12-21,253,÷ÿ∂»Œ€»æ,203,253,58,1.6,68,39
2013-12-22,214,÷ÿ∂»Œ€»æ,164,210,61,1.5,68,39
2013-12-23,171,÷–∂»Œ€»æ,129,168,64,1.3,69,32
2013-12-24,168,÷–∂»Œ€»æ,128,167,62,1.2,68,41
2013-12-25,199,÷–∂»Œ€»æ,149,196,72,1.4,78,42
2013-12-26,193,÷–∂»Œ€»æ,145,196,68,1.2,69,35
2013-12-27,129,«·∂»Œ€»æ,98,145,42,0.9,49,39
2013-12-28,102,«·∂»Œ€»æ,76,114,70,0.8,61,28
2013-12-29,155,÷–∂»Œ€»æ,119,162,73,1.3,74,41
2013-12-30,177,÷–∂»Œ€»æ,134,182,90,2,89,31
2013-12-31,198,÷–∂»Œ€»æ,149,197,90,2.4,80,35
2014-01-01,197,÷–∂»Œ€»æ,148,195,76,2.3,79,51
2014-01-02,190,÷–∂»Œ€»æ,143,189,99,1.9,93,47
2014-01-03,298,÷ÿ∂»Œ€»æ,248,299,111,1.8,91,21
2014-01-04,200,÷–∂»Œ€»æ,150,222,88,1.7,85,53
2014-01-05,163,÷–∂»Œ€»æ,124,181,69,1.4,70,64
2014-01-06,182,÷–∂»Œ€»æ,138,177,71,1.3,64,44
2014-01-07,238,÷ÿ∂»Œ€»æ,188,228,42,1.6,61,18
2014-01-08,188,÷–∂»Œ€»æ,142,165,41,1.2,39,32
2014-01-09,176,÷–∂»Œ€»æ,133,160,40,1.3,40,32
2014-01-10,136,«·∂»Œ€»æ,104,122,35,1.2,41,15
2014-01-11,75,¡º,55,74,23,0.9,41,12
2014-01-12,141,«·∂»Œ€»æ,107,139,46,0.9,45,36
2014-01-13,196,÷–∂»Œ€»æ,147,177,71,1.4,64,25
2014-01-14,180,÷–∂»Œ€»æ,136,167,41,1.6,50,50
2014-01-15,159,÷–∂»Œ€»æ,121,152,43,1.1,45,61
2014-01-16,164,÷–∂»Œ€»æ,125,162,64,1.2,60,69
2014-01-17,243,÷ÿ∂»Œ€»æ,193,239,66,1.2,61,77
2014-01-18,221,÷ÿ∂»Œ€»æ,171,223,49,1.1,58,74
2014-01-19,196,÷–∂»Œ€»æ,147,190,56,1.4,69,73
2014-01-20,195,÷–∂»Œ€»æ,147,211,58,1,57,70
2014-01-21,99,¡º,74,139,31,0.8,44,44
2014-01-22,98,¡º,73,123,40,0.9,45,68
2014-01-23,113,«·∂»Œ€»æ,85,123,46,1.1,45,82
2014-01-24,128,«·∂»Œ€»æ,98,139,38,1.1,40,102
2014-01-25,232,÷ÿ∂»Œ€»æ,182,236,72,1.7,69,59
2014-01-26,318,—œ÷ÿŒ€»æ,268,326,83,2.1,72,43
2014-01-27,356,—œ÷ÿŒ€»æ,306,363,56,2.7,75,73
2014-01-28,315,—œ÷ÿŒ€»æ,265,313,60,1.9,61,44
2014-01-29,319,—œ÷ÿŒ€»æ,269,316,55,1.8,45,27
2014-01-30,304,—œ÷ÿŒ€»æ,254,285,49,2.1,47,80
2014-01-31,365,—œ÷ÿŒ€»æ,315,303,80,1.5,37,95
2014-02-01,105,«·∂»Œ€»æ,79,99,34,0.9,34,84
2014-02-02,120,«·∂»Œ€»æ,91,119,41,1.1,48,79
2014-02-03,176,÷–∂»Œ€»æ,133,169,33,1.6,38,42
2014-02-04,95,¡º,71,100,27,1.4,28,29
2014-02-05,44,”≈,28,44,18,0.7,23,13
2014-02-06,35,”≈,18,35,19,0.6,21,15
2014-02-07,102,«·∂»Œ€»æ,77,100,37,0.7,25,19
2014-02-08,66,¡º,48,60,20,0.7,21,21
2014-02-09,76,¡º,55,63,21,0.9,22,32
2014-02-10,129,«·∂»Œ€»æ,98,112,37,1,24,35
2014-02-11,106,«·∂»Œ€»æ,80,101,55,0.8,27,49
2014-02-12,115,«·∂»Œ€»æ,87,102,32,0.8,30,42
2014-02-13,118,«·∂»Œ€»æ,89,107,43,0.7,28,45
2014-02-14,148,«·∂»Œ€»æ,113,130,41,0.9,39,44
2014-02-15,110,«·∂»Œ€»æ,83,100,25,0.9,36,39
2014-02-16,102,«·∂»Œ€»æ,77,97,20,0.8,37,20
2014-02-17,81,¡º,60,77,13,0.9,36,12
2014-02-18,55,¡º,39,46,21,1.1,34,21
2014-02-19,63,¡º,45,56,33,0.6,27,57
2014-02-20,62,¡º,44,61,29,0.9,28,44
2014-02-21,80,¡º,59,99,44,1.1,56,57
2014-02-22,122,«·∂»Œ€»æ,92,136,80,1.4,74,41
2014-02-23,236,÷ÿ∂»Œ€»æ,186,235,61,1.5,78,7
2014-02-24,89,¡º,66,99,17,1.2,56,20
2014-02-25,58,¡º,41,51,22,1.2,38,12
2014-02-26,124,«·∂»Œ€»æ,94,129,31,1.1,42,25
2014-02-27,110,«·∂»Œ€»æ,83,119,34,1.3,53,12
2014-02-28,42,”≈,25,42,29,1.1,43,3
2014-03-01,56,¡º,40,54,23,0.7,33,8
2014-03-02,76,¡º,56,76,24,0.8,36,8
2014-03-03,58,¡º,41,59,17,0.9,29,22
2014-03-04,117,«·∂»Œ€»æ,89,116,36,1,39,24
2014-03-05,133,«·∂»Œ€»æ,102,143,35,1.3,41,38
2014-03-06,59,¡º,43,66,18,0.7,27,40
2014-03-07,29,”≈,20,28,14,0.5,19,37
2014-03-08,38,”≈,26,38,22,0.6,29,31
2014-03-09,65,¡º,47,68,33,1.1,39,51
2014-03-10,92,¡º,69,95,43,1.1,41,51
2014-03-11,71,¡º,52,67,24,1,33,32
2014-03-12,65,¡º,47,65,26,1,37,19
2014-03-13,145,«·∂»Œ€»æ,111,191,38,0.9,40,29
2014-03-14,134,«·∂»Œ€»æ,102,153,57,1.2,61,39
2014-03-15,125,«·∂»Œ€»æ,95,124,39,1.2,41,52
2014-03-16,66,¡º,48,82,26,0.9,27,53
2014-03-17,60,¡º,41,71,38,1.2,33,73
2014-03-18,72,¡º,48,94,30,1.2,27,80
2014-03-19,150,«·∂»Œ€»æ,115,156,42,1.1,37,55
2014-03-20,93,¡º,69,119,22,0.7,24,50
2014-03-21,64,¡º,46,75,25,0.7,31,82
2014-03-22,92,¡º,69,112,57,1.1,52,83
2014-03-23,140,«·∂»Œ€»æ,107,138,46,1.5,58,42
2014-03-24,99,¡º,74,96,40,1.4,45,54
2014-03-25,103,«·∂»Œ€»æ,78,111,42,1.4,41,79
2014-03-26,92,¡º,69,103,52,1.5,48,65
2014-03-27,57,¡º,41,59,25,1,41,42
2014-03-28,53,¡º,35,55,24,1,34,62
2014-03-29,61,¡º,42,73,52,0.9,39,112
2014-03-30,94,¡º,70,101,34,0.9,40,66
2014-03-31,78,¡º,57,89,26,0.8,30,85
2014-04-01,95,¡º,71,118,70,0.9,57,79
2014-04-02,144,«·∂»Œ€»æ,111,168,115,1.6,83,45
2014-04-03,167,÷–∂»Œ€»æ,127,189,70,1.4,76,80
2014-04-04,106,«·∂»Œ€»æ,80,127,50,0.9,45,129
2014-04-05,138,«·∂»Œ€»æ,105,157,44,1.3,62,117
2014-04-06,102,«·∂»Œ€»æ,77,110,16,0.8,32,78
2014-04-07,116,«·∂»Œ€»æ,87,115,58,1.2,39,71
2014-04-08,108,«·∂»Œ€»æ,82,115,49,1.8,51,80
2014-04-09,112,«·∂»Œ€»æ,85,130,41,2,49,108
2014-04-10,88,¡º,65,104,42,1.2,45,80
2014-04-11,73,¡º,53,86,25,1.2,29,78
2014-04-12,61,¡º,44,71,35,1,31,58
2014-04-13,83,¡º,62,94,24,0.8,27,106
2014-04-14,63,¡º,45,73,28,0.9,33,102
2014-04-15,76,¡º,56,82,36,1.1,27,96
2014-04-16,111,«·∂»Œ€»æ,84,133,58,1,42,80
2014-04-17,80,¡º,59,98,44,1,41,76
2014-04-18,96,¡º,72,119,64,1.1,50,103
2014-04-19,61,¡º,41,73,26,0.7,22,55
2014-04-20,55,¡º,37,59,24,0.6,23,57
2014-04-21,60,¡º,37,69,24,0.8,35,37
2014-04-22,58,¡º,41,67,29,0.7,30,68
2014-04-23,58,¡º,41,67,18,1,36,42
2014-04-24,43,”≈,29,43,13,0.9,33,32
2014-04-25,42,”≈,26,42,22,1.1,40,10
2014-04-26,55,¡º,31,59,40,0.9,37,27
2014-04-27,70,¡º,45,89,42,0.7,32,95
2014-04-28,85,¡º,56,121,48,0.8,48,103
2014-04-29,112,«·∂»Œ€»æ,84,140,70,1.2,71,47
2014-04-30,105,«·∂»Œ€»æ,79,123,55,1.3,59,89
2014-05-01,83,¡º,61,94,38,1.1,50,123
2014-05-02,86,¡º,61,123,44,0.8,53,133
2014-05-03,108,«·∂»Œ€»æ,68,165,72,0.7,51,101
2014-05-04,68,¡º,46,86,21,0.6,29,66
2014-05-05,72,¡º,53,92,26,0.6,31,89
2014-05-06,83,¡º,62,112,44,0.9,42,133
2014-05-07,93,¡º,69,93,40,0.9,27,104
2014-05-08,65,¡º,47,80,28,0.8,29,71
2014-05-09,39,”≈,22,39,16,0.8,23,47
2014-05-10,45,”≈,28,45,23,0.9,25,41
2014-05-11,45,”≈,18,38,26,0.8,23,89
2014-05-12,73,¡º,42,68,38,1.2,38,128
2014-05-13,73,¡º,53,84,35,1.1,33,92
2014-05-14,108,«·∂»Œ€»æ,82,108,26,1,30,71
2014-05-15,73,¡º,50,96,53,0.7,33,92
2014-05-16,82,¡º,60,98,33,1,33,80
2014-05-17,118,«·∂»Œ€»æ,90,122,28,0.9,31,61
2014-05-18,150,«·∂»Œ€»æ,115,153,34,1,35,30
