»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,199,÷–∂»Œ€»æ,149,244,52,2.3,97,99
2014-01-01,216,÷ÿ∂»Œ€»æ,166,243,80,2.3,78,122
2014-01-02,264,÷ÿ∂»Œ€»æ,214,305,57,1.8,109,56
2014-01-03,304,—œ÷ÿŒ€»æ,254,333,92,1,82,119
2014-01-04,146,«·∂»Œ€»æ,112,155,52,1.2,45,116
2014-01-05,187,÷–∂»Œ€»æ,141,209,62,1.4,87,71
2014-01-06,262,÷ÿ∂»Œ€»æ,212,301,122,1.9,93,56
2014-01-07,266,÷ÿ∂»Œ€»æ,216,276,54,2.1,61,72
2014-01-08,87,¡º,64,60,31,1.4,24,55
2014-01-09,129,«·∂»Œ€»æ,98,106,37,1.3,22,134
2014-01-10,159,÷–∂»Œ€»æ,121,138,43,1.3,37,76
2014-01-11,55,¡º,39,47,21,1.4,30,34
2014-01-12,72,¡º,52,35,17,1,23,60
2014-01-13,111,«·∂»Œ€»æ,84,88,49,1.2,30,134
2014-01-14,149,«·∂»Œ€»æ,114,140,33,1.2,39,93
2014-01-15,140,«·∂»Œ€»æ,107,142,58,1.4,32,130
2014-01-16,129,«·∂»Œ€»æ,98,144,37,1.1,43,115
2014-01-17,153,÷–∂»Œ€»æ,117,151,58,1.4,40,130
2014-01-18,157,÷–∂»Œ€»æ,120,147,42,1.3,34,134
2014-01-19,201,÷ÿ∂»Œ€»æ,151,212,45,1.8,69,133
2014-01-20,155,÷–∂»Œ€»æ,118,179,51,1.3,40,119
2014-01-21,121,«·∂»Œ€»æ,92,149,59,1.4,34,88
2014-01-22,142,«·∂»Œ€»æ,108,178,45,1.5,53,124
2014-01-23,142,«·∂»Œ€»æ,109,162,36,1.8,57,120
2014-01-24,131,«·∂»Œ€»æ,100,152,37,1.5,52,127
2014-01-25,178,÷–∂»Œ€»æ,135,186,42,2,65,72
2014-01-26,235,÷ÿ∂»Œ€»æ,185,202,60,1.7,46,97
2014-01-27,299,÷ÿ∂»Œ€»æ,249,258,83,2.5,62,125
2014-01-28,301,—œ÷ÿŒ€»æ,251,263,29,2.4,75,57
2014-01-29,252,÷ÿ∂»Œ€»æ,202,184,51,2.6,51,105
2014-01-30,206,÷ÿ∂»Œ€»æ,156,184,32,1.6,31,96
2014-01-31,372,—œ÷ÿŒ€»æ,322,322,103,1.2,17,109
2014-02-01,80,¡º,59,70,13,0.8,20,100
2014-02-02,76,¡º,55,62,12,0.8,20,71
2014-02-03,81,¡º,60,65,25,0.9,19,89
2014-02-04,163,÷–∂»Œ€»æ,124,117,30,2.2,20,89
2014-02-05,83,¡º,61,72,19,1.9,26,61
2014-02-06,23,”≈,16,22,25,1,18,35
2014-02-07,41,”≈,29,21,10,0.9,17,22
2014-02-08,53,¡º,37,29,22,1,17,52
2014-02-09,27,”≈,19,13,10,1,12,54
