日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,90,良,67,124,21,2,66,78
2014-01-01,90,良,67,115,20,1.9,54,86
2014-01-02,114,轻度污染,86,138,20,2.3,66,81
2014-01-03,114,轻度污染,86,136,16,2.3,62,98
2014-01-04,116,轻度污染,88,129,20,2,59,121
2014-01-05,125,轻度污染,95,136,26,2.1,63,115
2014-01-06,165,中度污染,125,171,23,2.4,70,131
2014-01-07,147,轻度污染,112,177,21,2.5,72,85
2014-01-08,74,良,54,89,10,2.3,40,60
2014-01-09,69,良,50,52,7,2.3,27,59
2014-01-10,69,良,50,71,10,2.3,32,54
2014-01-11,80,良,59,108,15,2.2,43,92
2014-01-12,71,良,51,92,10,2.2,33,40
2014-01-13,46,优,32,42,6,2,21,41
2014-01-14,40,优,28,37,7,1.6,28,55
2014-01-15,64,良,46,64,21,0.8,33,82
2014-01-16,78,良,57,93,28,0.9,43,90
2014-01-17,81,良,60,96,18,1,44,89
2014-01-18,94,良,70,97,20,0.9,36,123
2014-01-19,113,轻度污染,85,120,20,1,46,125
2014-01-20,103,轻度污染,77,109,17,1,40,128
2014-01-21,127,轻度污染,97,129,29,1,42,116
2014-01-22,69,良,50,86,33,0.8,37,89
2014-01-23,74,良,54,87,24,0.8,41,96
2014-01-24,88,良,46,74,16,0.8,42,145
2014-01-25,57,良,40,65,12,0.8,43,77
2014-01-26,61,良,44,60,10,0.8,36,75
2014-01-27,144,轻度污染,110,129,11,1.2,28,137
2014-01-28,115,轻度污染,87,105,9,1.1,29,142
2014-01-29,94,良,70,85,7,1,24,133
2014-01-30,110,轻度污染,83,105,14,1,21,140
2014-01-31,183,中度污染,138,153,21,0.9,15,132
2014-02-01,55,良,39,49,7,0.8,13,103
2014-02-02,56,良,40,51,6,0.8,14,104
2014-02-03,68,良,45,58,8,0.8,19,121
2014-02-04,78,良,57,54,7,0.8,12,99
2014-02-05,48,优,13,18,22,0.8,9,95
2014-02-06,33,优,8,13,5,0.7,11,65
2014-02-07,28,优,15,23,4,0.9,16,55
2014-02-08,18,优,12,16,5,0.9,20,31
2014-02-09,12,优,4,6,12,0.9,16,23
2014-02-10,35,优,24,26,10,1.1,12,60
2014-02-11,51,良,35,37,10,0.8,14,53
2014-02-12,59,良,42,41,6,0.7,28,43
2014-02-13,34,优,24,24,5,0.7,16,38
2014-02-14,46,优,32,28,5,0.7,15,54
2014-02-15,52,良,37,45,6,0.9,23,36
2014-02-16,69,良,50,53,8,1.1,39,45
2014-02-17,57,良,39,64,16,1.4,33,88
2014-02-18,36,优,22,35,6,1,24,71
2014-02-19,30,优,10,14,10,0.8,17,59
2014-02-20,34,优,24,31,8,0.9,24,61
2014-02-21,54,良,36,58,13,0.8,24,101
2014-02-22,68,良,49,76,11,0.8,30,112
2014-02-23,65,良,46,80,11,0.9,34,109
2014-02-24,63,良,46,72,12,0.9,34,103
2014-02-25,69,良,50,86,10,0.8,33,87
2014-02-26,74,良,54,70,8,1,40,64
2014-02-27,44,优,26,44,16,1.1,29,87
2014-02-28,63,良,45,72,15,0.9,25,87
2014-03-01,71,良,52,86,10,1,44,52
2014-03-02,25,优,13,24,8,1.1,24,49
2014-03-03,36,优,25,34,13,1.1,29,44
2014-03-04,62,良,45,70,10,1.1,32,48
2014-03-05,29,优,15,29,13,1.1,25,18
2014-03-06,57,良,41,46,7,0.9,27,66
2014-03-07,26,优,17,26,7,0.7,20,49
2014-03-08,24,优,16,24,7,0.8,26,48
2014-03-09,20,优,8,18,5,0.8,20,40
2014-03-10,38,优,26,31,7,0.9,27,46
2014-03-11,39,优,27,31,7,0.9,29,71
2014-03-12,53,良,38,40,6,1.5,49,45
2014-03-13,54,良,24,34,7,1,22,105
2014-03-14,81,良,60,79,10,0.9,32,95
2014-03-15,90,良,67,91,13,1.1,35,42
2014-03-16,66,良,48,64,10,1.1,34,40
2014-03-17,78,良,57,101,12,1.3,40,102
2014-03-18,95,良,71,118,22,1.4,38,85
2014-03-19,85,良,63,114,11,1.2,32,100
2014-03-20,68,良,48,85,22,1.2,27,65
2014-03-21,41,优,28,41,7,0.8,21,63
2014-03-22,68,良,35,60,22,1,26,122
2014-03-23,65,良,39,78,15,0.8,30,118
2014-03-24,88,良,46,82,25,1,33,145
2014-03-25,82,良,52,90,14,0.9,34,138
2014-03-26,105,轻度污染,64,113,31,1.3,40,165
2014-03-27,79,良,58,106,13,0.9,29,135
2014-03-28,57,良,37,64,28,1.1,24,98
2014-03-29,53,良,34,57,11,0.8,20,56
2014-03-30,48,优,34,48,20,1,26,47
2014-03-31,44,优,15,23,7,0.8,16,88
2014-04-01,37,优,20,33,29,1.3,20,74
2014-04-02,49,优,34,40,14,1.1,27,70
2014-04-03,51,良,28,40,26,1.3,24,101
2014-04-04,63,良,45,66,9,1,23,95
2014-04-05,94,良,61,84,28,1.1,24,153
2014-04-06,87,良,65,85,12,0.9,22,122
2014-04-07,98,良,29,42,25,1.1,19,158
2014-04-08,49,优,26,45,12,0.9,21,98
2014-04-09,71,良,42,66,27,1.1,22,125
2014-04-10,105,轻度污染,52,72,13,0.9,17,166
2014-04-11,105,轻度污染,38,59,25,0.9,19,165
2014-04-12,59,良,41,68,12,0.8,20,102
2014-04-13,71,良,52,78,30,1.2,21,117
2014-04-14,55,良,39,61,9,1.1,21,86
2014-04-15,83,良,50,82,24,1,19,140
2014-04-16,89,良,43,74,22,1,26,147
2014-04-17,61,良,43,71,25,1,19,104
2014-04-18,88,良,51,87,16,0.9,23,145
2014-04-19,72,良,53,81,22,1,20,116
2014-04-20,76,良,48,77,13,1,21,131
2014-04-21,56,良,39,62,17,1,17,98
2014-04-22,52,良,32,54,9,1,20,64
2014-04-23,55,良,35,59,21,1.1,21,101
2014-04-24,72,良,53,78,10,1,20,109
2014-04-25,63,良,44,76,22,1.2,22,91
2014-04-26,57,良,40,62,11,0.8,18,93
2014-04-27,45,优,27,45,22,1,18,81
2014-04-28,74,良,25,44,8,1,20,129
2014-04-29,71,良,52,91,25,1.1,27,123
2014-04-30,50,优,30,41,6,0.8,28,99
2014-05-01,34,优,15,23,20,1,18,67
2014-05-02,72,良,19,40,10,0.9,15,126
2014-05-03,93,良,41,70,26,1,20,151
2014-05-04,78,良,40,63,11,0.8,15,134
2014-05-05,35,优,11,17,15,1,20,69
2014-05-06,41,优,25,41,10,0.8,17,81
2014-05-07,54,良,39,42,16,1.2,20,63
2014-05-08,38,优,21,35,10,0.8,15,75
2014-05-09,36,优,13,23,20,1.1,16,72
2014-05-10,42,优,21,38,8,0.8,16,83
2014-05-11,51,良,23,52,21,1.2,23,62
2014-05-12,39,优,20,39,11,1,25,47
2014-05-13,48,优,26,48,22,1.1,16,75
2014-05-14,44,优,18,44,9,0.8,14,67
2014-05-15,44,优,15,33,20,1.1,17,87
