日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,144,轻度污染,97,237,26,7,48,91
2015-01-01,101,轻度污染,76,130,22,3.4,27,91
2015-01-02,111,轻度污染,84,150,25,3.6,30,93
2015-01-03,121,轻度污染,92,166,25,3.7,36,126
2015-01-04,131,轻度污染,100,165,29,3.9,39,56
2015-01-05,140,轻度污染,107,171,30,4,35,31
2015-01-06,106,轻度污染,80,114,21,3.2,21,46
2015-01-07,82,良,61,76,26,1.7,16,27
2015-01-08,63,良,45,61,18,1.8,15,67
2015-01-09,95,良,71,101,35,1.5,24,63
2015-01-10,91,良,68,87,28,1.4,24,82
2015-01-11,52,良,37,43,18,1.2,20,64
2015-01-12,35,优,25,25,15,1.4,19,64
2015-01-13,47,优,30,38,24,1.5,20,94
2015-01-14,62,良,45,71,28,2,30,99
2015-01-15,77,良,56,98,22,2.3,32,66
2015-01-16,91,良,68,119,30,3.2,40,63
2015-01-17,98,良,74,116,20,2.6,32,87
2015-01-18,119,轻度污染,90,136,27,2.9,40,85
2015-01-19,119,轻度污染,91,147,28,3,46,96
2015-01-20,109,轻度污染,83,143,33,3.6,48,119
2015-01-21,142,轻度污染,109,164,29,3.3,50,111
2015-01-22,130,轻度污染,99,142,31,3,43,81
2015-01-23,113,轻度污染,85,137,30,3.1,49,87
2015-01-24,99,良,74,106,28,2.9,34,85
2015-01-25,112,轻度污染,85,118,26,3.8,41,101
2015-01-26,121,轻度污染,92,144,26,3,48,84
2015-01-27,144,轻度污染,110,164,33,1.3,41,50
2015-01-28,145,轻度污染,111,120,27,1.8,24,62
2015-01-29,82,良,60,74,21,1.6,24,80
2015-01-30,38,优,20,34,19,1.2,16,76
2015-01-31,44,优,30,44,18,1.1,15,32
2015-02-01,49,优,31,49,18,1.6,17,32
2015-02-02,62,良,43,74,23,2.1,29,64
2015-02-03,81,良,59,84,21,2.1,24,43
2015-02-04,39,优,25,39,20,1.1,19,33
2015-02-05,84,良,62,92,29,0.9,18,71
2015-02-06,109,轻度污染,82,127,31,1.3,31,80
2015-02-07,118,轻度污染,90,145,25,1.6,34,46
2015-02-08,103,轻度污染,78,145,25,1.6,36,97
2015-02-09,88,良,66,119,29,1.5,35,118
2015-02-10,112,轻度污染,85,136,31,1.5,29,97
2015-02-11,140,轻度污染,107,170,29,1.9,37,77
2015-02-12,160,中度污染,122,193,23,2.5,42,98
2015-02-13,118,轻度污染,90,152,25,2.1,47,91
2015-02-14,108,轻度污染,81,132,23,2.1,35,54
2015-02-15,71,良,52,89,19,2.5,27,72
2015-02-16,64,良,43,78,19,2,25,60
2015-02-17,64,良,46,78,18,1.3,24,91
2015-02-18,78,良,57,86,25,0.9,20,89
2015-02-19,104,轻度污染,78,114,29,0.7,10,84
2015-02-20,61,良,44,67,23,0.8,11,79
2015-02-21,52,良,29,55,16,0.8,13,71
2015-02-22,49,优,26,49,15,0.8,8,51
