日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,41,优,22,41,19,0.9,15,61
2015-01-01,56,良,40,61,27,1,15,55
2015-01-02,48,优,29,48,20,1,20,51
2015-01-03,50,优,35,45,30,1,24,52
2015-01-04,45,优,22,45,40,1,28,57
2015-01-05,39,优,20,39,59,1.2,29,56
2015-01-06,49,优,27,49,69,1,37,60
2015-01-07,56,良,36,63,48,1,30,52
2015-01-08,58,良,36,66,41,0.8,29,47
2015-01-09,27,优,13,15,23,0.6,24,54
2015-01-10,43,优,30,31,42,1.5,40,9
2015-01-11,36,优,22,36,29,1.1,30,52
2015-01-12,60,良,43,59,32,0.9,29,54
2015-01-13,63,良,46,58,27,0.9,28,31
2015-01-14,52,良,34,54,19,0.9,19,31
2015-01-15,60,良,33,69,37,0.9,24,32
2015-01-16,57,良,35,64,32,0.9,25,32
2015-01-17,43,优,22,43,27,0.8,19,25
2015-01-18,15,优,10,14,19,0.8,12,24
2015-01-19,33,优,23,33,36,1.2,19,21
2015-01-20,28,优,12,28,23,0.9,18,34
2015-01-21,55,良,29,60,24,1,23,35
2015-01-22,55,良,29,60,28,1,23,32
2015-01-23,43,优,18,43,31,0.9,23,42
2015-01-24,41,优,17,41,35,0.9,21,40
2015-01-25,41,优,22,41,24,1.1,20,38
2015-01-26,48,优,25,48,28,1.2,23,36
2015-01-27,49,优,24,49,30,1.3,23,40
2015-01-28,41,优,20,41,30,1.1,21,45
2015-01-29,42,优,21,42,22,0.7,24,48
2015-01-30,58,良,32,65,21,0.8,25,47
2015-01-31,39,优,22,39,14,0.6,16,43
2015-02-01,55,良,35,60,21,0.8,22,36
2015-02-02,38,优,24,38,12,0.7,17,38
2015-02-03,53,良,29,55,17,0.9,17,41
2015-02-04,54,良,27,57,29,0.8,27,36
2015-02-05,55,良,30,59,63,0.8,27,41
2015-02-06,36,优,20,36,22,0.7,16,44
2015-02-07,42,优,24,42,40,0.7,21,44
2015-02-08,51,良,31,52,29,0.8,20,37
2015-02-09,53,良,33,56,30,0.9,24,47
2015-02-10,54,良,30,59,31,0.9,29,55
2015-02-11,52,良,35,54,23,0.7,22,48
2015-02-12,56,良,38,61,29,0.8,23,44
2015-02-13,55,良,39,61,20,0.9,22,46
2015-02-14,27,优,15,27,14,0.6,10,48
2015-02-15,40,优,26,40,20,0.7,18,43
2015-02-16,43,优,28,43,18,0.8,20,44
2015-02-17,40,优,28,37,14,0.7,17,47
2015-02-18,50,优,32,50,13,0.7,12,50
2015-02-19,56,良,38,63,22,0.6,10,54
2015-02-20,41,优,28,41,10,0.6,11,50
2015-02-21,36,优,25,35,14,0.6,10,46
2015-02-22,34,优,19,34,14,0.6,7,53
2015-02-23,31,优,19,31,12,0.6,9,48
2015-02-24,35,优,22,35,14,0.7,13,52
2015-02-25,39,优,23,39,14,0.6,12,49
2015-02-26,52,良,32,54,17,0.6,17,56
2015-02-27,50,优,31,50,10,0.5,10,65
