»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,43,”≈,30,40,44,2.6,48,54
2015-01-01,61,¡º,44,63,56,3.3,58,32
2015-01-02,76,¡º,56,76,50,3.5,63,14
2015-01-03,104,«·∂»Œ€»æ,79,102,102,5.1,94,25
2015-01-04,97,¡º,72,87,93,4.4,92,18
2015-01-05,51,¡º,25,52,21,2.2,36,53
2015-01-06,39,”≈,24,39,41,2.6,51,32
2015-01-07,65,¡º,47,66,53,3.8,61,38
2015-01-08,78,¡º,52,106,44,3.5,64,42
2015-01-09,84,¡º,54,117,34,2.8,64,48
2015-01-10,101,«·∂»Œ€»æ,76,142,61,3.3,76,34
2015-01-11,97,¡º,72,127,44,3.1,72,40
2015-01-12,124,«·∂»Œ€»æ,94,154,69,3.6,67,73
2015-01-13,192,÷–∂»Œ€»æ,144,174,48,3,47,69
2015-01-14,98,¡º,73,117,27,1.7,50,61
2015-01-15,76,¡º,43,103,24,1.9,50,57
2015-01-16,53,¡º,23,56,14,2.2,46,63
2015-01-17,70,¡º,42,90,28,3,48,58
2015-01-18,59,¡º,30,69,22,2.4,29,73
2015-01-19,81,¡º,59,112,39,3.7,67,34
2015-01-20,71,¡º,35,93,26,2.7,44,63
2015-01-21,40,”≈,17,40,23,2.3,41,48
2015-01-22,74,¡º,43,99,39,3.5,61,43
2015-01-23,82,¡º,60,113,43,3.4,69,33
2015-01-24,94,¡º,69,138,49,3.5,69,33
2015-01-25,121,«·∂»Œ€»æ,92,133,39,3.5,61,32
2015-01-26,99,¡º,74,130,26,2.6,49,41
2015-01-27,55,¡º,27,59,28,2.1,43,47
2015-01-28,110,«·∂»Œ€»æ,83,99,36,3.1,40,29
2015-01-29,48,”≈,17,48,12,2.4,21,62
2015-01-30,55,¡º,35,61,24,2.7,43,46
2015-01-31,64,¡º,46,73,34,2.8,54,44
2015-02-01,148,«·∂»Œ€»æ,114,136,51,3.2,43,60
2015-02-02,120,«·∂»Œ€»æ,91,114,44,3.2,51,63
2015-02-03,96,¡º,72,94,20,2.8,40,72
2015-02-04,35,”≈,13,31,11,2,30,70
2015-02-05,40,”≈,18,40,24,1,46,50
2015-02-06,49,”≈,26,49,21,1.2,49,69
2015-02-07,37,”≈,12,30,16,1,37,73
2015-02-08,57,¡º,28,64,28,1.4,52,56
2015-02-09,80,¡º,59,110,48,2.1,64,55
2015-02-10,89,¡º,58,128,39,1.9,56,81
2015-02-11,99,¡º,51,148,24,1.5,45,67
2015-02-12,92,¡º,51,133,29,1.8,48,70
2015-02-13,65,¡º,36,80,27,1.8,47,63
2015-02-14,70,¡º,42,89,44,1.5,47,75
2015-02-15,138,«·∂»Œ€»æ,47,226,10,1.1,14,77
2015-02-16,110,«·∂»Œ€»æ,56,170,33,1.6,38,67
2015-02-17,69,¡º,41,89,26,1.8,39,69
2015-02-18,113,«·∂»Œ€»æ,85,132,45,1.9,34,107
2015-02-19,134,«·∂»Œ€»æ,102,121,25,1.9,22,99
2015-02-20,112,«·∂»Œ€»æ,84,106,16,1.8,23,60
2015-02-21,175,÷–∂»Œ€»æ,53,299,7,1.4,15,78
2015-02-22,72,¡º,23,93,17,1.5,21,67
2015-02-23,67,¡º,32,85,21,1.8,28,69
2015-02-24,130,«·∂»Œ€»æ,50,211,23,2.1,32,78
2015-02-25,71,¡º,23,91,11,1.5,17,76
2015-02-26,36,”≈,14,36,13,1.7,17,69
2015-02-27,104,«·∂»Œ€»æ,78,98,31,2.3,27,62
2015-02-28,68,¡º,20,85,16,1.9,23,74
2015-03-01,74,¡º,31,97,25,2.2,38,80
2015-03-02,132,«·∂»Œ€»æ,36,214,14,2,30,82
2015-03-03,49,”≈,15,49,9,1.9,18,78
2015-03-04,53,¡º,21,57,18,2.3,38,67
2015-03-05,67,¡º,48,77,23,2.3,32,61
2015-03-06,92,¡º,69,100,25,2.4,36,85
2015-03-07,89,¡º,57,128,33,2.8,60,79
2015-03-08,92,¡º,38,133,16,2.4,44,86
2015-03-09,44,”≈,13,44,17,2.1,27,75
2015-03-10,60,¡º,23,71,20,2.3,42,80
2015-03-11,54,¡º,22,58,23,2.4,41,84
2015-03-12,83,¡º,36,117,27,2.6,47,84
2015-03-13,66,¡º,28,82,16,2.3,39,78
2015-03-14,106,«·∂»Œ€»æ,40,163,12,2.1,23,88
2015-03-15,107,«·∂»Œ€»æ,50,165,16,2.5,46,80
2015-03-16,104,«·∂»Œ€»æ,60,157,16,2.6,47,76
2015-03-17,72,¡º,24,94,18,2.3,39,90
2015-03-18,76,¡º,28,103,8,2.2,29,88
2015-03-19,68,¡º,23,85,6,2.3,31,89
2015-03-20,131,«·∂»Œ€»æ,41,212,14,2.7,40,93
2015-03-21,103,«·∂»Œ€»æ,45,156,19,2.9,50,90
2015-03-22,82,¡º,31,115,22,2.9,46,83
2015-03-23,64,¡º,26,77,18,2.9,45,85
2015-03-24,83,¡º,34,117,19,2.8,48,91
2015-03-25,73,¡º,53,77,22,2.5,25,87
2015-03-26,71,¡º,52,65,19,2.7,37,93
2015-03-27,51,¡º,37,47,19,2.6,39,87
2015-03-28,124,«·∂»Œ€»æ,52,198,18,2.6,34,80
2015-03-29,110,«·∂»Œ€»æ,47,169,21,2.9,40,112
2015-03-30,70,¡º,45,91,25,2.9,26,113
2015-03-31,106,«·∂»Œ€»æ,66,162,33,3.3,36,123
2015-04-01,60,¡º,31,42,14,3.6,19,112
2015-04-02,36,”≈,14,20,13,3.6,23,70
2015-04-03,47,”≈,33,47,16,3.4,35,80
2015-04-04,51,¡º,16,53,11,3.1,18,80
2015-04-05,60,¡º,16,69,13,2.9,18,93
2015-04-06,46,”≈,22,46,21,3.1,28,89
2015-04-07,53,¡º,29,56,25,3,37,87
2015-04-08,51,¡º,36,52,18,3,26,85
2015-04-09,51,¡º,24,53,19,3.1,43,92
2015-04-10,72,¡º,23,93,20,3.2,45,102
2015-04-11,163,÷–∂»Œ€»æ,46,276,15,2.9,25,87
2015-04-12,61,¡º,15,72,14,3,13,88
2015-04-13,53,¡º,22,51,19,3.2,33,103
2015-04-14,61,¡º,28,73,23,3.6,56,91
2015-04-15,187,÷–∂»Œ€»æ,57,324,19,3.4,37,92
2015-04-16,92,¡º,35,134,15,3.2,29,90
2015-04-17,97,¡º,39,143,26,3.7,55,108
2015-04-18,87,¡º,49,123,23,3.9,44,75
2015-04-19,53,¡º,12,48,22,3.7,27,104
2015-04-20,57,¡º,17,64,21,3.7,42,106
2015-04-21,48,”≈,11,48,14,3.4,31,90
2015-04-22,56,¡º,16,62,16,3.6,42,104
2015-04-23,73,¡º,25,74,19,3.6,45,127
2015-04-24,70,¡º,25,89,22,3.2,42,115
2015-04-25,72,¡º,26,85,17,3.2,43,126
2015-04-26,72,¡º,25,61,15,3.2,34,126
2015-04-27,70,¡º,27,90,16,3.1,32,114
2015-04-28,74,¡º,22,68,15,3.1,33,129
2015-04-29,84,¡º,27,86,16,3.3,46,141
2015-04-30,85,¡º,59,120,19,3.3,22,131
2015-05-01,80,¡º,45,110,11,3,18,86
2015-05-02,68,¡º,38,85,14,3.1,38,116
2015-05-03,93,¡º,29,136,16,2.9,20,101
2015-05-04,65,¡º,15,60,16,3,30,118
2015-05-05,66,¡º,22,82,15,3,25,119
2015-05-06,85,¡º,27,120,14,3,42,97
2015-05-07,94,¡º,39,137,7,2.9,43,96
2015-05-08,73,¡º,27,96,5,2.8,28,113
2015-05-09,75,¡º,31,99,8,2.7,30,115
2015-05-10,141,«·∂»Œ€»æ,66,231,4,2.4,12,112
2015-05-11,55,¡º,18,60,3,2.2,15,99
2015-05-12,58,¡º,17,44,6,2.2,23,109
2015-05-13,74,¡º,30,97,9,2.4,41,100
2015-05-14,96,¡º,38,141,10,2.4,23,99
2015-05-15,68,¡º,22,86,7,2.4,20,101
2015-05-16,64,¡º,26,51,10,2.5,33,117
2015-05-17,110,«·∂»Œ€»æ,65,169,5,2.4,20,106
2015-05-18,62,¡º,38,74,7,2.5,17,103
2015-05-19,64,¡º,26,78,13,1.4,29,106
2015-05-20,70,¡º,18,52,14,0.4,29,124
2015-05-21,64,¡º,20,45,8,0.4,23,117
2015-05-22,96,¡º,20,44,8,0.5,29,155
2015-05-23,96,¡º,28,64,10,0.6,44,155
2015-05-24,96,¡º,30,83,8,0.6,38,155
2015-05-25,116,«·∂»Œ€»æ,42,91,10,0.6,39,178
2015-05-26,125,«·∂»Œ€»æ,49,94,14,0.8,49,188
2015-05-27,120,«·∂»Œ€»æ,37,83,14,0.7,41,182
2015-05-28,91,¡º,33,98,6,0.5,19,149
2015-05-29,68,¡º,29,63,8,0.6,25,122
2015-05-30,73,¡º,24,70,7,0.6,39,127
2015-05-31,82,¡º,17,63,8,0.5,26,138
2015-06-01,78,¡º,26,84,9,0.5,20,134
2015-06-02,59,¡º,17,66,9,0.4,23,111
2015-06-03,62,¡º,30,74,13,0.7,41,102
2015-06-04,92,¡º,38,134,5,0.5,21,112
2015-06-05,88,¡º,43,126,8,0.4,24,123
2015-06-06,69,¡º,29,88,7,0.4,34,116
2015-06-07,61,¡º,21,55,14,0.6,39,113
2015-06-08,82,¡º,20,59,11,0.6,42,138
2015-06-09,81,¡º,28,93,11,0.6,32,137
2015-06-10,150,«·∂»Œ€»æ,61,249,8,0.6,13,97
2015-06-11,54,¡º,21,51,4,0.6,18,105
2015-06-12,52,¡º,17,53,5,0.6,19,100
2015-06-13,80,¡º,23,37,8,0.7,23,136
2015-06-14,96,¡º,26,59,10,0.9,39,155
2015-06-15,97,¡º,30,73,8,0.8,16,156
2015-06-16,105,«·∂»Œ€»æ,38,51,6,0.8,14,165
2015-06-17,112,«·∂»Œ€»æ,33,74,9,0.8,44,173
2015-06-18,103,«·∂»Œ€»æ,16,56,21,0.5,26,163
2015-06-19,80,¡º,21,79,12,0.6,36,136
2015-06-20,82,¡º,20,57,19,0.6,21,138
2015-06-21,83,¡º,53,55,4,0.9,15,140
2015-06-22,115,«·∂»Œ€»æ,51,79,10,1.1,17,177
2015-06-23,94,¡º,48,72,9,1.1,21,153
2015-06-24,80,¡º,38,55,13,1.1,21,136
2015-06-25,101,«·∂»Œ€»æ,36,65,7,1.1,33,161
2015-06-26,113,«·∂»Œ€»æ,28,63,6,1.1,37,174
2015-06-27,106,«·∂»Œ€»æ,31,50,5,0.9,12,167
2015-06-28,90,¡º,47,59,4,1.2,14,148
2015-06-29,53,¡º,32,47,3,1.3,15,104
2015-06-30,74,¡º,21,50,4,1.2,28,129
2015-07-01,49,”≈,13,46,4,0.8,31,98
2015-07-02,66,¡º,13,48,8,1,31,119
2015-07-03,79,¡º,14,48,6,0.9,31,135
2015-07-04,73,¡º,29,60,9,1,18,128
2015-07-05,71,¡º,32,92,5,0.9,14,109
2015-07-06,74,¡º,31,53,8,1,16,129
2015-07-07,81,¡º,27,48,6,1,17,137
2015-07-08,100,¡º,41,80,10,1.2,39,160
2015-07-09,61,¡º,29,61,7,0.8,14,113
2015-07-10,90,¡º,49,70,4,0.7,20,148
2015-07-11,86,¡º,48,79,10,0.7,15,143
2015-07-12,86,¡º,47,82,13,0.7,25,143
2015-07-13,85,¡º,34,121,3,0.5,18,123
2015-07-14,88,¡º,25,90,6,0.6,28,145
2015-07-15,78,¡º,19,56,6,0.7,18,134
2015-07-16,59,¡º,16,51,7,0.7,15,111
2015-07-17,72,¡º,12,33,4,0.5,17,126
2015-07-18,86,¡º,15,32,3,0.5,16,143
2015-07-19,92,¡º,14,33,4,0.5,15,150
2015-07-20,82,¡º,25,54,6,0.6,18,138
2015-07-21,77,¡º,14,35,6,0.6,15,132
2015-07-22,71,¡º,14,30,4,0.5,18,125
2015-07-23,53,¡º,14,36,6,0.6,26,103
2015-07-24,82,¡º,20,49,8,0.8,38,138
2015-07-25,100,¡º,25,69,11,0.9,45,160
2015-07-26,122,«·∂»Œ€»æ,20,49,9,0.7,20,184
2015-07-27,106,«·∂»Œ€»æ,34,60,9,0.7,19,166
2015-07-28,102,«·∂»Œ€»æ,38,89,6,1.3,13,162
2015-07-29,96,¡º,24,47,4,1.2,18,155
2015-07-30,129,«·∂»Œ€»æ,31,78,7,1.3,41,191
2015-07-31,115,«·∂»Œ€»æ,33,80,6,1.4,35,176
2015-08-01,82,¡º,42,72,3,1.3,14,138
2015-08-02,74,¡º,20,34,2,1.2,14,128
2015-08-03,61,¡º,13,29,3,1.2,23,113
2015-08-04,66,¡º,16,37,3,1.2,34,119
2015-08-05,110,«·∂»Œ€»æ,20,59,6,1.2,32,171
2015-08-06,73,¡º,17,52,9,1.2,31,127
2015-08-07,94,¡º,26,65,8,1.3,35,152
2015-08-08,83,¡º,33,56,11,1.3,20,139
2015-08-09,87,¡º,37,64,11,1.3,27,144
2015-08-10,80,¡º,55,82,11,1.3,22,136
2015-08-11,50,”≈,35,50,5,0.7,24,99
2015-08-12,81,¡º,42,64,9,0.9,28,137
2015-08-13,64,¡º,31,77,5,0.8,38,92
2015-08-14,63,¡º,17,51,7,0.6,32,115
2015-08-15,76,¡º,27,74,7,0.8,49,131
2015-08-16,95,¡º,41,140,9,0.8,35,144
2015-08-17,99,¡º,40,147,6,0.4,20,120
2015-08-18,86,¡º,37,122,7,0.7,36,128
2015-08-19,65,¡º,15,43,5,0.6,23,118
2015-08-20,50,”≈,8,33,4,0.5,22,100
2015-08-21,66,¡º,16,62,8,0.6,38,119
2015-08-22,67,¡º,22,70,11,0.6,38,120
2015-08-23,84,¡º,20,68,10,0.6,31,140
2015-08-24,85,¡º,20,48,7,0.6,16,142
2015-08-25,91,¡º,21,38,9,0.6,19,149
2015-08-26,89,¡º,24,45,10,0.8,25,146
2015-08-27,100,¡º,30,69,9,0.9,47,160
2015-08-28,73,¡º,30,84,10,0.9,54,127
2015-08-29,95,¡º,24,72,7,0.8,41,153
2015-08-30,96,¡º,19,59,7,0.7,35,155
2015-08-31,75,¡º,20,53,10,0.7,37,129
2015-09-01,92,¡º,20,52,9,0.7,28,150
2015-09-02,69,¡º,11,37,5,0.7,28,122
2015-09-03,70,¡º,17,40,11,0.7,18,123
2015-09-04,70,¡º,20,40,3,0.9,22,123
2015-09-05,75,¡º,18,67,6,0.7,21,130
2015-09-06,80,¡º,15,29,6,0.8,24,135
2015-09-07,85,¡º,27,57,8,1.1,35,142
2015-09-08,67,¡º,46,68,13,1.2,27,120
2015-09-09,46,”≈,27,39,6,1,28,92
2015-09-10,38,”≈,17,30,6,1,25,75
2015-09-11,47,”≈,6,19,3,0.6,16,93
2015-09-12,50,”≈,10,39,6,0.7,29,99
2015-09-13,66,¡º,21,75,12,0.9,38,119
2015-09-14,67,¡º,22,62,10,0.9,33,120
2015-09-15,75,¡º,35,59,16,0.8,18,130
2015-09-16,78,¡º,44,71,13,0.9,22,133
2015-09-17,98,¡º,73,68,7,1,32,92
2015-09-18,68,¡º,46,86,8,1,40,110
2015-09-19,76,¡º,42,87,11,0.7,33,131
2015-09-20,89,¡º,66,91,6,0.8,19,129
2015-09-21,95,¡º,71,110,12,0.9,19,146
2015-09-22,75,¡º,15,49,4,0.5,26,130
2015-09-23,56,¡º,22,62,5,0.6,37,82
2015-09-24,73,¡º,12,38,6,0.4,21,127
2015-09-25,64,¡º,19,77,8,0.5,33,97
2015-09-26,69,¡º,27,88,9,0.8,38,120
2015-09-27,85,¡º,42,67,8,0.7,23,141
2015-09-28,55,¡º,32,39,4,0.8,23,106
