日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,182,中度污染,137,209,67,1.9,91,50
2015-01-01,159,中度污染,121,161,50,1.5,46,49
2015-01-02,115,轻度污染,87,106,27,1.4,36,61
2015-01-03,128,轻度污染,97,114,22,1.6,40,40
2015-01-04,116,轻度污染,88,123,44,2,51,72
2015-01-05,44,优,31,39,20,1.6,22,59
2015-01-06,41,优,28,40,11,0.9,16,82
2015-01-07,71,良,52,72,30,1.2,29,73
2015-01-08,50,优,35,47,22,1.3,24,48
2015-01-09,30,优,18,23,15,1.3,28,59
2015-01-10,48,优,34,48,22,1.4,34,42
2015-01-11,30,优,21,25,18,1.3,26,37
2015-01-12,35,优,25,31,17,1.3,26,60
2015-01-13,112,轻度污染,84,158,32,1.9,35,59
2015-01-14,131,轻度污染,100,134,28,1.5,38,61
2015-01-15,123,轻度污染,94,117,28,1.5,30,43
2015-01-16,60,良,43,56,22,1.5,35,42
2015-01-17,118,轻度污染,89,110,30,1.8,40,26
2015-01-18,20,优,14,17,24,1.4,31,37
2015-01-19,74,良,54,73,26,1.4,35,46
2015-01-20,61,良,44,56,25,1.5,32,43
2015-01-21,69,良,51,70,24,1.5,32,74
2015-01-22,123,轻度污染,93,137,36,2,38,77
2015-01-23,150,轻度污染,115,151,36,1.7,39,76
2015-01-24,138,轻度污染,105,127,28,1.4,26,72
2015-01-25,125,轻度污染,95,115,30,1.4,35,80
2015-01-26,121,轻度污染,91,116,20,1.4,28,61
2015-01-27,56,良,40,49,18,1.6,27,42
2015-01-28,28,优,20,27,25,1.7,28,23
2015-01-29,16,优,11,16,15,1.3,22,29
2015-01-30,24,优,17,21,23,1.2,23,43
2015-01-31,44,优,31,38,25,1.1,26,28
2015-02-01,60,良,43,54,27,1.3,29,26
2015-02-02,76,良,56,69,20,1.4,35,18
2015-02-03,35,优,24,28,39,1.3,29,29
2015-02-04,45,优,32,45,21,1.1,26,65
2015-02-05,61,良,44,62,18,1,27,77
2015-02-06,89,良,66,83,31,1.2,30,54
2015-02-07,32,优,22,28,16,1,23,64
2015-02-08,61,良,44,56,15,1.2,24,68
2015-02-09,52,良,37,45,25,1.1,33,54
2015-02-10,64,良,46,56,18,1.2,33,53
2015-02-11,61,良,44,58,16,1.3,35,87
