»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,117,«·∂»Œ€»æ,89,142,59,0.8,52,113
2015-01-01,87,¡º,61,124,56,0.7,37,84
2015-01-02,106,«·∂»Œ€»æ,80,135,69,0.9,48,96
2015-01-03,162,÷–∂»Œ€»æ,123,181,127,1.2,65,76
2015-01-04,142,«·∂»Œ€»æ,109,150,76,1,56,97
2015-01-05,187,÷–∂»Œ€»æ,141,186,86,1.6,82,86
2015-01-06,167,÷–∂»Œ€»æ,127,156,51,1.1,42,56
2015-01-07,103,«·∂»Œ€»æ,77,91,39,1.3,32,40
2015-01-08,123,«·∂»Œ€»æ,94,124,60,1.3,42,75
2015-01-09,144,«·∂»Œ€»æ,110,141,69,1.4,44,68
2015-01-10,78,¡º,58,69,40,0.8,27,69
2015-01-11,80,¡º,59,73,49,0.8,33,43
2015-01-12,98,¡º,74,86,43,0.8,32,51
2015-01-13,125,«·∂»Œ€»æ,95,117,31,1,31,49
2015-01-14,140,«·∂»Œ€»æ,107,133,48,1.1,36,67
2015-01-15,100,¡º,75,94,88,0.9,40,79
2015-01-16,128,«·∂»Œ€»æ,98,126,95,1,46,84
2015-01-17,168,÷–∂»Œ€»æ,128,164,76,1.2,52,89
2015-01-18,154,÷–∂»Œ€»æ,118,146,59,1.1,45,88
2015-01-19,132,«·∂»Œ€»æ,101,130,78,1,51,113
2015-01-20,159,÷–∂»Œ€»æ,121,157,124,1.2,63,78
2015-01-21,152,÷–∂»Œ€»æ,116,153,108,1.3,59,92
2015-01-22,131,«·∂»Œ€»æ,99,135,97,1,57,114
2015-01-23,163,÷–∂»Œ€»æ,124,164,129,1.2,71,112
2015-01-24,104,«·∂»Œ€»æ,78,102,62,0.7,48,93
2015-01-25,180,÷–∂»Œ€»æ,136,156,72,1,60,60
2015-01-26,205,÷ÿ∂»Œ€»æ,155,181,83,1.5,48,27
2015-01-27,148,«·∂»Œ€»æ,113,140,41,1.6,36,38
2015-01-28,48,”≈,33,36,23,1.1,28,38
2015-01-29,44,”≈,31,31,22,0.8,23,23
2015-01-30,67,¡º,48,58,29,0.7,21,50
2015-01-31,84,¡º,62,73,24,0.9,23,56
2015-02-01,85,¡º,63,73,23,0.9,23,35
2015-02-02,104,«·∂»Œ€»æ,78,98,39,1.1,28,24
2015-02-03,66,¡º,48,54,25,1.2,29,23
2015-02-04,113,«·∂»Œ€»æ,85,106,38,1.1,36,74
2015-02-05,153,÷–∂»Œ€»æ,117,149,57,1.3,43,99
2015-02-06,121,«·∂»Œ€»æ,92,121,53,1.1,43,123
2015-02-07,145,«·∂»Œ€»æ,111,145,59,1.2,51,100
2015-02-08,125,«·∂»Œ€»æ,95,127,61,1,47,131
2015-02-09,155,÷–∂»Œ€»æ,118,165,51,1.1,50,104
2015-02-10,195,÷–∂»Œ€»æ,146,201,75,1.4,62,57
2015-02-11,177,÷–∂»Œ€»æ,134,192,58,1.4,63,112
2015-02-12,117,«·∂»Œ€»æ,88,119,41,0.9,50,114
2015-02-13,93,¡º,70,91,28,0.8,48,125
2015-02-14,106,«·∂»Œ€»æ,80,94,14,0.7,44,123
2015-02-15,66,¡º,48,55,15,0.7,41,87
2015-02-16,98,¡º,74,92,18,0.8,45,116
2015-02-17,110,«·∂»Œ€»æ,83,117,17,0.9,46,113
2015-02-18,121,«·∂»Œ€»æ,92,114,24,0.9,45,80
2015-02-19,169,÷–∂»Œ€»æ,128,147,14,0.9,31,64
2015-02-20,106,«·∂»Œ€»æ,80,92,5,0.9,24,33
2015-02-21,48,”≈,33,37,6,0.6,18,58
2015-02-22,73,¡º,53,62,8,0.8,21,59
2015-02-23,88,¡º,65,75,7,0.8,20,63
2015-02-24,69,¡º,50,54,6,0.9,23,53
2015-02-25,67,¡º,49,57,7,1.1,23,46
2015-02-26,63,¡º,45,51,6,1,25,34
2015-02-27,50,”≈,35,39,6,1,23,23
2015-02-28,39,”≈,27,26,7,0.5,15,51
2015-03-01,58,¡º,41,47,11,0.5,16,88
2015-03-02,74,¡º,55,63,11,0.7,22,82
2015-03-03,69,¡º,50,58,16,0.8,23,55
2015-03-04,75,¡º,55,83,18,0.7,26,52
2015-03-05,60,¡º,43,56,8,0.6,18,59
2015-03-06,53,¡º,37,45,8,0.6,15,61
2015-03-07,61,¡º,44,54,13,0.7,20,52
2015-03-08,51,¡º,36,41,15,0.8,23,40
2015-03-09,58,¡º,41,50,20,1,27,57
2015-03-10,98,¡º,73,96,16,0.9,30,49
2015-03-11,84,¡º,62,87,12,0.9,26,43
2015-03-12,58,¡º,41,52,22,0.8,32,90
2015-03-13,73,¡º,53,69,31,1.1,42,72
2015-03-14,73,¡º,54,66,22,1.2,41,22
2015-03-15,67,¡º,49,60,23,0.9,32,48
2015-03-16,63,¡º,45,61,31,1.2,39,42
2015-03-17,81,¡º,60,87,56,1.4,46,51
2015-03-18,76,¡º,56,73,34,0.9,39,47
2015-03-19,56,¡º,40,53,22,1.1,35,68
2015-03-20,70,¡º,51,70,20,0.8,30,62
2015-03-21,63,¡º,45,58,25,0.9,34,74
2015-03-22,82,¡º,61,79,45,0.8,42,59
2015-03-23,63,¡º,45,58,28,1,40,68
2015-03-24,108,«·∂»Œ€»æ,82,120,41,0.9,39,65
2015-03-25,110,«·∂»Œ€»æ,83,119,37,0.8,40,78
2015-03-26,110,«·∂»Œ€»æ,83,104,49,1,47,56
2015-03-27,54,¡º,39,41,17,0.6,31,51
2015-03-28,69,¡º,50,64,43,0.9,43,67
2015-03-29,94,¡º,70,82,35,1.1,46,59
2015-03-30,75,¡º,55,68,29,0.7,38,54
2015-03-31,52,¡º,37,46,17,0.5,29,68
2015-04-01,56,¡º,39,50,17,0.5,26,69
2015-04-02,65,¡º,47,62,19,0.6,29,112
2015-04-03,79,¡º,58,78,38,0.6,34,119
2015-04-04,88,¡º,66,79,34,0.9,32,113
2015-04-05,72,¡º,52,63,27,1,30,62
2015-04-06,75,¡º,55,67,23,0.8,26,80
2015-04-07,39,”≈,27,32,13,0.8,24,74
2015-04-08,59,¡º,42,57,19,0.4,19,69
2015-04-09,53,¡º,38,44,29,0.6,20,56
2015-04-10,58,¡º,41,48,37,0.6,25,80
2015-04-11,78,¡º,58,78,46,0.8,33,103
2015-04-12,78,¡º,57,85,47,0.7,39,130
2015-04-13,73,¡º,37,69,38,0.3,28,128
2015-04-14,87,¡º,47,79,57,0.4,33,144
2015-04-15,96,¡º,72,108,43,0.6,40,140
2015-04-16,91,¡º,67,96,43,0.6,35,146
2015-04-17,88,¡º,62,92,34,0.6,33,145
2015-04-18,75,¡º,55,72,16,0.6,29,125
2015-04-19,102,«·∂»Œ€»æ,77,102,23,0.9,43,83
2015-04-20,61,¡º,44,49,25,0.7,28,89
2015-04-21,70,¡º,48,61,36,0.6,27,124
2015-04-22,82,¡º,60,78,43,0.7,37,127
2015-04-23,100,¡º,75,97,44,0.7,37,88
2015-04-24,81,¡º,60,76,41,0.6,34,102
2015-04-25,99,¡º,74,102,41,0.7,41,109
2015-04-26,112,«·∂»Œ€»æ,85,119,53,0.8,43,133
2015-04-27,113,«·∂»Œ€»æ,85,110,46,0.8,43,75
2015-04-28,80,¡º,59,77,31,0.7,35,68
2015-04-29,77,¡º,57,75,57,0.6,37,87
2015-04-30,72,¡º,52,67,58,0.5,32,60
2015-05-01,55,¡º,39,53,32,0.5,33,70
2015-05-02,54,¡º,38,46,24,0.5,27,92
2015-05-03,67,¡º,49,67,37,0.5,32,113
2015-05-04,71,¡º,52,64,18,0.6,31,105
2015-05-05,88,¡º,65,89,57,0.6,35,92
2015-05-06,90,¡º,67,90,49,0.7,31,90
2015-05-07,84,¡º,62,84,42,0.9,37,78
2015-05-08,64,¡º,46,61,26,0.9,37,80
2015-05-09,67,¡º,48,61,30,0.6,31,116
2015-05-10,86,¡º,64,84,44,0.6,35,95
2015-05-11,58,¡º,37,59,26,0.4,27,109
2015-05-12,68,¡º,42,85,50,0.4,29,117
2015-05-13,66,¡º,48,76,49,0.6,31,85
2015-05-14,53,¡º,37,50,19,0.5,28,73
2015-05-15,51,¡º,36,45,21,0.4,26,83
2015-05-16,77,¡º,57,80,35,0.8,28,92
2015-05-17,67,¡º,49,75,28,0.8,28,82
2015-05-18,58,¡º,42,56,25,0.7,34,59
2015-05-19,65,¡º,47,59,31,0.8,32,68
2015-05-20,85,¡º,63,82,27,0.8,33,63
2015-05-21,93,¡º,69,90,22,0.7,26,132
2015-05-22,100,¡º,75,96,44,0.8,27,125
