»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,107,«·∂»Œ€»æ,81,111,35,2.7,55,75
2015-01-01,153,÷–∂»Œ€»æ,117,156,47,2.9,53,34
2015-01-02,212,÷ÿ∂»Œ€»æ,162,217,46,3.5,51,48
2015-01-03,233,÷ÿ∂»Œ€»æ,183,230,43,3.5,55,39
2015-01-04,278,÷ÿ∂»Œ€»æ,228,273,61,4,56,24
2015-01-05,240,÷ÿ∂»Œ€»æ,190,225,31,3.3,46,42
2015-01-06,40,”≈,28,37,18,1.6,20,59
2015-01-07,94,¡º,71,88,20,2,28,39
2015-01-08,117,«·∂»Œ€»æ,89,103,21,2,33,40
2015-01-09,180,÷–∂»Œ€»æ,136,160,25,2.6,40,38
2015-01-10,223,÷ÿ∂»Œ€»æ,173,189,18,2.9,41,43
2015-01-11,211,÷ÿ∂»Œ€»æ,161,180,18,2.8,40,51
2015-01-12,203,÷ÿ∂»Œ€»æ,153,165,20,2.7,38,48
2015-01-13,258,÷ÿ∂»Œ€»æ,208,231,25,3.2,48,32
2015-01-14,315,—œ÷ÿŒ€»æ,265,274,41,4,50,47
2015-01-15,195,÷–∂»Œ€»æ,146,163,34,2.8,45,32
2015-01-16,172,÷–∂»Œ€»æ,130,153,22,2.4,38,67
2015-01-17,133,«·∂»Œ€»æ,102,121,17,1.6,38,60
2015-01-18,135,«·∂»Œ€»æ,103,117,13,1.6,33,41
2015-01-19,211,÷ÿ∂»Œ€»æ,161,191,20,2.4,42,22
2015-01-20,225,÷ÿ∂»Œ€»æ,175,204,27,3,46,37
2015-01-21,155,÷–∂»Œ€»æ,118,155,28,2.2,42,63
2015-01-22,137,«·∂»Œ€»æ,105,138,29,1.9,43,70
2015-01-23,183,÷–∂»Œ€»æ,138,171,28,2,53,43
2015-01-24,233,÷ÿ∂»Œ€»æ,183,213,37,2.6,55,16
2015-01-25,222,÷ÿ∂»Œ€»æ,172,203,31,2.8,47,19
2015-01-26,266,÷ÿ∂»Œ€»æ,216,252,39,3.1,56,34
2015-01-27,168,÷–∂»Œ€»æ,128,154,30,2.3,31,67
2015-01-28,40,”≈,28,40,23,1.4,17,61
2015-01-29,64,¡º,46,58,27,1.4,20,65
2015-01-30,86,¡º,64,86,23,1.6,27,56
2015-01-31,73,¡º,53,62,23,1.3,16,78
2015-02-01,123,«·∂»Œ€»æ,94,100,27,1.7,21,73
2015-02-02,176,÷–∂»Œ€»æ,133,155,25,2.2,42,52
2015-02-03,190,÷–∂»Œ€»æ,143,168,16,2.5,37,67
2015-02-04,140,«·∂»Œ€»æ,107,133,22,2.3,38,74
2015-02-05,119,«·∂»Œ€»æ,90,117,21,2.1,37,87
2015-02-06,123,«·∂»Œ€»æ,93,121,21,1.8,41,65
2015-02-07,86,¡º,64,99,18,1.5,28,92
2015-02-08,76,¡º,56,85,14,1.4,27,90
2015-02-09,95,¡º,71,96,21,1.5,31,79
2015-02-10,132,«·∂»Œ€»æ,101,134,19,2.1,43,66
2015-02-11,124,«·∂»Œ€»æ,94,131,24,2,42,82
2015-02-12,117,«·∂»Œ€»æ,89,123,22,1.5,41,102
2015-02-13,133,«·∂»Œ€»æ,101,133,17,1.6,45,96
2015-02-14,173,÷–∂»Œ€»æ,131,160,17,2,48,57
