日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,70,良,51,86,16,1.2,33,120
2013-12-03,109,轻度污染,82,120,27,1,40,134
2013-12-04,142,轻度污染,108,147,36,1.2,54,110
2013-12-05,79,良,58,92,33,0.9,37,96
2013-12-06,95,良,71,105,33,1,36,112
2013-12-07,93,良,69,101,26,1.1,29,111
2013-12-08,106,轻度污染,80,104,24,0.9,32,108
2013-12-09,147,轻度污染,113,143,26,1.1,37,92
2013-12-10,172,中度污染,131,161,22,1.1,28,80
2013-12-11,140,轻度污染,107,135,25,1.1,30,67
2013-12-12,86,良,64,98,22,0.9,33,66
2013-12-13,127,轻度污染,96,129,29,1.1,42,75
2013-12-14,95,良,71,73,13,0.9,27,63
2013-12-15,52,良,36,26,9,0.9,24,50
2013-12-16,25,优,12,13,11,1.2,26,49
2013-12-17,27,优,19,21,7,0.8,29,30
2013-12-18,25,优,12,25,9,0.8,21,38
2013-12-19,42,优,28,42,15,0.8,25,64
2013-12-20,73,良,53,72,20,0.7,30,70
2013-12-21,88,良,65,82,18,0.7,28,89
2013-12-22,108,轻度污染,81,102,21,0.9,29,96
2013-12-23,95,良,71,92,22,0.8,35,81
2013-12-24,72,良,53,81,17,0.7,34,79
2013-12-25,80,良,59,87,24,0.8,33,91
2013-12-26,94,良,70,102,21,0.9,27,103
2013-12-27,150,轻度污染,115,144,36,0.9,35,97
2013-12-28,162,中度污染,123,162,31,1.1,41,91
2013-12-29,105,轻度污染,79,114,27,0.9,41,82
2013-12-30,115,轻度污染,87,123,29,1.1,50,94
2013-12-31,135,轻度污染,103,144,35,1.2,63,110
2014-01-01,136,轻度污染,103,143,28,1.2,60,94
2014-01-02,111,轻度污染,84,105,24,0.9,47,90
2014-01-03,216,重度污染,166,202,38,1.8,71,123
2014-01-04,151,中度污染,116,149,30,1.1,42,117
2014-01-05,171,中度污染,130,166,30,1,42,129
2014-01-06,122,轻度污染,93,132,23,0.9,31,119
2014-01-07,64,良,46,77,19,0.6,35,82
2014-01-08,110,轻度污染,83,120,29,1.3,48,79
2014-01-09,76,良,56,71,10,1.2,30,46
2014-01-10,57,良,41,63,15,0.9,28,72
2014-01-11,66,良,48,72,19,0.9,31,72
2014-01-12,75,良,55,78,20,1,30,80
2014-01-13,54,良,38,56,16,1.2,26,51
2014-01-14,60,良,43,58,17,1.7,27,57
2014-01-15,69,良,50,74,19,0.8,28,81
2014-01-16,66,良,48,75,19,0.8,31,72
2014-01-17,89,良,66,90,19,1,38,82
2014-01-18,89,良,66,92,22,1,38,118
2014-01-19,128,轻度污染,98,127,19,1.2,29,118
2014-01-20,119,轻度污染,90,125,24,1.3,41,117
2014-01-21,142,轻度污染,109,142,28,1.2,39,83
2014-01-22,82,良,57,113,17,0.9,27,105
2014-01-23,68,良,50,78,17,0.9,29,94
2014-01-24,64,良,47,69,15,1,30,92
2014-01-25,78,良,57,79,17,1.1,34,85
2014-01-26,140,轻度污染,107,141,17,1.4,36,152
2014-01-27,66,良,47,75,9,0.7,18,119
2014-01-28,57,良,39,65,12,0.8,24,101
2014-01-29,73,良,53,73,11,0.9,28,96
2014-01-30,97,良,73,99,14,1.2,32,114
2014-01-31,158,中度污染,121,145,17,1,28,121
2014-02-01,153,中度污染,117,120,12,0.9,26,92
2014-02-02,83,良,61,77,12,1,22,90
2014-02-03,99,良,74,90,11,1,26,111
2014-02-04,56,良,39,62,7,0.7,13,93
2014-02-05,35,优,16,17,2,0.7,12,69
2014-02-06,33,优,18,21,9,0.8,13,65
2014-02-07,48,优,33,41,3,1,27,41
2014-02-08,35,优,25,34,7,0.9,18,42
2014-02-09,26,优,12,16,4,0.8,15,51
