日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,91,良,68,91,13,2,31,139
2014-01-01,107,轻度污染,71,101,18,1.6,32,168
2014-01-02,100,良,75,103,14,1.7,34,134
2014-01-03,123,轻度污染,94,121,12,1.7,34,154
2014-01-04,104,轻度污染,78,108,23,1.8,20,147
2014-01-05,139,轻度污染,106,139,28,1.7,24,187
2014-01-06,155,中度污染,118,162,22,1.5,25,170
2014-01-07,74,良,41,68,10,1,22,129
2014-01-08,81,良,60,84,6,1.1,24,83
2014-01-09,63,良,46,58,7,1.3,16,74
2014-01-10,76,良,56,80,10,1.1,20,104
2014-01-11,64,良,46,68,6,0.9,16,100
2014-01-12,78,良,57,79,6,1.1,15,102
2014-01-13,38,优,26,36,5,1.1,10,65
2014-01-14,47,优,33,41,8,1.1,12,85
2014-01-15,66,良,40,54,9,1,12,119
2014-01-16,64,良,44,79,12,0.9,20,111
2014-01-17,73,良,48,73,9,1,21,127
2014-01-18,84,良,55,80,12,1,18,141
2014-01-19,125,轻度污染,95,127,15,1.2,22,134
2014-01-20,117,轻度污染,88,120,15,1.3,24,149
2014-01-21,101,轻度污染,76,111,22,1.2,15,137
2014-01-22,88,良,65,122,16,1.1,21,134
2014-01-23,77,良,57,91,8,0.6,16,83
2014-01-24,56,良,37,62,4,0.5,15,62
2014-01-25,49,优,32,49,3,0.5,12,59
2014-01-26,106,轻度污染,80,98,6,0.8,17,111
2014-01-27,72,良,52,82,4,0.6,9,101
2014-01-28,58,良,39,66,3,0.6,12,77
2014-01-29,49,优,31,49,3,0.6,9,74
2014-01-30,73,良,53,69,7,0.8,13,93
2014-01-31,169,中度污染,128,143,19,0.8,9,93
2014-02-01,81,良,60,78,8,0.8,13,83
2014-02-02,53,良,38,55,6,0.8,18,70
2014-02-03,75,良,55,63,9,0.9,24,126
2014-02-04,61,良,44,63,5,0.9,14,105
2014-02-05,32,优,22,26,3,0.8,13,62
2014-02-06,27,优,11,16,5,0.8,13,54
2014-02-07,39,优,27,28,5,0.8,11,58
2014-02-08,41,优,29,37,5,0.9,17,52
2014-02-09,22,优,15,19,5,0.8,14,36
2014-02-10,24,优,17,20,5,1,11,36
2014-02-11,48,优,34,36,6,0.9,10,40
2014-02-12,66,良,48,49,6,0.9,12,40
2014-02-13,17,优,11,11,4,0.9,10,33
2014-02-14,48,优,34,37,6,0.9,9,56
2014-02-15,56,良,40,47,7,1,12,82
2014-02-16,72,良,53,68,12,1.1,20,80
2014-02-17,69,良,51,79,8,1.1,20,87
2014-02-18,60,良,43,47,6,1.2,19,62
2014-02-19,25,优,5,10,5,1.1,11,50
2014-02-20,35,优,18,27,6,0.9,10,70
2014-02-21,70,良,45,70,10,1.1,17,124
2014-02-22,66,良,39,62,9,1,17,119
2014-02-23,57,良,37,57,9,1,16,108
2014-02-24,55,良,27,45,8,1,13,106
2014-02-25,59,良,42,55,9,1.1,17,94
2014-02-26,48,优,33,48,6,1.1,11,80
2014-02-27,63,良,45,50,8,1.2,15,101
2014-02-28,47,优,31,42,9,1.3,17,94
2014-03-01,97,良,72,96,13,1.2,29,50
2014-03-02,56,良,39,61,8,1.2,19,80
2014-03-03,51,良,28,52,9,1,17,83
2014-03-04,76,良,56,76,11,1.1,25,82
2014-03-05,51,良,28,51,8,1.1,15,90
2014-03-06,55,良,35,60,11,0.9,17,97
2014-03-07,54,良,38,53,10,0.9,21,64
2014-03-08,61,良,43,53,8,1,19,40
2014-03-09,27,优,19,24,7,1.1,15,35
2014-03-10,40,优,28,37,7,1,18,65
2014-03-11,72,良,52,67,13,1.1,22,62
2014-03-12,95,良,71,110,11,1.4,30,65
2014-03-13,54,良,37,58,7,1.3,20,69
2014-03-14,69,良,50,67,11,1.2,17,87
2014-03-15,95,良,71,104,17,1.2,25,83
2014-03-16,76,良,56,93,15,1.1,26,114
2014-03-17,89,良,66,94,12,1.2,23,100
2014-03-18,72,良,52,77,7,1.2,19,76
2014-03-19,50,优,35,48,6,1.1,12,51
2014-03-20,46,优,32,38,5,1.2,15,66
2014-03-21,56,良,40,56,9,1.3,17,58
2014-03-22,68,良,44,77,13,1.1,20,122
2014-03-23,63,良,40,69,11,1.1,19,115
2014-03-24,60,良,42,66,12,1.1,18,112
2014-03-25,72,良,52,71,13,1.2,20,113
2014-03-26,81,良,60,78,10,1.3,18,106
2014-03-27,53,良,38,45,9,1.2,18,97
2014-03-28,62,良,44,40,6,1.3,11,76
2014-03-29,33,优,22,28,5,1.3,12,65
2014-03-30,51,良,31,43,8,1.3,21,101
2014-03-31,48,优,21,16,5,1.4,14,95
2014-04-01,60,良,43,48,8,1.5,16,69
2014-04-02,38,优,21,30,7,1.5,15,76
2014-04-03,33,优,20,23,6,1.6,17,66
2014-04-04,71,良,39,49,9,1.5,21,125
2014-04-05,100,良,72,96,15,1.4,21,160
2014-04-06,112,轻度污染,85,91,12,1.4,20,141
2014-04-07,55,良,39,49,7,1.4,18,97
2014-04-08,61,良,44,48,8,1.6,28,66
2014-04-09,55,良,33,39,8,1.5,18,106
2014-04-10,81,良,33,42,9,1.3,13,137
2014-04-11,68,良,33,43,9,1.4,16,121
2014-04-12,68,良,36,51,9,1.4,15,121
2014-04-13,65,良,47,57,10,1.4,15,99
2014-04-14,53,良,35,48,8,1.4,15,104
2014-04-15,89,良,34,56,9,1.4,13,147
2014-04-16,81,良,39,58,11,1.4,16,137
2014-04-17,44,优,27,43,7,1.3,10,87
2014-04-18,41,优,28,41,7,1.3,10,76
2014-04-19,45,优,27,45,7,1.2,12,67
2014-04-20,40,优,28,38,9,1.3,12,72
2014-04-21,46,优,27,29,6,1.3,10,92
2014-04-22,43,优,30,37,7,1.3,10,80
2014-04-23,76,良,34,46,7,1.3,12,131
2014-04-24,82,良,61,82,11,1.4,16,129
2014-04-25,70,良,51,71,10,1.4,15,101
2014-04-26,49,优,25,31,7,1.3,15,97
2014-04-27,88,良,40,50,8,1.3,15,145
2014-04-28,84,良,25,36,11,1.4,14,141
2014-04-29,78,良,49,59,10,1.4,17,133
2014-04-30,80,良,59,73,8,1.3,16,129
2014-05-01,58,良,29,30,6,1.4,16,109
2014-05-02,73,良,28,24,9,1.3,12,127
2014-05-03,69,良,40,57,9,1.3,13,123
2014-05-04,68,良,49,67,7,1.2,16,110
2014-05-05,34,优,24,31,6,1.3,16,55
2014-05-06,47,优,33,36,7,1.3,18,63
2014-05-07,41,优,29,33,7,1.3,21,70
2014-05-08,35,优,21,26,7,1.3,19,69
2014-05-09,41,优,14,22,7,1.2,13,81
2014-05-10,45,优,21,36,7,1.2,10,90
2014-05-11,36,优,14,31,7,1.2,15,71
2014-05-12,32,优,13,23,6,1.3,12,64
2014-05-13,26,优,14,26,6,1.3,13,51
2014-05-14,27,优,11,27,11,1.1,6,34
2014-05-15,42,优,16,42,7,0.8,8,60
2014-05-16,32,优,12,23,6,0.6,8,63
2014-05-17,37,优,11,25,6,0.6,9,74
2014-05-18,39,优,6,25,6,0.6,12,78
2014-05-19,26,优,8,26,6,0.7,11,44
2014-05-20,39,优,8,21,6,0.7,15,77
2014-05-21,36,优,12,25,7,0.8,14,71
2014-05-22,39,优,16,25,6,0.7,8,77
2014-05-23,46,优,10,21,6,0.8,13,92
2014-05-24,36,优,20,36,7,0.9,15,71
2014-05-25,34,优,15,30,6,0.9,11,68
2014-05-26,33,优,11,22,7,0.8,13,66
2014-05-27,80,良,22,45,8,0.9,18,136
2014-05-28,47,优,19,35,8,0.9,16,94
2014-05-29,33,优,12,25,9,0.8,12,66
2014-05-30,35,优,11,23,8,0.8,10,70
2014-05-31,31,优,11,21,6,0.7,7,62
2014-06-01,31,优,8,16,7,0.8,8,61
2014-06-02,37,优,9,16,7,0.8,11,73
2014-06-03,31,优,11,23,8,0.8,15,61
2014-06-04,41,优,14,28,9,0.8,14,82
2014-06-05,30,优,10,26,8,0.7,11,60
2014-06-06,67,良,10,29,7,0.7,12,120
2014-06-07,54,良,12,32,8,0.8,17,105
2014-06-08,62,良,20,46,7,0.8,12,114
2014-06-09,85,良,22,35,7,0.8,12,142
2014-06-10,98,良,23,40,7,0.7,11,158
2014-06-11,79,良,23,38,7,0.7,10,135
2014-06-12,125,轻度污染,33,59,9,0.7,16,187
2014-06-13,119,轻度污染,55,75,14,0.7,23,181
2014-06-14,91,良,46,61,8,0.7,13,149
2014-06-15,55,良,20,32,5,0.7,7,106
2014-06-16,69,良,29,66,5,0.9,9,123
2014-06-17,37,优,11,37,3,0.7,6,74
2014-06-18,37,优,11,37,3,0.7,6,71
2014-06-19,35,优,12,22,4,0.7,6,70
2014-06-20,32,优,10,20,4,0.7,6,63
2014-06-21,32,优,10,20,4,0.7,3,63
2014-06-22,33,优,8,15,4,0.8,4,66
2014-06-23,32,优,10,19,6,0.8,5,63
2014-06-24,30,优,13,19,4,0.8,5,60
2014-06-25,30,优,11,23,4,0.8,7,60
2014-06-26,31,优,14,25,5,0.8,7,62
2014-06-27,32,优,16,24,5,0.8,4,64
2014-06-28,35,优,13,21,6,0.8,5,69
2014-06-29,30,优,12,23,10,0.8,8,59
2014-06-30,28,优,8,17,5,0.7,4,55
2014-07-01,29,优,9,19,6,0.8,4,58
2014-07-02,33,优,10,23,5,0.8,4,66
2014-07-03,43,优,12,23,5,0.8,4,85
2014-07-04,39,优,12,21,6,0.8,4,77
2014-07-05,34,优,10,18,5,0.8,4,67
2014-07-06,35,优,16,27,6,0.8,8,70
2014-07-07,73,良,17,28,6,0.9,9,128
2014-07-08,143,轻度污染,29,42,7,1,12,207
2014-07-09,128,轻度污染,25,34,6,1,9,191
2014-07-10,40,优,11,18,5,0.9,5,79
2014-07-11,29,优,7,12,5,0.9,4,58
2014-07-12,26,优,7,17,5,0.8,4,51
2014-07-13,29,优,8,17,5,0.9,3,58
2014-07-14,29,优,6,12,6,0.8,3,57
2014-07-15,30,优,6,13,6,0.7,3,60
2014-07-16,27,优,10,21,8,0.7,9,54
2014-07-17,44,优,19,44,8,0.8,9,68
