日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,105,轻度污染,79,130,35,2.1,109,95
2013-12-03,133,轻度污染,102,162,50,2.2,113,119
2013-12-04,140,轻度污染,107,172,60,2,107,107
2013-12-05,105,轻度污染,79,123,51,1.5,99,102
2013-12-06,132,轻度污染,101,149,60,1.5,92,101
2013-12-07,170,中度污染,129,184,53,2,87,113
2013-12-08,185,中度污染,139,201,57,2.1,87,134
2013-12-09,183,中度污染,138,210,54,1.8,74,130
2013-12-10,204,重度污染,154,215,61,2,80,111
2013-12-11,170,中度污染,129,192,57,2,96,73
2013-12-12,151,中度污染,116,156,53,1.7,87,37
2013-12-13,170,中度污染,129,170,39,2,81,27
2013-12-14,110,轻度污染,83,101,29,1.7,65,20
2013-12-15,52,良,37,46,11,1.5,49,27
2013-12-16,20,优,9,14,13,1.6,39,28
2013-12-17,27,优,19,24,19,1.5,35,22
2013-12-18,33,优,21,33,20,1.2,28,41
2013-12-19,52,良,36,53,23,1.1,39,55
2013-12-20,77,良,56,81,39,1.2,54,68
2013-12-21,107,轻度污染,81,111,45,1.5,51,73
2013-12-22,104,轻度污染,79,110,39,1.6,54,82
2013-12-23,113,轻度污染,86,125,50,1.7,73,81
2013-12-24,102,轻度污染,76,115,57,1.4,66,85
2013-12-25,123,轻度污染,94,134,49,1.3,73,94
2013-12-26,109,轻度污染,82,124,52,1.1,62,104
2013-12-27,149,轻度污染,115,153,50,1.3,51,107
2013-12-28,150,轻度污染,115,166,51,1.5,66,82
2013-12-29,80,良,59,98,31,1.1,70,72
2013-12-30,124,轻度污染,94,154,68,1.8,91,92
2013-12-31,139,轻度污染,106,164,73,1.9,90,93
2014-01-01,143,轻度污染,109,160,77,2,94,78
2014-01-02,142,轻度污染,109,154,42,2,89,119
2014-01-03,165,中度污染,125,191,57,2.3,110,119
2014-01-04,148,轻度污染,113,174,50,1.8,79,117
2014-01-05,159,中度污染,121,185,60,1.9,114,107
2014-01-06,148,轻度污染,113,168,40,1.9,79,117
2014-01-07,83,良,61,102,35,1.4,73,86
2014-01-08,99,良,74,121,29,1.8,68,25
2014-01-09,65,良,47,72,26,1.6,60,34
2014-01-10,106,轻度污染,80,113,43,1.6,83,53
2014-01-11,110,轻度污染,83,128,48,1.7,93,93
2014-01-12,87,良,64,102,29,1.6,62,56
2014-01-13,56,良,38,62,27,1.2,46,33
2014-01-14,58,良,42,64,24,1.2,52,68
2014-01-15,79,良,58,86,26,1.1,60,69
2014-01-16,122,轻度污染,92,142,33,1.8,96,71
2014-01-17,139,轻度污染,107,167,36,2,86,80
2014-01-18,85,良,63,102,25,1.2,54,85
2014-01-19,122,轻度污染,93,136,34,1.5,81,99
2014-01-20,134,轻度污染,103,153,32,1.7,81,104
2014-01-21,108,轻度污染,81,127,31,1.3,43,91
2014-01-22,68,良,49,87,20,1.3,54,87
2014-01-23,103,轻度污染,77,129,31,1.8,70,119
2014-01-24,74,良,54,85,26,1.4,57,95
2014-01-25,85,良,63,94,21,1.5,60,61
2014-01-26,90,良,67,101,27,1.7,58,102
2014-01-27,80,良,59,93,15,1.3,29,98
2014-01-28,63,良,45,73,16,1.2,34,97
2014-01-29,66,良,47,74,18,1.3,31,119
2014-01-30,66,良,47,72,16,1.4,22,117
2014-01-31,81,良,60,91,21,1.3,21,99
2014-02-01,62,良,44,63,18,1.1,16,77
2014-02-02,54,良,35,57,27,1.1,19,74
2014-02-03,44,优,27,42,14,1.1,18,87
2014-02-04,50,优,35,48,11,1.2,16,81
2014-02-05,35,优,22,35,10,1.2,15,60
2014-02-06,28,优,19,27,12,1.1,16,54
2014-02-07,24,优,17,18,7,1.4,21,36
2014-02-08,33,优,23,33,10,1.6,27,27
2014-02-09,16,优,10,16,8,1.5,27,11
2014-02-10,41,优,27,41,12,1.4,22,47
2014-02-11,58,良,41,57,16,1.1,24,56
2014-02-12,65,良,47,64,12,1,34,43
2014-02-13,40,优,28,39,11,1.1,25,29
2014-02-14,66,良,48,65,17,1.1,28,66
2014-02-15,72,良,52,73,18,1.1,43,47
2014-02-16,94,良,70,115,31,1.6,55,16
2014-02-17,207,重度污染,157,304,57,2.6,95,27
2014-02-18,84,良,62,109,29,1.7,47,20
2014-02-19,26,优,15,26,15,1.3,34,25
2014-02-20,47,优,30,47,22,1.1,41,52
2014-02-21,67,良,48,85,36,1.3,66,72
2014-02-22,104,轻度污染,78,115,33,1.4,83,47
2014-02-23,80,良,59,89,35,1.3,63,94
2014-02-24,62,良,39,74,27,1.2,50,74
2014-02-25,66,良,46,83,24,1.2,51,52
2014-02-26,111,轻度污染,84,133,33,1.3,60,73
2014-02-27,81,良,60,98,33,1.3,51,73
2014-02-28,52,良,36,54,17,0.8,40,41
2014-03-01,52,良,28,54,16,0.8,35,45
2014-03-02,55,良,36,61,25,1.4,45,30
2014-03-03,77,良,56,77,28,1.8,46,11
2014-03-04,85,良,63,96,33,1.4,49,15
2014-03-05,56,良,35,62,44,1.4,44,17
2014-03-06,84,良,62,92,37,1.1,55,19
2014-03-07,60,良,43,60,19,0.9,37,24
2014-03-08,58,良,41,61,24,0.9,32,12
2014-03-09,34,优,23,34,18,0.9,29,20
2014-03-10,58,良,41,56,35,1,34,14
2014-03-11,90,良,67,99,39,1.3,41,10
2014-03-12,154,中度污染,118,199,45,2.6,57,14
2014-03-13,67,良,38,84,34,1.4,43,57
2014-03-14,65,良,47,70,21,1,46,64
2014-03-15,102,轻度污染,76,109,52,1.2,64,32
2014-03-16,137,轻度污染,104,152,64,1.4,69,23
2014-03-17,144,轻度污染,110,181,55,1.5,61,70
2014-03-18,61,良,43,67,22,0.9,32,74
2014-03-19,61,良,44,64,22,0.8,30,83
2014-03-20,84,良,62,101,34,1.2,42,70
2014-03-21,58,良,40,66,22,0.6,36,62
2014-03-22,71,良,52,70,43,0.7,45,72
2014-03-23,74,良,36,65,29,0.6,40,129
2014-03-24,82,良,42,65,29,0.7,37,138
2014-03-25,64,良,36,61,25,0.7,29,117
2014-03-26,65,良,41,59,23,0.8,27,118
2014-03-27,43,优,27,43,21,0.7,22,73
2014-03-28,44,优,28,44,18,0.7,21,54
2014-03-29,53,良,37,56,22,1.1,28,38
2014-03-30,47,优,33,46,23,1.3,35,18
2014-03-31,39,优,27,38,21,1.3,38,51
2014-04-01,68,良,49,70,33,1.6,57,20
