»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,83,¡º,48,117,12,0.4,27,42
2015-01-01,73,¡º,46,96,35,0.6,60,43
2015-01-02,75,¡º,55,93,34,0.7,73,42
2015-01-03,92,¡º,68,112,30,0.8,66,49
2015-01-04,127,«·∂»Œ€»æ,97,139,20,1.4,95,48
2015-01-05,134,«·∂»Œ€»æ,102,173,14,1.1,60,39
2015-01-06,196,÷–∂»Œ€»æ,147,173,27,1.3,26,51
2015-01-07,56,¡º,37,61,20,0.6,26,52
2015-01-08,69,¡º,50,84,25,0.8,33,51
2015-01-09,79,¡º,59,96,17,0.9,38,53
2015-01-10,86,¡º,64,104,18,1.1,40,51
2015-01-11,76,¡º,56,86,24,1,37,54
2015-01-12,107,«·∂»Œ€»æ,81,116,30,1.2,24,53
2015-01-13,41,”≈,29,41,12,0.5,28,37
2015-01-14,37,”≈,26,28,9,0.7,32,47
2015-01-15,47,”≈,33,44,15,0.7,26,52
2015-01-16,59,¡º,42,58,20,1.1,28,55
2015-01-17,111,«·∂»Œ€»æ,83,106,37,1.3,45,54
2015-01-18,101,«·∂»Œ€»æ,76,97,29,1.5,40,73
2015-01-19,70,¡º,51,72,26,1,34,51
2015-01-20,55,¡º,38,61,22,0.9,26,50
2015-01-21,65,¡º,47,68,38,1,26,53
2015-01-22,79,¡º,59,73,25,1.1,29,52
2015-01-23,60,¡º,43,55,25,1.4,38,39
2015-01-24,80,¡º,59,76,18,1.7,41,41
2015-01-25,132,«·∂»Œ€»æ,101,99,13,1.9,39,37
2015-01-26,172,÷–∂»Œ€»æ,130,117,28,2.8,43,39
2015-01-27,74,¡º,54,62,24,1.7,38,51
2015-01-28,30,”≈,21,22,19,0.3,32,48
2015-01-29,25,”≈,16,21,19,0.4,38,50
2015-01-30,58,¡º,41,36,16,0.4,35,58
2015-01-31,69,¡º,51,56,29,0.6,37,60
2015-02-01,42,”≈,29,30,23,0.5,38,61
2015-02-02,48,”≈,33,36,18,0.6,31,63
2015-02-03,70,¡º,51,60,15,1,28,100
2015-02-04,92,¡º,69,79,17,1,16,62
2015-02-05,68,¡º,49,64,17,0.9,25,49
2015-02-06,39,”≈,25,39,19,0.9,27,51
2015-02-07,46,”≈,32,46,14,1,28,62
2015-02-08,66,¡º,48,69,47,1.1,22,41
2015-02-09,31,”≈,22,30,35,0.9,35,54
2015-02-10,33,”≈,23,33,14,0.7,20,51
2015-02-11,50,”≈,35,49,20,0.8,17,50
2015-02-12,68,¡º,50,71,20,1,23,60
2015-02-13,90,¡º,67,89,38,1.1,26,67
2015-02-14,92,¡º,69,87,19,1.2,21,61
2015-02-15,48,”≈,34,41,13,0.9,18,60
2015-02-16,100,¡º,75,93,13,1.2,14,74
2015-02-17,102,«·∂»Œ€»æ,77,101,24,1.3,15,66
2015-02-18,81,¡º,60,82,18,1,10,60
2015-02-19,55,¡º,39,48,21,0.7,7,39
2015-02-20,24,”≈,16,21,22,0.6,15,37
2015-02-21,23,”≈,16,20,9,0.7,8,27
2015-02-22,53,¡º,38,41,26,0.9,16,43
2015-02-23,66,¡º,48,53,25,1.1,16,33
2015-02-24,50,”≈,35,44,38,1,20,32
2015-02-25,24,”≈,17,22,40,0.9,21,33
2015-02-26,59,¡º,42,51,29,1,18,38
2015-02-27,26,”≈,16,26,8,0.6,12,45
2015-02-28,23,”≈,8,19,14,0.6,17,45
2015-03-01,30,”≈,21,28,9,0.6,16,47
2015-03-02,30,”≈,21,29,10,0.8,15,50
2015-03-03,45,”≈,20,45,9,0.7,11,38
2015-03-04,43,”≈,26,43,18,0.8,17,48
2015-03-05,29,”≈,19,29,23,0.7,19,37
2015-03-06,36,”≈,25,33,27,0.7,24,39
2015-03-07,27,”≈,18,27,21,0.7,27,54
2015-03-08,36,”≈,25,33,17,0.8,20,28
2015-03-09,36,”≈,25,33,12,0.8,19,44
2015-03-10,39,”≈,26,39,26,0.7,14,49
2015-03-11,37,”≈,24,37,17,0.8,17,40
2015-03-12,52,¡º,31,53,15,0.9,15,45
2015-03-13,48,”≈,30,48,13,0.9,20,51
2015-03-14,73,¡º,53,74,34,1.2,31,41
2015-03-15,75,¡º,55,77,55,1.2,34,38
2015-03-16,43,”≈,26,43,21,1,22,37
2015-03-17,48,”≈,28,48,26,1.2,26,33
2015-03-18,19,”≈,7,19,6,0.9,17,33
2015-03-19,30,”≈,19,30,32,0.9,16,36
2015-03-20,47,”≈,33,44,23,1,18,35
2015-03-21,41,”≈,28,41,15,0.9,19,64
2015-03-22,47,”≈,25,47,28,0.9,18,68
2015-03-23,55,¡º,29,61,34,0.8,18,74
2015-03-24,43,”≈,19,43,27,0.7,22,43
2015-03-25,33,”≈,13,28,11,0.5,14,65
2015-03-26,33,”≈,21,33,26,0.6,19,65
2015-03-27,47,”≈,30,45,15,0.7,22,74
2015-03-28,38,”≈,23,38,19,0.7,18,63
2015-03-29,36,”≈,24,36,14,0.7,20,69
2015-03-30,26,”≈,16,25,9,0.8,17,51
2015-03-31,30,”≈,17,30,13,0.9,17,56
2015-04-01,44,”≈,24,43,10,0.9,17,88
2015-04-02,42,”≈,23,39,9,0.9,14,83
2015-04-03,39,”≈,27,39,28,0.9,21,33
2015-04-04,39,”≈,28,39,8,1.1,23,30
2015-04-05,27,”≈,17,27,11,0.9,20,42
2015-04-06,30,”≈,21,30,25,0.8,24,44
2015-04-07,27,”≈,15,27,18,0.6,20,52
2015-04-08,26,”≈,14,23,10,0.6,14,51
2015-04-09,42,”≈,26,42,19,0.7,21,57
2015-04-10,51,¡º,33,52,29,0.8,26,73
2015-04-11,53,¡º,37,56,21,0.9,20,89
2015-04-12,47,”≈,26,47,18,0.8,20,74
2015-04-13,32,”≈,14,32,8,0.6,15,48
2015-04-14,32,”≈,18,32,9,0.7,19,39
2015-04-15,35,”≈,19,35,13,0.8,22,44
2015-04-16,53,¡º,27,55,14,0.8,20,61
2015-04-17,59,¡º,36,68,15,0.8,18,70
2015-04-18,64,¡º,39,79,37,1.1,31,69
2015-04-19,28,”≈,16,28,7,0.9,14,43
2015-04-20,30,”≈,16,30,10,0.5,13,49
2015-04-21,43,”≈,25,43,22,0.7,21,63
2015-04-22,41,”≈,25,41,29,0.8,24,54
2015-04-23,41,”≈,21,41,19,0.8,34,55
2015-04-24,46,”≈,28,46,39,0.9,39,52
2015-04-25,55,¡º,39,52,35,0.9,48,98
2015-04-26,49,”≈,30,49,38,0.8,40,82
2015-04-27,49,”≈,32,49,32,0.7,23,70
2015-04-28,56,¡º,40,53,16,0.7,22,65
2015-04-29,82,¡º,60,75,22,0.6,22,78
2015-04-30,58,¡º,41,58,29,0.6,24,77
