»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,319,—œ÷ÿŒ€»æ,269,350,117,4.3,87,40
2013-12-03,282,÷ÿ∂»Œ€»æ,232,284,112,4.4,112,73
2013-12-04,292,÷ÿ∂»Œ€»æ,242,273,71,3.4,77,43
2013-12-05,153,÷–∂»Œ€»æ,117,146,43,1.9,41,33
2013-12-06,22,”≈,15,4,19,0.4,9,20
2013-12-08,90,¡º,67,72,21,0.9,15,17
2013-12-09,69,¡º,50,75,51,1.2,28,59
2013-12-10,107,«·∂»Œ€»æ,81,96,72,1.5,39,33
2013-12-11,70,¡º,51,76,59,1.2,27,51
2013-12-12,108,«·∂»Œ€»æ,81,118,77,1.6,32,58
2013-12-13,101,«·∂»Œ€»æ,76,80,110,1.9,36,43
2013-12-14,190,÷–∂»Œ€»æ,143,112,168,3.1,52,37
2013-12-15,233,÷ÿ∂»Œ€»æ,183,100,198,4.5,60,27
2013-12-16,284,÷ÿ∂»Œ€»æ,234,232,269,4.7,85,19
2013-12-17,167,÷–∂»Œ€»æ,127,90,76,2.3,42,14
2013-12-18,140,«·∂»Œ€»æ,107,73,123,2.9,44,33
2013-12-19,176,÷–∂»Œ€»æ,133,179,146,3.7,55,30
2013-12-20,189,÷–∂»Œ€»æ,143,186,108,3.3,56,42
2013-12-21,231,÷ÿ∂»Œ€»æ,181,237,124,3.9,64,40
2013-12-22,238,÷ÿ∂»Œ€»æ,188,212,144,3.6,66,40
2013-12-23,286,÷ÿ∂»Œ€»æ,236,295,168,4.5,85,29
2013-12-24,363,—œ÷ÿŒ€»æ,313,382,131,5.3,99,32
2013-12-25,315,—œ÷ÿŒ€»æ,265,356,119,3.4,72,22
2013-12-26,61,¡º,20,73,36,1,21,58
2013-12-27,92,¡º,69,107,91,2,39,45
2013-12-28,80,¡º,59,89,66,1.6,35,55
2013-12-29,83,¡º,59,115,82,1.3,36,43
2013-12-30,97,¡º,73,144,103,1.8,44,50
2013-12-31,102,«·∂»Œ€»æ,57,154,75,1.3,36,67
2014-01-01,98,¡º,71,145,111,1.9,47,51
2014-01-02,143,«·∂»Œ€»æ,109,180,200,2.6,66,27
2014-01-03,122,«·∂»Œ€»æ,92,142,78,2.5,53,44
2014-01-04,79,¡º,58,82,96,1.2,42,37
2014-01-05,127,«·∂»Œ€»æ,96,142,93,2.3,53,44
2014-01-06,101,«·∂»Œ€»æ,76,97,63,1.4,43,43
2014-01-07,138,«·∂»Œ€»æ,106,148,72,2,50,21
2014-01-08,74,¡º,54,93,53,1.3,36,52
2014-01-09,145,«·∂»Œ€»æ,111,157,61,2.1,43,36
2014-01-10,263,÷ÿ∂»Œ€»æ,213,293,141,3.2,64,21
2014-01-11,341,—œ÷ÿŒ€»æ,291,401,67,3.9,62,16
2014-01-12,176,÷–∂»Œ€»æ,133,190,59,2,46,53
2014-01-13,128,«·∂»Œ€»æ,97,136,152,1.7,44,34
2014-01-14,270,÷ÿ∂»Œ€»æ,220,289,163,4.3,75,22
2014-01-15,356,—œ÷ÿŒ€»æ,306,382,87,3.4,67,29
2014-01-16,306,—œ÷ÿŒ€»æ,256,322,98,2.7,65,18
