日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,98,良,73,102,25,1.2,42,89
2015-01-01,116,轻度污染,88,101,45,1.6,33,84
2015-01-02,112,轻度污染,85,114,29,1.2,40,91
2015-01-03,142,轻度污染,109,138,51,2.1,46,91
2015-01-04,153,中度污染,117,35,20,1.4,36,59
2015-01-05,108,轻度污染,81,91,10,1.3,30,35
2015-01-06,39,优,27,36,9,1.3,19,35
2015-01-07,60,良,43,55,8,1.3,19,45
2015-01-08,63,良,45,63,11,1.2,21,52
2015-01-09,54,良,38,59,10,1,18,43
2015-01-10,31,优,21,28,4,1.1,21,38
2015-01-11,35,优,24,33,4,1.6,26,30
2015-01-12,53,良,38,55,19,2.2,24,60
2015-01-13,87,良,65,95,18,1.1,20,64
2015-01-14,104,轻度污染,78,114,24,1.2,28,59
2015-01-15,117,轻度污染,88,130,28,1.3,28,56
2015-01-16,135,轻度污染,103,149,51,1.5,32,57
2015-01-17,143,轻度污染,109,157,37,1.4,32,57
2015-01-18,126,轻度污染,96,138,38,1.6,31,63
2015-01-19,110,轻度污染,83,110,55,1.6,29,64
2015-01-20,151,中度污染,116,173,48,1.7,36,62
2015-01-21,142,轻度污染,109,146,53,1.6,33,73
2015-01-22,125,轻度污染,95,42,34,1.5,25,80
2015-01-23,124,轻度污染,94,76,14,1.3,38,69
2015-01-24,75,良,55,85,10,1.1,23,67
2015-01-25,90,良,67,117,15,1.5,36,34
2015-01-26,83,良,62,108,8,1.5,30,55
2015-01-27,97,良,73,104,14,1.2,23,57
2015-01-28,106,轻度污染,80,105,10,1.7,19,55
2015-01-29,41,优,28,41,5,1.6,16,22
2015-01-30,24,优,13,24,3,1.4,12,23
2015-01-31,33,优,21,33,3,1.6,12,31
2015-02-01,26,优,18,26,4,1.7,11,25
2015-02-02,33,优,22,33,6,1.9,12,15
2015-02-03,23,优,16,23,4,1.9,13,16
2015-02-04,42,优,30,42,7,1.9,14,37
2015-02-05,85,良,63,80,8,1.7,19,59
2015-02-06,124,轻度污染,95,130,24,1.6,29,65
2015-02-07,171,中度污染,130,187,40,1.9,43,63
2015-02-08,150,轻度污染,115,172,29,1.9,50,58
2015-02-09,114,轻度污染,86,137,26,1.3,50,61
2015-02-10,151,中度污染,115,152,21,1.5,34,56
2015-02-11,165,中度污染,126,130,21,1.9,35,42
2015-02-12,162,中度污染,123,181,14,2.1,42,43
2015-02-13,186,中度污染,140,158,16,1.8,49,36
2015-02-14,139,轻度污染,106,38,5,2,35,20
2015-02-15,95,良,71,91,20,2,27,33
2015-02-16,79,良,59,88,8,1.2,22,37
2015-02-17,39,优,26,39,8,1.1,18,36
2015-02-18,93,良,70,91,11,1.2,17,30
2015-02-19,117,轻度污染,89,95,17,1,12,41
2015-02-20,52,良,36,45,8,0.9,13,43
2015-02-21,48,优,32,48,8,0.9,15,40
2015-02-22,54,良,38,58,8,1.1,13,32
2015-02-23,36,优,25,33,4,1.3,12,24
2015-02-24,42,优,30,41,5,1.5,14,17
2015-02-25,82,良,61,98,11,1.5,17,32
2015-02-26,46,优,32,42,4,1.4,17,18
2015-02-27,68,良,50,72,9,1.5,16,67
2015-02-28,39,优,27,36,6,1,12,56
2015-03-01,29,优,18,29,4,1.2,12,53
2015-03-02,67,良,48,55,5,1.5,17,47
2015-03-03,47,优,33,47,34,1.6,16,42
2015-03-04,67,良,48,68,18,0.9,15,41
2015-03-05,32,优,23,30,6,1,12,39
2015-03-06,19,优,12,19,5,1,10,33
2015-03-07,45,优,31,35,7,1.1,14,23
2015-03-08,56,良,40,59,34,1.5,17,18
2015-03-09,66,良,48,68,21,1.3,17,16
2015-03-10,47,优,33,41,7,1.1,14,37
2015-03-11,28,优,19,28,9,1.2,13,28
2015-03-12,77,良,57,53,21,1.2,15,44
2015-03-13,46,优,32,34,6,1.1,14,54
2015-03-14,45,优,32,41,27,1.9,19,20
2015-03-15,133,轻度污染,101,161,73,3.1,25,16
2015-03-16,135,轻度污染,103,159,20,2.6,18,22
2015-03-17,101,轻度污染,76,110,12,1.2,17,101
2015-03-18,113,轻度污染,85,110,10,0.9,17,113
2015-03-19,134,轻度污染,102,120,10,1,18,106
2015-03-20,163,中度污染,124,125,10,1.3,19,77
2015-03-21,56,良,28,47,14,1,10,107
2015-03-22,76,良,56,79,19,1.1,19,100
2015-03-23,64,良,46,40,11,1.2,16,76
2015-03-24,42,优,29,40,8,1.1,17,58
2015-03-25,47,优,32,47,18,1,11,52
2015-03-26,83,良,62,83,18,0.9,14,48
2015-03-27,86,良,70,95,9,1,17,52
2015-03-28,109,轻度污染,82,102,9,1.1,18,46
2015-03-29,101,轻度污染,76,102,11,1,20,49
2015-03-30,67,良,49,70,11,0.8,17,63
2015-03-31,59,良,42,61,14,0.7,13,90
2015-04-01,56,良,40,62,8,0.7,11,101
2015-04-02,74,良,53,80,9,0.8,16,129
2015-04-03,100,良,74,110,14,1,24,160
2015-04-04,91,良,56,82,12,0.8,17,149
2015-04-05,83,良,61,82,10,0.8,12,139
2015-04-06,100,良,75,92,11,0.9,12,119
2015-04-07,36,优,6,17,4,1.1,6,71
2015-04-08,38,优,18,25,6,0.9,7,75
2015-04-09,36,优,21,30,6,0.9,10,71
2015-04-10,43,优,26,37,12,0.9,10,85
2015-04-11,59,良,42,69,29,0.9,16,95
2015-04-12,64,良,37,68,21,0.9,17,117
2015-04-13,90,良,56,103,36,1.2,28,148
2015-04-14,112,轻度污染,58,98,23,1,24,173
2015-04-15,105,轻度污染,51,81,14,0.8,14,165
2015-04-16,101,轻度污染,70,109,12,1,24,161
2015-04-17,81,良,60,88,9,0.9,20,128
2015-04-18,74,良,54,78,8,1,15,107
2015-04-19,139,轻度污染,77,112,9,1.3,16,203
2015-04-20,83,良,20,43,8,1.1,7,140
2015-04-21,53,良,22,41,9,1.1,15,103
2015-04-22,80,良,59,84,21,1.1,28,69
2015-04-23,50,优,34,51,13,0.9,10,76
2015-04-24,54,良,35,58,36,1.1,13,69
2015-04-25,53,良,26,56,31,1.1,16,100
2015-04-26,64,良,47,73,18,1,25,107
2015-04-27,89,良,66,101,16,1.2,27,108
2015-04-28,72,良,53,83,20,1.3,20,103
2015-04-29,62,良,38,74,62,1.8,14,108
2015-04-30,44,优,27,44,6,1,13,88
2015-05-01,49,优,24,39,7,0.9,8,97
2015-05-02,63,良,22,38,15,1,8,115
2015-05-03,73,良,54,67,8,1.1,12,85
2015-05-04,39,优,22,37,9,1.1,7,78
2015-05-05,41,优,20,30,10,1,11,81
2015-05-06,49,优,34,49,10,1.1,12,68
2015-05-07,62,良,45,67,12,1.2,18,59
2015-05-08,64,良,28,49,20,1.1,12,117
2015-05-09,55,良,28,45,17,1,14,106
2015-05-10,75,良,55,46,13,1.6,15,96
2015-05-11,47,优,27,42,12,1,16,93
2015-05-12,61,良,17,44,19,1,13,113
2015-05-13,58,良,35,55,14,1.1,11,110
2015-05-14,50,优,25,41,10,1,10,100
2015-05-15,50,优,30,44,14,1.2,12,100
2015-05-16,64,良,46,74,24,1.4,11,89
2015-05-17,60,良,43,56,15,1.2,12,85
2015-05-18,56,良,39,63,15,1.3,14,103
2015-05-19,52,良,36,50,15,1.2,14,95
2015-05-20,48,优,29,48,26,1.2,13,77
2015-05-21,63,良,45,63,50,1.7,12,72
2015-05-22,54,良,38,49,9,1.2,13,61
2015-05-23,39,优,17,28,22,1.5,10,77
2015-05-24,51,良,33,52,32,1.5,11,100
2015-05-25,62,良,45,63,26,1.3,13,85
2015-05-26,68,良,46,65,10,1.1,12,122
2015-05-27,53,良,34,55,8,0.9,13,87
2015-05-28,48,优,30,48,9,0.8,10,91
2015-05-29,55,良,35,59,13,0.8,11,102
2015-05-30,45,优,26,45,12,1.3,14,90
2015-05-31,36,优,23,36,5,1.2,13,50
2015-06-01,53,良,35,55,6,1.1,12,70
2015-06-02,44,优,24,35,5,0.9,10,87
2015-06-03,37,优,24,35,6,0.8,10,73
2015-06-04,38,优,22,34,9,0.8,11,75
2015-06-05,38,优,19,38,8,1.1,12,63
2015-06-06,40,优,26,40,6,0.9,12,71
2015-06-07,38,优,25,38,4,0.9,12,61
2015-06-08,38,优,20,38,5,1.1,12,52
2015-06-09,40,优,22,40,8,1.2,13,50
2015-06-10,52,良,31,54,6,1.2,15,70
2015-06-11,37,优,16,24,7,2,12,74
2015-06-12,40,优,23,36,6,4,14,56
2015-06-13,53,良,37,49,5,1.1,14,70
2015-06-14,40,优,27,40,6,1.4,21,41
2015-06-15,39,优,26,39,5,0.9,14,69
2015-06-16,42,优,27,42,6,0.8,11,71
2015-06-17,36,优,23,34,6,0.8,11,71
2015-06-18,34,优,22,34,5,0.8,13,48
2015-06-19,36,优,21,36,6,0.9,19,28
2015-06-20,40,优,28,40,4,1,14,39
2015-06-21,44,优,31,44,6,1.2,13,47
2015-06-22,48,优,31,48,13,1.1,11,67
2015-06-23,46,优,30,46,10,0.9,15,61
2015-06-24,31,优,20,31,5,0.7,12,59
2015-06-25,26,优,13,21,3,0.7,14,52
2015-06-26,33,优,20,33,4,0.7,11,53
2015-06-27,37,优,19,31,5,0.6,9,73
2015-06-28,44,优,19,34,5,0.6,8,88
2015-06-29,37,优,22,36,6,0.6,9,74
2015-06-30,42,优,24,39,6,0.6,10,83
2015-07-01,47,优,30,47,6,0.8,11,83
2015-07-02,41,优,27,41,10,1.3,15,60
2015-07-03,28,优,19,28,5,0.9,14,38
2015-07-04,30,优,17,30,4,1,12,55
2015-07-05,29,优,13,22,7,1.1,11,57
2015-07-06,47,优,22,33,5,1.4,11,93
2015-07-07,55,良,36,54,9,1.4,15,106
2015-07-08,58,良,35,54,10,1.5,15,110
2015-07-09,69,良,40,54,21,1.3,16,123
2015-07-10,66,良,48,66,14,1.5,13,83
2015-07-11,51,良,27,51,24,1.3,13,70
2015-07-12,57,良,40,61,23,1.4,16,92
2015-07-13,68,良,50,75,23,1.3,17,105
2015-07-14,70,良,51,76,21,1.2,21,98
2015-07-15,75,良,55,84,28,1.3,20,103
2015-07-16,55,良,37,60,34,1.1,16,96
2015-07-17,58,良,28,43,11,1,11,110
2015-07-18,61,良,44,61,16,1,16,112
2015-07-19,80,良,59,85,35,1.2,17,112
2015-07-20,79,良,58,81,27,1.2,15,112
2015-07-21,88,良,65,91,44,1.4,18,112
2015-07-22,50,优,34,50,8,0.9,10,90
2015-07-23,62,良,15,28,14,1,11,114
2015-07-24,48,优,26,48,27,1.8,14,90
2015-07-25,70,良,36,64,64,1.2,14,124
2015-07-26,54,良,35,53,54,1.2,12,104
2015-07-27,54,良,33,57,45,1.1,20,60
2015-07-28,26,优,14,26,15,0.7,14,45
2015-07-29,32,优,21,32,16,0.8,16,43
2015-07-30,26,优,17,26,16,0.7,14,42
2015-07-31,36,优,17,36,17,0.8,15,38
2015-08-01,32,优,17,32,15,0.8,14,46
2015-08-02,40,优,22,40,15,0.8,14,55
2015-08-03,57,良,37,64,26,0.8,12,52
2015-08-04,40,优,20,40,34,1.1,12,54
2015-08-05,47,优,24,47,19,1,17,52
2015-08-06,73,良,53,85,33,0.9,18,78
2015-08-07,72,良,44,73,49,1.1,18,126
2015-08-08,65,良,42,72,80,1.4,20,98
2015-08-09,63,良,42,72,76,1.4,18,100
2015-08-10,61,良,30,58,72,1.4,19,85
2015-08-11,88,良,53,94,101,1.8,24,145
2015-08-12,89,良,66,96,60,1.3,22,110
2015-08-13,54,良,38,56,43,1.3,16,80
2015-08-14,41,优,22,36,11,1,11,82
2015-08-15,41,优,24,38,14,0.9,11,82
2015-08-16,44,优,24,44,22,1,18,53
2015-08-17,42,优,24,42,23,1.1,16,74
2015-08-18,36,优,20,36,20,1.1,12,64
2015-08-19,66,良,21,45,82,1.3,23,43
2015-08-20,72,良,20,41,48,1.1,16,126
2015-08-21,53,良,27,56,47,1.3,17,103
2015-08-22,68,良,46,80,54,1.7,22,121
2015-08-23,82,良,56,94,62,1.4,24,138
2015-08-24,128,轻度污染,76,115,63,1.5,25,190
2015-08-25,102,轻度污染,76,103,51,1.2,23,100
2015-08-26,83,良,61,78,38,1,12,80
2015-08-27,77,良,56,76,28,0.8,18,71
2015-08-28,84,良,62,90,25,0.8,18,83
2015-08-29,37,优,14,24,10,0.6,14,74
2015-08-30,54,良,37,57,41,1.1,20,85
2015-08-31,54,良,38,58,26,0.8,20,74
2015-09-01,77,良,56,82,75,1.5,22,94
2015-09-02,52,良,36,50,52,1.3,20,64
2015-09-03,30,优,18,30,16,0.7,24,52
2015-09-04,32,优,17,32,14,0.6,18,56
2015-09-05,50,优,26,50,18,0.8,20,58
2015-09-06,56,良,33,61,36,1.2,24,48
2015-09-07,51,良,26,52,19,1.1,22,41
2015-09-08,52,良,30,54,12,1.1,26,36
2015-09-09,42,优,29,42,12,1,24,37
2015-09-10,65,良,44,80,24,1.2,37,44
2015-09-11,110,轻度污染,83,133,57,2,29,86
2015-09-12,50,优,18,35,50,1.3,23,54
2015-09-13,69,良,26,45,88,1.3,26,54
2015-09-14,67,良,48,76,69,1.3,29,85
2015-09-15,75,良,55,84,30,1.3,27,102
2015-09-16,83,良,61,91,44,1.3,27,104
2015-09-17,103,轻度污染,77,107,30,1.3,34,101
2015-09-18,84,良,62,86,24,1.2,28,66
2015-09-19,46,优,25,46,12,0.8,19,49
2015-09-20,29,优,10,27,8,1,16,58
2015-09-21,36,优,17,36,14,1.1,22,54
2015-09-22,62,良,44,72,16,1.5,29,35
2015-09-23,59,良,36,68,12,1.8,26,30
2015-09-24,48,优,28,48,13,1.1,20,46
2015-09-25,53,良,30,56,16,1.7,22,31
2015-09-26,29,优,12,26,8,1.2,17,44
2015-09-27,46,优,28,46,20,1.5,20,66
2015-09-28,64,良,46,74,22,1.5,21,66
2015-09-29,82,良,60,94,24,1.6,28,85
2015-09-30,77,良,56,94,26,1.6,32,116
2015-10-01,80,良,59,92,43,1.4,31,84
2015-10-02,64,良,46,63,12,1.1,20,70
2015-10-03,77,良,56,88,53,1.5,28,84
2015-10-04,79,良,58,83,30,1.5,22,106
2015-10-05,52,良,26,38,24,1.7,24,102
2015-10-06,48,优,26,45,48,1.9,26,56
2015-10-07,64,良,42,78,50,2.1,30,39
2015-10-08,69,良,50,88,60,2.7,29,28
2015-10-09,60,良,43,58,22,1.8,26,70
2015-10-10,51,良,30,52,30,1.7,24,56
2015-10-11,59,良,39,67,48,1.7,24,70
2015-10-12,69,良,47,87,44,2.1,33,75
2015-10-13,73,良,48,83,96,2,32,71
2015-10-14,68,良,47,86,72,1.7,36,116
2015-10-15,77,良,56,96,51,1.8,36,106
2015-10-16,84,良,62,97,49,1.7,36,122
2015-10-17,89,良,66,107,54,1.5,35,116
2015-10-18,92,良,68,114,62,2,36,115
2015-10-19,120,轻度污染,91,138,76,2,44,121
2015-10-20,112,轻度污染,84,128,62,1.9,40,136
2015-10-21,112,轻度污染,84,128,58,1.8,44,132
2015-10-22,114,轻度污染,86,125,30,1.6,42,141
2015-10-23,105,轻度污染,79,120,49,1.5,46,105
2015-10-24,97,良,72,110,32,1.4,42,108
2015-10-25,100,良,75,108,35,1.4,38,109
2015-10-26,87,良,64,94,31,1.3,34,93
2015-10-27,67,良,48,82,26,1.1,32,85
2015-10-28,64,良,46,65,22,1.1,22,91
2015-10-29,49,优,34,49,24,1,21,68
2015-10-30,30,优,18,30,11,1.1,22,38
2015-10-31,33,优,14,20,14,1.3,16,54
2015-11-01,38,优,24,38,24,1.5,22,63
2015-11-02,65,良,47,69,56,1.4,32,65
2015-11-03,72,良,52,74,48,1.4,26,81
2015-11-04,87,良,64,87,95,1.6,32,64
2015-11-05,97,良,72,101,36,1.7,34,68
2015-11-06,77,良,56,90,26,1.6,31,73
2015-11-07,45,优,24,45,23,1.3,26,50
2015-11-08,36,优,20,36,23,1.2,21,36
2015-11-09,37,优,24,37,22,1.2,14,56
2015-11-10,32,优,16,22,10,1.3,16,48
2015-11-11,38,优,12,18,12,1.5,19,40
2015-11-12,40,优,6,9,4,1.6,19,30
2015-11-13,39,优,11,21,18,1.5,14,57
2015-11-14,38,优,26,38,34,1.5,16,44
2015-11-15,79,良,58,86,47,2,28,36
2015-11-16,59,良,42,59,12,2,34,28
2015-11-17,55,良,34,59,11,1.6,29,56
2015-11-18,46,优,26,46,12,1.3,16,28
2015-11-19,67,良,48,84,44,1.8,22,30
2015-11-20,49,优,21,42,21,2,26,22
2015-11-21,42,优,20,38,32,1.7,25,48
2015-11-22,63,良,43,76,51,1.8,30,46
2015-11-23,77,良,56,96,25,1.9,32,52
2015-11-24,74,良,54,75,18,1.8,28,76
2015-11-25,42,优,11,27,4,1.7,20,48
2015-11-26,51,良,28,52,27,1.7,34,68
2015-11-27,53,良,37,51,28,1.5,23,57
2015-11-28,52,良,36,38,14,1.6,26,46
2015-11-29,56,良,30,52,62,1.8,29,51
2015-11-30,67,良,48,76,64,1.7,32,45
2015-12-01,57,良,40,50,8,1.8,28,40
2015-12-02,41,优,21,41,18,1.5,23,52
2015-12-03,58,良,31,66,18,1.2,30,64
2015-12-04,42,优,22,42,6,1.1,22,49
2015-12-05,31,优,10,20,15,1.2,20,47
2015-12-06,36,优,18,34,14,1.2,26,72
2015-12-07,45,优,28,45,22,1.1,28,56
2015-12-08,64,良,46,58,20,1.1,34,38
2015-12-09,52,良,36,46,18,1.2,30,23
2015-12-10,48,优,31,48,26,1.1,23,27
2015-12-11,54,良,38,50,16,1.1,24,36
2015-12-12,32,优,16,22,11,1.3,24,30
2015-12-13,40,优,14,32,8,1.6,20,24
2015-12-14,48,优,20,36,10,1.9,21,52
2015-12-15,35,优,17,26,4,1.2,13,70
2015-12-16,44,优,28,44,8,1.1,14,80
2015-12-17,59,良,35,68,25,1.2,29,88
2015-12-18,59,良,32,68,40,1.1,34,76
2015-12-19,64,良,46,72,45,1.2,35,58
2015-12-20,69,良,50,60,16,1.4,30,46
2015-12-21,92,良,68,104,32,1.7,39,46
2015-12-22,130,轻度污染,99,148,81,2.1,45,67
