日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,76,良,52,103,26,1.1,52,99
2013-12-03,80,良,57,109,28,1,53,100
2013-12-04,76,良,47,102,39,0.9,48,115
2013-12-05,81,良,54,113,42,1,58,108
2013-12-06,92,良,69,125,37,1.1,58,121
2013-12-07,84,良,50,77,17,0.7,28,141
2013-12-08,97,良,64,145,40,1.2,47,106
2013-12-09,101,轻度污染,76,145,33,1.3,40,145
2013-12-10,109,轻度污染,82,148,51,1.5,39,132
2013-12-11,113,轻度污染,85,128,49,1.4,34,83
2013-12-12,148,轻度污染,113,149,47,1.5,52,73
2013-12-13,128,轻度污染,98,117,26,1.5,32,88
2013-12-14,114,轻度污染,86,100,17,1.4,30,71
2013-12-15,54,良,38,47,8,1.4,28,34
2013-12-16,24,优,7,11,13,1.5,30,47
2013-12-17,15,优,8,12,6,1.3,23,30
2013-12-18,23,优,15,22,13,0.9,16,45
2013-12-19,38,优,25,38,15,0.8,18,71
2013-12-20,56,良,39,58,22,0.8,26,83
2013-12-21,102,轻度污染,76,90,29,1,23,111
2013-12-22,132,轻度污染,100,126,38,1.3,37,98
2013-12-23,102,轻度污染,76,104,34,1.2,37,103
2013-12-24,96,良,72,95,38,1.1,33,102
2013-12-25,110,轻度污染,83,110,42,1.3,41,99
2013-12-26,100,良,75,98,44,1,27,120
2013-12-27,166,中度污染,127,159,65,1.5,31,112
2013-12-28,74,良,54,85,29,0.9,27,89
2013-12-29,74,良,54,85,30,1.1,44,83
2013-12-30,91,良,68,117,38,1.4,69,81
2013-12-31,92,良,68,113,36,1.4,59,89
2014-01-01,93,良,69,114,37,1.3,54,110
2014-01-02,112,轻度污染,85,130,33,1.6,62,106
2014-01-03,98,良,74,115,24,1.5,51,102
2014-01-04,120,轻度污染,91,124,46,1.4,31,140
2014-01-05,111,轻度污染,84,126,48,1.4,49,121
2014-01-06,145,轻度污染,111,161,36,1.8,65,126
2014-01-07,132,轻度污染,100,153,27,1.8,63,67
2014-01-08,77,良,56,82,16,2,37,46
2014-01-09,55,良,39,47,19,1.7,23,67
2014-01-10,78,良,57,72,22,1.6,29,58
2014-01-11,77,良,57,82,23,1.5,36,85
2014-01-12,59,良,42,64,17,1.4,27,50
2014-01-13,44,优,31,37,23,1.1,18,59
2014-01-14,49,优,34,43,16,1.2,18,69
2014-01-15,94,良,71,90,22,1.2,19,95
2014-01-16,103,轻度污染,77,106,19,1.5,42,102
2014-01-17,92,良,69,101,29,1.2,36,112
2014-01-18,92,良,69,93,25,0.9,27,135
2014-01-19,125,轻度污染,95,125,27,1.2,42,138
2014-01-20,104,轻度污染,78,108,23,1,39,150
2014-01-21,94,良,70,115,32,0.9,25,141
2014-01-22,94,良,70,111,22,1,37,121
2014-01-23,90,良,67,97,20,1.1,49,123
2014-01-24,79,良,58,91,19,1.2,47,105
2014-01-25,56,良,37,63,10,1.3,43,75
2014-01-26,62,良,44,62,14,1.2,36,88
2014-01-27,142,轻度污染,108,109,20,1.5,34,137
2014-01-28,112,轻度污染,85,106,13,1.4,35,130
2014-01-29,107,轻度污染,81,99,14,1.5,37,139
2014-01-30,100,良,75,97,18,1.4,32,155
2014-01-31,166,中度污染,126,165,32,1.1,21,141
2014-02-01,66,良,48,66,12,1.1,21,104
2014-02-02,63,良,45,55,11,1.1,21,112
2014-02-03,67,良,49,62,11,1.2,27,118
2014-02-04,64,良,47,56,8,1.2,19,105
2014-02-05,54,良,39,52,10,1.3,16,91
2014-02-06,42,优,22,28,10,1.2,18,83
2014-02-07,24,优,14,17,5,1.3,21,48
2014-02-08,18,优,13,16,5,1.3,19,27
2014-02-09,16,优,5,7,4,1.3,17,32
2014-02-10,46,优,32,37,17,1.5,15,58
2014-02-11,54,良,38,44,13,1.1,13,66
2014-02-12,59,良,42,47,11,1.1,15,60
2014-02-13,39,优,27,27,8,1.2,16,49
2014-02-14,52,良,37,36,12,1.2,12,74
2014-02-15,45,优,32,39,9,1.3,16,56
2014-02-16,64,良,46,59,8,1.9,31,49
2014-02-17,75,良,55,78,11,2.7,38,49
2014-02-18,32,优,22,32,6,1.7,24,26
2014-02-19,29,优,13,19,8,1.4,18,57
2014-02-20,38,优,26,35,11,1.3,17,70
2014-02-21,62,良,44,74,17,1.6,31,77
2014-02-22,83,良,61,82,20,1.5,39,91
2014-02-23,100,良,75,96,22,1.8,37,99
2014-02-24,58,良,41,62,20,1.6,30,110
2014-02-25,53,良,37,56,13,1.4,26,84
2014-02-26,41,优,29,38,12,1.7,26,58
2014-02-27,48,优,27,35,11,1.6,18,96
2014-02-28,56,良,40,52,16,1.5,21,80
2014-03-01,55,良,39,58,11,1.7,27,67
2014-03-02,28,优,16,25,11,1.9,20,56
2014-03-03,40,优,24,40,15,1.7,22,46
2014-03-04,40,优,27,40,12,1.6,22,18
2014-03-05,32,优,20,32,14,1.5,21,37
2014-03-06,53,良,38,51,13,1.6,24,30
2014-03-07,19,优,12,19,11,1.4,20,25
2014-03-08,18,优,13,18,6,1.4,20,21
2014-03-09,23,优,16,22,8,1.3,18,40
2014-03-10,38,优,26,31,14,1.4,23,53
2014-03-11,31,优,22,28,7,1.6,32,25
2014-03-12,74,良,54,66,10,2.7,44,23
2014-03-13,47,优,29,41,10,1.6,19,93
2014-03-14,73,良,54,70,19,1.4,21,93
2014-03-15,96,良,71,99,26,1.6,34,66
2014-03-16,76,良,56,78,9,1.6,26,44
2014-03-17,86,良,63,102,16,2,34,73
2014-03-18,82,良,61,90,21,1.8,32,83
2014-03-19,77,良,57,86,17,1.3,31,99
2014-03-20,80,良,59,97,19,1.1,32,71
2014-03-21,64,良,47,66,17,0.7,18,71
2014-03-22,59,良,42,61,18,0.8,22,89
2014-03-23,88,良,59,98,20,0.9,26,145
2014-03-24,94,良,70,109,34,1,36,132
2014-03-25,65,良,47,78,18,1,29,118
2014-03-26,98,良,47,71,18,1,27,158
2014-03-27,60,良,43,67,16,0.9,25,107
2014-03-28,45,优,30,45,14,0.9,15,84
2014-03-29,43,优,30,40,10,0.9,20,48
2014-03-30,41,优,28,38,10,1,27,72
2014-03-31,44,优,19,20,7,0.9,16,88
2014-04-01,54,良,26,40,19,1.2,22,105
2014-04-02,49,优,35,43,10,1.2,24,54
2014-04-03,40,优,28,33,9,1.3,25,71
2014-04-04,76,良,56,73,21,1.2,26,102
2014-04-05,79,良,58,77,20,1.2,37,130
2014-04-06,93,良,69,82,20,1.2,35,99
2014-04-07,65,良,47,58,19,1.1,31,94
2014-04-08,63,良,46,60,13,1.3,35,84
2014-04-09,63,良,46,63,16,1.1,34,83
2014-04-10,51,良,36,47,10,0.8,20,89
2014-04-11,49,优,33,49,14,0.7,22,94
2014-04-12,51,良,33,51,12,0.8,23,72
2014-04-13,111,轻度污染,51,72,14,0.8,29,172
2014-04-14,61,良,44,58,13,1.1,22,104
2014-04-15,79,良,37,60,11,0.8,21,135
2014-04-16,74,良,41,63,14,0.8,25,129
2014-04-17,64,良,35,53,13,0.7,20,117
2014-04-18,76,良,33,53,18,0.7,24,131
2014-04-19,53,良,35,55,16,0.8,26,103
2014-04-20,78,良,58,85,23,1.1,38,106
2014-04-21,65,良,47,59,15,0.9,24,68
2014-04-22,46,优,30,46,15,1,23,71
2014-04-23,60,良,43,65,16,1.2,36,61
2014-04-24,68,良,49,66,10,1.1,32,61
2014-04-25,68,良,50,75,18,1,30,75
2014-04-26,38,优,26,38,10,0.9,31,71
2014-04-27,39,优,23,39,12,0.9,27,67
2014-04-28,70,良,28,48,12,1,21,124
2014-04-29,73,良,54,84,18,1,26,122
2014-04-30,48,优,29,39,9,0.9,23,95
2014-05-01,34,优,24,31,11,0.9,23,49
2014-05-02,47,优,31,47,16,1.1,32,91
2014-05-03,76,良,41,71,24,1.1,34,131
2014-05-04,52,良,35,53,12,1,27,99
2014-05-05,41,优,15,21,9,0.8,23,81
2014-05-06,34,优,23,34,11,0.8,25,54
2014-05-07,33,优,23,30,10,1,36,32
2014-05-08,39,优,28,37,13,1.3,40,51
2014-05-09,27,优,15,21,10,1,26,53
2014-05-10,34,优,18,29,9,0.8,19,67
2014-05-11,28,优,16,25,9,0.8,23,56
2014-05-12,43,优,30,41,12,1.2,40,49
2014-05-13,48,优,31,48,15,1.3,33,41
2014-05-14,44,优,20,33,8,0.8,22,87
2014-05-15,46,优,22,33,12,1,23,91
2014-05-16,36,优,24,36,12,1,27,62
2014-05-17,25,优,15,25,7,0.8,26,42
2014-05-18,38,优,18,25,8,0.8,22,75
