日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,75,良,53,101,22,0.8,25,128
2013-12-03,79,良,58,107,18,0.9,34,117
2013-12-04,87,良,64,108,19,0.9,32,107
2013-12-05,61,良,36,71,10,0.7,24,93
2013-12-06,65,良,43,80,12,0.7,25,116
2013-12-07,83,良,62,104,12,0.8,21,115
2013-12-08,89,良,66,109,11,0.9,22,107
2013-12-09,69,良,50,80,9,1,25,85
2013-12-10,120,轻度污染,91,145,37,1.3,23,65
2013-12-11,78,良,58,94,18,1,21,75
2013-12-12,79,良,48,109,24,0.9,27,76
2013-12-13,79,良,58,109,26,1.1,31,73
2013-12-14,79,良,59,72,10,1,23,82
2013-12-15,33,优,15,21,3,0.9,14,65
2013-12-16,31,优,11,11,3,0.9,13,62
2013-12-17,24,优,8,12,4,0.7,16,47
2013-12-18,19,优,8,19,4,0.6,15,36
2013-12-19,44,优,23,44,8,0.5,19,80
2013-12-20,66,良,48,75,14,0.7,24,81
2013-12-21,81,良,60,92,19,0.8,26,77
2013-12-22,88,良,66,96,19,0.9,32,89
2013-12-23,60,良,37,71,10,0.7,34,56
2013-12-24,61,良,37,73,14,0.6,28,83
2013-12-25,57,良,35,65,13,0.7,23,78
2013-12-26,71,良,52,90,16,0.8,29,80
2013-12-27,119,轻度污染,90,124,29,0.9,23,104
2013-12-28,107,轻度污染,80,112,21,1,25,84
2013-12-29,64,良,39,78,21,0.7,26,76
2013-12-30,91,良,68,118,18,1,40,76
2013-12-31,95,良,71,129,18,1.2,50,78
2014-01-01,88,良,65,121,16,1.1,42,92
2014-01-02,89,良,58,128,17,1.1,58,81
2014-01-03,125,轻度污染,95,175,19,1.4,64,98
2014-01-04,120,轻度污染,91,146,28,1.1,46,111
2014-01-05,177,中度污染,134,182,44,1.3,36,122
2014-01-06,81,良,60,104,23,0.9,31,108
2014-01-07,64,良,33,79,10,0.7,38,79
2014-01-08,89,良,53,127,15,1.1,46,73
2014-01-09,54,良,27,57,10,0.9,24,58
2014-01-10,55,良,29,60,8,0.7,21,53
2014-01-11,58,良,27,66,6,0.6,24,60
2014-01-12,72,良,36,93,10,0.8,33,60
2014-01-13,44,优,24,44,8,0.8,25,42
2014-01-14,48,优,28,48,7,0.9,19,50
2014-01-15,69,良,46,88,12,0.9,20,82
2014-01-16,53,良,21,55,7,0.6,19,78
2014-01-17,64,良,29,79,8,0.6,27,64
2014-01-18,86,良,64,104,14,0.8,29,133
2014-01-19,105,轻度污染,79,111,18,0.9,26,131
2014-01-20,81,良,60,105,10,0.9,34,90
2014-01-21,100,良,75,146,23,1,25,88
2014-01-22,64,良,33,79,15,0.7,20,77
2014-01-23,53,良,29,57,7,0.7,22,73
2014-01-24,56,良,31,61,5,0.8,30,73
2014-01-25,64,良,37,77,7,0.9,39,89
2014-01-26,130,轻度污染,99,132,17,1.1,31,90
2014-01-27,41,优,19,41,4,0.5,16,82
2014-01-28,43,优,23,43,4,0.6,17,76
2014-01-29,48,优,23,48,4,0.7,23,80
2014-01-30,91,良,68,111,13,1.1,31,108
2014-01-31,327,严重污染,277,337,33,1.1,28,113
2014-02-01,71,良,52,75,6,0.9,24,85
2014-02-02,63,良,45,72,6,1,22,103
2014-02-03,74,良,54,92,7,1.1,27,110
2014-02-04,50,优,23,50,2,1,14,88
2014-02-05,33,优,10,15,1,0.9,16,65
2014-02-06,23,优,10,23,2,1,20,39
2014-02-07,34,优,19,34,4,0.8,25,43
2014-02-08,23,优,15,23,4,0.8,18,42
2014-02-09,24,优,8,12,1,0.8,17,48
2014-02-10,25,优,17,25,5,0.9,18,41
2014-02-11,44,优,30,42,4,0.6,14,58
2014-02-12,41,优,29,40,4,0.6,18,60
2014-02-13,21,优,14,21,2,0.7,18,40
2014-02-14,28,优,15,28,3,0.7,15,46
2014-02-15,47,优,33,46,4,0.7,15,58
2014-02-16,36,优,18,36,3,0.7,23,54
2014-02-17,61,良,28,73,10,1,37,36
2014-02-18,36,优,21,36,5,1,28,21
2014-02-19,17,优,6,12,2,0.8,15,33
2014-02-20,30,优,12,27,3,0.6,12,60
