»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,312,—œ÷ÿŒ€»æ,262,355,206,1.5,134,18
2013-12-03,329,—œ÷ÿŒ€»æ,279,410,191,1.4,116,11
2013-12-04,270,÷ÿ∂»Œ€»æ,220,302,159,1.8,100,8
2013-12-05,338,—œ÷ÿŒ€»æ,288,245,130,1.9,85,12
2013-12-06,201,÷ÿ∂»Œ€»æ,151,184,123,1.1,74,13
2013-12-07,337,—œ÷ÿŒ€»æ,287,362,130,0.1,96,23
2013-12-08,296,÷ÿ∂»Œ€»æ,246,304,80,0.2,65,21
2013-12-09,87,¡º,64,81,38,1.3,39,30
2013-12-10,147,«·∂»Œ€»æ,113,204,109,1.8,77,28
2013-12-11,68,¡º,46,85,59,1.2,38,35
2013-12-12,108,«·∂»Œ€»æ,81,147,93,1.7,63,9
2013-12-13,91,¡º,68,114,113,1.8,55,10
2013-12-14,229,÷ÿ∂»Œ€»æ,179,254,129,1.8,84,5
2013-12-15,305,—œ÷ÿŒ€»æ,255,349,204,0.2,102,7
2013-12-16,251,÷ÿ∂»Œ€»æ,201,297,148,0.8,94,6
2013-12-17,279,÷ÿ∂»Œ€»æ,229,316,149,0.4,96,5
2013-12-18,122,«·∂»Œ€»æ,92,121,83,1.3,51,17
2013-12-19,187,÷–∂»Œ€»æ,141,224,164,2.3,73,6
2013-12-20,169,÷–∂»Œ€»æ,129,198,162,2.7,80,11
2013-12-21,101,«·∂»Œ€»æ,76,125,116,2.3,65,12
2013-12-22,177,÷–∂»Œ€»æ,134,215,151,3.2,75,9
2013-12-23,268,÷ÿ∂»Œ€»æ,218,321,157,4,80,5
2013-12-24,349,—œ÷ÿŒ€»æ,299,401,195,4.9,94,5
2013-12-25,376,—œ÷ÿŒ€»æ,326,419,120,4.8,90,5
2013-12-26,112,«·∂»Œ€»æ,85,125,32,1.6,35,18
2013-12-27,74,¡º,44,99,93,2.2,54,14
2013-12-28,110,«·∂»Œ€»æ,83,165,80,3.1,62,13
2013-12-29,105,«·∂»Œ€»æ,79,154,100,2.7,67,9
2013-12-30,144,«·∂»Œ€»æ,110,205,103,3.5,86,7
2013-12-31,137,«·∂»Œ€»æ,104,196,103,3.7,71,9
2014-01-01,168,÷–∂»Œ€»æ,128,227,103,4.6,69,6
2014-01-02,184,÷–∂»Œ€»æ,139,224,123,4.5,68,7
2014-01-03,199,÷–∂»Œ€»æ,150,241,123,4.4,75,8
2014-01-04,74,¡º,54,77,59,1.9,37,12
2014-01-05,177,÷–∂»Œ€»æ,134,183,72,2.9,55,7
