»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,177,÷–∂»Œ€»æ,134,163,33,0.9,55,30
2014-01-01,172,÷–∂»Œ€»æ,130,164,46,0.7,51,36
2014-01-02,203,÷ÿ∂»Œ€»æ,153,188,58,0.8,49,36
2014-01-03,181,÷–∂»Œ€»æ,137,204,65,1.1,64,65
2014-01-04,183,÷–∂»Œ€»æ,138,193,55,1.1,67,90
2014-01-05,259,÷ÿ∂»Œ€»æ,209,258,69,1.3,63,47
2014-01-06,297,÷ÿ∂»Œ€»æ,247,312,73,1.6,76,16
2014-01-07,226,÷ÿ∂»Œ€»æ,176,219,62,1.3,49,21
2014-01-08,136,«·∂»Œ€»æ,103,137,50,1,47,36
2014-01-09,144,«·∂»Œ€»æ,111,138,52,0.8,46,32
2014-01-10,140,«·∂»Œ€»æ,107,125,38,1.1,46,15
2014-01-11,157,÷–∂»Œ€»æ,120,144,75,1.2,39,7
2014-01-12,167,÷–∂»Œ€»æ,127,154,71,1.2,44,24
2014-01-13,118,«·∂»Œ€»æ,90,108,30,0.9,45,81
2014-01-14,131,«·∂»Œ€»æ,100,125,61,1,54,50
2014-01-15,213,÷ÿ∂»Œ€»æ,163,188,76,1.3,48,11
2014-01-16,220,÷ÿ∂»Œ€»æ,170,194,61,1.2,51,18
2014-01-17,161,÷–∂»Œ€»æ,123,153,51,1.3,50,74
2014-01-18,203,÷ÿ∂»Œ€»æ,153,186,56,1.3,54,45
2014-01-19,235,÷ÿ∂»Œ€»æ,185,209,50,1.3,52,33
2014-01-20,104,«·∂»Œ€»æ,79,103,25,1,46,86
2014-01-21,120,«·∂»Œ€»æ,91,128,51,0.9,56,43
2014-01-22,188,÷–∂»Œ€»æ,142,194,61,1.6,69,84
2014-01-23,232,÷ÿ∂»Œ€»æ,182,232,70,1.8,72,106
2014-01-24,265,÷ÿ∂»Œ€»æ,215,267,85,1.9,71,61
2014-01-25,243,÷ÿ∂»Œ€»æ,193,245,40,1.9,70,71
2014-01-26,327,—œ÷ÿŒ€»æ,277,332,62,2,66,39
2014-01-27,280,÷ÿ∂»Œ€»æ,230,291,44,1.9,64,24
2014-01-28,306,—œ÷ÿŒ€»æ,256,318,59,2,59,17
2014-01-29,292,÷ÿ∂»Œ€»æ,242,305,20,2.3,59,26
2014-01-30,315,—œ÷ÿŒ€»æ,265,327,17,1.8,42,24
2014-01-31,359,—œ÷ÿŒ€»æ,309,373,31,1.5,38,64
2014-02-01,269,÷ÿ∂»Œ€»æ,219,258,26,1.5,42,64
2014-02-02,236,÷ÿ∂»Œ€»æ,186,223,24,1.5,40,91
2014-02-03,245,÷ÿ∂»Œ€»æ,195,237,23,1.8,53,61
2014-02-04,262,÷ÿ∂»Œ€»æ,212,243,28,1.7,45,27
2014-02-05,134,«·∂»Œ€»æ,102,119,12,0.8,31,32
2014-02-06,64,¡º,46,58,8,0.8,27,19
2014-02-07,57,¡º,40,47,9,0.9,26,22
2014-02-08,46,”≈,32,40,10,0.7,24,17
2014-02-09,32,”≈,23,27,7,0.6,21,25
2014-02-10,32,”≈,22,27,12,0.6,20,37
2014-02-11,48,”≈,33,42,23,0.8,24,43
2014-02-12,87,¡º,64,78,28,0.7,35,44
2014-02-13,91,¡º,68,86,30,0.9,35,69
2014-02-14,104,«·∂»Œ€»æ,78,102,36,1.1,41,56
2014-02-15,120,«·∂»Œ€»æ,91,123,56,1.1,48,40
2014-02-16,123,«·∂»Œ€»æ,93,128,68,1.1,47,34
2014-02-17,158,÷–∂»Œ€»æ,121,152,41,1.1,41,21
2014-02-18,76,¡º,56,68,23,0.7,33,64
2014-02-19,75,¡º,55,72,32,0.6,39,104
2014-02-20,92,¡º,69,92,44,0.6,49,69
2014-02-21,180,÷–∂»Œ€»æ,136,174,59,1,46,56
2014-02-22,173,÷–∂»Œ€»æ,131,164,60,0.9,48,79
2014-02-23,200,÷–∂»Œ€»æ,150,185,62,1,52,55
2014-02-24,197,÷–∂»Œ€»æ,148,183,67,1,47,99
2014-02-25,210,÷ÿ∂»Œ€»æ,160,197,62,1.2,54,116
2014-02-26,197,÷–∂»Œ€»æ,148,184,61,1.2,56,87
2014-02-27,86,¡º,64,81,34,0.8,39,26
2014-02-28,67,¡º,48,63,34,0.7,33,22
2014-03-01,44,”≈,30,44,23,0.8,32,18
2014-03-02,39,”≈,28,35,25,0.7,29,40
2014-03-03,55,¡º,39,49,41,0.8,37,34
2014-03-04,65,¡º,47,65,37,0.8,37,87
2014-03-05,88,¡º,65,100,52,1.1,51,54
2014-03-06,119,«·∂»Œ€»æ,91,115,42,0.9,44,28
