»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,75,¡º,25,99,38,2.2,37,78
2013-12-01,117,«·∂»Œ€»æ,88,158,86,1.4,55,44
2013-12-02,120,«·∂»Œ€»æ,91,164,74,1.3,53,54
2013-12-03,123,«·∂»Œ€»æ,93,142,104,1.5,53,56
2013-12-04,88,¡º,65,104,62,2.3,51,62
2013-12-05,85,¡º,63,107,96,2,54,58
2013-12-06,93,¡º,69,96,61,2.8,52,77
2013-12-07,137,«·∂»Œ€»æ,104,137,86,2.9,64,73
2013-12-08,244,÷ÿ∂»Œ€»æ,180,204,65,3.2,65,146
2013-12-09,52,¡º,20,49,41,2.1,26,81
2013-12-10,65,¡º,40,80,68,2.2,41,59
2013-12-11,66,¡º,31,58,51,2.6,43,98
2013-12-12,108,«·∂»Œ€»æ,60,107,91,2.3,52,168
2013-12-13,139,«·∂»Œ€»æ,106,140,104,3.4,65,48
2013-12-14,149,«·∂»Œ€»æ,114,146,100,3.2,66,53
2013-12-15,246,÷ÿ∂»Œ€»æ,196,243,96,5.4,88,82
2013-12-16,460,—œ÷ÿŒ€»æ,429,560,83,6.8,118,89
2013-12-17,457,—œ÷ÿŒ€»æ,435,440,92,6.9,110,73
2013-12-18,193,÷–∂»Œ€»æ,145,138,109,4,65,40
2013-12-19,253,÷ÿ∂»Œ€»æ,203,193,82,4.3,76,54
2013-12-20,500,—œ÷ÿŒ€»æ,261,250,96,4.7,86,385
2013-12-21,396,—œ÷ÿŒ€»æ,346,315,88,5.4,90,68
2013-12-22,418,—œ÷ÿŒ€»æ,376,346,86,5.6,97,118
2013-12-23,432,—œ÷ÿŒ€»æ,398,385,80,6,107,77
2013-12-24,430,—œ÷ÿŒ€»æ,394,439,72,7.5,114,86
2013-12-25,310,—œ÷ÿŒ€»æ,260,327,95,5.6,93,60
2013-12-26,63,¡º,34,75,45,2,35,77
2013-12-27,53,¡º,25,46,56,1.9,37,78
2013-12-28,60,¡º,36,70,66,2.2,44,77
2013-12-29,57,¡º,31,58,52,2.3,39,89
2013-12-30,75,¡º,40,99,62,2.3,49,89
2014-01-01,67,¡º,32,77,60,2.6,45,47
2014-01-02,79,¡º,53,107,65,2.8,47,34
2014-01-03,69,¡º,29,88,52,2.4,35,58
2014-01-04,73,¡º,45,96,52,2.9,45,46
2014-01-05,97,¡º,72,139,61,3.3,56,36
2014-01-06,202,÷ÿ∂»Œ€»æ,152,208,69,3.9,69,37
2014-01-07,210,÷ÿ∂»Œ€»æ,160,208,66,3.6,62,39
2014-01-08,153,÷–∂»Œ€»æ,117,165,53,3.8,57,48
2014-01-09,112,«·∂»Œ€»æ,84,137,51,2.9,53,30
2014-01-10,193,÷–∂»Œ€»æ,145,214,59,3.1,56,28
2014-01-11,234,÷ÿ∂»Œ€»æ,184,251,76,3.5,62,33
2014-01-12,84,¡º,62,107,51,2.4,41,42
2014-01-13,158,÷–∂»Œ€»æ,120,177,44,3.1,53,33
2014-01-14,271,÷ÿ∂»Œ€»æ,221,281,32,3.6,53,29
2014-01-15,305,—œ÷ÿŒ€»æ,255,293,38,3.3,52,30
2014-01-16,272,÷ÿ∂»Œ€»æ,222,275,57,3.6,59,35
2014-01-17,248,÷ÿ∂»Œ€»æ,198,264,54,3.8,58,50
2014-01-18,298,÷ÿ∂»Œ€»æ,248,303,76,4.3,75,50
2014-01-19,135,«·∂»Œ€»æ,103,180,64,2.7,50,59
2014-01-20,58,¡º,21,66,32,1.8,25,70
2014-01-21,70,¡º,49,90,54,2,44,52
2014-01-22,112,«·∂»Œ€»æ,84,129,71,2.4,56,50
