»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,310,—œ÷ÿŒ€»æ,260,335,176,2.4,92,28
2013-12-03,356,—œ÷ÿŒ€»æ,306,386,215,2.7,91,22
2013-12-04,302,—œ÷ÿŒ€»æ,252,309,164,2.1,75,20
2013-12-05,356,—œ÷ÿŒ€»æ,306,369,107,2.1,62,34
2013-12-06,208,÷ÿ∂»Œ€»æ,158,231,125,1.9,61,20
2013-12-07,355,—œ÷ÿŒ€»æ,305,381,134,2.9,78,20
2013-12-08,298,÷ÿ∂»Œ€»æ,248,313,123,1.7,48,40
2013-12-09,164,÷–∂»Œ€»æ,125,192,97,1.5,50,48
2013-12-10,137,«·∂»Œ€»æ,104,193,107,1.6,56,53
2013-12-11,95,¡º,68,140,98,1,53,37
2013-12-12,158,÷–∂»Œ€»æ,120,182,106,1.1,58,24
2013-12-13,123,«·∂»Œ€»æ,93,181,199,1.4,63,18
2013-12-14,271,÷ÿ∂»Œ€»æ,221,318,251,2.2,73,20
2013-12-15,436,—œ÷ÿŒ€»æ,383,536,239,3,86,6
2013-12-16,194,÷–∂»Œ€»æ,146,253,261,1.9,71,11
2013-12-17,319,—œ÷ÿŒ€»æ,269,373,223,2.9,72,10
2013-12-18,147,«·∂»Œ€»æ,112,171,114,1.4,44,37
2013-12-19,255,÷ÿ∂»Œ€»æ,205,331,147,2.2,65,18
2013-12-20,240,÷ÿ∂»Œ€»æ,190,331,178,2.3,64,23
2013-12-21,137,«·∂»Œ€»æ,105,185,176,1.8,69,23
2013-12-22,144,«·∂»Œ€»æ,110,224,187,1.8,70,31
2013-12-23,256,÷ÿ∂»Œ€»æ,206,345,213,2.6,71,20
2013-12-24,394,—œ÷ÿŒ€»æ,319,495,295,1.9,95,11
2013-12-25,410,—œ÷ÿŒ€»æ,333,510,216,0,95,24
2013-12-26,163,÷–∂»Œ€»æ,121,277,83,0,54,47
2013-12-27,120,«·∂»Œ€»æ,91,153,110,0.2,52,33
2013-12-28,140,«·∂»Œ€»æ,107,220,145,0.4,58,25
2013-12-29,134,«·∂»Œ€»æ,102,201,125,0,63,26
2013-12-30,125,«·∂»Œ€»æ,95,197,121,0.4,63,38
2013-12-31,124,«·∂»Œ€»æ,90,197,124,1.3,64,48
2014-01-01,151,÷–∂»Œ€»æ,114,252,146,1.9,77,23
2014-01-02,219,÷ÿ∂»Œ€»æ,169,315,228,2.4,91,19
2014-01-03,319,—œ÷ÿŒ€»æ,237,435,269,3.3,107,12
2014-01-04,118,«·∂»Œ€»æ,89,183,158,1.5,63,19
2014-01-05,214,÷ÿ∂»Œ€»æ,164,302,174,2.2,72,18
2014-01-06,241,÷ÿ∂»Œ€»æ,191,329,142,2.3,79,23
2014-01-07,208,÷ÿ∂»Œ€»æ,158,267,153,2.1,72,33
2014-01-08,139,«·∂»Œ€»æ,106,196,112,2,61,33
2014-01-09,134,«·∂»Œ€»æ,103,181,152,1.4,55,29
2014-01-10,221,÷ÿ∂»Œ€»æ,171,228,156,1.8,61,26
2014-01-11,219,÷ÿ∂»Œ€»æ,169,252,195,1.8,70,55
2014-01-12,205,÷ÿ∂»Œ€»æ,155,263,121,2,75,43
2014-01-13,166,÷–∂»Œ€»æ,126,223,143,1.8,65,33
2014-01-14,168,÷–∂»Œ€»æ,128,217,148,1.5,68,38
2014-01-15,227,÷ÿ∂»Œ€»æ,177,297,142,1.7,67,46
2014-01-16,203,÷ÿ∂»Œ€»æ,153,231,106,1.5,65,41
2014-01-17,417,—œ÷ÿŒ€»æ,302,517,104,2.6,74,10
2014-01-18,269,÷ÿ∂»Œ€»æ,219,353,104,2.3,71,22
2014-01-19,370,—œ÷ÿŒ€»æ,320,464,137,2.8,84,28
2014-01-20,178,÷–∂»Œ€»æ,105,306,92,1.4,53,55
2014-01-21,85,¡º,49,120,87,1,48,32
2014-01-22,102,«·∂»Œ€»æ,77,153,77,1.2,47,63
2014-01-23,163,÷–∂»Œ€»æ,124,180,144,1.5,70,35
2014-01-24,190,÷–∂»Œ€»æ,143,244,197,1.8,90,20
2014-01-25,159,÷–∂»Œ€»æ,121,218,118,2.3,71,58
2014-01-26,76,¡º,42,102,95,0.9,42,55
2014-01-27,116,«·∂»Œ€»æ,88,150,82,1.4,53,49
2014-01-28,144,«·∂»Œ€»æ,110,189,100,1.5,52,65
2014-01-29,93,¡º,70,126,74,1,31,52
2014-01-30,326,—œ÷ÿŒ€»æ,276,386,60,2,38,41
2014-01-31,319,—œ÷ÿŒ€»æ,269,392,75,2.1,36,42
2014-02-01,384,—œ÷ÿŒ€»æ,334,484,72,3.6,46,9
2014-02-02,216,÷ÿ∂»Œ€»æ,166,267,61,2.6,49,18
2014-02-03,106,«·∂»Œ€»æ,79,135,63,1.4,33,40
2014-02-04,81,¡º,60,112,78,1.1,34,54
2014-02-05,61,¡º,44,66,43,0.7,28,48
2014-02-06,80,¡º,59,68,57,0.9,29,53
2014-02-07,172,÷–∂»Œ€»æ,130,156,98,1.2,41,68
2014-02-08,157,÷–∂»Œ€»æ,120,159,118,1.5,41,69
2014-02-09,93,¡º,69,105,77,1.3,30,48
2014-02-10,70,¡º,51,86,90,1.3,37,72
2014-02-11,141,«·∂»Œ€»æ,108,158,124,1.5,54,67
2014-02-12,222,÷ÿ∂»Œ€»æ,172,255,212,1.9,82,37
2014-02-13,175,÷–∂»Œ€»æ,132,199,178,1.8,77,76
2014-02-14,208,÷ÿ∂»Œ€»æ,158,241,117,1.8,59,111
2014-02-15,203,÷ÿ∂»Œ€»æ,153,225,78,1.5,43,85
2014-02-16,108,«·∂»Œ€»æ,82,144,85,1.1,50,77
2014-02-17,96,¡º,72,108,54,1.1,43,68
2014-02-18,73,¡º,50,96,75,1.1,47,62
2014-02-19,168,÷–∂»Œ€»æ,127,202,93,1.7,64,68
2014-02-20,246,÷ÿ∂»Œ€»æ,196,317,210,2.4,79,40
2014-02-21,127,«·∂»Œ€»æ,97,168,93,1.2,46,95
2014-02-22,160,÷–∂»Œ€»æ,122,210,105,1.3,54,92
2014-02-23,126,«·∂»Œ€»æ,96,172,90,1.3,51,87
2014-02-24,148,«·∂»Œ€»æ,114,192,74,1.2,54,90
2014-02-25,145,«·∂»Œ€»æ,111,183,72,1.3,57,72
2014-02-26,124,«·∂»Œ€»æ,95,155,60,1.2,47,65
2014-02-27,91,¡º,68,103,41,1.2,37,46
2014-02-28,67,¡º,41,84,58,0.7,47,43
2014-03-01,177,÷–∂»Œ€»æ,134,202,110,1.3,60,58
2014-03-02,230,÷ÿ∂»Œ€»æ,180,273,88,1.5,53,89
2014-03-03,128,«·∂»Œ€»æ,97,188,75,1.1,41,95
2014-03-04,103,«·∂»Œ€»æ,77,156,108,1.2,50,79
2014-03-05,91,¡º,66,132,90,0.9,52,54
2014-03-06,127,«·∂»Œ€»æ,97,175,111,1.1,59,63
2014-03-07,132,«·∂»Œ€»æ,101,185,86,1.2,56,77
2014-03-08,135,«·∂»Œ€»æ,103,187,116,1.2,54,101
2014-03-09,141,«·∂»Œ€»æ,108,201,72,1.2,61,83
2014-03-10,198,÷–∂»Œ€»æ,148,259,91,1.4,53,95
2014-03-11,143,«·∂»Œ€»æ,109,202,88,1.2,49,119
2014-03-12,125,«·∂»Œ€»æ,80,199,86,1.1,51,94
