»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2017-01-01,273,÷ÿ∂»Œ€»æ,223,308,161,5,80,11
2017-01-02,263,÷ÿ∂»Œ€»æ,213,261,103,4.1,77,28
2017-01-03,246,÷ÿ∂»Œ€»æ,196,262,102,4.1,75,45
2017-01-04,252,÷ÿ∂»Œ€»æ,202,276,18,4.2,69,9
2017-01-05,148,«·∂»Œ€»æ,113,125,23,5.9,79,13
2017-01-06,130,«·∂»Œ€»æ,99,117,32,4,60,16
2017-01-07,77,¡º,56,92,38,3,47,22
2017-01-08,134,«·∂»Œ€»æ,102,173,73,3.5,58,54
2017-01-09,182,÷–∂»Œ€»æ,137,206,64,3.3,58,37
2017-01-10,235,÷ÿ∂»Œ€»æ,185,284,53,4,68,24
2017-01-11,133,«·∂»Œ€»æ,101,174,66,3.5,53,59
2017-01-12,67,¡º,40,84,79,2.6,49,75
2017-01-13,89,¡º,60,127,104,2.6,55,52
2017-01-14,90,¡º,67,121,55,2,56,47
2017-01-15,87,¡º,64,119,56,2.3,60,38
2017-01-16,172,÷–∂»Œ€»æ,130,195,109,2.9,67,20
2017-01-17,361,—œ÷ÿŒ€»æ,311,422,77,3.6,86,12
2017-01-18,319,—œ÷ÿŒ€»æ,269,393,80,3.9,91,10
2017-01-19,93,¡º,66,136,55,2,34,88
2017-01-20,56,¡º,16,43,62,1.5,34,71
2017-01-21,76,¡º,35,83,102,2.1,50,66
2017-01-22,102,«·∂»Œ€»æ,76,147,99,2.8,65,56
2017-01-23,170,÷–∂»Œ€»æ,129,204,106,3.4,70,44
2017-01-24,260,÷ÿ∂»Œ€»æ,210,318,88,3.9,86,25
2017-01-25,250,÷ÿ∂»Œ€»æ,200,302,132,3.7,70,82
2017-01-26,142,«·∂»Œ€»æ,108,228,68,2.7,44,72
2017-01-27,169,÷–∂»Œ€»æ,128,190,48,2.4,29,72
2017-01-28,173,÷–∂»Œ€»æ,131,208,45,2.2,27,56
2017-01-29,216,÷ÿ∂»Œ€»æ,166,241,35,2.6,31,42
2017-01-30,61,¡º,27,71,23,1.6,16,61
2017-01-31,65,¡º,46,79,41,1.9,27,52
2017-02-01,142,«·∂»Œ€»æ,108,156,51,3.1,44,54
2017-02-02,102,«·∂»Œ€»æ,76,111,65,2.6,40,75
2017-02-03,147,«·∂»Œ€»æ,112,157,77,2.8,50,71
2017-02-04,200,÷–∂»Œ€»æ,150,242,108,3.2,65,70
2017-02-05,318,—œ÷ÿŒ€»æ,268,377,65,3.9,66,78
2017-02-06,168,÷–∂»Œ€»æ,127,189,40,2.2,41,52
2017-02-07,67,¡º,47,83,39,1.7,36,47
2017-02-08,134,«·∂»Œ€»æ,102,132,72,2.1,40,12
2017-02-09,54,¡º,23,52,58,1.5,33,78
2017-02-10,64,¡º,22,47,77,1.6,41,74
2017-02-11,73,¡º,30,64,95,1.8,46,79
2017-02-12,72,¡º,47,91,93,2.1,56,79
2017-02-13,102,«·∂»Œ€»æ,76,145,91,2.1,57,88
2017-02-14,160,÷–∂»Œ€»æ,122,215,76,2.6,69,112
2017-02-15,135,«·∂»Œ€»æ,103,168,72,2.4,65,101
2017-02-16,143,«·∂»Œ€»æ,109,198,91,2.5,57,105
2017-02-17,70,¡º,34,90,25,1.2,30,78
2017-02-18,92,¡º,62,133,99,2.1,59,83
2017-02-19,143,«·∂»Œ€»æ,109,197,106,2.8,65,87
2017-02-20,71,¡º,22,92,19,1,20,75
2017-02-21,55,¡º,33,59,21,1.2,31,57
