»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,104,«·∂»Œ€»æ,55,157,48,1.9,85,83
2015-01-01,110,«·∂»Œ€»æ,64,169,49,2.8,73,58
2015-01-02,118,«·∂»Œ€»æ,71,187,73,3.5,78,51
2015-01-03,107,«·∂»Œ€»æ,46,163,66,3.6,65,48
2015-01-04,118,«·∂»Œ€»æ,60,185,46,1.6,60,76
2015-01-05,84,¡º,47,118,32,1.1,28,67
2015-01-06,71,¡º,41,91,27,1.3,29,62
2015-01-07,76,¡º,42,103,33,1.7,27,64
2015-01-08,81,¡º,39,111,39,1.8,30,58
2015-01-09,76,¡º,36,101,34,1.6,36,62
2015-01-10,96,¡º,44,142,54,2.3,45,53
2015-01-11,81,¡º,42,113,47,2,39,52
2015-01-12,80,¡º,42,110,46,2.1,41,47
2015-01-13,93,¡º,48,136,48,2.2,61,32
2015-01-14,97,¡º,59,144,35,1.1,61,57
2015-01-15,88,¡º,52,127,30,1.2,49,62
2015-01-16,101,«·∂»Œ€»æ,57,152,35,1.6,63,83
2015-01-17,115,«·∂»Œ€»æ,47,179,28,1.1,46,81
2015-01-18,75,¡º,31,99,30,1.7,31,67
2015-01-19,78,¡º,37,106,51,2.8,46,31
2015-01-20,82,¡º,44,113,31,2.1,41,42
2015-01-21,72,¡º,47,94,21,1.8,35,47
2015-01-22,131,«·∂»Œ€»æ,100,127,50,2.5,43,42
2015-01-23,135,«·∂»Œ€»æ,103,156,55,2.5,61,45
2015-01-24,155,÷–∂»Œ€»æ,119,156,27,1.2,41,90
2015-01-25,159,÷–∂»Œ€»æ,121,168,30,1.9,55,93
2015-01-26,111,«·∂»Œ€»æ,84,153,16,0.9,29,89
2015-01-27,68,¡º,49,86,37,1.1,24,73
2015-01-28,100,¡º,75,109,53,1.5,26,71
2015-01-29,104,«·∂»Œ€»æ,78,141,56,1.2,23,73
2015-01-30,122,«·∂»Œ€»æ,92,125,49,1.5,29,70
2015-01-31,139,«·∂»Œ€»æ,106,110,57,1.7,37,63
2015-02-01,172,÷–∂»Œ€»æ,130,114,53,1.8,45,73
2015-02-02,187,÷–∂»Œ€»æ,141,128,50,1.9,47,87
2015-02-03,98,¡º,73,86,35,0.9,22,102
2015-02-04,82,¡º,61,74,27,0.8,13,75
2015-02-05,109,«·∂»Œ€»æ,82,70,62,1.4,29,78
2015-02-06,132,«·∂»Œ€»æ,101,85,40,1.4,26,88
2015-02-07,90,¡º,67,102,28,0.6,17,83
2015-02-08,106,«·∂»Œ€»æ,80,109,46,1.3,29,94
2015-02-09,121,«·∂»Œ€»æ,92,116,48,1.6,41,90
2015-02-10,123,«·∂»Œ€»æ,93,125,81,1.5,38,97
2015-02-11,80,¡º,59,79,75,2.3,34,96
2015-02-12,78,¡º,57,70,55,1.8,31,82
2015-02-13,88,¡º,66,73,66,1.8,42,75
2015-02-14,89,¡º,66,92,50,1.5,23,100
2015-02-15,87,¡º,45,125,23,0.5,15,93
2015-02-16,64,¡º,39,78,41,1.3,34,81
2015-02-17,82,¡º,60,92,52,1.9,35,88
2015-02-18,74,¡º,55,98,50,1.3,29,111
2015-02-19,112,«·∂»Œ€»æ,85,117,50,1.2,23,117
2015-02-20,93,¡º,60,136,25,0.8,14,109
2015-02-21,71,¡º,48,93,27,0.6,14,100
2015-02-22,66,¡º,45,82,30,0.8,18,98
2015-02-23,68,¡º,49,82,20,0.6,17,104
2015-02-24,76,¡º,56,72,25,1.1,24,90
2015-02-25,73,¡º,53,69,19,0.7,23,88
2015-02-26,88,¡º,65,108,24,1.1,23,88
2015-02-27,89,¡º,53,128,21,0.8,15,86
2015-02-28,76,¡º,37,102,25,0.7,17,89
2015-03-01,86,¡º,64,104,42,1.6,28,98
2015-03-02,83,¡º,53,115,31,1.2,23,108
2015-03-03,400,—œ÷ÿŒ€»æ,100,500,30,1,19,96
2015-03-04,134,«·∂»Œ€»æ,67,218,33,1.1,28,96
2015-03-05,109,«·∂»Œ€»æ,74,167,29,1.4,31,109
2015-03-06,85,¡º,63,117,35,1.9,34,106
2015-03-07,77,¡º,57,103,38,2,31,107
2015-03-08,74,¡º,46,98,26,1,28,106
2015-03-09,91,¡º,54,132,18,1.2,28,83
2015-03-10,94,¡º,63,137,139,1.9,37,82
2015-03-11,92,¡º,69,125,29,1.6,42,96
2015-03-12,110,«·∂»Œ€»æ,83,170,35,1.5,43,98
2015-03-13,93,¡º,56,136,18,1.3,39,114
2015-03-14,131,«·∂»Œ€»æ,66,211,10,0.9,30,112
2015-03-15,120,«·∂»Œ€»æ,70,189,20,1.2,37,105
