»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,54,¡º,24,57,32,1.6,16,95
2015-01-01,67,¡º,48,77,28,1.8,20,95
2015-01-02,52,¡º,29,54,25,1.4,14,96
2015-01-03,42,”≈,18,41,22,1.4,11,84
2015-01-04,86,¡º,58,122,45,1.8,23,94
2015-01-05,97,¡º,67,145,47,1.9,27,93
2015-01-06,63,¡º,45,76,33,1.5,19,101
2015-01-07,49,”≈,18,34,22,1.4,10,98
2015-01-08,57,¡º,33,55,26,1.5,14,108
2015-01-09,50,”≈,21,42,23,1.4,10,100
2015-01-10,44,”≈,18,35,19,1.3,9,88
2015-01-11,45,”≈,17,35,20,1.3,9,89
2015-01-12,44,”≈,13,32,19,1.4,9,88
2015-01-13,42,”≈,10,19,21,1.4,11,83
2015-01-14,42,”≈,15,27,23,1.5,13,84
2015-01-15,77,¡º,56,88,32,1.9,22,92
2015-01-16,123,«·∂»Œ€»æ,93,135,36,2.1,27,97
2015-01-17,156,÷–∂»Œ€»æ,45,262,25,1.1,12,110
2015-01-18,48,”≈,20,42,19,0.6,7,95
2015-01-19,43,”≈,17,27,23,0.6,8,86
2015-01-20,46,”≈,18,30,18,0.7,8,92
2015-01-21,47,”≈,18,31,22,0.5,8,94
2015-01-22,47,”≈,16,32,23,0.6,8,94
2015-01-23,44,”≈,17,44,23,0.6,9,83
2015-01-24,70,¡º,30,89,23,0.8,8,108
2015-01-25,76,¡º,49,102,26,1,16,105
2015-01-26,105,«·∂»Œ€»æ,79,148,52,1.3,24,111
2015-01-27,140,«·∂»Œ€»æ,107,144,55,1.2,27,94
2015-01-28,164,÷–∂»Œ€»æ,125,192,56,1.6,36,94
2015-01-29,99,¡º,74,138,41,1.4,24,94
2015-01-30,118,«·∂»Œ€»æ,89,175,38,1.4,29,92
2015-01-31,90,¡º,67,119,29,1.1,21,106
2015-02-01,53,¡º,15,52,23,0.5,9,104
2015-02-02,64,¡º,26,79,23,0.7,12,106
2015-02-03,83,¡º,61,100,31,1.1,18,106
2015-02-04,99,¡º,74,103,41,1.2,19,109
2015-02-05,92,¡º,69,98,34,1.2,19,103
2015-02-06,97,¡º,56,143,27,0.9,13,112
2015-02-07,77,¡º,52,104,25,0.8,14,119
2015-02-08,65,¡º,47,81,30,0.9,15,110
