»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,59,¡º,38,69,19,0.4,20,88
2015-01-01,58,¡º,40,66,11,0.4,15,88
2015-01-02,66,¡º,48,73,11,0.5,17,79
2015-01-03,68,¡º,49,80,24,0.5,20,69
2015-01-04,72,¡º,47,94,20,0.6,23,63
2015-01-05,101,«·∂»Œ€»æ,76,127,15,0.5,15,89
2015-01-06,62,¡º,45,51,7,0.5,12,94
2015-01-07,51,¡º,36,33,6,0.3,13,88
2015-01-08,54,¡º,35,57,9,0.3,17,100
2015-01-09,49,”≈,27,36,5,0.2,12,97
2015-01-10,52,¡º,31,54,11,0.3,14,80
2015-01-11,49,”≈,33,49,8,0.3,12,75
2015-01-12,41,”≈,28,41,6,0.1,11,80
2015-01-13,52,¡º,36,46,7,0.3,13,76
2015-01-14,57,¡º,39,65,11,0.2,19,74
2015-01-15,81,¡º,53,112,12,0.1,22,80
2015-01-16,77,¡º,56,79,11,0.4,18,107
2015-01-17,190,÷–∂»Œ€»æ,53,331,12,0.2,10,98
2015-01-18,53,¡º,23,57,11,0.4,15,87
2015-01-19,39,”≈,13,39,15,0.4,12,75
2015-01-20,54,¡º,13,58,16,0.4,12,91
2015-01-21,44,”≈,21,35,15,0.3,11,87
2015-01-22,54,¡º,37,57,24,0.6,17,76
2015-01-23,67,¡º,45,85,32,0.9,23,60
2015-01-24,87,¡º,47,125,15,0.4,16,94
2015-01-25,67,¡º,33,83,6,0.5,14,99
2015-01-26,95,¡º,53,140,10,0.6,14,92
2015-01-27,121,«·∂»Œ€»æ,75,192,14,0.6,17,98
2015-01-28,122,«·∂»Œ€»æ,80,195,14,0.7,22,103
2015-01-29,114,«·∂»Œ€»æ,86,159,14,0.8,18,94
2015-01-30,110,«·∂»Œ€»æ,83,147,12,0.8,20,94
2015-01-31,106,«·∂»Œ€»æ,80,124,11,0.9,18,97
2015-02-01,63,¡º,34,76,9,0.4,14,107
2015-02-02,83,¡º,50,116,8,0.3,14,104
2015-02-03,97,¡º,64,144,7,0.5,12,113
2015-02-04,107,«·∂»Œ€»æ,81,91,11,0.5,16,109
2015-02-05,111,«·∂»Œ€»æ,84,89,7,0.9,13,108
2015-02-06,80,¡º,59,99,10,0.6,14,107
2015-02-07,68,¡º,29,72,9,0.4,11,122
2015-02-08,59,¡º,36,68,7,0.1,15,111
2015-02-09,56,¡º,36,63,8,0.8,14,98
2015-02-10,113,«·∂»Œ€»æ,46,175,13,0.3,13,95
2015-02-11,57,¡º,34,65,8,1,10,100
2015-02-12,49,”≈,33,36,15,1.2,12,98
2015-02-13,48,”≈,34,36,13,0.6,10,95
2015-02-14,68,¡º,33,87,11,4.1,7,104
2015-02-15,100,¡º,49,150,14,2.6,8,110
2015-02-16,60,¡º,32,70,12,1.8,9,101
2015-02-17,51,¡º,31,53,18,0.5,9,94
2015-02-18,69,¡º,44,87,21,4.2,11,121
2015-02-19,59,¡º,40,68,14,1.8,10,95
2015-02-20,107,«·∂»Œ€»æ,54,163,12,2.7,6,111
2015-02-21,61,¡º,30,73,13,1.7,7,110
2015-02-22,68,¡º,26,50,8,2,6,121
2015-02-23,66,¡º,28,75,20,2.3,10,119
2015-02-24,65,¡º,31,80,11,1,6,109
2015-02-25,58,¡º,32,57,8,1.7,7,110
2015-02-26,71,¡º,52,82,13,1.5,10,95
2015-02-27,92,¡º,68,122,9,0.8,10,101
2015-02-28,97,¡º,71,143,10,0.4,10,92
2015-03-01,96,¡º,57,142,10,0.3,10,114
2015-03-02,120,«·∂»Œ€»æ,53,191,9,0.2,11,112
2015-03-03,95,¡º,52,141,12,0.4,11,120
2015-03-04,164,÷–∂»Œ€»æ,98,277,16,0.4,10,109
2015-03-05,106,«·∂»Œ€»æ,65,163,10,0.4,9,113
2015-03-06,76,¡º,41,101,7,0.3,9,114
2015-03-07,78,¡º,27,56,10,0.4,9,134
2015-03-08,84,¡º,33,74,13,0.4,10,141
2015-03-09,81,¡º,44,68,16,0.5,11,137
2015-03-10,93,¡º,58,135,18,0.5,14,128
2015-03-11,84,¡º,62,105,11,0.4,8,128
2015-03-12,68,¡º,34,87,20,0.5,9,110
2015-03-13,135,«·∂»Œ€»æ,69,219,14,0.4,15,111
2015-03-14,333,—œ÷ÿŒ€»æ,130,446,9,0.4,10,106
2015-03-15,134,«·∂»Œ€»æ,74,217,13,0.4,14,110
2015-03-16,69,¡º,34,88,20,0.6,17,112
