日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,65,良,40,72,16,0.6,19,118
2013-12-03,60,良,36,64,8,0.9,16,112
2013-12-04,87,良,55,82,12,0.6,14,144
2013-12-05,85,良,60,87,13,1,17,142
2013-12-06,73,良,53,83,16,0.6,20,123
2013-12-07,108,轻度污染,82,113,19,1.2,38,128
2013-12-08,95,良,71,96,10,0.8,32,148
2013-12-09,100,良,75,103,11,1.1,19,124
2013-12-10,173,中度污染,131,167,17,1.2,27,107
2013-12-11,167,中度污染,127,166,19,1.5,18,99
2013-12-12,122,轻度污染,92,124,16,1.1,22,79
2013-12-13,98,良,73,94,9,1.4,28,35
2013-12-14,81,良,60,83,7,1,20,48
2013-12-15,26,优,18,23,5,1.1,20,45
2013-12-16,17,优,7,7,5,0.9,13,34
2013-12-17,18,优,11,18,6,0.8,13,33
2013-12-18,41,优,29,37,10,0.7,15,48
2013-12-19,34,优,22,34,8,0.8,14,53
2013-12-20,45,优,29,45,10,0.5,14,63
2013-12-21,64,良,46,66,16,1,16,59
2013-12-22,100,良,75,97,18,0.8,15,86
2013-12-23,100,良,75,97,18,1.1,16,90
2013-12-24,85,良,63,87,17,0.8,17,102
2013-12-25,81,良,60,82,17,1,17,102
2013-12-26,87,良,65,90,17,0.8,21,106
2013-12-27,116,轻度污染,88,115,24,1.2,18,111
2013-12-28,159,中度污染,121,149,31,1.2,19,111
2013-12-29,102,轻度污染,77,104,22,1.1,20,101
2013-12-30,79,良,58,87,18,0.8,30,102
2013-12-31,117,轻度污染,88,122,22,1.3,39,119
2014-01-01,150,轻度污染,115,150,17,1.4,65,129
2014-01-02,130,轻度污染,99,105,14,1.7,48,140
2014-01-03,66,良,48,71,6,0.9,27,89
2014-01-04,120,轻度污染,91,118,16,1.3,34,122
2014-01-05,152,中度污染,116,143,15,1.2,26,113
2014-01-06,95,良,71,108,6,1.2,16,102
2014-01-07,59,良,42,68,5,0.7,20,67
2014-01-08,44,优,25,44,4,0.8,14,36
2014-01-09,66,良,48,66,8,1.3,17,61
2014-01-10,54,良,34,58,6,1.1,16,65
2014-01-11,47,优,22,47,4,0.6,8,60
2014-01-12,68,良,50,72,9,1,8,112
2014-01-13,70,良,51,69,10,1.1,12,105
2014-01-14,90,良,67,82,14,1.2,16,65
2014-01-15,70,良,51,69,10,0.8,16,90
2014-01-16,52,良,29,54,6,0.8,9,100
2014-01-17,87,良,53,77,10,0.7,16,144
2014-01-18,111,轻度污染,84,111,14,1.1,31,127
2014-01-19,84,良,62,90,11,0.7,18,115
2014-01-20,90,良,67,97,11,1,15,147
2014-01-21,140,轻度污染,107,137,20,1,18,119
2014-01-22,70,良,48,90,13,0.6,13,121
2014-01-23,73,良,53,84,9,0.7,28,114
2014-01-24,51,良,27,52,5,0.8,21,75
2014-01-25,41,优,23,41,6,0.5,19,63
2014-01-26,49,优,31,49,6,1,13,89
2014-01-27,54,良,37,58,6,0.6,13,92
2014-01-28,50,优,26,51,4,0.8,10,67
2014-01-29,47,优,28,47,5,0.5,10,78
2014-01-30,49,优,30,49,7,0.8,10,81
2014-01-31,81,良,60,81,11,0.5,7,72
2014-02-01,37,优,25,37,5,0.4,8,56
2014-02-02,31,优,21,31,6,0.5,11,40
2014-02-03,32,优,21,32,4,0.4,16,36
2014-02-04,30,优,19,30,5,0.4,10,41
2014-02-05,29,优,16,29,3,0.8,8,52
2014-02-06,22,优,8,18,3,0.5,7,43
2014-02-07,22,优,11,22,3,0.4,9,16
2014-02-08,26,优,14,26,3,0.4,7,20
2014-02-09,33,优,23,30,4,0.9,14,15
2014-02-10,25,优,18,23,4,0.9,11,19
2014-02-11,56,良,39,45,5,1.2,12,28
2014-02-12,32,优,22,28,4,0.8,14,35
2014-02-13,26,优,19,21,5,1.1,13,23
2014-02-14,60,良,43,53,8,0.9,10,49
2014-02-15,53,良,38,52,6,1.1,19,53
2014-02-16,55,良,28,59,6,0.9,28,49
2014-02-17,34,优,19,34,6,1,21,49
2014-02-18,36,优,23,36,4,0.7,15,32
2014-02-19,21,优,15,17,5,1.2,14,28
2014-02-20,33,优,21,33,7,0.8,15,41
2014-02-21,53,良,18,55,5,0.5,16,69
2014-02-22,43,优,19,43,4,0.5,13,49
2014-02-23,48,优,23,48,4,0.5,13,55
2014-02-24,37,优,17,37,4,0.5,14,46
2014-02-25,32,优,12,32,4,0.7,13,36
2014-02-26,32,优,16,32,4,0.5,15,26
2014-02-27,34,优,16,34,4,0.7,13,32
2014-02-28,27,优,12,27,3,0.4,11,30
2014-03-01,34,优,12,34,5,0.5,19,28
2014-03-02,32,优,17,32,5,0.5,16,25
2014-03-03,32,优,15,32,3,0.7,13,18
2014-03-04,28,优,12,28,3,0.5,15,17
2014-03-05,52,良,33,53,4,1.1,36,26
2014-03-06,38,优,18,38,3,0.6,11,39
2014-03-07,36,优,15,36,3,0.8,12,40
2014-03-08,44,优,19,44,3,0.5,12,48
2014-03-09,26,优,17,26,4,0.9,22,37
2014-03-10,19,优,8,15,4,0.7,16,38
2014-03-11,36,优,13,36,4,0.9,14,42
2014-03-12,51,良,23,51,5,0.6,21,61
2014-03-13,40,优,25,40,4,1,22,32
2014-03-14,54,良,38,56,7,0.9,20,40
2014-03-15,57,良,37,64,7,1.1,17,49
2014-03-16,51,良,24,52,4,0.6,16,51
2014-03-17,52,良,26,54,4,0.8,13,44
2014-03-18,42,优,20,42,4,0.6,13,27
2014-03-19,40,优,19,40,4,0.8,12,38
2014-03-20,37,优,19,37,4,0.5,12,25
2014-03-21,56,良,38,62,9,1,16,32
2014-03-22,44,优,23,44,5,0.7,10,83
2014-03-23,40,优,16,39,4,0.7,9,80
2014-03-24,42,优,18,42,4,0.5,12,59
2014-03-25,43,优,17,43,3,0.5,10,38
2014-03-26,36,优,18,36,3,0.5,8,35
2014-03-27,33,优,15,33,4,0.7,10,27
2014-03-28,32,优,11,32,4,0.4,8,19
2014-03-29,33,优,13,33,4,0.8,13,22
2014-03-30,37,优,13,37,3,0.5,10,21
2014-03-31,33,优,15,33,5,0.8,12,35
2014-04-01,44,优,21,44,5,0.6,20,28
2014-04-02,45,优,17,45,5,1,18,37
2014-04-03,31,优,16,31,5,0.7,20,35
