»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,95,¡º,65,139,51,1.6,42,114
2015-01-01,55,¡º,36,61,27,1,19,95
2015-01-02,71,¡º,52,91,45,1,31,94
2015-01-03,65,¡º,32,71,22,0.6,13,118
2015-01-04,68,¡º,47,84,25,0.7,16,122
2015-01-05,69,¡º,50,84,20,0.8,18,113
2015-01-06,68,¡º,37,51,24,0.6,14,121
2015-01-07,68,¡º,34,54,21,0.6,11,122
2015-01-08,68,¡º,35,53,26,0.7,8,121
2015-01-09,65,¡º,30,47,30,0.6,8,118
2015-01-10,63,¡º,30,55,24,0.8,7,115
2015-01-11,54,¡º,35,59,30,0.7,12,97
2015-01-12,59,¡º,28,47,26,0.6,6,111
2015-01-13,57,¡º,37,64,26,1.3,11,101
2015-01-14,61,¡º,34,68,23,0.9,11,113
2015-01-15,65,¡º,36,79,18,0.5,4,118
2015-01-16,62,¡º,44,72,21,0.9,13,108
2015-01-17,75,¡º,36,79,16,1.1,11,130
2015-01-18,68,¡º,21,40,18,0.3,3,121
2015-01-19,60,¡º,27,45,21,1,8,112
2015-01-20,60,¡º,40,46,13,0.9,16,112
2015-01-21,51,¡º,36,32,23,0.4,16,101
2015-01-22,51,¡º,29,51,34,0.9,18,96
2015-01-23,67,¡º,31,84,17,1,9,105
2015-01-24,141,«·∂»Œ€»æ,58,232,18,0.7,11,113
2015-01-25,76,¡º,34,77,16,0.7,10,131
2015-01-26,87,¡º,39,123,18,0.8,10,111
2015-01-27,104,«·∂»Œ€»æ,41,159,18,0.7,11,110
2015-01-28,119,«·∂»Œ€»æ,55,187,18,0.6,15,114
2015-01-29,229,÷ÿ∂»Œ€»æ,98,370,14,0.7,12,120
2015-01-30,106,«·∂»Œ€»æ,66,161,12,1,11,122
2015-01-31,83,¡º,47,117,13,0.8,15,122
2015-02-01,73,¡º,32,71,13,0.9,9,128
2015-02-02,79,¡º,43,37,12,0.7,10,135
2015-02-03,63,¡º,34,55,16,0.7,13,116
2015-02-04,73,¡º,40,74,13,0.8,10,128
2015-02-05,121,«·∂»Œ€»æ,68,191,17,0.7,11,131
2015-02-06,106,«·∂»Œ€»æ,47,161,11,0.7,9,152
2015-02-07,93,¡º,35,64,18,0.7,11,152
2015-02-08,78,¡º,29,44,12,1,7,134
2015-02-09,63,¡º,35,55,10,0.7,8,115
2015-02-10,69,¡º,41,88,12,1.1,10,109
2015-02-11,56,¡º,29,38,15,0.8,8,107
2015-02-12,53,¡º,35,56,17,0.9,11,98
2015-02-13,53,¡º,34,56,20,0.9,10,88
2015-02-14,80,¡º,43,111,14,0.8,10,105
2015-02-15,85,¡º,63,83,14,1.5,14,104
2015-02-16,62,¡º,44,73,19,0.8,12,108
2015-02-17,54,¡º,38,58,22,0.7,11,100
2015-02-18,51,¡º,35,51,17,0.8,12,99
2015-02-19,72,¡º,49,95,20,0.6,11,107
2015-02-20,101,«·∂»Œ€»æ,76,134,10,0.7,12,118
