»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,148,«·∂»Œ€»æ,113,228,41,1.3,70,53
2014-01-01,225,÷ÿ∂»Œ€»æ,175,251,61,1.5,77,63
2014-01-02,176,÷–∂»Œ€»æ,133,197,31,1.1,62,95
2014-01-03,191,÷–∂»Œ€»æ,144,204,21,1.1,42,74
2014-01-04,96,¡º,72,115,5,0.7,16,55
2014-01-05,77,¡º,56,89,10,0.6,23,57
2014-01-06,56,¡º,33,62,12,0.4,20,74
2014-01-07,60,¡º,43,65,11,0.5,18,85
2014-01-08,44,”≈,25,37,4,0.4,8,87
2014-01-09,55,¡º,32,61,11,0.5,11,72
2014-01-10,72,¡º,51,94,28,0.7,19,76
2014-01-11,85,¡º,63,94,17,0.7,14,78
2014-01-12,165,÷–∂»Œ€»æ,125,161,21,0.9,21,95
2014-01-13,66,¡º,47,74,10,0.5,17,71
2014-01-14,55,¡º,39,59,9,0.5,24,73
2014-01-15,64,¡º,46,63,13,0.5,22,82
2014-01-16,138,«·∂»Œ€»æ,105,144,23,0.9,34,79
2014-01-17,162,÷–∂»Œ€»æ,123,171,31,1.1,60,53
2014-01-18,190,÷–∂»Œ€»æ,143,185,16,1.1,28,73
2014-01-19,179,÷–∂»Œ€»æ,135,183,30,1.2,46,79
2014-01-20,256,÷ÿ∂»Œ€»æ,206,320,53,1.6,63,61
2014-01-21,100,¡º,57,151,21,0.7,30,48
2014-01-22,63,¡º,45,74,39,0.8,44,63
2014-01-23,64,¡º,46,74,22,0.6,52,63
2014-01-24,62,¡º,44,71,19,0.5,55,71
2014-01-25,116,«·∂»Œ€»æ,88,130,18,0.7,37,79
2014-01-26,58,¡º,30,65,7,0.4,14,82
2014-01-27,46,”≈,19,46,10,0.5,31,64
2014-01-28,68,¡º,50,85,11,0.6,33,76
2014-01-29,72,¡º,52,82,7,0.7,32,67
2014-01-30,262,÷ÿ∂»Œ€»æ,212,254,24,1.4,45,60
2014-01-31,203,÷ÿ∂»Œ€»æ,153,190,16,1.1,23,108
2014-02-01,123,«·∂»Œ€»æ,94,118,23,0.9,34,73
2014-02-02,210,÷ÿ∂»Œ€»æ,160,216,6,1.6,21,40
2014-02-03,67,¡º,45,83,5,0.6,8,76
2014-02-04,47,”≈,17,47,6,0.4,9,83
2014-02-05,36,”≈,15,29,3,0.3,12,72
2014-02-06,34,”≈,6,9,3,0.3,9,68
2014-02-07,36,”≈,18,19,3,0.3,8,72
2014-02-08,64,¡º,46,60,6,0.6,11,72
2014-02-09,82,¡º,60,60,7,0.6,10,71
2014-02-10,37,”≈,25,36,4,0.4,8,73
2014-02-11,52,¡º,36,49,6,0.5,11,73
2014-02-12,44,”≈,31,41,5,0.4,11,82
2014-02-13,41,”≈,24,39,5,0.5,11,82
2014-02-14,62,¡º,44,64,7,0.6,14,95
2014-02-15,108,«·∂»Œ€»æ,81,91,10,0.6,19,89
2014-02-16,43,”≈,22,43,4,0.3,17,77
2014-02-17,45,”≈,14,21,3,0.4,13,89
2014-02-18,47,”≈,17,23,2,0.4,9,94
2014-02-19,66,¡º,48,56,5,0.7,23,79
2014-02-20,173,÷–∂»Œ€»æ,131,165,34,1.1,38,77
2014-02-21,127,«·∂»Œ€»æ,96,127,34,0.7,19,120
2014-02-22,81,¡º,60,78,18,0.6,18,107
2014-02-23,118,«·∂»Œ€»æ,90,118,25,0.8,18,121
2014-02-24,121,«·∂»Œ€»æ,92,115,16,0.8,19,108
2014-02-25,47,”≈,33,36,7,0.5,15,92
2014-02-26,65,¡º,47,51,4,0.7,14,106
2014-02-27,112,«·∂»Œ€»æ,85,129,17,1,28,82
2014-02-28,78,¡º,57,76,7,0.8,12,81
2014-03-01,50,”≈,26,50,8,0.5,16,76
2014-03-02,78,¡º,57,92,19,0.8,17,118
2014-03-03,64,¡º,38,79,15,0.6,15,107
2014-03-04,46,”≈,19,36,10,0.4,17,91
2014-03-05,54,¡º,35,57,12,0.5,11,100
2014-03-06,45,”≈,24,44,13,0.5,13,90
2014-03-07,52,¡º,31,54,19,0.6,17,101
2014-03-08,62,¡º,45,70,21,0.6,19,92
2014-03-09,135,«·∂»Œ€»æ,103,143,47,1.1,41,101
2014-03-10,180,÷–∂»Œ€»æ,136,174,35,1,31,107
2014-03-11,77,¡º,57,99,25,0.6,29,129
2014-03-12,51,¡º,36,45,8,0.5,28,90
2014-03-13,59,¡º,28,68,12,0.5,17,90
2014-03-14,122,«·∂»Œ€»æ,93,149,66,1.2,63,85
2014-03-15,144,«·∂»Œ€»æ,111,162,51,0.9,64,119
2014-03-16,152,÷–∂»Œ€»æ,116,130,40,0.7,52,145
2014-03-17,99,¡º,74,114,33,0.9,50,108
2014-03-18,167,÷–∂»Œ€»æ,119,284,37,1.2,50,140
2014-03-19,87,¡º,48,125,9,0.6,15,113
2014-03-20,75,¡º,55,98,15,0.7,17,117
2014-03-21,67,¡º,31,72,21,0.5,22,120
2014-03-22,78,¡º,41,83,23,0.6,40,134
2014-03-23,60,¡º,33,62,15,0.5,25,112
2014-03-24,60,¡º,37,69,18,0.5,33,94
2014-03-25,101,«·∂»Œ€»æ,76,93,22,0.9,62,47
2014-03-26,97,¡º,73,88,19,0.9,35,102
2014-03-27,61,¡º,37,52,13,0.5,20,113
2014-03-28,52,¡º,36,47,9,0.5,24,95
2014-03-29,65,¡º,47,65,10,0.9,29,63
2014-03-30,96,¡º,72,97,15,0.8,17,139
2014-03-31,77,¡º,53,71,21,0.6,17,132
2014-04-01,69,¡º,43,62,13,0.6,17,123
2014-04-02,62,¡º,44,60,13,0.6,18,114
2014-04-03,91,¡º,38,61,10,0.5,15,149
2014-04-04,77,¡º,46,104,32,0.7,37,126
2014-04-05,87,¡º,58,125,26,0.7,39,111
2014-04-06,57,¡º,19,59,11,0.4,18,108
2014-04-07,73,¡º,34,62,14,0.5,31,128
2014-04-08,98,¡º,64,88,21,0.6,32,157
2014-04-09,96,¡º,67,91,17,0.6,29,155
2014-04-10,117,«·∂»Œ€»æ,61,95,22,0.7,37,179
2014-04-11,77,¡º,43,64,12,0.4,16,132
2014-04-12,45,”≈,32,43,9,0.5,23,90
2014-04-13,78,¡º,26,37,6,0.4,13,133
2014-04-14,88,¡º,59,83,12,0.7,24,146
2014-04-15,88,¡º,33,53,11,0.4,14,145
2014-04-16,76,¡º,36,49,10,0.5,30,131
2014-04-17,102,«·∂»Œ€»æ,76,97,20,1.2,38,55
2014-04-18,80,¡º,38,55,10,0.6,11,136
2014-04-19,71,¡º,23,33,9,0.6,12,125
2014-04-20,71,¡º,28,52,6,0.5,10,125
2014-04-21,68,¡º,47,66,15,0.6,18,121
2014-04-22,67,¡º,44,68,14,0.6,19,120
2014-04-23,90,¡º,64,98,24,0.8,37,148
2014-04-24,86,¡º,46,70,12,0.6,13,143
2014-04-25,76,¡º,24,54,9,0.5,10,131
2014-04-26,63,¡º,12,18,6,0.4,12,115
2014-04-27,68,¡º,49,63,19,1,30,91
2014-04-28,54,¡º,38,56,19,0.7,21,94
2014-04-29,85,¡º,63,101,28,0.9,34,135
2014-04-30,110,«·∂»Œ€»æ,59,101,26,0.9,41,171
2014-05-01,140,«·∂»Œ€»æ,94,160,33,1,50,204
2014-05-02,120,«·∂»Œ€»æ,91,189,47,1.1,45,148
2014-05-03,70,¡º,29,72,13,0.6,12,124
2014-05-04,67,¡º,43,84,19,0.9,45,99
2014-05-05,87,¡º,29,80,15,0.5,18,144
