»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,228,÷ÿ∂»Œ€»æ,178,261,247,3.1,109,31
2013-12-03,334,—œ÷ÿŒ€»æ,284,397,428,4.8,128,15
2013-12-04,248,÷ÿ∂»Œ€»æ,198,312,366,3.5,110,28
2013-12-05,206,÷ÿ∂»Œ€»æ,156,221,199,2.5,92,21
2013-12-06,161,÷–∂»Œ€»æ,123,207,200,2.6,85,33
2013-12-07,287,÷ÿ∂»Œ€»æ,237,323,254,3.5,104,44
2013-12-08,299,÷ÿ∂»Œ€»æ,249,316,236,3.8,96,22
2013-12-09,103,«·∂»Œ€»æ,77,118,94,1.8,50,49
2013-12-10,134,«·∂»Œ€»æ,102,178,203,2.5,64,35
2013-12-11,77,¡º,50,104,132,1.9,52,48
2013-12-12,97,¡º,73,142,150,1.7,64,43
2013-12-13,118,«·∂»Œ€»æ,87,186,198,2.4,75,27
2013-12-14,260,÷ÿ∂»Œ€»æ,210,319,319,3.4,109,13
2013-12-15,270,÷ÿ∂»Œ€»æ,220,338,286,3.4,109,17
2013-12-16,286,÷ÿ∂»Œ€»æ,236,400,324,4.3,114,8
2013-12-17,287,÷ÿ∂»Œ€»æ,237,377,283,4.4,114,11
2013-12-18,84,¡º,63,88,100,1.6,53,39
2013-12-19,163,÷–∂»Œ€»æ,124,198,208,2.9,72,23
2013-12-20,186,÷–∂»Œ€»æ,140,207,247,3,71,27
2013-12-21,150,«·∂»Œ€»æ,115,180,222,3,79,29
2013-12-22,262,÷ÿ∂»Œ€»æ,212,356,352,4.3,103,11
2013-12-23,341,—œ÷ÿŒ€»æ,291,433,448,4.7,113,8
2013-12-24,368,—œ÷ÿŒ€»æ,318,466,412,4.5,117,20
2013-12-25,343,—œ÷ÿŒ€»æ,293,412,338,4.1,113,23
2013-12-26,140,«·∂»Œ€»æ,107,186,88,1.3,54,50
2013-12-27,99,¡º,74,121,156,1.9,62,40
2013-12-28,157,÷–∂»Œ€»æ,120,199,213,2.3,70,30
2013-12-29,117,«·∂»Œ€»æ,89,169,179,1.8,73,42
2013-12-30,129,«·∂»Œ€»æ,98,193,184,2,82,36
2013-12-31,149,«·∂»Œ€»æ,100,249,199,2,77,36
2014-01-01,144,«·∂»Œ€»æ,104,238,237,2.5,76,41
2014-01-02,181,÷–∂»Œ€»æ,137,286,257,3.1,86,35
2014-01-03,208,÷ÿ∂»Œ€»æ,158,266,250,3.1,86,30
2014-01-04,111,«·∂»Œ€»æ,84,160,125,1.9,60,39
2014-01-05,234,÷ÿ∂»Œ€»æ,184,273,201,3,90,12
2014-01-06,307,—œ÷ÿŒ€»æ,257,353,172,3.5,104,26
2014-01-07,328,—œ÷ÿŒ€»æ,278,396,225,4.4,118,24
2014-01-08,86,¡º,64,95,101,1.3,50,47
2014-01-09,134,«·∂»Œ€»æ,102,173,148,2,63,35
2014-01-10,247,÷ÿ∂»Œ€»æ,197,293,183,3,78,29
2014-01-11,267,÷ÿ∂»Œ€»æ,217,320,188,3,81,29
2014-01-12,211,÷ÿ∂»Œ€»æ,161,227,155,2.1,71,42
2014-01-13,136,«·∂»Œ€»æ,104,183,136,2.1,62,41
2014-01-14,239,÷ÿ∂»Œ€»æ,189,276,210,3,78,27
2014-01-15,285,÷ÿ∂»Œ€»æ,235,331,196,2.8,76,43
2014-01-16,215,÷ÿ∂»Œ€»æ,165,241,142,1.9,69,42
2014-01-17,289,÷ÿ∂»Œ€»æ,239,304,142,2.4,72,19
2014-01-18,220,÷ÿ∂»Œ€»æ,170,223,232,2.7,83,28
2014-01-19,230,÷ÿ∂»Œ€»æ,180,262,169,2.3,87,40
2014-01-20,155,÷–∂»Œ€»æ,119,229,94,1.9,59,55
2014-01-21,65,¡º,44,80,142,1.6,58,26
2014-01-22,90,¡º,65,129,125,1.6,64,50
2014-01-23,98,¡º,73,134,93,1.4,60,71
2014-01-24,212,÷ÿ∂»Œ€»æ,162,235,197,2.7,111,37
2014-01-25,110,«·∂»Œ€»æ,83,121,83,1.3,49,54
2014-01-26,68,¡º,40,85,78,1.4,46,46
2014-01-27,92,¡º,63,133,86,1.5,52,56
2014-01-28,93,¡º,69,126,88,1.5,51,47
2014-01-29,110,«·∂»Œ€»æ,83,123,76,1.6,45,57
2014-01-30,245,÷ÿ∂»Œ€»æ,195,251,117,2.5,65,52
2014-01-31,304,—œ÷ÿŒ€»æ,254,314,122,2.7,60,38
2014-02-01,339,—œ÷ÿŒ€»æ,289,409,258,4.3,59,11
2014-02-02,237,÷ÿ∂»Œ€»æ,187,268,134,3.9,56,26
2014-02-03,57,¡º,26,64,63,1.3,29,60
2014-02-04,58,¡º,41,65,94,1.7,40,55
2014-02-05,55,¡º,39,60,68,1.2,35,42
2014-02-06,81,¡º,60,70,75,1.4,37,51
2014-02-07,68,¡º,50,66,81,1.5,46,42
2014-02-08,103,«·∂»Œ€»æ,77,97,121,2,47,48
2014-02-09,57,¡º,41,55,70,1.2,33,52
2014-02-10,61,¡º,44,65,93,1.5,44,51
2014-02-11,122,«·∂»Œ€»æ,92,139,220,2.5,70,52
2014-02-12,223,÷ÿ∂»Œ€»æ,173,228,272,3.6,89,45
2014-02-13,144,«·∂»Œ€»æ,110,142,132,1.9,63,61
2014-02-14,153,÷–∂»Œ€»æ,117,160,172,2.2,69,66
2014-02-15,185,÷–∂»Œ€»æ,139,179,128,2,62,73
2014-02-16,223,÷ÿ∂»Œ€»æ,173,227,171,2.4,77,56
2014-02-17,136,«·∂»Œ€»æ,104,142,99,1.7,51,55
2014-02-18,72,¡º,53,82,114,1.4,61,53
2014-02-19,144,«·∂»Œ€»æ,110,177,182,2.5,73,44
2014-02-20,202,÷ÿ∂»Œ€»æ,152,204,148,2.5,72,49
2014-02-21,176,÷–∂»Œ€»æ,133,188,107,1.9,65,72
2014-02-22,149,«·∂»Œ€»æ,114,174,134,2.1,76,73
2014-02-23,208,÷ÿ∂»Œ€»æ,158,218,260,2.7,100,44
2014-02-24,242,÷ÿ∂»Œ€»æ,192,263,238,3.1,97,56
2014-02-25,232,÷ÿ∂»Œ€»æ,182,280,193,3.1,91,73
2014-02-26,120,«·∂»Œ€»æ,91,154,142,2,71,67
2014-02-27,88,¡º,66,96,61,1.7,43,52
2014-02-28,65,¡º,39,80,106,1.6,53,55
2014-03-01,115,«·∂»Œ€»æ,87,141,173,1.8,71,57
2014-03-02,195,÷–∂»Œ€»æ,146,249,227,2.7,81,68
2014-03-03,143,«·∂»Œ€»æ,110,182,113,1.7,56,79
2014-03-04,101,«·∂»Œ€»æ,76,127,96,1.7,59,59
2014-03-05,200,÷–∂»Œ€»æ,150,224,198,2.9,90,50
2014-03-06,152,÷–∂»Œ€»æ,117,190,209,2.1,79,48
2014-03-07,184,÷–∂»Œ€»æ,139,218,197,2.4,78,46
2014-03-08,201,÷ÿ∂»Œ€»æ,151,232,187,2.4,78,62
