»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,60,¡º,9,70,15,0.4,34,58
2015-01-01,77,¡º,23,104,27,1,54,44
2015-01-02,83,¡º,32,116,29,1,55,39
2015-01-03,88,¡º,34,125,30,1.3,58,34
2015-01-04,96,¡º,47,141,34,1.4,53,61
2015-01-05,157,÷–∂»Œ€»æ,120,214,32,1.9,67,54
2015-01-06,133,«·∂»Œ€»æ,102,119,37,1.6,57,26
2015-01-07,89,¡º,66,97,31,0.9,50,32
2015-01-08,143,«·∂»Œ€»æ,109,142,34,1.5,55,60
2015-01-09,210,÷ÿ∂»Œ€»æ,160,181,36,1.9,71,37
2015-01-10,222,÷ÿ∂»Œ€»æ,172,190,52,1.9,69,67
2015-01-11,201,÷ÿ∂»Œ€»æ,151,104,34,1.7,57,55
2015-01-12,62,¡º,44,53,18,1.1,42,40
2015-01-13,51,¡º,36,45,16,0.8,32,49
2015-01-14,101,«·∂»Œ€»æ,75,91,18,0.9,47,40
2015-01-15,107,«·∂»Œ€»æ,81,81,20,0.8,34,54
2015-01-16,156,÷–∂»Œ€»æ,119,135,24,1.2,40,61
2015-01-17,99,¡º,74,101,28,1.1,54,59
2015-01-18,91,¡º,68,106,25,0.9,44,70
2015-01-19,82,¡º,50,114,24,0.9,47,63
2015-01-20,104,«·∂»Œ€»æ,78,133,30,1,52,52
2015-01-21,163,÷–∂»Œ€»æ,124,157,29,1.5,47,36
2015-01-22,132,«·∂»Œ€»æ,101,127,21,1.3,46,49
2015-01-23,144,«·∂»Œ€»æ,110,143,24,1.4,51,51
2015-01-24,234,÷ÿ∂»Œ€»æ,184,196,23,1.9,57,34
2015-01-25,224,÷ÿ∂»Œ€»æ,174,136,19,1.6,47,32
2015-01-26,218,÷ÿ∂»Œ€»æ,168,198,27,1.4,44,31
2015-01-27,74,¡º,54,92,23,1.1,38,42
2015-01-28,59,¡º,42,66,18,0.9,33,47
2015-01-29,84,¡º,62,77,17,1,40,31
2015-01-30,157,÷–∂»Œ€»æ,120,145,27,1.2,46,52
2015-01-31,69,¡º,50,84,27,1.1,44,49
2015-02-01,71,¡º,52,77,16,1.1,39,51
2015-02-02,100,¡º,75,113,20,1.2,43,66
2015-02-03,173,÷–∂»Œ€»æ,131,170,23,1.4,48,71
2015-02-04,212,÷ÿ∂»Œ€»æ,162,205,35,1.7,47,57
2015-02-05,79,¡º,58,107,24,1.3,49,67
2015-02-06,113,«·∂»Œ€»æ,85,159,27,1.5,55,75
2015-02-07,152,÷–∂»Œ€»æ,116,177,29,1.3,54,58
2015-02-08,67,¡º,33,84,24,0.4,38,62
2015-02-09,84,¡º,56,117,28,0.5,49,79
2015-02-10,105,«·∂»Œ€»æ,79,118,24,0.6,45,92
2015-02-11,136,«·∂»Œ€»æ,104,144,32,1,38,87
2015-02-12,232,÷ÿ∂»Œ€»æ,182,231,48,2,55,84
2015-02-13,176,÷–∂»Œ€»æ,133,184,30,1.5,53,101
2015-02-14,144,«·∂»Œ€»æ,110,180,34,1.4,49,96
2015-02-15,212,÷ÿ∂»Œ€»æ,162,192,19,2.6,52,32
2015-02-16,229,÷ÿ∂»Œ€»æ,179,223,18,2.3,42,64
2015-02-17,125,«·∂»Œ€»æ,95,170,26,1.4,38,97
2015-02-18,68,¡º,45,86,26,0.8,28,88
2015-02-19,69,¡º,50,69,26,0.5,26,81
2015-02-20,51,¡º,36,39,12,0.5,25,74
2015-02-21,102,«·∂»Œ€»æ,76,87,19,1.1,29,42
2015-02-22,109,«·∂»Œ€»æ,82,143,19,1.1,32,70
2015-02-23,80,¡º,45,111,31,1.2,38,60
2015-02-24,102,«·∂»Œ€»æ,77,112,27,1.4,34,74
2015-02-25,92,¡º,69,113,23,1.3,32,78
2015-02-26,61,¡º,40,71,26,1.1,31,85
2015-02-27,55,¡º,34,61,22,1,27,76
2015-02-28,37,”≈,20,37,13,0.8,27,62
2015-03-01,85,¡º,63,86,19,1.3,37,88
2015-03-02,70,¡º,51,82,21,1.1,34,86
2015-03-03,86,¡º,48,123,24,1.2,35,72
2015-03-04,55,¡º,18,59,19,0.9,31,67
2015-03-05,63,¡º,35,76,18,1.1,29,74
2015-03-06,74,¡º,54,90,19,1.2,37,89
2015-03-07,76,¡º,56,82,19,1.2,34,89
2015-03-08,91,¡º,68,99,21,1.5,40,83
2015-03-09,119,«·∂»Œ€»æ,90,155,25,1.9,49,43
2015-03-10,54,¡º,20,58,21,1.3,28,86
2015-03-11,65,¡º,47,79,28,1.6,42,84
2015-03-12,78,¡º,54,107,26,1.7,34,93
2015-03-13,128,«·∂»Œ€»æ,97,117,30,2.1,43,94
2015-03-14,89,¡º,66,81,23,1.6,29,91
2015-03-15,132,«·∂»Œ€»æ,101,103,19,2,38,70
2015-03-16,129,«·∂»Œ€»æ,98,106,20,2.1,36,42
2015-03-17,97,¡º,72,82,14,2.1,36,28
2015-03-18,54,¡º,38,45,11,2.2,35,35
2015-03-19,89,¡º,66,75,18,2.3,41,49
2015-03-20,80,¡º,59,78,17,2.2,39,45
