»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,42,”≈,10,42,22,0.6,21,49
2015-01-01,43,”≈,18,43,27,0.8,32,44
2015-01-02,54,¡º,29,57,26,1,32,47
2015-01-03,54,¡º,31,59,29,1.2,34,47
2015-01-04,77,¡º,47,104,35,1,23,59
2015-01-05,95,¡º,71,118,35,1.4,29,44
2015-01-06,77,¡º,57,94,32,1.1,21,36
2015-01-07,61,¡º,37,72,28,0.9,21,42
2015-01-08,66,¡º,48,81,30,1.1,24,62
2015-01-09,95,¡º,71,121,31,1.2,28,59
2015-01-10,101,«·∂»Œ€»æ,76,132,27,1.4,30,60
2015-01-11,89,¡º,66,126,25,1.1,25,68
2015-01-12,64,¡º,35,79,21,0.7,17,56
2015-01-13,52,¡º,25,55,22,0.6,19,45
2015-01-14,61,¡º,44,63,23,0.6,23,32
2015-01-15,91,¡º,68,103,26,0.9,25,36
2015-01-16,127,«·∂»Œ€»æ,97,136,29,1.1,24,55
2015-01-17,117,«·∂»Œ€»æ,88,117,33,1.1,25,60
2015-01-18,74,¡º,52,98,27,0.8,21,63
2015-01-19,86,¡º,59,121,28,0.8,31,56
2015-01-20,82,¡º,59,113,32,1.1,34,47
2015-01-21,116,«·∂»Œ€»æ,87,152,30,1.3,29,52
2015-01-22,95,¡º,71,119,34,1.1,28,48
2015-01-23,106,«·∂»Œ€»æ,80,117,30,1.2,27,40
2015-01-24,139,«·∂»Œ€»æ,106,176,41,1.6,38,38
2015-01-25,169,÷–∂»Œ€»æ,128,148,29,1.5,28,27
2015-01-26,138,«·∂»Œ€»æ,105,126,35,1.2,21,58
2015-01-27,76,¡º,52,102,23,0.8,19,49
2015-01-28,52,¡º,30,54,25,0.5,24,41
2015-01-29,58,¡º,37,67,22,0.6,40,45
2015-01-30,122,«·∂»Œ€»æ,93,114,38,0.9,45,53
2015-01-31,77,¡º,57,89,32,0.9,25,47
2015-02-01,56,¡º,36,62,25,0.6,21,47
2015-02-02,81,¡º,60,96,37,0.8,25,57
2015-02-03,106,«·∂»Œ€»æ,80,118,47,0.8,21,65
2015-02-04,176,÷–∂»Œ€»æ,133,179,50,1.3,24,81
2015-02-05,69,¡º,50,86,35,0.8,25,62
2015-02-06,64,¡º,46,72,21,0.6,27,65
2015-02-07,100,¡º,75,115,45,0.8,35,56
2015-02-08,71,¡º,35,93,23,0.5,24,51
2015-02-09,62,¡º,34,73,22,0.5,26,52
2015-02-10,66,¡º,47,81,22,0.7,29,66
2015-02-11,87,¡º,65,115,27,0.8,22,67
2015-02-12,137,«·∂»Œ€»æ,104,160,40,1.2,26,61
2015-02-13,205,÷ÿ∂»Œ€»æ,155,241,33,1.5,28,73
2015-02-14,128,«·∂»Œ€»æ,98,156,27,1.2,28,73
2015-02-15,73,¡º,54,86,23,0.9,47,60
2015-02-16,139,«·∂»Œ€»æ,106,152,25,1.5,46,74
2015-02-17,176,÷–∂»Œ€»æ,133,211,25,1.4,39,100
2015-02-18,81,¡º,60,99,30,0.7,28,87
2015-02-19,63,¡º,43,76,24,0.5,22,79
2015-02-20,59,¡º,35,68,27,0.6,24,71
2015-02-21,69,¡º,41,88,23,0.7,22,84
2015-02-22,124,«·∂»Œ€»æ,94,144,31,1.3,34,79
2015-02-23,126,«·∂»Œ€»æ,95,147,31,1.2,28,75
2015-02-24,75,¡º,51,100,24,0.9,26,79
2015-02-25,67,¡º,47,84,24,1,24,65
2015-02-26,73,¡º,37,97,22,0.8,27,73
2015-02-27,59,¡º,29,67,22,0.6,23,75
2015-02-28,42,”≈,18,42,28,0.4,49,70
2015-03-01,61,¡º,41,72,23,0.6,31,82
2015-03-02,66,¡º,47,81,23,0.7,29,73
2015-03-03,76,¡º,44,102,22,0.6,23,61
2015-03-04,56,¡º,22,62,19,0.5,26,46
2015-03-05,52,¡º,22,55,17,0.4,18,48
2015-03-06,62,¡º,43,73,17,0.5,21,51
2015-03-07,65,¡º,47,77,21,0.5,20,49
