日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,83,良,62,107,42,1.3,66,92
2013-12-03,102,轻度污染,77,124,51,1.3,73,98
2013-12-04,99,良,74,113,79,1.4,60,119
2013-12-05,97,良,72,116,52,1.3,61,118
2013-12-06,124,轻度污染,94,128,96,1.3,68,113
2013-12-07,168,中度污染,127,165,60,1.6,67,136
2013-12-08,167,中度污染,127,155,52,1.5,67,126
2013-12-09,207,重度污染,157,189,45,2,58,127
2013-12-10,190,中度污染,143,181,98,2,46,121
2013-12-11,144,轻度污染,110,154,70,1.7,52,82
2013-12-12,142,轻度污染,109,152,96,1.7,64,97
2013-12-13,148,轻度污染,113,95,24,1.8,43,44
2013-12-14,90,良,67,56,49,1.7,41,94
2013-12-15,39,优,28,22,11,1.6,29,49
2013-12-16,52,良,4,9,42,1.6,31,102
2013-12-17,21,优,13,14,12,1.5,25,41
2013-12-18,61,良,17,23,18,1.3,21,113
2013-12-19,44,优,30,44,26,1.1,25,71
2013-12-20,63,良,45,62,68,1.3,32,98
2013-12-21,98,良,73,91,39,1.5,31,96
2013-12-22,100,良,75,102,51,1.6,40,90
2013-12-23,84,良,63,93,51,1.6,61,84
2013-12-24,78,良,57,83,75,1.5,43,101
2013-12-25,100,良,75,100,51,1.7,51,93
2013-12-26,117,轻度污染,88,117,88,1.7,43,123
2013-12-27,172,中度污染,130,162,65,1.8,40,106
2013-12-28,174,中度污染,132,178,96,1.9,52,98
2013-12-29,76,良,56,96,49,1.5,53,83
2013-12-30,104,轻度污染,78,123,93,1.7,73,78
2013-12-31,126,轻度污染,96,142,53,1.9,77,100
2014-01-01,136,轻度污染,103,163,87,2,76,99
2014-01-02,142,轻度污染,109,136,43,2,73,122
2014-01-03,152,中度污染,116,154,75,1.9,66,123
2014-01-04,161,中度污染,123,171,50,1.7,47,130
2014-01-05,150,轻度污染,115,160,62,1.8,69,126
2014-01-06,215,重度污染,165,206,53,1.9,93,112
2014-01-07,240,重度污染,190,229,91,2.1,102,82
