»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,107,«·∂»Œ€»æ,81,148,36,1.2,91,66
2014-01-02,107,«·∂»Œ€»æ,81,157,31,1.6,102,48
2014-01-03,117,«·∂»Œ€»æ,88,164,30,1.3,106,72
2014-01-04,175,÷–∂»Œ€»æ,132,220,42,1.6,107,70
2014-01-05,228,÷ÿ∂»Œ€»æ,178,275,53,1.7,94,59
2014-01-06,183,÷–∂»Œ€»æ,138,206,28,1.6,79,63
2014-01-07,89,¡º,66,125,28,1.5,83,16
2014-01-08,72,¡º,53,94,17,1.6,57,24
2014-01-09,50,”≈,33,51,20,0.9,33,63
2014-01-10,61,¡º,42,72,19,0.9,44,54
2014-01-11,67,¡º,43,83,16,1,68,43
2014-01-12,51,¡º,28,51,10,1,52,13
2014-01-13,86,¡º,64,88,17,1.1,47,53
2014-01-14,119,«·∂»Œ€»æ,90,113,19,1.3,45,76
2014-01-15,83,¡º,61,86,20,1,50,71
2014-01-16,66,¡º,47,82,17,1.1,62,58
2014-01-17,76,¡º,56,96,25,1.3,67,62
2014-01-18,139,«·∂»Œ€»æ,106,168,27,1.7,70,98
2014-01-19,198,÷–∂»Œ€»æ,149,207,24,2.1,83,73
2014-01-20,134,«·∂»Œ€»æ,102,146,19,1.8,71,92
2014-01-21,98,¡º,74,135,37,1.6,48,54
2014-01-22,63,¡º,45,76,19,1.6,49,68
2014-01-23,67,¡º,49,76,13,1.8,58,67
2014-01-24,51,¡º,33,52,10,1.6,54,55
2014-01-25,55,¡º,38,59,9,1.4,53,67
2014-01-26,138,«·∂»Œ€»æ,105,136,13,1.7,44,90
2014-01-27,44,”≈,25,44,7,1.2,39,72
2014-01-28,50,”≈,30,50,8,1.3,47,57
2014-01-29,64,¡º,46,68,9,1.5,50,91
2014-01-30,91,¡º,67,90,10,1.6,47,86
2014-01-31,269,÷ÿ∂»Œ€»æ,219,260,18,1.5,40,79
2014-02-01,72,¡º,53,65,7,1.2,35,73
2014-02-02,75,¡º,55,67,6,1.2,36,98
2014-02-03,70,¡º,51,64,6,1.3,30,70
2014-02-04,39,”≈,21,39,6,0.9,14,68
2014-02-05,50,”≈,30,50,5,1,22,68
2014-02-06,40,”≈,28,37,4,1,25,45
2014-02-07,12,”≈,4,6,5,1.1,25,15
2014-02-08,30,”≈,21,26,6,1,21,49
2014-02-09,47,”≈,33,37,5,1.1,21,45
2014-02-10,34,”≈,23,27,7,1,14,67
2014-02-11,58,¡º,41,49,9,1.1,19,69
2014-02-12,59,¡º,42,50,8,1.2,30,57
2014-02-13,36,”≈,25,29,10,1.5,36,21
2014-02-14,50,”≈,35,41,9,1.4,30,52
2014-02-15,53,¡º,37,49,13,1.3,39,79
2014-02-16,39,”≈,28,37,9,1.4,64,56
2014-02-17,36,”≈,25,33,14,1.3,58,33
2014-02-18,21,”≈,11,16,8,1.1,41,21
2014-02-19,24,”≈,15,20,8,0.8,28,48
2014-02-20,47,”≈,33,44,12,0.8,33,77
2014-02-21,65,¡º,47,69,23,0.9,53,93
2014-02-22,81,¡º,60,90,47,1.1,60,88
2014-02-23,73,¡º,53,84,21,1,54,88
2014-02-24,97,¡º,72,106,16,1.3,75,65
2014-02-25,74,¡º,54,71,19,1.7,93,9
2014-02-26,80,¡º,59,76,20,1.7,83,58
2014-02-27,84,¡º,62,93,31,1.4,72,45
2014-02-28,64,¡º,46,75,25,1.2,71,54
2014-03-01,52,¡º,37,50,16,1.4,64,31
2014-03-02,31,”≈,22,30,11,1.1,36,61
2014-03-03,52,¡º,35,54,18,1.1,42,82
2014-03-04,53,¡º,35,56,13,1.2,54,43
2014-03-05,64,¡º,47,70,16,1.1,47,77
2014-03-06,37,”≈,22,35,7,1.2,35,74
2014-03-07,38,”≈,25,38,14,1.4,42,50
2014-03-08,36,”≈,25,34,7,1.5,47,51
2014-03-09,53,¡º,37,51,18,1.6,53,57
2014-03-10,90,¡º,67,103,22,1.7,62,123
2014-03-11,125,«·∂»Œ€»æ,95,149,28,2.2,82,59
2014-03-12,88,¡º,66,85,13,2.8,94,16
2014-03-13,66,¡º,48,60,13,2.2,46,90
2014-03-14,98,¡º,73,108,25,2.2,59,100
2014-03-15,85,¡º,63,112,30,2.2,73,114
2014-03-16,91,¡º,68,133,28,2.4,86,71
2014-03-17,113,«·∂»Œ€»æ,85,159,32,2.4,87,94
2014-03-18,149,«·∂»Œ€»æ,114,183,35,2.5,105,116
2014-03-19,138,«·∂»Œ€»æ,105,174,46,1.7,99,60
2014-03-20,61,¡º,42,72,13,1.3,44,61
2014-03-21,63,¡º,42,76,16,1.5,46,102
2014-03-22,64,¡º,36,79,17,1.2,55,109
2014-03-23,63,¡º,35,75,22,1.3,58,85
2014-03-24,67,¡º,39,84,30,1.5,63,73
2014-03-25,77,¡º,50,105,25,1.3,71,72
2014-03-26,100,¡º,75,138,27,1.1,72,115
2014-03-27,114,«·∂»Œ€»æ,86,129,34,1.1,93,99
2014-03-28,113,«·∂»Œ€»æ,85,126,26,1.4,96,41
2014-03-29,70,¡º,51,77,22,1.4,79,58
2014-03-30,98,¡º,74,118,23,1.1,61,134
2014-03-31,73,¡º,38,56,8,1.1,41,127
2014-04-01,34,”≈,21,34,8,1.1,62,62
2014-04-02,60,¡º,38,69,14,1.3,60,96
2014-04-03,99,¡º,74,115,22,1.6,82,100
2014-04-04,69,¡º,49,88,21,1.5,68,122
2014-04-05,78,¡º,47,105,22,1.6,79,130
2014-04-06,64,¡º,32,77,16,1.4,46,95
2014-04-07,71,¡º,51,92,20,1.7,82,73
2014-04-08,121,«·∂»Œ€»æ,92,159,37,2.3,118,55
2014-04-09,100,¡º,75,124,25,1.7,84,105
2014-04-10,87,¡º,65,108,27,1.6,74,119
2014-04-11,66,¡º,45,82,25,1.5,67,102
2014-04-12,76,¡º,53,103,30,1.3,79,108
