»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,239,÷ÿ∂»Œ€»æ,189,278,95,2.9,113,20
2013-12-03,109,«·∂»Œ€»æ,82,130,91,1.4,59,43
2013-12-04,102,«·∂»Œ€»æ,77,126,109,1.6,54,33
2013-12-05,72,¡º,45,93,89,1.1,58,35
2013-12-06,98,¡º,73,126,95,1.4,60,38
2013-12-07,195,÷–∂»Œ€»æ,146,226,136,2.2,92,17
2013-12-08,183,÷–∂»Œ€»æ,138,195,114,1.9,73,7
2013-12-09,69,¡º,33,89,53,0.9,37,43
2013-12-10,89,¡º,66,116,92,1.2,52,20
2013-12-11,67,¡º,42,83,64,1.1,41,44
2013-12-12,139,«·∂»Œ€»æ,106,155,125,1.9,69,13
2013-12-13,142,«·∂»Œ€»æ,108,160,117,1.8,55,30
2013-12-14,212,÷ÿ∂»Œ€»æ,162,240,161,2.6,94,10
2013-12-15,102,«·∂»Œ€»æ,76,124,98,1.7,55,22
2013-12-16,152,÷–∂»Œ€»æ,116,163,83,1.9,50,32
2013-12-17,267,÷ÿ∂»Œ€»æ,217,286,106,2.5,82,11
2013-12-18,392,—œ÷ÿŒ€»æ,342,457,90,4,90,5
2013-12-19,398,—œ÷ÿŒ€»æ,348,437,105,3.9,82,5
2013-12-20,399,—œ÷ÿŒ€»æ,349,463,139,4,111,6
2013-12-21,324,—œ÷ÿŒ€»æ,274,360,135,3.3,83,9
2013-12-22,359,—œ÷ÿŒ€»æ,309,410,159,4.4,91,7
2013-12-23,395,—œ÷ÿŒ€»æ,345,447,153,4.8,111,7
2013-12-24,449,—œ÷ÿŒ€»æ,424,520,145,5.4,119,6
2013-12-25,498,—œ÷ÿŒ€»æ,476,598,148,6.5,134,4
2013-12-26,152,÷–∂»Œ€»æ,116,156,63,1.4,67,33
2013-12-27,108,«·∂»Œ€»æ,82,122,102,1.6,62,11
2013-12-28,101,«·∂»Œ€»æ,76,126,76,1.5,57,29
2013-12-29,142,«·∂»Œ€»æ,109,159,125,2,75,12
2013-12-30,103,«·∂»Œ€»æ,78,133,72,1.4,54,36
2013-12-31,84,¡º,44,118,73,1,49,43
2014-01-01,138,«·∂»Œ€»æ,106,194,146,1.8,73,28
2014-01-02,154,÷–∂»Œ€»æ,118,208,127,2,75,13
2014-01-03,101,«·∂»Œ€»æ,54,152,89,1.1,56,27
2014-01-04,131,«·∂»Œ€»æ,100,190,114,1.8,70,16
2014-01-05,190,÷–∂»Œ€»æ,143,244,170,2.5,71,16
2014-01-06,245,÷ÿ∂»Œ€»æ,195,311,157,2.5,80,15
2014-01-07,162,÷–∂»Œ€»æ,123,182,107,1.5,59,23
2014-01-08,74,¡º,37,99,56,0.8,40,51
2014-01-09,126,«·∂»Œ€»æ,96,165,110,1.5,47,31
2014-01-10,190,÷–∂»Œ€»æ,143,216,158,2.2,79,8
2014-01-11,178,÷–∂»Œ€»æ,135,207,147,2,79,26
2014-01-12,87,¡º,48,124,65,1,55,59
2014-01-13,107,«·∂»Œ€»æ,81,148,75,1.5,51,34
2014-01-14,174,÷–∂»Œ€»æ,132,209,116,2.2,69,22
2014-01-15,266,÷ÿ∂»Œ€»æ,216,294,132,2.6,72,15
2014-01-16,329,—œ÷ÿŒ€»æ,279,372,187,3.4,112,12
2014-01-17,214,÷ÿ∂»Œ€»æ,164,239,84,2.5,72,11
2014-01-18,104,«·∂»Œ€»æ,78,145,50,1.7,50,5
2014-01-19,108,«·∂»Œ€»æ,54,166,46,1,48,10
2014-01-20,82,¡º,35,113,23,0.9,43,11
2014-01-21,90,¡º,67,116,44,1.2,41,13
2014-01-22,153,÷–∂»Œ€»æ,117,182,70,2,58,40
2014-01-23,231,÷ÿ∂»Œ€»æ,181,271,104,2.7,83,20
2014-01-24,242,÷ÿ∂»Œ€»æ,192,292,96,2.5,69,30
2014-01-25,131,«·∂»Œ€»æ,100,191,71,1.8,41,52
2014-01-26,159,÷–∂»Œ€»æ,121,211,71,2,43,37
2014-01-27,230,÷ÿ∂»Œ€»æ,180,273,106,2.7,59,33
2014-01-28,244,÷ÿ∂»Œ€»æ,194,281,93,2.8,44,52
2014-01-29,259,÷ÿ∂»Œ€»æ,209,300,128,2.9,57,61
2014-01-30,346,—œ÷ÿŒ€»æ,296,387,132,3.2,55,84
2014-01-31,500,—œ÷ÿŒ€»æ,499,592,148,3.9,62,50
2014-02-01,380,—œ÷ÿŒ€»æ,330,408,68,3.4,35,38
2014-02-02,452,—œ÷ÿŒ€»æ,429,528,101,4.1,57,52
2014-02-03,226,÷ÿ∂»Œ€»æ,176,298,59,1.8,23,72
2014-02-04,156,÷–∂»Œ€»æ,77,262,53,0.9,13,51
2014-02-05,80,¡º,59,71,26,0.8,16,32
2014-02-06,92,¡º,69,77,51,0.9,23,30
2014-02-07,252,÷ÿ∂»Œ€»æ,202,245,41,1.7,53,32
2014-02-08,225,÷ÿ∂»Œ€»æ,175,198,113,1.9,32,31
2014-02-09,114,«·∂»Œ€»æ,86,100,69,1.1,27,53
2014-02-10,132,«·∂»Œ€»æ,101,116,70,1.3,33,58
2014-02-11,192,÷–∂»Œ€»æ,144,170,77,1.5,37,51
2014-02-12,248,÷ÿ∂»Œ€»æ,198,234,106,2.1,49,34
2014-02-13,189,÷–∂»Œ€»æ,142,168,108,1.7,48,65
2014-02-14,250,÷ÿ∂»Œ€»æ,200,239,106,2,51,56
2014-02-15,300,÷ÿ∂»Œ€»æ,250,305,90,2.2,49,37
