»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,193,÷–∂»Œ€»æ,145,213,68,1.6,104,36
2013-12-03,283,÷ÿ∂»Œ€»æ,233,298,55,2,123,60
2013-12-04,315,—œ÷ÿŒ€»æ,265,319,70,2.2,109,30
2013-12-05,325,—œ÷ÿŒ€»æ,275,324,35,2.4,103,57
2013-12-06,368,—œ÷ÿŒ€»æ,318,366,61,2.5,92,29
2013-12-07,422,—œ÷ÿŒ€»æ,383,443,57,2.9,96,31
2013-12-08,401,—œ÷ÿŒ€»æ,351,406,47,2.6,105,36
2013-12-09,271,÷ÿ∂»Œ€»æ,221,281,43,2.6,83,9
2013-12-10,95,¡º,71,128,57,1.1,68,33
2013-12-11,146,«·∂»Œ€»æ,112,163,73,1.3,75,26
2013-12-12,191,÷–∂»Œ€»æ,143,214,65,1.8,95,17
2013-12-13,234,÷ÿ∂»Œ€»æ,184,258,89,1.9,109,20
2013-12-14,151,÷–∂»Œ€»æ,116,169,46,1.4,91,19
2013-12-15,146,«·∂»Œ€»æ,112,125,29,1.2,73,46
2013-12-16,35,”≈,24,30,9,0.6,22,44
2013-12-17,16,”≈,8,9,2,0.3,9,31
2013-12-18,62,¡º,45,60,20,0.7,33,50
2013-12-19,181,÷–∂»Œ€»æ,137,163,63,1.5,61,29
2013-12-20,244,÷ÿ∂»Œ€»æ,194,236,91,1.9,76,30
2013-12-21,165,÷–∂»Œ€»æ,125,155,84,1.6,74,28
2013-12-22,159,÷–∂»Œ€»æ,121,150,50,1.5,69,53
2013-12-23,163,÷–∂»Œ€»æ,124,152,45,1.5,74,51
2013-12-24,207,÷ÿ∂»Œ€»æ,157,191,64,1.7,81,69
2013-12-25,250,÷ÿ∂»Œ€»æ,200,244,59,1.9,99,44
2013-12-26,305,—œ÷ÿŒ€»æ,255,303,112,2.1,101,15
2013-12-27,73,¡º,39,95,51,0.8,54,34
2013-12-28,98,¡º,73,112,53,1,68,36
2013-12-29,144,«·∂»Œ€»æ,110,150,75,1.3,80,37
2013-12-30,129,«·∂»Œ€»æ,98,136,46,1.2,87,74
2013-12-31,89,¡º,67,112,36,1,85,71
2014-01-01,115,«·∂»Œ€»æ,87,142,37,1.2,95,64
2014-01-02,234,÷ÿ∂»Œ€»æ,184,242,55,2,133,35
2014-01-03,252,÷ÿ∂»Œ€»æ,202,255,99,1.9,126,36
2014-01-04,219,÷ÿ∂»Œ€»æ,169,238,78,1.8,84,31
2014-01-05,289,÷ÿ∂»Œ€»æ,239,298,36,2.1,97,36
2014-01-06,179,÷–∂»Œ€»æ,135,152,47,1.3,74,50
2014-01-07,136,«·∂»Œ€»æ,104,80,35,1.3,70,28
2014-01-08,61,¡º,44,40,15,1.1,39,57
2014-01-09,55,¡º,38,59,28,0.7,35,59
2014-01-10,107,«·∂»Œ€»æ,80,114,50,0.9,59,58
2014-01-11,101,«·∂»Œ€»æ,76,78,27,0.8,62,38
2014-01-12,95,¡º,71,57,21,1,51,36
2014-01-13,145,«·∂»Œ€»æ,111,93,33,1,42,55
2014-01-14,68,¡º,49,79,21,0.8,59,61
2014-01-15,113,«·∂»Œ€»æ,86,121,25,1,67,73
2014-01-16,165,÷–∂»Œ€»æ,125,143,49,1.2,90,46
2014-01-17,200,÷–∂»Œ€»æ,150,178,49,1.5,102,34
2014-01-18,304,—œ÷ÿŒ€»æ,254,228,46,1.7,73,37
2014-01-19,285,÷ÿ∂»Œ€»æ,235,261,38,1.8,90,62
2014-01-20,200,÷–∂»Œ€»æ,150,235,52,1.3,70,49
2014-01-21,92,¡º,47,134,52,0.8,51,44
2014-01-22,99,¡º,74,105,35,1,69,52
2014-01-23,139,«·∂»Œ€»æ,106,97,40,1.1,76,52
2014-01-24,99,¡º,74,93,28,1.1,71,67
