»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,114,«·∂»Œ€»æ,86,163,65,1.4,84,82
2013-12-03,144,«·∂»Œ€»æ,110,171,88,1.6,66,94
2013-12-04,179,÷–∂»Œ€»æ,135,207,67,1.2,67,87
2013-12-05,178,÷–∂»Œ€»æ,135,210,71,1.5,80,68
2013-12-06,208,÷ÿ∂»Œ€»æ,158,239,86,1.6,67,69
2013-12-07,231,÷ÿ∂»Œ€»æ,181,275,78,4.9,92,83
2013-12-08,234,÷ÿ∂»Œ€»æ,184,269,80,2.1,85,89
2013-12-09,139,«·∂»Œ€»æ,106,170,41,1,39,74
2013-12-10,128,«·∂»Œ€»æ,97,167,69,1.4,65,54
2013-12-11,130,«·∂»Œ€»æ,99,151,63,1.2,54,52
2013-12-12,137,«·∂»Œ€»æ,105,160,80,3.3,74,38
2013-12-13,155,÷–∂»Œ€»æ,118,176,68,1.7,81,53
2013-12-14,244,÷ÿ∂»Œ€»æ,194,268,92,1.7,77,41
2013-12-15,236,÷ÿ∂»Œ€»æ,186,238,46,1.5,65,35
2013-12-16,133,«·∂»Œ€»æ,102,139,26,1.2,47,54
2013-12-17,55,¡º,39,55,20,1.2,36,32
2013-12-18,79,¡º,58,85,29,1.1,37,61
2013-12-19,186,÷–∂»Œ€»æ,140,191,45,1.6,52,69
2013-12-20,220,÷ÿ∂»Œ€»æ,170,226,59,1.9,63,68
2013-12-21,267,÷ÿ∂»Œ€»æ,217,272,63,2.5,48,71
2013-12-22,228,÷ÿ∂»Œ€»æ,178,236,63,3.6,68,56
2013-12-23,170,÷–∂»Œ€»æ,129,181,73,1.7,77,47
2013-12-24,196,÷–∂»Œ€»æ,147,203,74,1.7,73,57
2013-12-25,200,÷–∂»Œ€»æ,150,211,73,1.7,79,72
2013-12-26,192,÷–∂»Œ€»æ,145,210,65,1.5,67,52
2013-12-27,122,«·∂»Œ€»æ,93,151,43,1.2,49,55
2013-12-28,91,¡º,68,115,52,1.2,54,47
2013-12-29,130,«·∂»Œ€»æ,99,157,70,1.4,80,46
2013-12-30,142,«·∂»Œ€»æ,108,171,62,1.9,94,69
2013-12-31,163,÷–∂»Œ€»æ,124,204,75,2.4,88,70
2014-01-01,176,÷–∂»Œ€»æ,133,200,73,2.7,89,76
2014-01-02,201,÷ÿ∂»Œ€»æ,151,234,89,2.4,103,63
2014-01-03,260,÷ÿ∂»Œ€»æ,210,277,90,2,70,47
2014-01-04,161,÷–∂»Œ€»æ,123,203,66,1.6,70,83
2014-01-05,170,÷–∂»Œ€»æ,129,210,71,3.7,76,91
2014-01-06,192,÷–∂»Œ€»æ,144,217,80,1.7,82,45
2014-01-07,230,÷ÿ∂»Œ€»æ,180,214,32,2,53,19
2014-01-08,184,÷–∂»Œ€»æ,139,169,42,1.6,34,52
2014-01-09,183,÷–∂»Œ€»æ,138,183,51,2,50,51
2014-01-10,171,÷–∂»Œ€»æ,129,173,47,2.1,59,13
2014-01-11,76,¡º,56,75,21,1,32,36
2014-01-12,137,«·∂»Œ€»æ,105,141,47,1.1,31,62
2014-01-13,201,÷ÿ∂»Œ€»æ,151,209,65,1.6,57,53
2014-01-14,202,÷ÿ∂»Œ€»æ,152,217,51,2,63,60
2014-01-15,152,÷–∂»Œ€»æ,117,168,48,1.2,59,71
2014-01-16,178,÷–∂»Œ€»æ,135,186,64,1.6,61,59
2014-01-17,234,÷ÿ∂»Œ€»æ,184,236,65,1.4,37,103
2014-01-18,240,÷ÿ∂»Œ€»æ,190,253,53,1.4,47,88
2014-01-19,185,÷–∂»Œ€»æ,139,207,64,2,60,83
2014-01-20,203,÷ÿ∂»Œ€»æ,153,217,58,1.3,40,95
2014-01-21,97,¡º,73,139,41,1,49,69
2014-01-22,113,«·∂»Œ€»æ,85,150,54,1.3,57,84
2014-01-23,122,«·∂»Œ€»æ,92,152,63,1.3,48,96
2014-01-24,120,«·∂»Œ€»æ,91,151,46,1.2,40,138
2014-01-25,205,÷ÿ∂»Œ€»æ,155,219,54,1.4,57,91
2014-01-26,302,—œ÷ÿŒ€»æ,252,313,66,2,53,71
2014-01-27,362,—œ÷ÿŒ€»æ,312,389,64,2.5,70,85
2014-01-28,325,—œ÷ÿŒ€»æ,275,332,46,1.8,49,57
2014-01-29,302,—œ÷ÿŒ€»æ,252,297,41,1.9,36,45
2014-01-30,303,—œ÷ÿŒ€»æ,253,324,55,2.1,43,108
2014-01-31,277,÷ÿ∂»Œ€»æ,227,303,69,1.6,27,119
2014-02-01,106,«·∂»Œ€»æ,80,111,36,1.2,25,119
2014-02-02,159,÷–∂»Œ€»æ,121,169,51,1.8,36,107
2014-02-03,188,÷–∂»Œ€»æ,141,198,28,2,26,70
2014-02-04,85,¡º,63,89,16,1.3,13,50
2014-02-05,32,”≈,22,32,11,0.9,11,28
2014-02-06,27,”≈,18,27,9,0.9,11,31
2014-02-07,88,¡º,65,86,25,1,17,32
2014-02-08,74,¡º,54,67,16,1.1,19,30
2014-02-09,93,¡º,69,87,19,1.1,17,52
2014-02-10,125,«·∂»Œ€»æ,95,116,31,1.2,20,59
2014-02-11,91,¡º,68,91,31,1,15,75
2014-02-12,103,«·∂»Œ€»æ,77,97,27,1,23,68
2014-02-13,113,«·∂»Œ€»æ,85,109,24,0.8,20,69
2014-02-14,138,«·∂»Œ€»æ,105,130,25,1,36,70
2014-02-15,123,«·∂»Œ€»æ,94,123,48,1.1,45,46
2014-02-16,108,«·∂»Œ€»æ,81,108,23,1,34,26
2014-02-17,88,¡º,65,85,15,1,26,25
2014-02-18,55,¡º,39,49,13,1.2,25,37
2014-02-19,63,¡º,45,63,26,0.8,26,87
2014-02-20,68,¡º,49,69,42,1,33,60
2014-02-21,82,¡º,61,112,62,1.3,53,68
2014-02-22,130,«·∂»Œ€»æ,99,160,95,1.4,65,43
2014-02-23,212,÷ÿ∂»Œ€»æ,162,222,42,1.4,54,17
2014-02-24,87,¡º,65,90,18,1.4,43,11
2014-02-25,66,¡º,48,66,14,1.1,26,23
2014-02-26,117,«·∂»Œ€»æ,89,150,23,1.1,31,41
2014-02-27,103,«·∂»Œ€»æ,78,122,26,1.3,46,19
2014-02-28,30,”≈,21,30,11,1.1,29,12
2014-03-01,50,”≈,32,50,10,0.8,23,27
2014-03-02,79,¡º,58,83,15,1,32,26
2014-03-03,73,¡º,53,86,17,1.1,38,15
2014-03-04,114,«·∂»Œ€»æ,86,129,24,1.1,34,37
2014-03-05,156,÷–∂»Œ€»æ,119,182,56,1.5,59,38
2014-03-06,132,«·∂»Œ€»æ,101,89,24,1.1,47,47
2014-03-07,67,¡º,48,47,22,0.9,26,46
