»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2015-01-04,161,÷–∂»Œ€»æ,123,220,67,1.3,62,8
2015-01-05,175,÷–∂»Œ€»æ,133,176,30,1.3,47,22
2015-01-06,102,«·∂»Œ€»æ,77,100,21,0.5,21,47
2015-01-07,91,¡º,68,90,24,0.9,22,38
2015-01-08,79,¡º,58,82,41,0.8,28,42
2015-01-09,85,¡º,63,97,123,0.8,34,24
2015-01-10,88,¡º,65,94,85,0.5,29,42
2015-01-11,90,¡º,67,100,25,0.6,32,36
2015-01-12,100,¡º,75,108,20,0.8,32,47
2015-01-13,128,«·∂»Œ€»æ,97,134,9,0.9,21,79
2015-01-14,109,«·∂»Œ€»æ,82,118,13,1,16,69
2015-01-15,107,«·∂»Œ€»æ,80,119,13,1.2,24,58
2015-01-16,118,«·∂»Œ€»æ,89,122,10,0.9,21,60
2015-01-17,122,«·∂»Œ€»æ,93,131,11,0.8,17,85
2015-01-18,133,«·∂»Œ€»æ,101,151,37,0.8,33,67
2015-01-19,135,«·∂»Œ€»æ,103,161,28,0.8,41,44
2015-01-20,120,«·∂»Œ€»æ,91,151,48,0.8,46,21
2015-01-21,124,«·∂»Œ€»æ,94,141,23,0.8,30,59
2015-01-22,94,¡º,70,110,13,0.6,23,77
2015-01-23,117,«·∂»Œ€»æ,89,146,29,0.9,40,43
2015-01-24,179,÷–∂»Œ€»æ,135,210,25,1.3,47,21
2015-01-25,133,«·∂»Œ€»æ,101,133,17,0.9,26,27
2015-01-26,116,«·∂»Œ€»æ,88,119,6,0.9,24,22
2015-01-27,87,¡º,65,84,26,1.2,21,46
2015-01-28,27,”≈,19,26,8,1,19,27
2015-01-29,36,”≈,25,32,9,0.6,14,26
2015-01-30,72,¡º,53,66,23,0.7,15,48
2015-01-31,95,¡º,71,89,24,0.8,16,47
2015-02-01,91,¡º,68,84,17,0.6,16,50
2015-02-02,91,¡º,68,84,12,0.7,19,35
2015-02-03,96,¡º,72,90,12,0.7,18,42
2015-02-04,124,«·∂»Œ€»æ,94,127,22,1,26,48
2015-02-05,111,«·∂»Œ€»æ,84,115,33,1,23,85
2015-02-06,98,¡º,74,106,43,1,23,75
2015-02-07,101,«·∂»Œ€»æ,76,111,32,1.1,31,47
2015-02-08,102,«·∂»Œ€»æ,77,109,40,0.7,23,86
2015-02-09,131,«·∂»Œ€»æ,100,142,36,0.9,29,75
2015-02-10,156,÷–∂»Œ€»æ,119,173,27,1,38,43
2015-02-11,144,«·∂»Œ€»æ,110,153,22,0.9,29,73
2015-02-12,115,«·∂»Œ€»æ,87,122,23,0.7,24,86
2015-02-13,122,«·∂»Œ€»æ,92,129,24,0.8,26,77
2015-02-14,138,«·∂»Œ€»æ,106,132,10,1.1,27,61
2015-02-15,93,¡º,70,91,24,1.1,21,40
2015-02-16,88,¡º,65,90,18,0.8,14,53
2015-02-17,105,«·∂»Œ€»æ,79,109,15,0.7,12,71
2015-02-18,131,«·∂»Œ€»æ,100,136,16,0.8,12,84
2015-02-19,85,¡º,63,82,28,0.7,8,80
2015-02-20,51,¡º,36,49,32,0.6,6,48
2015-02-21,33,”≈,23,30,12,0.4,6,56
2015-02-22,60,¡º,43,55,1,0.4,9,58
2015-02-23,63,¡º,46,66,2,0.3,10,44
2015-02-24,67,¡º,49,74,2,0.5,10,47
2015-02-25,50,”≈,35,48,2,0.5,10,36
2015-02-26,44,”≈,31,42,5,0.6,17,38
2015-02-27,22,”≈,12,17,3,0.6,11,43
2015-02-28,25,”≈,17,22,1,0.6,8,46
2015-03-01,52,¡º,37,48,4,0.7,13,36
2015-03-02,54,¡º,38,55,5,0.7,15,42
2015-03-03,67,¡º,49,83,25,0.7,12,72
2015-03-04,100,¡º,49,150,18,0.5,10,70
2015-03-05,61,¡º,44,67,9,0.6,11,69
2015-03-06,70,¡º,51,71,9,0.5,13,59
2015-03-07,66,¡º,48,66,5,0.6,12,56
2015-03-08,67,¡º,49,62,15,0.5,13,60
2015-03-09,76,¡º,56,77,20,0.6,16,88
2015-03-10,141,«·∂»Œ€»æ,108,143,65,0.8,19,88
2015-03-11,129,«·∂»Œ€»æ,98,127,36,0.7,23,53
2015-03-12,88,¡º,66,84,31,0.6,24,53
2015-03-13,84,¡º,63,88,24,0.6,25,59
2015-03-14,82,¡º,61,87,13,0.6,25,33
2015-03-15,83,¡º,61,83,14,0.8,24,49
2015-03-16,77,¡º,57,78,17,0.8,23,33
2015-03-17,79,¡º,58,83,18,0.7,25,25
2015-03-18,36,”≈,23,36,13,0.7,19,34
2015-03-19,40,”≈,26,40,13,0.6,18,56
