日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,84,良,62,72,38,1.3,61,131
2014-01-01,108,轻度污染,82,93,42,1.5,48,152
2014-01-02,81,良,57,66,22,1.1,26,137
2014-01-03,65,良,44,51,30,1,32,118
2014-01-04,106,轻度污染,80,96,29,1.4,35,120
2014-01-05,106,轻度污染,80,94,37,1.3,27,165
2014-01-06,120,轻度污染,63,75,13,1.1,14,182
2014-01-07,86,良,32,44,9,0.9,10,143
2014-01-08,42,优,29,38,17,1.1,18,74
2014-01-09,51,良,35,43,19,1.5,24,89
2014-01-10,76,良,42,44,27,1.4,21,131
2014-01-11,63,良,32,36,8,0.9,16,115
2014-01-12,64,良,44,49,23,1.3,27,117
2014-01-13,44,优,30,38,18,1.2,21,87
2014-01-14,60,良,43,48,22,1.2,28,104
2014-01-15,77,良,38,47,34,1.1,33,132
2014-01-16,90,良,27,37,20,0.9,21,148
2014-01-17,93,良,47,53,27,1.1,35,152
2014-01-18,94,良,52,63,26,1.2,38,153
2014-01-19,107,轻度污染,53,64,27,1.3,45,168
2014-01-20,100,良,52,64,27,1.2,32,160
2014-01-21,95,良,71,90,34,1.4,30,139
2014-01-22,89,良,37,55,31,1.2,35,147
2014-01-23,121,轻度污染,43,53,25,1.2,39,183
2014-01-24,94,良,19,28,10,1,15,153
2014-01-25,52,良,16,23,8,0.9,12,102
2014-01-26,60,良,38,48,19,1.2,28,112
2014-01-27,59,良,40,61,11,1.2,15,111
2014-01-28,45,优,23,38,10,1,10,90
2014-01-29,63,良,31,43,13,1.2,19,115
2014-01-30,58,良,41,50,13,1.3,21,108
2014-01-31,73,良,53,58,17,1.2,15,92
2014-02-01,34,优,24,33,11,1.1,12,65
2014-02-02,29,优,19,28,17,1.1,14,57
2014-02-03,35,优,24,34,23,1.2,26,45
2014-02-04,38,优,26,37,19,1.3,23,75
2014-02-05,36,优,11,21,7,1.3,7,71
2014-02-06,33,优,10,17,9,1.3,8,65
2014-02-07,20,优,14,19,9,1.2,14,27
2014-02-08,64,良,47,37,9,1.6,19,24
2014-02-09,37,优,25,37,9,1.6,19,11
2014-02-10,41,优,29,39,9,1.7,14,22
2014-02-11,97,良,73,70,13,1.8,16,39
2014-02-12,70,良,51,76,9,1.6,16,38
2014-02-13,31,优,22,26,7,1.4,12,38
2014-02-14,82,良,61,70,13,1.4,21,64
2014-02-15,123,轻度污染,93,104,15,1.4,26,56
2014-02-16,77,良,57,82,7,1.5,27,51
2014-02-17,38,优,25,37,5,1.3,19,76
2014-02-18,38,优,17,29,5,1.3,16,75
2014-02-19,27,优,15,23,5,1.5,14,54
2014-02-20,43,优,26,43,10,1.3,17,77
2014-02-21,72,良,28,73,8,1.1,15,126
2014-02-22,68,良,40,74,7,1.2,14,121
2014-02-23,77,良,39,72,9,1.3,19,132
2014-02-24,73,良,24,46,5,1.1,10,127
2014-02-25,48,优,23,47,5,1.2,12,95
2014-02-26,37,优,17,37,5,1.2,12,71
2014-02-27,37,优,18,26,5,1.1,9,74
2014-02-28,38,优,17,33,4,1.2,10,75
2014-03-01,30,优,13,30,5,1.2,9,52
2014-03-02,37,优,24,37,5,1.3,12,54
2014-03-03,52,良,34,54,6,1.5,27,66
2014-03-04,43,优,23,43,6,1.5,18,66
2014-03-05,37,优,24,37,7,1.6,25,33
2014-03-06,47,优,26,40,5,1.2,17,93
2014-03-07,38,优,17,26,4,1,18,76
2014-03-08,37,优,17,37,4,0.9,11,70
2014-03-09,26,优,18,26,6,1.3,22,51
2014-03-10,31,优,22,29,5,1.2,20,43
2014-03-11,39,优,24,35,4,1.1,17,78
2014-03-12,53,良,27,57,4,1.1,11,84
2014-03-13,53,良,37,55,8,1.2,20,55
2014-03-14,67,良,49,69,11,1.4,21,63
2014-03-15,77,良,57,100,15,1.3,22,112
