»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,134,«·∂»Œ€»æ,102,173,66,0.2,116,55
2014-01-02,195,÷–∂»Œ€»æ,147,230,75,0.1,180,32
2014-01-06,146,«·∂»Œ€»æ,112,185,50,0.4,109,46
2014-01-07,85,¡º,63,96,36,0.4,101,24
2014-01-08,69,¡º,50,68,30,0.7,53,33
2014-01-09,69,¡º,49,88,34,0.6,32,29
2014-01-10,92,¡º,68,128,41,0.5,46,36
2014-01-11,96,¡º,72,107,30,0.6,42,22
2014-01-12,139,«·∂»Œ€»æ,106,140,37,1,45,18
2014-01-13,188,÷–∂»Œ€»æ,142,216,43,0.7,46,22
2014-01-14,99,¡º,74,125,51,0.8,52,31
2014-01-15,137,«·∂»Œ€»æ,105,168,41,0.8,57,33
2014-01-16,108,«·∂»Œ€»æ,81,137,36,0.4,71,36
2014-01-17,192,÷–∂»Œ€»æ,144,226,45,0.8,81,32
2014-01-18,281,÷ÿ∂»Œ€»æ,231,310,44,1.2,68,29
2014-01-19,295,÷ÿ∂»Œ€»æ,245,310,42,0.9,90,43
2014-01-20,270,÷ÿ∂»Œ€»æ,220,294,47,0.8,66,80
2014-01-21,146,«·∂»Œ€»æ,112,198,46,0.7,50,68
2014-01-22,83,¡º,61,111,29,0.7,43,83
2014-01-23,153,÷–∂»Œ€»æ,117,179,32,0.9,68,48
2014-01-24,147,«·∂»Œ€»æ,112,175,41,1,71,41
2014-01-25,222,÷ÿ∂»Œ€»æ,172,254,42,1,67,35
2014-01-26,89,¡º,66,122,27,0.5,33,61
2014-01-27,67,¡º,46,84,20,0.9,46,46
2014-01-28,151,÷–∂»Œ€»æ,116,177,30,0.8,55,65
2014-01-29,108,«·∂»Œ€»æ,81,117,16,0.9,35,58
2014-01-30,232,÷ÿ∂»Œ€»æ,182,234,22,0.9,43,43
2014-01-31,296,÷ÿ∂»Œ€»æ,246,324,20,0.6,46,34
2014-02-01,168,÷–∂»Œ€»æ,127,169,23,0.9,43,95
2014-02-02,262,÷ÿ∂»Œ€»æ,212,344,19,1,50,38
2014-02-03,156,÷–∂»Œ€»æ,119,195,15,0.4,37,58
2014-02-04,56,¡º,27,61,18,0.7,18,81
2014-02-05,39,”≈,20,30,16,0.5,22,77
2014-02-06,27,”≈,18,23,14,0.9,27,54
2014-02-07,55,¡º,39,46,17,1.7,22,51
2014-02-08,79,¡º,58,94,32,0.6,23,85
2014-02-09,86,¡º,64,89,34,0.8,24,70
2014-02-10,53,¡º,36,56,27,0.7,18,77
2014-02-11,73,¡º,54,75,33,0.7,24,87
2014-02-12,89,¡º,66,88,27,0.5,32,62
2014-02-13,80,¡º,59,81,23,0.9,28,72
2014-02-14,154,÷–∂»Œ€»æ,118,158,35,1.1,42,103
2014-02-15,134,«·∂»Œ€»æ,102,152,31,0.4,50,87
2014-02-16,65,¡º,47,58,20,0.8,49,59
2014-02-17,55,¡º,39,48,18,0.7,43,51
2014-02-18,50,”≈,35,41,25,1.1,29,81
2014-02-19,108,«·∂»Œ€»æ,82,108,27,0.7,37,79
2014-02-20,99,¡º,75,98,41,0.7,34,86
2014-02-21,180,÷–∂»Œ€»æ,136,193,44,0.6,49,125
2014-02-22,170,÷–∂»Œ€»æ,129,167,36,0.6,43,123
2014-02-23,103,«·∂»Œ€»æ,78,110,24,0.4,36,135
2014-02-24,143,«·∂»Œ€»æ,109,132,28,0.5,54,107
2014-02-25,36,”≈,26,22,18,0.4,41,61
2014-02-26,69,¡º,50,63,19,0.6,38,88
2014-02-27,148,«·∂»Œ€»æ,113,150,40,1,64,51
2014-02-28,112,«·∂»Œ€»æ,84,96,26,1,51,51
2014-03-01,59,¡º,42,59,31,0.4,38,78
2014-03-02,122,«·∂»Œ€»æ,92,139,43,0.8,53,121
2014-03-03,79,¡º,58,102,30,0.4,41,130
2014-03-04,77,¡º,57,88,32,0.7,59,113
2014-03-05,103,«·∂»Œ€»æ,78,112,33,1,39,100
2014-03-06,61,¡º,37,71,30,0.5,40,85
2014-03-07,63,¡º,45,76,32,0.4,47,98
2014-03-08,53,¡º,34,56,17,0.4,36,95
2014-03-09,88,¡º,59,88,27,0.6,50,145
2014-03-10,141,«·∂»Œ€»æ,108,163,33,0.8,62,153
2014-03-11,181,÷–∂»Œ€»æ,137,184,34,0.8,62,140
2014-03-12,130,«·∂»Œ€»æ,99,124,24,1.2,62,93
2014-03-13,70,¡º,42,89,21,0.4,31,110
2014-03-14,81,¡º,60,109,20,0.5,42,128
2014-03-15,85,¡º,56,111,24,0.6,60,142
2014-03-16,123,«·∂»Œ€»æ,93,165,33,0.7,70,162
2014-03-17,97,¡º,73,127,29,0.9,65,135
2014-03-18,143,«·∂»Œ€»æ,104,237,49,1.2,65,182
2014-03-19,148,«·∂»Œ€»æ,85,246,27,0.6,46,120
2014-03-20,105,«·∂»Œ€»æ,79,125,31,0.7,36,150
2014-03-21,78,¡º,51,105,37,0.6,47,134
2014-03-22,98,¡º,73,127,41,0.5,68,147
2014-03-23,97,¡º,72,117,36,0.5,54,155
2014-03-24,102,«·∂»Œ€»æ,77,142,47,0.9,80,112
2014-03-25,108,«·∂»Œ€»æ,82,113,22,0.8,60,92
2014-03-26,94,¡º,67,89,19,0.9,37,153
2014-03-27,139,«·∂»Œ€»æ,106,145,26,0.8,53,156
2014-03-28,107,«·∂»Œ€»æ,81,102,23,0.7,55,104
2014-03-29,151,÷–∂»Œ€»æ,116,152,29,1.3,68,44
2014-03-30,110,«·∂»Œ€»æ,83,124,31,0.8,44,154
2014-03-31,107,«·∂»Œ€»æ,80,114,36,0.5,55,101
2014-04-01,130,«·∂»Œ€»æ,99,140,40,0.7,59,127
2014-04-02,100,¡º,75,117,22,0.5,55,139
2014-04-03,95,¡º,64,106,30,0.6,41,154
2014-04-04,89,¡º,45,105,26,0.5,55,147
2014-04-05,95,¡º,60,140,27,0.5,53,130
2014-04-06,62,¡º,21,74,24,0.2,40,90
2014-04-07,87,¡º,65,102,27,0.5,58,124
2014-04-08,138,«·∂»Œ€»æ,106,134,24,0.7,54,148
2014-04-09,148,«·∂»Œ€»æ,102,159,31,0.6,60,213
2014-04-10,203,÷ÿ∂»Œ€»æ,101,149,37,0.5,45,280
2014-04-11,150,«·∂»Œ€»æ,72,103,31,0.4,41,215
2014-04-12,122,«·∂»Œ€»æ,44,56,14,0.4,24,184
2014-04-13,125,«·∂»Œ€»æ,32,50,18,0.4,21,187
2014-04-14,156,÷–∂»Œ€»æ,65,106,27,0.5,35,221
2014-04-15,113,«·∂»Œ€»æ,55,90,25,0.3,30,174
2014-04-16,84,¡º,49,62,20,0.6,33,141
2014-04-17,103,«·∂»Œ€»æ,77,85,23,0.9,38,89
2014-04-18,104,«·∂»Œ€»æ,78,93,27,0.7,39,72
2014-04-19,52,¡º,37,41,17,0.6,30,76
2014-04-20,84,¡º,62,86,24,0.6,32,90
2014-04-21,89,¡º,66,71,18,0.5,39,61
2014-04-22,75,¡º,55,75,27,0.7,37,128
2014-04-23,104,«·∂»Œ€»æ,52,87,33,0.5,49,164
2014-04-24,117,«·∂»Œ€»æ,45,67,29,0.4,34,179
2014-04-25,58,¡º,23,37,18,0.3,22,109
2014-04-26,58,¡º,42,31,16,1,35,84
2014-04-27,67,¡º,48,67,12,0.6,22,56
2014-04-28,63,¡º,40,60,24,0.5,27,115
2014-04-29,131,«·∂»Œ€»æ,54,93,32,0.5,39,194
2014-04-30,145,«·∂»Œ€»æ,55,113,36,0.4,57,209
2014-05-02,108,«·∂»Œ€»æ,57,167,45,0.4,43,137
2014-05-03,82,¡º,45,113,35,0.5,36,113
2014-05-04,60,¡º,42,70,21,0.8,50,90
2014-05-05,111,«·∂»Œ€»æ,46,96,32,0.5,41,172
2014-05-06,105,«·∂»Œ€»æ,39,91,23,0.4,50,165
2014-05-07,106,«·∂»Œ€»æ,39,93,31,0.6,53,167
2014-05-08,185,÷–∂»Œ€»æ,78,144,53,0.9,55,250
2014-05-09,98,¡º,48,85,27,0.4,31,157
2014-05-10,77,¡º,45,50,16,0.4,27,132
2014-05-11,50,”≈,35,42,14,0.7,29,90
2014-05-12,92,¡º,43,76,21,0.6,29,150
2014-05-13,75,¡º,54,100,33,0.7,57,118
2014-05-14,103,«·∂»Œ€»æ,77,93,20,0.7,52,106
2014-05-15,164,÷–∂»Œ€»æ,55,126,37,0.7,40,229
2014-05-16,205,÷ÿ∂»Œ€»æ,83,169,37,0.8,53,293
2014-05-17,173,÷–∂»Œ€»æ,108,149,50,1.1,65,238
2014-05-18,67,¡º,49,58,23,0.5,34,81
2014-05-19,88,¡º,65,91,21,0.6,44,132
2014-05-20,152,÷–∂»Œ€»æ,104,137,24,1,38,217
2014-05-21,202,÷ÿ∂»Œ€»æ,106,180,36,0.9,63,274
2014-05-22,129,«·∂»Œ€»æ,84,130,34,0.5,35,192
2014-05-23,113,«·∂»Œ€»æ,25,64,30,0.3,27,174
2014-05-24,83,¡º,43,71,19,0.5,31,140
2014-05-25,112,«·∂»Œ€»æ,85,112,18,0.9,32,120
2014-05-26,138,«·∂»Œ€»æ,106,220,34,1.1,40,200
2014-05-27,152,÷–∂»Œ€»æ,113,253,28,0.6,32,184
2014-05-28,204,÷ÿ∂»Œ€»æ,115,252,36,0.7,27,287
2014-05-29,323,—œ÷ÿŒ€»æ,273,420,46,1.1,57,274
2014-05-30,188,÷–∂»Œ€»æ,142,241,38,0.8,46,228
2014-05-31,104,«·∂»Œ€»æ,79,120,25,0.5,31,154
2014-06-01,62,¡º,44,58,7,0.3,28,76
2014-06-02,56,¡º,40,54,5,0.3,10,95
2014-06-03,86,¡º,46,60,11,0.3,20,143
2014-06-04,116,«·∂»Œ€»æ,71,105,15,0.5,34,178
2014-06-05,159,÷–∂»Œ€»æ,122,150,26,1,44,220
2014-06-06,177,÷–∂»Œ€»æ,102,138,17,0.7,24,242
2014-06-07,201,÷ÿ∂»Œ€»æ,103,123,23,1,30,273
2014-06-08,122,«·∂»Œ€»æ,93,135,44,0.6,40,177
2014-06-09,98,¡º,57,81,10,0.3,31,157
2014-06-10,93,¡º,44,67,11,0.2,35,152
2014-06-11,114,«·∂»Œ€»æ,66,97,25,0.5,48,175
2014-06-12,199,÷–∂»Œ€»æ,82,129,20,0.7,50,264
2014-06-13,150,«·∂»Œ€»æ,75,142,21,1.1,62,215
2014-06-14,167,÷–∂»Œ€»æ,96,166,26,2,76,232
