»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,73,¡º,30,96,11,0.6,13,36
2015-01-01,70,¡º,40,90,16,0.8,18,48
2015-01-02,100,¡º,75,136,15,0.9,22,39
2015-01-03,126,«·∂»Œ€»æ,96,170,18,1.3,26,37
2015-01-04,167,÷–∂»Œ€»æ,127,222,20,1.6,30,40
2015-01-05,214,÷ÿ∂»Œ€»æ,164,266,19,2.2,30,37
2015-01-06,131,«·∂»Œ€»æ,100,153,16,1.2,19,43
2015-01-07,77,¡º,55,103,15,0.9,20,42
2015-01-08,115,«·∂»Œ€»æ,87,156,15,1.4,24,42
2015-01-09,133,«·∂»Œ€»æ,101,180,13,1.6,26,38
2015-01-10,116,«·∂»Œ€»æ,88,152,12,1.5,26,40
2015-01-11,122,«·∂»Œ€»æ,92,147,12,1.4,25,39
2015-01-12,53,¡º,34,56,11,0.7,16,32
2015-01-13,45,”≈,30,45,11,0.7,19,36
2015-01-14,41,”≈,29,40,10,0.7,17,33
2015-01-15,54,¡º,38,54,10,0.7,16,34
2015-01-16,94,¡º,70,102,11,0.9,17,34
2015-01-17,103,«·∂»Œ€»æ,77,122,14,1.2,19,34
2015-01-18,89,¡º,66,114,14,1,19,36
2015-01-19,89,¡º,58,129,15,1,23,38
2015-01-20,98,¡º,70,147,16,1.2,26,38
2015-01-21,133,«·∂»Œ€»æ,101,168,14,1.4,22,43
2015-01-22,112,«·∂»Œ€»æ,85,119,14,1.3,20,38
2015-01-23,119,«·∂»Œ€»æ,90,144,14,1.5,26,35
2015-01-24,205,÷ÿ∂»Œ€»æ,155,233,15,2,30,43
2015-01-25,185,÷–∂»Œ€»æ,139,204,13,1.6,23,36
2015-01-26,168,÷–∂»Œ€»æ,128,198,12,1.6,21,42
2015-01-27,81,¡º,60,85,11,0.9,16,39
2015-01-28,44,”≈,31,41,12,0.6,18,44
2015-01-29,41,”≈,29,37,12,0.7,23,31
2015-01-30,90,¡º,67,89,13,1,22,33
