»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-01,101,«·∂»Œ€»æ,52,151,83,1.5,70,7
2013-12-02,117,«·∂»Œ€»æ,49,184,73,1.6,80,29
2013-12-03,142,«·∂»Œ€»æ,71,234,120,2,96,7
2013-12-04,101,«·∂»Œ€»æ,41,151,95,1.5,70,7
2013-12-05,97,¡º,44,144,80,1.3,64,6
2013-12-06,107,«·∂»Œ€»æ,62,163,62,1.3,53,9
2013-12-07,163,÷–∂»Œ€»æ,124,193,61,1.6,67,7
2013-12-08,262,÷ÿ∂»Œ€»æ,212,236,50,2.1,35,3
2013-12-09,149,«·∂»Œ€»æ,114,144,73,1.8,71,5
2013-12-10,112,«·∂»Œ€»æ,84,110,63,1,50,13
2013-12-11,84,¡º,62,80,75,0.7,44,44
2013-12-12,113,«·∂»Œ€»æ,85,109,82,0.8,45,13
2013-12-13,189,÷–∂»Œ€»æ,142,205,68,1.4,63,10
2013-12-14,243,÷ÿ∂»Œ€»æ,193,269,99,1.7,87,16
2013-12-15,383,—œ÷ÿŒ€»æ,276,486,59,2.1,84,10
2013-12-16,314,—œ÷ÿŒ€»æ,264,363,56,1.8,77,16
2013-12-17,240,÷ÿ∂»Œ€»æ,190,193,41,1.5,62,11
2013-12-18,256,÷ÿ∂»Œ€»æ,206,149,59,1.4,42,10
2013-12-19,300,÷ÿ∂»Œ€»æ,250,199,59,1.2,43,12
2013-12-20,415,—œ÷ÿŒ€»æ,372,324,66,2,68,9
2013-12-21,332,—œ÷ÿŒ€»æ,282,288,90,1.6,62,8
2013-12-22,314,—œ÷ÿŒ€»æ,264,212,86,1.4,41,14
2013-12-23,315,—œ÷ÿŒ€»æ,265,171,80,1.4,58,10
2013-12-24,426,—œ÷ÿŒ€»æ,388,221,90,1.5,65,16
2013-12-25,440,—œ÷ÿŒ€»æ,410,273,97,1.5,65,11
2013-12-26,342,—œ÷ÿŒ€»æ,292,214,78,1.5,57,13
2013-12-27,186,÷–∂»Œ€»æ,140,54,68,0.9,42,19
2013-12-28,120,«·∂»Œ€»æ,91,73,84,1.5,41,12
2013-12-29,119,«·∂»Œ€»æ,90,72,149,1,34,18
2013-12-30,127,«·∂»Œ€»æ,96,85,158,1,34,18
2013-12-31,119,«·∂»Œ€»æ,90,173,147,0,0,0
2014-01-01,130,«·∂»Œ€»æ,99,156,208,0,0,0
2014-01-02,201,÷ÿ∂»Œ€»æ,151,221,230,0,0,0
2014-01-03,92,¡º,0,104,133,0,0,0
2014-01-04,147,«·∂»Œ€»æ,112,160,54,0,0,0
2014-01-05,180,÷–∂»Œ€»æ,136,175,69,0,0,0
2014-01-06,328,—œ÷ÿŒ€»æ,278,319,86,0,88,0
2014-01-07,267,÷ÿ∂»Œ€»æ,217,251,0,0,0,0
2014-01-08,173,÷–∂»Œ€»æ,131,149,55,0,0,0
2014-01-09,189,÷–∂»Œ€»æ,142,178,69,0,0,0
2014-01-10,138,«·∂»Œ€»æ,105,127,30,0,0,0
2014-01-11,140,«·∂»Œ€»æ,107,138,62,0,0,0
2014-01-12,183,÷–∂»Œ€»æ,138,185,111,0,0,0
2014-01-13,169,÷–∂»Œ€»æ,128,174,98,0,0,0
2014-01-14,210,÷ÿ∂»Œ€»æ,160,200,64,0,0,0
2014-01-15,199,÷–∂»Œ€»æ,149,182,74,0,0,0
2014-01-16,243,÷ÿ∂»Œ€»æ,193,267,0,0,0,0
2014-01-17,320,—œ÷ÿŒ€»æ,270,386,108,0,83,0
2014-01-18,196,÷–∂»Œ€»æ,0,342,0,0,0,0
2014-01-19,220,÷ÿ∂»Œ€»æ,170,259,0,0,0,0
2014-01-22,103,«·∂»Œ€»æ,77,0,0,0,0,0
2014-01-23,129,«·∂»Œ€»æ,98,0,105,1.3,0,0
2014-01-24,212,÷ÿ∂»Œ€»æ,162,177,141,1.8,90,0
2014-01-25,168,÷–∂»Œ€»æ,127,191,170,1.8,77,0
2014-01-26,94,¡º,70,120,89,0.7,40,84
2014-01-27,152,÷–∂»Œ€»æ,116,174,93,1,49,124
2014-01-28,214,÷ÿ∂»Œ€»æ,164,240,120,1.3,58,78
2014-01-29,199,÷–∂»Œ€»æ,149,196,97,1.1,40,114
2014-01-30,256,÷ÿ∂»Œ€»æ,206,234,108,1.2,34,98
2014-01-31,259,÷ÿ∂»Œ€»æ,209,304,0,0,27,28
2014-02-01,228,÷ÿ∂»Œ€»æ,178,237,113,1.6,49,56
2014-02-02,241,÷ÿ∂»Œ€»æ,191,236,85,1.6,34,72
2014-02-03,144,«·∂»Œ€»æ,110,147,87,1,23,65
2014-02-04,69,¡º,0,70,88,0.5,16,79
2014-02-05,54,¡º,38,48,54,0.5,14,79
2014-02-06,89,¡º,66,65,85,0.6,21,65
2014-02-07,144,«·∂»Œ€»æ,110,114,120,0.9,33,98
2014-02-08,127,«·∂»Œ€»æ,96,102,123,0.7,23,125
2014-02-09,94,¡º,70,78,94,0.7,20,110
2014-02-10,59,¡º,30,39,67,0.5,16,110
2014-02-11,83,¡º,61,83,87,0.6,36,126
2014-02-12,133,«·∂»Œ€»æ,101,124,97,0.9,33,0
2014-02-13,210,÷ÿ∂»Œ€»æ,160,194,0,1.3,52,100
2014-02-14,233,÷ÿ∂»Œ€»æ,183,229,0,1.4,0,127
2014-02-15,199,÷–∂»Œ€»æ,149,181,63,1.2,40,85
2014-02-16,143,«·∂»Œ€»æ,109,136,68,1.2,40,58
2014-02-17,256,÷ÿ∂»Œ€»æ,206,234,76,1.9,44,53
2014-02-18,77,¡º,54,68,104,0.8,28,102
2014-02-19,122,«·∂»Œ€»æ,92,121,150,1.3,44,102
2014-02-20,133,«·∂»Œ€»æ,101,143,149,1.4,46,129
2014-02-21,100,¡º,75,112,44,1.2,40,102
2014-02-22,148,«·∂»Œ€»æ,113,167,107,1.5,61,103
2014-02-23,163,÷–∂»Œ€»æ,124,177,59,1.5,56,89
2014-02-24,135,«·∂»Œ€»æ,103,157,58,1.4,54,101
2014-02-25,155,÷–∂»Œ€»æ,118,156,153,1.4,33,60
2014-02-26,124,«·∂»Œ€»æ,94,0,91,0,0,69
2014-02-27,114,«·∂»Œ€»æ,86,129,0,1.3,24,64
2014-02-28,62,¡º,44,59,0,0.9,18,51
2014-03-01,155,÷–∂»Œ€»æ,118,143,29,1.2,31,40
2014-03-02,172,÷–∂»Œ€»æ,130,172,37,1.6,35,69
2014-03-03,122,«·∂»Œ€»æ,92,138,36,1.3,35,132
2014-03-04,180,÷–∂»Œ€»æ,136,223,58,2,61,88
2014-03-05,103,«·∂»Œ€»æ,77,122,36,1.1,31,62
