»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,76,¡º,56,76,26,0.9,58,101
2015-01-01,96,¡º,71,102,26,1,36,87
2015-01-02,70,¡º,51,76,30,0.7,35,74
2015-01-03,74,¡º,54,73,31,0.8,41,77
2015-01-04,88,¡º,65,87,29,0.9,50,91
2015-01-05,136,«·∂»Œ€»æ,104,134,42,1.4,73,63
2015-01-06,130,«·∂»Œ€»æ,99,122,30,1.2,46,86
2015-01-07,78,¡º,57,77,22,1,40,68
2015-01-08,49,”≈,35,49,21,1,26,81
2015-01-09,76,¡º,56,78,34,0.8,41,87
2015-01-10,87,¡º,65,89,33,0.9,43,93
2015-01-11,93,¡º,70,96,44,1.1,55,60
2015-01-12,63,¡º,45,64,31,0.7,47,54
2015-01-13,28,”≈,14,21,11,0.5,22,55
2015-01-14,28,”≈,13,21,12,0.4,16,56
2015-01-15,36,”≈,24,30,17,0.5,25,72
2015-01-16,61,¡º,43,54,23,0.7,35,80
2015-01-17,78,¡º,57,71,23,0.8,40,72
2015-01-18,89,¡º,66,79,26,0.9,37,80
2015-01-19,90,¡º,67,88,27,0.9,39,94
2015-01-20,78,¡º,57,83,27,0.8,40,96
2015-01-21,81,¡º,60,85,25,1,47,85
2015-01-22,72,¡º,53,73,24,0.8,45,85
2015-01-23,84,¡º,63,85,27,0.9,43,107
2015-01-24,101,«·∂»Œ€»æ,76,94,25,1,51,96
2015-01-25,70,¡º,51,60,18,0.8,41,49
2015-01-26,60,¡º,43,53,16,0.8,32,53
2015-01-27,97,¡º,73,89,19,1,45,49
2015-01-28,43,”≈,30,39,14,0.7,29,54
2015-01-29,50,”≈,35,48,16,0.6,33,71
2015-01-30,63,¡º,45,63,19,0.8,45,50
2015-01-31,51,¡º,36,49,17,0.7,40,31
2015-02-01,55,¡º,39,49,18,0.7,29,56
2015-02-02,62,¡º,45,58,21,0.8,35,69
2015-02-03,63,¡º,45,57,16,0.7,31,79
2015-02-04,58,¡º,41,56,16,0.7,41,52
2015-02-05,47,”≈,33,38,14,0.9,34,28
2015-02-06,71,¡º,52,61,20,0.7,26,89
2015-02-07,71,¡º,52,63,22,0.8,35,72
2015-02-08,78,¡º,57,80,20,0.8,35,80
2015-02-09,68,¡º,49,65,21,0.6,25,82
2015-02-10,64,¡º,46,64,20,0.6,32,80
2015-02-11,73,¡º,54,69,22,0.7,35,82
2015-02-12,71,¡º,52,77,17,0.8,34,85
2015-02-13,65,¡º,47,69,18,0.7,35,93
2015-02-14,66,¡º,48,68,16,0.7,31,103
2015-02-15,98,¡º,74,91,17,1.1,34,86
2015-02-16,77,¡º,56,71,9,1,20,54
2015-02-17,60,¡º,43,56,9,0.8,19,87
2015-02-18,63,¡º,45,63,10,0.8,13,91
2015-02-19,78,¡º,57,73,11,0.7,16,91
2015-02-20,68,¡º,32,44,10,0.5,18,122
2015-02-21,54,¡º,38,51,9,0.7,22,57
2015-02-22,46,”≈,32,35,6,0.6,14,67
2015-02-23,35,”≈,25,34,8,0.7,16,63
2015-02-24,37,”≈,26,33,7,0.8,17,58
2015-02-25,31,”≈,22,31,9,0.6,19,58
2015-02-26,46,”≈,32,44,8,0.6,17,52
2015-02-27,39,”≈,26,39,7,0.5,19,43
2015-02-28,42,”≈,30,41,10,0.5,22,64
2015-03-01,42,”≈,30,41,8,0.5,25,39
2015-03-02,43,”≈,30,43,13,0.6,23,46
2015-03-03,80,¡º,59,77,16,0.9,32,49
2015-03-04,37,”≈,25,37,9,0.6,22,48
2015-03-05,34,”≈,24,31,8,0.6,24,41
2015-03-06,43,”≈,30,41,9,0.5,33,30
2015-03-07,51,¡º,35,52,10,0.6,32,47
2015-03-08,55,¡º,39,53,13,0.6,28,52
2015-03-09,75,¡º,55,78,15,0.9,33,71
2015-03-10,41,”≈,29,38,13,0.5,23,65
2015-03-11,38,”≈,27,37,13,0.5,27,44
2015-03-12,44,”≈,31,42,12,0.7,25,54
2015-03-13,60,¡º,43,62,14,0.7,33,85
2015-03-14,67,¡º,49,64,14,0.8,32,79
2015-03-15,73,¡º,53,79,21,0.8,43,65
2015-03-16,65,¡º,47,73,13,0.7,39,49
2015-03-17,53,¡º,37,56,9,0.7,27,57
2015-03-18,56,¡º,40,61,12,0.8,28,60
2015-03-19,55,¡º,37,60,12,0.7,28,73
2015-03-20,61,¡º,43,71,10,0.8,24,70
2015-03-21,57,¡º,38,64,9,0.7,29,68
2015-03-22,63,¡º,45,76,15,0.8,30,71
2015-03-23,64,¡º,46,78,17,0.7,33,63
2015-03-24,56,¡º,38,63,17,0.6,28,52
2015-03-25,46,”≈,28,46,24,0.5,35,55
2015-03-26,41,”≈,28,38,14,0.5,29,43
2015-03-27,43,”≈,29,41,12,0.6,27,69
2015-03-28,53,¡º,37,55,14,0.6,29,84
2015-03-29,68,¡º,50,72,20,0.7,33,114
2015-03-30,59,¡º,42,62,15,0.6,28,71
2015-03-31,57,¡º,40,63,16,0.7,26,50
2015-04-01,51,¡º,35,52,10,0.5,19,71
2015-04-02,45,”≈,28,45,8,0.4,18,63
2015-04-03,39,”≈,25,39,12,0.4,17,52
2015-04-04,46,”≈,30,46,9,0.4,15,58
2015-04-05,40,”≈,27,40,13,0.5,14,49
2015-04-06,36,”≈,21,36,9,0.4,13,51
2015-04-07,45,”≈,30,45,9,0.6,26,42
2015-04-08,38,”≈,25,38,14,0.5,31,41
2015-04-09,52,¡º,37,49,14,0.5,30,57
2015-04-10,54,¡º,38,56,13,0.7,42,37
2015-04-11,44,”≈,27,44,9,0.5,32,43
2015-04-12,57,¡º,40,64,22,0.7,27,64
2015-04-13,55,¡º,38,60,14,0.5,24,87
2015-04-14,49,”≈,25,43,15,0.4,19,98
2015-04-15,58,¡º,36,55,17,0.5,28,110
2015-04-16,60,¡º,40,61,25,0.6,33,112
2015-04-17,68,¡º,49,78,22,0.7,39,87
2015-04-18,70,¡º,51,78,20,0.7,29,57
2015-04-19,52,¡º,36,53,7,0.6,16,66
2015-04-20,61,¡º,44,64,17,0.9,33,45
2015-04-21,43,”≈,26,43,13,0.6,25,51
2015-04-22,63,¡º,45,73,18,0.7,30,112
2015-04-23,70,¡º,51,80,27,0.7,41,89
2015-04-24,65,¡º,47,73,24,0.7,28,110
2015-04-25,62,¡º,33,62,16,0.5,24,114
2015-04-26,56,¡º,34,62,17,0.5,30,105
2015-04-27,54,¡º,34,58,13,0.6,30,100
2015-04-28,61,¡º,40,73,16,0.7,38,94
2015-04-29,64,¡º,42,79,11,0.7,28,87
2015-04-30,74,¡º,54,97,11,0.9,32,120
2015-05-01,71,¡º,52,70,7,0.7,31,83
2015-05-02,54,¡º,38,54,11,0.5,20,70
2015-05-03,43,”≈,25,39,9,0.6,27,85
2015-05-04,51,¡º,34,52,9,0.7,36,85
2015-05-05,51,¡º,36,50,5,0.6,24,92
2015-05-06,63,¡º,45,66,11,0.8,25,68
2015-05-07,71,¡º,52,73,21,0.9,27,95
2015-05-08,63,¡º,45,68,7,0.5,23,80
2015-05-09,60,¡º,43,63,14,0.5,29,61
2015-05-10,51,¡º,31,51,8,0.4,22,75
2015-05-11,56,¡º,37,62,14,0.4,23,78
2015-05-12,49,”≈,21,43,8,0.3,17,97
2015-05-13,54,¡º,33,59,17,0.4,20,103
2015-05-14,62,¡º,45,70,16,0.5,25,82
2015-05-15,45,”≈,32,43,8,0.4,19,68
2015-05-16,45,”≈,30,45,11,0.4,21,55
2015-05-17,53,¡º,36,55,15,0.6,29,39
2015-05-18,52,¡º,34,53,18,0.7,30,49
2015-05-19,53,¡º,35,55,16,0.6,28,42
2015-05-20,49,”≈,34,49,13,0.7,32,51
2015-05-21,37,”≈,23,35,9,0.5,36,73
2015-05-22,42,”≈,28,42,12,0.6,35,81
2015-05-23,51,¡º,34,52,7,0.8,53,59
2015-05-24,45,”≈,27,45,6,0.8,41,44
2015-05-25,50,”≈,29,51,5,0.5,24,72
2015-05-26,51,¡º,29,51,4,0.6,25,57
2015-05-27,56,¡º,38,62,5,0.8,28,65
2015-05-28,60,¡º,38,70,11,1,26,72
2015-05-29,51,¡º,25,52,11,0.7,18,72
2015-05-30,49,”≈,23,49,9,0.7,19,63
2015-05-31,44,”≈,22,44,9,0.8,19,87
2015-06-01,42,”≈,20,42,5,0.7,20,59
2015-06-02,38,”≈,16,38,6,0.6,15,48
2015-06-03,39,”≈,17,39,10,0.6,15,57
2015-06-04,51,¡º,26,52,6,0.7,23,56
2015-06-05,59,¡º,37,68,6,0.8,22,71
2015-06-06,50,”≈,27,51,8,0.8,28,61
2015-06-07,56,¡º,37,62,4,0.7,19,71
2015-06-08,48,”≈,25,48,5,0.7,18,56
2015-06-09,41,”≈,19,41,7,0.6,16,58
2015-06-10,40,”≈,18,40,7,0.7,22,57
2015-06-11,50,”≈,24,50,14,0.7,19,67
2015-06-12,39,”≈,16,39,7,0.7,19,73
2015-06-13,43,”≈,20,43,8,0.7,17,62
2015-06-14,43,”≈,19,43,11,0.7,20,44
2015-06-15,43,”≈,21,43,15,0.6,17,66
