»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,227,÷ÿ∂»Œ€»æ,177,291,140,2.1,89,44
2013-12-03,329,—œ÷ÿŒ€»æ,279,418,238,3.6,128,37
2013-12-04,266,÷ÿ∂»Œ€»æ,216,340,305,3,108,35
2013-12-05,220,÷ÿ∂»Œ€»æ,170,261,134,2,78,39
2013-12-06,97,¡º,72,135,58,1.3,47,54
2013-12-07,259,÷ÿ∂»Œ€»æ,209,317,115,2.3,73,43
2013-12-08,308,—œ÷ÿŒ€»æ,258,356,78,2.2,57,45
2013-12-09,121,«·∂»Œ€»æ,92,158,84,1.3,38,51
2013-12-10,110,«·∂»Œ€»æ,83,165,172,1.5,53,51
2013-12-11,92,¡º,57,134,113,1.3,46,58
2013-12-12,97,¡º,64,144,99,1.2,43,59
2013-12-13,88,¡º,63,126,122,1.3,50,49
2013-12-14,212,÷ÿ∂»Œ€»æ,162,266,210,2.5,84,26
2013-12-15,216,÷ÿ∂»Œ€»æ,166,250,153,2.7,75,42
2013-12-16,150,«·∂»Œ€»æ,115,186,103,2,57,30
2013-12-17,95,¡º,71,118,69,1.4,45,49
2013-12-18,65,¡º,47,74,64,1,26,51
2013-12-19,138,«·∂»Œ€»æ,105,159,170,1.8,49,45
2013-12-20,106,«·∂»Œ€»æ,80,129,146,1.8,48,53
2013-12-21,95,¡º,71,111,126,1.7,49,61
2013-12-22,213,÷ÿ∂»Œ€»æ,163,229,191,2.7,76,40
2013-12-23,300,÷ÿ∂»Œ€»æ,250,347,312,3.7,99,28
2013-12-24,265,÷ÿ∂»Œ€»æ,215,289,175,2.6,72,57
2013-12-25,253,÷ÿ∂»Œ€»æ,203,295,240,1.6,92,31
2013-12-26,147,«·∂»Œ€»æ,112,214,109,0.2,42,58
2013-12-27,81,¡º,58,112,137,0.3,46,64
2013-12-28,134,«·∂»Œ€»æ,102,175,184,0.4,58,54
2013-12-29,105,«·∂»Œ€»æ,79,149,169,0.3,57,58
2013-12-30,133,«·∂»Œ€»æ,98,217,211,0.5,70,41
2013-12-31,166,÷–∂»Œ€»æ,103,282,163,1.5,62,52
2014-01-01,146,«·∂»Œ€»æ,97,241,175,2.2,56,49
2014-01-02,194,÷–∂»Œ€»æ,145,281,158,2.7,63,42
2014-01-03,166,÷–∂»Œ€»æ,127,236,135,2.1,55,44
2014-01-04,79,¡º,58,108,79,1.4,38,51
2014-01-05,158,÷–∂»Œ€»æ,121,194,119,2,57,28
2014-01-06,213,÷ÿ∂»Œ€»æ,163,226,89,2.1,51,24
2014-01-07,290,÷ÿ∂»Œ€»æ,240,314,94,2.9,74,21
2014-01-08,55,¡º,30,61,28,0.6,11,67
2014-01-09,102,«·∂»Œ€»æ,76,126,107,1.4,47,49
2014-01-10,224,÷ÿ∂»Œ€»æ,174,265,146,2.5,60,44
2014-01-11,286,÷ÿ∂»Œ€»æ,236,349,178,2.7,70,44
2014-01-12,140,«·∂»Œ€»æ,107,168,81,1.3,36,76
2014-01-13,86,¡º,64,117,67,1.2,39,62
2014-01-14,220,÷ÿ∂»Œ€»æ,170,245,162,2.1,74,33
2014-01-15,324,—œ÷ÿŒ€»æ,274,372,200,2.8,83,46
2014-01-16,243,÷ÿ∂»Œ€»æ,193,273,123,1.9,72,56
2014-01-17,237,÷ÿ∂»Œ€»æ,187,242,86,1.7,53,46
2014-01-18,243,÷ÿ∂»Œ€»æ,193,260,200,2.4,69,48
2014-01-19,290,÷ÿ∂»Œ€»æ,240,337,165,2.4,77,45
2014-01-20,203,÷ÿ∂»Œ€»æ,153,296,120,1.6,51,70
2014-01-21,84,¡º,60,118,107,1.3,44,43
2014-01-22,105,«·∂»Œ€»æ,79,153,91,1.4,52,63
2014-01-23,128,«·∂»Œ€»æ,98,190,90,1.3,57,70
2014-01-24,199,÷–∂»Œ€»æ,149,218,89,1.7,69,38
2014-01-25,71,¡º,49,93,29,0.6,23,81
2014-01-26,64,¡º,30,79,58,0.7,30,68
2014-01-27,86,¡º,62,122,72,1.1,40,71
2014-01-28,79,¡º,50,108,45,0.9,29,72
2014-01-29,90,¡º,67,124,51,1.1,25,76
2014-01-30,219,÷ÿ∂»Œ€»æ,169,241,71,2,39,83
2014-01-31,241,÷ÿ∂»Œ€»æ,191,261,59,1.8,25,73
2014-02-01,194,÷–∂»Œ€»æ,146,223,102,2.5,31,61
2014-02-02,210,÷ÿ∂»Œ€»æ,160,245,136,2.5,36,50
2014-02-03,63,¡º,20,76,42,0.9,12,79
2014-02-04,54,¡º,24,57,49,1,17,83
2014-02-05,46,”≈,23,46,31,0.8,14,75
2014-02-06,44,”≈,25,38,26,0.7,14,88
2014-02-07,41,”≈,22,41,28,0.7,29,74
2014-02-08,71,¡º,52,82,68,1.4,28,69
2014-02-09,42,”≈,13,39,18,0.7,8,83
2014-02-10,47,”≈,26,47,46,0.8,23,83
2014-02-11,85,¡º,63,92,99,1.4,48,75
2014-02-12,184,÷–∂»Œ€»æ,139,182,129,2.2,62,86
2014-02-13,112,«·∂»Œ€»æ,84,118,63,1.2,37,86
2014-02-14,140,«·∂»Œ€»æ,107,154,108,1.5,58,88
2014-02-15,231,÷ÿ∂»Œ€»æ,181,246,80,1.8,51,107
2014-02-16,182,÷–∂»Œ€»æ,137,195,83,1.6,51,97
2014-02-17,78,¡º,57,92,38,1,23,79
2014-02-18,58,¡º,39,66,25,0.9,21,96
2014-02-19,105,«·∂»Œ€»æ,79,113,52,1.4,46,85
2014-02-20,146,«·∂»Œ€»æ,112,155,68,1.6,52,79
2014-02-21,203,÷ÿ∂»Œ€»æ,153,226,76,1.8,46,108
2014-02-22,132,«·∂»Œ€»æ,101,159,60,1.4,41,117
2014-02-23,112,«·∂»Œ€»æ,85,132,55,1.3,36,117
2014-02-24,154,÷–∂»Œ€»æ,118,177,64,1.4,40,110
2014-02-25,194,÷–∂»Œ€»æ,146,204,51,1.5,39,120
2014-02-26,180,÷–∂»Œ€»æ,136,204,53,1.5,48,106
2014-02-27,113,«·∂»Œ€»æ,86,126,39,1.4,28,84
2014-02-28,58,¡º,27,66,54,1,29,76
2014-03-01,97,¡º,73,128,112,1.4,44,91
2014-03-02,132,«·∂»Œ€»æ,101,178,94,1.7,51,100
2014-03-03,117,«·∂»Œ€»æ,88,179,72,1.4,41,106
2014-03-04,103,«·∂»Œ€»æ,77,132,53,1.3,34,107
2014-03-05,125,«·∂»Œ€»æ,95,136,81,1.3,43,95
2014-03-06,124,«·∂»Œ€»æ,94,160,81,1.5,47,88
2014-03-07,127,«·∂»Œ€»æ,96,167,84,1.3,50,91
2014-03-08,178,÷–∂»Œ€»æ,134,210,103,1.6,47,108
2014-03-09,226,÷ÿ∂»Œ€»æ,176,257,103,1.9,54,94
2014-03-10,160,÷–∂»Œ€»æ,122,209,73,1.6,44,117
