»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,164,÷–∂»Œ€»æ,125,191,42,1.7,80,141
2014-01-01,93,¡º,70,111,24,1,46,135
2014-01-02,122,«·∂»Œ€»æ,93,134,30,1.3,56,118
2014-01-03,102,«·∂»Œ€»æ,76,121,22,1.3,50,122
2014-01-04,118,«·∂»Œ€»æ,89,133,25,1.1,40,143
2014-01-05,147,«·∂»Œ€»æ,113,154,32,1.1,40,170
2014-01-06,171,÷–∂»Œ€»æ,130,188,30,1.4,47,140
2014-01-07,93,¡º,70,111,29,1.1,44,114
2014-01-08,87,¡º,64,105,23,1.2,44,81
2014-01-09,67,¡º,49,67,12,1.3,29,62
2014-01-10,71,¡º,52,79,17,1,33,92
2014-01-11,77,¡º,56,86,20,0.9,35,94
2014-01-12,69,¡º,50,79,14,0.9,31,80
2014-01-13,45,”≈,26,45,10,1,24,38
2014-01-14,43,”≈,28,43,10,1.1,24,60
2014-01-15,67,¡º,49,77,14,1,25,83
2014-01-16,91,¡º,68,103,17,1.1,36,79
2014-01-17,77,¡º,57,88,16,1.1,37,98
2014-01-18,79,¡º,58,90,18,1,31,107
2014-01-19,115,«·∂»Œ€»æ,87,125,18,1.3,40,103
2014-01-20,84,¡º,62,94,14,1.1,29,100
2014-01-21,118,«·∂»Œ€»æ,89,121,26,1.2,22,103
2014-01-22,83,¡º,60,116,18,1.2,29,106
2014-01-23,84,¡º,62,95,13,1.2,33,102
2014-01-24,70,¡º,51,77,11,1.3,32,102
2014-01-25,83,¡º,62,92,13,1.3,44,87
2014-01-26,121,«·∂»Œ€»æ,92,123,19,1.3,38,115
2014-01-27,109,«·∂»Œ€»æ,83,118,13,1.3,29,109
2014-01-28,76,¡º,56,84,9,1.6,27,123
2014-01-29,67,¡º,49,69,7,1.5,23,96
2014-01-30,111,«·∂»Œ€»æ,84,106,10,1.6,27,124
2014-01-31,158,÷–∂»Œ€»æ,121,133,13,1.6,23,119
2014-02-01,126,«·∂»Œ€»æ,96,99,11,1.5,22,92
2014-02-02,59,¡º,43,59,6,1.3,19,84
2014-02-03,95,¡º,71,60,9,1.5,22,114
2014-02-04,63,¡º,45,66,6,1.3,16,92
2014-02-05,34,”≈,23,21,4,1.3,18,67
2014-02-06,39,”≈,27,24,5,1.4,18,69
2014-02-07,142,«·∂»Œ€»æ,108,80,8,2,46,52
2014-02-08,27,”≈,15,27,5,1.3,20,32
2014-02-09,19,”≈,13,13,4,1.3,19,34
2014-02-10,23,”≈,16,21,4,1.5,15,20
2014-02-11,51,¡º,35,40,6,1.5,15,31
2014-02-12,59,¡º,43,44,6,1.5,17,25
2014-02-13,21,”≈,15,17,4,1.4,17,19
2014-02-14,40,”≈,28,32,6,1.4,13,35
2014-02-15,63,¡º,45,56,11,1.6,19,70
2014-02-16,92,¡º,69,81,16,1.7,32,62
2014-02-17,124,«·∂»Œ€»æ,94,115,17,1.6,43,75
2014-02-18,93,¡º,69,83,12,1.9,29,43
2014-02-19,14,”≈,4,11,4,1.4,17,28
2014-02-20,29,”≈,16,29,9,1.1,15,50
2014-02-21,69,¡º,50,74,15,1.3,26,80
2014-02-22,65,¡º,47,70,13,1.1,19,73
2014-02-23,65,¡º,47,72,14,1.2,18,63
2014-02-24,74,¡º,54,84,21,1.2,23,76
2014-02-25,126,«·∂»Œ€»æ,96,54,20,1.6,34,93
2014-02-26,124,«·∂»Œ€»æ,95,86,21,1.8,40,62
2014-02-27,104,«·∂»Œ€»æ,78,67,17,1.6,34,70
