»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-01,106,«·∂»Œ€»æ,0,160,85,0,91,0
2013-12-02,132,«·∂»Œ€»æ,0,213,74,0,96,0
2013-12-03,161,÷–∂»Œ€»æ,0,271,78,0,108,0
2013-12-04,117,«·∂»Œ€»æ,0,183,90,0,92,0
2013-12-05,125,«·∂»Œ€»æ,0,200,82,0,87,0
2013-12-06,247,÷ÿ∂»Œ€»æ,197,204,47,0,76,2
2013-12-07,446,—œ÷ÿŒ€»æ,418,318,24,0.6,68,30
2013-12-08,319,—œ÷ÿŒ€»æ,269,330,32,1.5,73,27
2013-12-09,143,«·∂»Œ€»æ,109,202,56,0,63,45
2013-12-10,140,«·∂»Œ€»æ,94,230,74,0,86,28
2013-12-11,98,¡º,62,146,50,0,46,47
2013-12-12,106,«·∂»Œ€»æ,77,162,74,0,78,48
2013-12-13,142,«·∂»Œ€»æ,108,185,96,1.2,84,33
2013-12-14,268,÷ÿ∂»Œ€»æ,218,288,66,1.8,110,29
2013-12-15,341,—œ÷ÿŒ€»æ,291,388,157,3.4,138,22
2013-12-16,427,—œ÷ÿŒ€»æ,390,474,128,4.4,164,25
2013-12-17,469,—œ÷ÿŒ€»æ,453,0,83,4.6,132,23
2013-12-18,109,«·∂»Œ€»æ,82,97,29,1.2,60,29
2013-12-19,217,÷ÿ∂»Œ€»æ,167,214,48,2.4,87,24
2013-12-20,279,÷ÿ∂»Œ€»æ,229,316,86,2.7,114,30
2013-12-21,204,÷ÿ∂»Œ€»æ,154,225,79,2.1,99,37
2013-12-22,179,÷–∂»Œ€»æ,135,196,62,1.6,92,34
2013-12-23,243,÷ÿ∂»Œ€»æ,193,267,45,2.4,104,30
2013-12-24,392,—œ÷ÿŒ€»æ,342,413,63,3.7,132,24
2013-12-25,410,—œ÷ÿŒ€»æ,364,477,53,4,150,20
2013-12-26,142,«·∂»Œ€»æ,108,222,38,2.1,80,49
2013-12-27,116,«·∂»Œ€»æ,86,181,76,1.9,92,33
2013-12-28,100,¡º,75,130,69,1.8,75,43
2013-12-29,92,¡º,58,133,47,1.4,67,47
2013-12-30,101,«·∂»Œ€»æ,50,127,64,1.3,81,41
2013-12-31,95,¡º,38,119,64,1.1,76,45
2014-01-01,101,«·∂»Œ€»æ,52,134,59,1.2,82,46
2014-01-02,176,÷–∂»Œ€»æ,133,226,99,1.9,106,26
2014-01-03,128,«·∂»Œ€»æ,97,182,60,1.6,73,46
2014-01-04,102,«·∂»Œ€»æ,76,132,46,1.4,57,34
2014-01-05,234,÷ÿ∂»Œ€»æ,184,248,46,2.5,85,31
2014-01-06,232,÷ÿ∂»Œ€»æ,182,256,73,3,84,14
2014-01-07,272,÷ÿ∂»Œ€»æ,222,301,119,3.6,87,16
2014-01-08,113,«·∂»Œ€»æ,85,132,80,1.9,60,27
2014-01-09,110,«·∂»Œ€»æ,83,128,76,1.6,58,42
2014-01-10,231,÷ÿ∂»Œ€»æ,181,228,38,2.3,62,24
2014-01-11,195,÷–∂»Œ€»æ,146,213,32,2.3,58,47
2014-01-12,178,÷–∂»Œ€»æ,134,190,60,2.5,69,46
2014-01-13,172,÷–∂»Œ€»æ,130,192,74,2.1,74,37
2014-01-14,213,÷ÿ∂»Œ€»æ,163,212,46,1.6,60,32
2014-01-15,292,÷ÿ∂»Œ€»æ,242,214,31,1.8,49,50
2014-01-16,304,—œ÷ÿŒ€»æ,254,321,89,2.8,91,14
2014-01-17,296,÷ÿ∂»Œ€»æ,246,306,94,3.2,79,19
2014-01-18,255,÷ÿ∂»Œ€»æ,205,271,86,2.8,68,70
2014-01-19,250,÷ÿ∂»Œ€»æ,200,278,83,2.6,69,23
2014-01-20,67,¡º,18,83,39,1.2,31,63
2014-01-21,70,¡º,43,90,54,1.4,40,56
2014-01-22,88,¡º,62,126,35,1.3,34,76
2014-01-23,122,«·∂»Œ€»æ,92,135,42,1.5,45,95
2014-01-24,276,÷ÿ∂»Œ€»æ,226,297,96,4.4,109,21
2014-01-25,97,¡º,72,126,93,2.4,61,51
2014-01-26,74,¡º,47,97,56,1.9,44,61
2014-01-27,108,«·∂»Œ€»æ,81,119,38,2,46,62
2014-01-28,208,÷ÿ∂»Œ€»æ,158,214,88,3.4,72,61
2014-01-29,138,«·∂»Œ€»æ,105,146,41,2.2,30,82
2014-01-30,285,÷ÿ∂»Œ€»æ,235,306,21,3.7,39,35
2014-01-31,294,÷ÿ∂»Œ€»æ,244,355,31,4,33,29
2014-02-01,222,÷ÿ∂»Œ€»æ,172,221,67,3.8,45,39
2014-02-02,231,÷ÿ∂»Œ€»æ,181,246,34,4,35,21
2014-02-03,68,¡º,38,86,45,2.3,21,65
2014-02-04,63,¡º,42,75,54,2.3,30,63
2014-02-05,74,¡º,54,56,45,2.3,22,53
2014-02-06,99,¡º,74,79,98,2.5,24,56
2014-02-07,102,«·∂»Œ€»æ,76,95,114,2.6,30,66
2014-02-08,112,«·∂»Œ€»æ,84,100,160,2.8,41,58
2014-02-09,67,¡º,47,65,31,2.6,22,75
2014-02-10,65,¡º,29,56,49,2.6,32,86
2014-02-11,77,¡º,56,82,50,2.7,34,94
2014-02-12,133,«·∂»Œ€»æ,101,120,68,3,47,106
2014-02-13,193,÷–∂»Œ€»æ,145,181,150,3.6,72,66
2014-02-14,195,÷–∂»Œ€»æ,146,204,94,3.2,39,108
2014-02-15,159,÷–∂»Œ€»æ,121,152,27,2.8,25,92
2014-02-16,282,÷ÿ∂»Œ€»æ,232,244,50,4.4,63,47
2014-02-17,114,«·∂»Œ€»æ,86,112,54,3.1,30,48
2014-02-18,72,¡º,32,60,94,2.7,36,80
2014-02-19,149,«·∂»Œ€»æ,114,147,97,3.6,50,46
2014-02-20,180,÷–∂»Œ€»æ,136,169,112,3.9,58,62
2014-02-21,97,¡º,72,113,39,3.3,34,96
2014-02-22,145,«·∂»Œ€»æ,111,136,52,3.6,42,99
2014-02-23,137,«·∂»Œ€»æ,104,139,42,3.6,44,82
2014-02-24,218,÷ÿ∂»Œ€»æ,168,218,34,4.5,56,85
2014-02-25,148,«·∂»Œ€»æ,113,164,44,4,54,97
2014-02-26,89,¡º,66,88,31,3.4,27,46
2014-02-27,88,¡º,49,75,20,3.5,22,76
2014-02-28,88,¡º,38,63,45,3.5,34,54
2014-03-01,99,¡º,74,97,42,3.8,37,72
2014-03-02,139,«·∂»Œ€»æ,106,140,35,3.8,30,86
2014-03-03,99,¡º,74,110,34,3.7,28,108
2014-03-04,101,«·∂»Œ€»æ,69,107,43,4.1,36,77
2014-03-05,99,¡º,44,82,72,3.9,44,56
2014-03-06,107,«·∂»Œ€»æ,80,116,56,3.5,45,62
2014-03-07,118,«·∂»Œ€»æ,89,120,57,3.1,44,83
2014-03-08,110,«·∂»Œ€»æ,83,120,49,3.2,38,104
2014-03-09,158,÷–∂»Œ€»æ,120,179,0,0,0,78
2014-03-10,104,«·∂»Œ€»æ,78,154,0,0,0,0
2014-03-11,82,¡º,60,95,67,3.1,32,114
2014-03-12,94,¡º,46,138,21,3.2,26,63
2014-03-13,90,¡º,46,82,67,3.6,40,71
2014-03-14,71,¡º,32,92,81,0,38,80
2014-03-15,75,¡º,43,99,40,2.9,35,100
2014-03-16,75,¡º,50,90,50,3,33,118
2014-03-17,168,÷–∂»Œ€»æ,127,270,53,3.5,43,112
2014-03-18,320,—œ÷ÿŒ€»æ,150,436,105,3.8,57,45
2014-03-19,115,«·∂»Œ€»æ,87,146,112,3.2,56,38
2014-03-20,77,¡º,49,103,24,2.9,43,101
2014-03-21,99,¡º,74,132,30,3.1,36,104
2014-03-22,102,«·∂»Œ€»æ,76,120,30,3.1,31,124
2014-03-23,115,«·∂»Œ€»æ,87,131,44,3.3,42,136
2014-03-24,158,÷–∂»Œ€»æ,120,154,34,3.1,41,131
2014-03-25,208,÷ÿ∂»Œ€»æ,158,199,47,2.9,41,98
2014-03-26,186,÷–∂»Œ€»æ,140,207,37,2.9,40,95
2014-03-27,127,«·∂»Œ€»æ,96,173,36,2.8,32,154
2014-03-28,179,÷–∂»Œ€»æ,135,191,43,3.8,41,145
2014-03-29,272,÷ÿ∂»Œ€»æ,222,280,42,3.5,49,132
2014-03-30,205,÷ÿ∂»Œ€»æ,155,226,83,3.2,59,105
2014-03-31,166,÷–∂»Œ€»æ,126,206,43,3.1,49,154
2014-04-01,104,«·∂»Œ€»æ,78,147,36,2.8,42,156
2014-04-02,103,«·∂»Œ€»æ,77,146,36,2.8,42,147
2014-04-03,122,«·∂»Œ€»æ,73,193,24,2.6,40,113
2014-04-04,158,÷–∂»Œ€»æ,120,181,37,2.1,46,128
2014-04-05,114,«·∂»Œ€»æ,53,178,59,1,40,100
2014-04-06,98,¡º,72,145,49,1.2,36,126
2014-04-07,127,«·∂»Œ€»æ,96,152,33,1.2,34,123
2014-04-08,198,÷–∂»Œ€»æ,148,187,41,0.8,34,146
2014-04-09,144,«·∂»Œ€»æ,110,170,18,0.7,29,162
2014-04-10,162,÷–∂»Œ€»æ,123,218,34,0.7,34,81
2014-04-11,137,«·∂»Œ€»æ,104,0,23,1,37,57
2014-04-12,188,÷–∂»Œ€»æ,141,0,36,1.4,43,94
2014-04-13,175,÷–∂»Œ€»æ,132,200,24,1.2,39,120
2014-04-14,94,¡º,70,102,20,0.7,25,118
2014-04-15,198,÷–∂»Œ€»æ,148,174,33,1.2,38,85
2014-04-16,122,«·∂»Œ€»æ,92,149,36,0.8,36,126
2014-04-17,226,÷ÿ∂»Œ€»æ,176,0,32,1.1,34,116
2014-04-18,284,÷ÿ∂»Œ€»æ,234,267,54,1.5,47,49
2014-04-19,153,÷–∂»Œ€»æ,117,0,18,1,35,41
2014-04-20,119,«·∂»Œ€»æ,90,137,18,0.9,31,91
