»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,145,«·∂»Œ€»æ,111,163,89,1.7,85,42
2013-12-03,356,—œ÷ÿŒ€»æ,306,299,98,1.9,127,21
2013-12-04,314,—œ÷ÿŒ€»æ,264,230,98,1.5,144,24
2013-12-05,170,÷–∂»Œ€»æ,129,162,59,1.3,80,36
2013-12-06,55,¡º,39,61,45,0.9,76,36
2013-12-07,174,÷–∂»Œ€»æ,132,156,73,1.5,95,39
2013-12-08,208,÷ÿ∂»Œ€»æ,158,159,35,1.4,69,60
2013-12-09,116,«·∂»Œ€»æ,88,116,45,0.8,42,53
2013-12-10,56,¡º,35,62,50,0.7,57,55
2013-12-11,39,”≈,24,39,30,0.6,37,49
2013-12-12,62,¡º,42,74,56,0.8,56,51
2013-12-13,49,”≈,21,49,39,0.6,50,61
2013-12-14,79,¡º,58,97,93,1.1,90,24
2013-12-15,73,¡º,54,80,45,1.3,77,49
2013-12-16,84,¡º,62,92,42,1.4,70,29
2013-12-17,88,¡º,65,92,43,1.4,65,39
2013-12-18,38,”≈,26,36,28,0.5,28,46
2013-12-19,30,”≈,21,28,27,0.5,25,50
2013-12-20,54,¡º,38,32,19,0.4,20,55
2013-12-21,28,”≈,16,28,27,0.5,28,50
2013-12-22,63,¡º,45,69,40,1.1,58,44
2013-12-23,154,÷–∂»Œ€»æ,118,139,101,1.3,91,43
2013-12-24,82,¡º,61,49,35,0.2,42,58
2013-12-25,102,«·∂»Œ€»æ,77,92,58,0.5,68,29
2013-12-26,127,«·∂»Œ€»æ,96,110,51,0.7,44,57
2013-12-27,31,”≈,19,31,27,0.5,31,56
2013-12-28,49,”≈,34,49,51,0.8,52,52
2013-12-29,75,¡º,55,87,83,1,67,36
2013-12-30,104,«·∂»Œ€»æ,79,129,101,1.3,77,35
2013-12-31,109,«·∂»Œ€»æ,82,164,106,1.4,77,27
2014-01-01,102,«·∂»Œ€»æ,69,154,80,1.3,64,38
2014-01-02,107,«·∂»Œ€»æ,80,125,53,1.6,62,46
2014-01-03,88,¡º,66,95,39,1.1,46,44
2014-01-04,32,”≈,23,30,27,0.7,33,51
2014-01-05,116,«·∂»Œ€»æ,88,110,64,1.5,66,20
2014-01-06,202,÷ÿ∂»Œ€»æ,152,170,58,2,72,25
2014-01-07,208,÷ÿ∂»Œ€»æ,158,163,53,2.1,68,29
2014-01-08,36,”≈,25,31,21,0.6,19,59
2014-01-09,50,”≈,31,51,38,0.8,41,59
2014-01-10,97,¡º,73,95,78,1.3,60,43
2014-01-11,206,÷ÿ∂»Œ€»æ,156,182,95,1.9,70,40
2014-01-12,130,«·∂»Œ€»æ,99,123,61,1.1,54,65
2014-01-13,61,¡º,44,67,46,1,62,52
2014-01-14,118,«·∂»Œ€»æ,90,110,60,1.6,72,32
2014-01-15,240,÷ÿ∂»Œ€»æ,190,219,94,2.1,77,34
2014-01-16,259,÷ÿ∂»Œ€»æ,209,251,113,1.9,79,48
2014-01-17,221,÷ÿ∂»Œ€»æ,171,180,64,1.8,63,33
