»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,88,¡º,35,126,76,1.1,39,34
2013-12-01,93,¡º,68,136,98,2.6,63,47
2013-12-02,106,«·∂»Œ€»æ,68,127,187,3.5,84,51
2013-12-03,110,«·∂»Œ€»æ,83,142,75,3.6,86,49
2013-12-04,92,¡º,68,100,74,2.9,72,50
2013-12-05,97,¡º,72,122,81,2.9,75,33
2013-12-06,142,«·∂»Œ€»æ,108,169,63,3.3,74,70
2013-12-07,267,÷ÿ∂»Œ€»æ,217,355,70,4.5,72,115
2013-12-08,203,÷ÿ∂»Œ€»æ,74,129,58,4.5,58,86
2013-12-09,54,¡º,27,57,40,1.3,39,57
2013-12-10,77,¡º,46,103,65,1.8,41,41
2013-12-11,67,¡º,26,83,40,0.9,45,65
2013-12-12,107,«·∂»Œ€»æ,74,164,93,1.5,61,40
2013-12-13,129,«·∂»Œ€»æ,98,176,87,2.1,69,37
2013-12-14,96,¡º,60,107,38,3.8,70,38
2013-12-15,110,«·∂»Œ€»æ,0,137,66,6,73,36
2013-12-16,282,÷ÿ∂»Œ€»æ,232,176,121,5.5,30,40
2013-12-17,269,÷ÿ∂»Œ€»æ,219,302,142,5.1,57,41
2013-12-18,113,«·∂»Œ€»æ,85,123,42,2.7,23,37
2013-12-19,163,÷–∂»Œ€»æ,124,184,90,3.6,35,41
2013-12-20,105,«·∂»Œ€»æ,79,142,66,4.2,39,41
2013-12-21,102,«·∂»Œ€»æ,68,107,79,4.3,48,42
2013-12-22,165,÷–∂»Œ€»æ,125,200,100,4.7,47,39
2013-12-23,412,—œ÷ÿŒ€»æ,361,512,89,6.3,60,44
2013-12-24,500,—œ÷ÿŒ€»æ,538,0,57,8.1,63,44
2013-12-25,336,—œ÷ÿŒ€»æ,286,434,74,6,60,41
2013-12-26,102,«·∂»Œ€»æ,47,106,57,4.2,36,41
2013-12-27,92,¡º,25,57,77,3.7,34,45
2013-12-28,68,¡º,25,53,61,2.7,30,61
2013-12-29,64,¡º,26,74,58,2.5,32,56
2013-12-30,71,¡º,38,92,73,1.6,46,69
2014-01-01,80,¡º,36,110,82,1.2,48,32
2014-01-02,107,«·∂»Œ€»æ,78,163,103,2.5,61,10
2014-01-03,87,¡º,48,123,83,1.1,43,31
2014-01-04,128,«·∂»Œ€»æ,97,197,84,2.3,62,27
2014-01-05,145,«·∂»Œ€»æ,111,202,108,2.6,65,19
2014-01-06,216,÷ÿ∂»Œ€»æ,166,270,102,2.9,75,15
2014-01-07,253,÷ÿ∂»Œ€»æ,203,310,128,4.1,87,12
2014-01-08,99,¡º,74,142,98,3.4,68,16
2014-01-09,84,¡º,57,117,74,2.3,47,22
2014-01-10,220,÷ÿ∂»Œ€»æ,170,263,117,3.3,70,13
2014-01-11,265,÷ÿ∂»Œ€»æ,215,329,148,4.1,84,18
2014-01-12,83,¡º,60,115,84,2.2,48,32
