日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,85,良,36,64,68,8.5,3,24
2015-01-01,85,良,39,70,70,8.5,4,14
2015-01-02,71,良,40,64,69,7.1,3,17
2015-01-03,60,良,39,69,70,5.2,3,16
2015-01-04,68,良,45,86,70,5.5,4,20
2015-01-05,52,良,21,53,69,5.2,3,17
2015-01-06,61,良,44,59,42,3.2,8,17
2015-01-07,70,良,34,90,10,1.2,5,12
2015-01-08,123,轻度污染,34,197,2,1.1,7,15
2015-01-09,69,良,50,54,3,1.2,6,14
2015-01-10,55,良,39,39,2,0.7,6,11
2015-01-11,64,良,47,47,3,0.8,7,12
2015-01-12,93,良,69,38,2,1.1,7,11
2015-01-13,64,良,46,58,1,1.2,8,9
2015-01-14,54,良,36,59,2,1.2,8,11
2015-01-15,97,良,72,70,40,1.2,28,61
2015-01-16,62,良,45,74,85,1,47,99
2015-01-17,48,优,14,43,33,0.6,26,96
2015-01-18,48,优,23,48,53,0.7,34,82
2015-01-19,45,优,21,38,49,0.7,31,89
2015-01-20,55,良,39,54,40,0.7,26,89
2015-01-21,58,良,42,46,62,0.8,36,88
2015-01-22,118,轻度污染,89,52,86,0.9,43,92
2015-01-23,51,良,30,52,76,0.5,35,94
2015-01-24,51,良,29,51,54,0.4,30,101
2015-01-25,53,良,29,57,67,0.4,36,90
2015-01-26,58,良,39,67,74,0.5,36,89
2015-01-27,85,良,63,86,88,0.8,37,85
2015-01-28,63,良,45,72,19,0.4,19,102
2015-01-29,52,良,35,54,25,0.5,24,98
2015-01-30,51,良,29,45,13,0.4,19,101
2015-01-31,66,良,25,37,17,0.5,18,119
2015-02-01,62,良,25,38,14,0.4,20,114
2015-02-02,54,良,28,51,27,0.6,30,105
2015-02-03,52,良,33,53,34,0.7,24,92
2015-02-04,53,良,29,42,60,0.6,25,103
2015-02-05,68,良,19,48,15,0.4,15,122
2015-02-06,56,良,29,62,36,0.6,24,93
2015-02-07,59,良,29,68,38,0.7,24,82
2015-02-08,48,优,28,48,43,0.6,23,88
2015-02-09,46,优,30,46,39,0.7,24,90
2015-02-10,50,优,30,45,32,0.7,19,99
2015-02-11,46,优,27,41,27,0.7,18,92
2015-02-12,51,良,35,45,33,0.6,22,95
2015-02-13,46,优,31,41,26,0.4,21,92
2015-02-14,49,优,26,37,20,0.4,19,97
2015-02-15,98,良,37,145,9,0.3,13,105
2015-02-16,51,良,34,46,16,0.4,17,101
2015-02-17,51,良,36,50,57,0.6,26,91
2015-02-18,47,优,16,38,43,0.8,27,93
2015-02-19,50,优,14,31,18,0.6,16,99
2015-02-20,50,优,6,39,27,0.6,17,99
2015-02-21,52,良,7,29,25,0.7,17,102
