日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,83,良,61,117,19,0.8,72,110
2013-12-03,89,良,66,114,13,0.8,79,107
2013-12-04,107,轻度污染,81,147,35,1,76,93
2013-12-05,95,良,71,116,20,0.8,66,98
2013-12-06,117,轻度污染,88,146,32,1,88,91
2013-12-07,137,轻度污染,105,153,38,1.1,98,100
2013-12-08,130,轻度污染,99,129,33,1.1,87,106
2013-12-09,132,轻度污染,101,139,35,1.1,74,106
2013-12-10,186,中度污染,140,191,36,1.3,48,106
2013-12-11,175,中度污染,132,168,33,1.3,64,83
2013-12-12,145,轻度污染,111,146,30,1.3,74,52
2013-12-13,168,中度污染,127,134,30,1.6,98,34
2013-12-14,124,轻度污染,95,79,15,1.5,72,36
2013-12-15,58,良,42,3,7,1.3,55,27
2013-12-16,23,优,15,13,6,1.4,45,30
2013-12-17,25,优,18,18,8,1.4,50,26
2013-12-18,30,优,21,28,10,1.1,35,46
2013-12-19,46,优,29,46,13,1,41,63
2013-12-20,65,良,47,69,22,1,57,72
2013-12-21,92,良,69,100,30,1.2,69,71
2013-12-22,116,轻度污染,88,118,31,1.4,53,91
2013-12-23,128,轻度污染,98,126,35,1.4,80,85
2013-12-24,110,轻度污染,83,116,34,1.4,77,90
2013-12-25,126,轻度污染,96,130,39,1.5,81,88
2013-12-26,109,轻度污染,82,111,33,1.4,71,95
2013-12-27,139,轻度污染,106,136,38,1.4,43,109
2013-12-28,137,轻度污染,105,128,35,1.3,61,90
2013-12-29,92,良,68,96,27,1,66,98
2013-12-30,142,轻度污染,108,151,41,1.3,99,90
2013-12-31,153,中度污染,117,169,45,1.4,111,108
2014-01-01,144,轻度污染,110,148,35,1.4,97,102
2014-01-02,124,轻度污染,94,118,15,1.2,83,84
2014-01-03,164,中度污染,125,156,25,1.3,95,133
2014-01-04,176,中度污染,133,175,39,1.5,86,127
2014-01-05,152,中度污染,116,167,29,1.3,75,118
2014-01-06,137,轻度污染,105,134,19,1.3,51,120
2014-01-07,72,良,52,68,13,1,57,102
2014-01-08,92,良,69,97,21,1.4,91,65
2014-01-09,74,良,54,68,26,1.6,65,95
2014-01-10,87,良,64,87,12,1.2,71,85
2014-01-11,72,良,52,75,10,0.9,62,95
2014-01-12,102,轻度污染,76,103,20,1.2,75,105
2014-01-13,59,良,42,43,17,1.2,50,71
2014-01-14,65,良,47,59,15,1.2,49,104
2014-01-15,70,良,51,69,13,1.1,47,118
2014-01-16,80,良,59,92,11,1.1,64,118
2014-01-17,116,轻度污染,88,145,23,1.3,87,134
2014-01-18,105,轻度污染,79,114,24,1.2,65,141
2014-01-19,126,轻度污染,96,142,20,1.3,63,133
2014-01-20,147,轻度污染,113,158,36,1.4,93,148
2014-01-21,107,轻度污染,80,113,45,1,49,126
2014-01-22,93,良,69,113,36,1,55,151
2014-01-23,85,良,63,99,18,1.1,63,128
2014-01-24,63,良,44,58,11,1,62,115
2014-01-25,56,良,40,48,12,1,69,97
2014-01-26,76,良,56,77,12,1.1,60,121
2014-01-27,64,良,45,66,10,0.9,30,117
2014-01-28,66,良,33,50,11,0.9,42,119
2014-01-29,71,良,35,48,9,0.9,45,125
2014-01-30,74,良,39,60,10,0.9,48,129
2014-01-31,91,良,68,88,13,0.9,40,124
2014-02-01,57,良,40,57,7,0.8,32,99
2014-02-02,53,良,28,38,5,0.7,27,103
2014-02-03,59,良,24,40,6,0.8,31,111
2014-02-04,45,优,29,45,5,0.9,32,89
2014-02-05,42,优,17,22,5,0.9,29,83
2014-02-06,41,优,12,16,5,0.9,34,81
2014-02-07,40,优,28,22,5,1,50,60
2014-02-08,43,优,30,30,6,1.2,43,50
2014-02-09,30,优,21,15,5,1.2,43,41
2014-02-10,31,优,21,25,7,1.2,37,46
2014-02-11,55,良,39,46,15,1.1,41,54
2014-02-12,68,良,50,38,9,1,47,55
2014-02-13,46,优,32,23,9,1.1,45,42
2014-02-14,58,良,42,42,15,0.8,34,84
2014-02-15,60,良,43,49,21,0.6,37,70
2014-02-16,92,良,69,84,24,0.7,53,48
2014-02-17,89,良,66,88,19,0.7,51,75
2014-02-18,64,良,46,45,10,0.7,36,66
2014-02-19,22,优,16,16,9,0.7,28,40
2014-02-20,40,优,24,40,14,0.6,29,59
2014-02-21,50,优,35,51,11,0.4,40,86
2014-02-22,63,良,45,63,14,0.4,49,84
2014-02-23,63,良,45,58,15,0.4,40,101
2014-02-24,45,优,24,39,8,0.3,35,89
2014-02-25,41,优,24,41,9,0.3,39,80
2014-02-26,48,优,28,48,10,0.4,43,71
2014-02-27,43,优,26,43,12,0.4,37,63
2014-02-28,35,优,22,35,7,0.4,31,64
2014-03-01,45,优,21,45,10,0.4,34,67
2014-03-02,50,优,31,50,14,0.6,40,55
2014-03-03,32,优,22,30,7,0.5,36,62
2014-03-04,63,良,45,59,13,0.5,50,64
2014-03-05,47,优,33,32,13,0.7,41,47
2014-03-06,41,优,29,41,9,0.5,44,68
2014-03-07,33,优,23,25,7,0.5,39,53
2014-03-08,41,优,29,36,7,0.6,37,56
2014-03-09,34,优,24,23,8,0.7,33,47
2014-03-10,42,优,30,35,7,0.7,39,44
2014-03-11,60,良,43,57,11,0.7,39,70
2014-03-12,59,良,38,68,7,0.7,40,61
2014-03-13,56,良,40,50,16,0.9,44,72
2014-03-14,55,良,38,60,13,0.7,34,91
2014-03-15,75,良,55,88,17,0.8,52,72
2014-03-16,87,良,65,106,20,0.8,59,77
2014-03-17,99,良,74,108,20,0.9,58,68
2014-03-18,47,优,33,45,8,0.6,26,76
2014-03-19,50,优,30,51,8,0.6,29,71
2014-03-20,60,良,36,70,13,0.7,35,70
2014-03-21,52,良,36,54,15,0.7,27,59
2014-03-22,65,良,37,59,12,0.7,30,118
2014-03-23,57,良,22,46,11,0.5,26,108
2014-03-24,53,良,21,42,11,0.6,27,104
2014-03-25,54,良,27,50,13,0.6,32,105
2014-03-26,45,优,23,43,7,0.6,23,89
2014-03-27,37,优,17,37,6,0.5,21,68
2014-03-28,38,优,23,38,7,0.5,28,72
2014-03-29,43,优,24,43,6,0.5,43,61
2014-03-30,34,优,17,34,5,0.6,39,40
2014-03-31,38,优,9,22,4,1,29,76
2014-04-01,52,良,35,54,9,1,50,47
2014-04-02,35,优,25,35,7,1,44,47
2014-04-03,31,优,16,29,5,0.9,38,62
2014-04-04,53,良,37,56,12,1.1,37,96
2014-04-05,67,良,43,79,13,0.7,27,120
2014-04-06,71,良,52,61,10,0.7,29,116
2014-04-07,53,良,37,50,10,0.7,36,84
2014-04-08,62,良,45,66,9,0.8,48,64
2014-04-09,53,良,35,56,11,0.8,31,70
2014-04-10,43,优,29,43,7,0.6,25,78
2014-04-11,51,良,29,52,9,0.7,28,91
2014-04-12,48,优,26,48,8,0.6,25,77
2014-04-13,56,良,33,62,9,0.7,28,92
2014-04-14,51,良,30,53,11,0.8,29,84
2014-04-15,59,良,26,54,6,0.6,20,111
2014-04-16,57,良,32,65,7,0.7,26,98
2014-04-17,46,优,23,46,9,0.7,27,72
2014-04-18,38,优,19,38,7,0.6,23,69
2014-04-19,32,优,14,32,7,0.6,25,58
2014-04-20,44,优,17,44,8,0.6,28,46
2014-04-21,41,优,20,41,6,0.6,24,65
2014-04-22,53,良,28,55,8,0.6,32,60
2014-04-23,50,优,29,51,8,0.7,33,74
2014-04-24,46,优,28,46,5,0.7,25,81
2014-04-25,47,优,26,47,7,0.7,26,73
2014-04-26,40,优,24,40,7,0.7,30,66
2014-04-27,76,良,37,69,18,0.9,40,131
2014-04-28,105,轻度污染,36,62,20,0.9,30,166
2014-04-29,81,良,38,61,12,0.8,27,137
2014-04-30,75,良,55,83,11,1,44,103
2014-05-01,44,优,31,40,8,0.9,36,65
2014-05-02,50,优,17,30,8,0.8,27,100
2014-05-03,51,良,23,52,9,0.7,28,101
2014-05-04,44,优,22,39,6,0.7,28,88
2014-05-05,43,优,21,29,9,0.8,31,85
2014-05-06,31,优,22,23,6,0.8,37,49
2014-05-07,37,优,26,37,7,0.8,42,63
2014-05-08,36,优,23,36,7,0.8,39,54
2014-05-09,27,优,7,12,4,0.7,28,54
2014-05-10,33,优,7,23,4,0.7,16,65
2014-05-11,29,优,7,29,5,0.7,17,50
2014-05-12,51,良,21,52,8,0.7,41,76
2014-05-13,32,优,13,32,6,0.7,17,48
2014-05-14,23,优,10,23,5,0.7,15,40
2014-05-15,28,优,11,28,5,0.7,20,51
2014-05-16,26,优,10,26,5,0.6,19,51
2014-05-17,20,优,9,18,5,0.6,16,39
2014-05-18,20,优,7,16,5,0.7,19,39
2014-05-19,23,优,8,19,4,0.7,18,46
2014-05-20,27,优,9,20,5,0.7,27,53
2014-05-21,27,优,9,21,5,0.7,27,53
2014-05-22,23,优,9,23,6,0.7,19,41
2014-05-23,23,优,8,23,7,0.7,23,38
2014-05-24,21,优,9,19,8,0.7,21,41
2014-05-25,22,优,7,17,6,0.6,16,44
2014-05-26,26,优,8,22,6,0.7,18,52
2014-05-27,39,优,13,28,7,0.9,18,77
2014-05-28,30,优,10,26,7,0.9,17,60
2014-05-29,27,优,10,27,6,0.8,18,51
2014-05-30,26,优,7,21,6,0.8,19,51
2014-05-31,25,优,8,20,6,0.9,15,50
2014-06-01,25,优,7,16,6,0.9,15,50
2014-06-02,30,优,7,19,6,0.8,14,59
2014-06-03,25,优,8,24,7,0.8,18,50
2014-06-04,26,优,7,23,6,0.8,18,51
2014-06-05,24,优,7,17,5,0.8,16,47
2014-06-06,28,优,9,28,8,0.9,31,54
2014-06-07,39,优,11,24,10,0.9,28,78
2014-06-08,102,轻度污染,47,76,21,1.1,28,162
2014-06-09,53,良,15,28,10,0.8,25,104
2014-06-10,46,优,19,34,10,0.8,27,91
2014-06-11,42,优,17,36,9,0.8,33,83
2014-06-12,88,良,40,71,14,0.9,42,145
2014-06-13,141,轻度污染,57,104,21,1,42,205
2014-06-14,127,轻度污染,46,87,17,1,35,190
2014-06-15,83,良,50,89,17,1.1,33,139
2014-06-16,63,良,20,39,7,0.9,22,116
2014-06-17,29,优,10,28,5,0.8,18,57
2014-06-18,26,优,9,24,5,0.9,20,52
2014-06-19,27,优,9,24,6,0.9,21,54
2014-06-20,30,优,9,30,5,0.9,18,53
2014-06-21,30,优,11,30,6,0.9,22,57
2014-06-22,25,优,9,19,6,1,30,50
2014-06-23,26,优,8,22,6,0.9,24,52
2014-06-24,25,优,8,22,6,0.8,20,49
2014-06-25,27,优,8,27,6,0.8,20,45
2014-06-26,34,优,13,34,6,0.8,14,55
2014-06-27,30,优,10,27,8,0.7,16,60
2014-06-28,30,优,11,30,9,0.7,16,55
2014-06-29,27,优,11,27,10,0.7,20,39
2014-06-30,26,优,7,24,6,0.8,17,52
2014-07-01,24,优,8,24,7,0.8,21,48
2014-07-02,29,优,11,29,6,0.8,18,51
2014-07-03,29,优,13,29,4,0.9,19,54
2014-07-04,28,优,11,28,5,0.6,19,49
2014-07-05,27,优,10,26,5,0.6,17,53
2014-07-06,34,优,12,32,6,0.6,18,67
2014-07-07,52,良,25,54,12,0.7,35,82
2014-07-08,72,良,51,84,18,0.9,34,126
2014-07-09,92,良,42,69,15,0.9,35,150
2014-07-10,43,优,13,30,6,0.7,24,86
2014-07-11,23,优,9,21,5,0.7,23,46
2014-07-12,24,优,8,24,5,0.7,22,41
2014-07-13,25,优,9,24,5,0.7,19,49
2014-07-14,22,优,6,20,5,0.7,18,43
2014-07-15,22,优,5,20,5,0.7,15,43
2014-07-16,31,优,10,25,10,0.7,20,61
2014-07-17,30,优,11,30,9,0.7,28,47
2014-07-18,21,优,7,21,5,0.7,18,41
2014-07-19,34,优,9,34,5,0.7,13,45
2014-07-20,30,优,12,30,8,0.7,20,49
2014-07-21,59,良,19,45,11,0.9,28,111
