»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,80,¡º,55,111,45,2.2,32,82
2015-01-01,109,«·∂»Œ€»æ,82,146,73,2.7,33,88
2015-01-02,116,«·∂»Œ€»æ,88,174,89,3.1,40,70
2015-01-03,138,«·∂»Œ€»æ,106,199,96,3.6,39,62
2015-01-04,105,«·∂»Œ€»æ,46,161,50,3.7,26,107
2015-01-05,83,¡º,15,59,26,1.8,12,139
2015-01-06,63,¡º,46,62,58,2.1,27,92
2015-01-07,117,«·∂»Œ€»æ,89,114,106,2.8,43,77
2015-01-08,132,«·∂»Œ€»æ,101,126,63,2.6,33,59
2015-01-09,88,¡º,65,81,82,3,53,85
2015-01-10,125,«·∂»Œ€»æ,95,125,134,3,45,73
2015-01-11,115,«·∂»Œ€»æ,87,112,101,2.8,43,72
2015-01-12,132,«·∂»Œ€»æ,101,114,86,2.9,37,56
2015-01-13,140,«·∂»Œ€»æ,107,146,95,3.1,43,62
2015-01-14,128,«·∂»Œ€»æ,97,144,71,3.2,40,68
2015-01-15,166,÷–∂»Œ€»æ,126,179,50,2.9,35,110
2015-01-16,146,«·∂»Œ€»æ,112,165,60,2.6,36,89
2015-01-17,114,«·∂»Œ€»æ,87,175,47,2.3,26,96
2015-01-18,126,«·∂»Œ€»æ,65,201,31,2.8,23,66
2015-01-19,105,«·∂»Œ€»æ,79,125,79,2.3,32,66
2015-01-20,125,«·∂»Œ€»æ,95,163,77,2.8,33,72
2015-01-21,106,«·∂»Œ€»æ,80,134,66,3.1,34,49
2015-01-22,134,«·∂»Œ€»æ,102,171,93,3.2,39,61
2015-01-23,149,«·∂»Œ€»æ,114,198,107,4,45,40
2015-01-24,137,«·∂»Œ€»æ,105,182,62,2.9,37,89
2015-01-25,114,«·∂»Œ€»æ,86,163,56,2.7,40,69
2015-01-26,117,«·∂»Œ€»æ,61,185,34,2,23,81
2015-01-27,103,«·∂»Œ€»æ,69,157,36,2,24,80
2015-01-28,119,«·∂»Œ€»æ,91,155,24,2.2,25,70
2015-01-29,83,¡º,62,99,21,2.1,19,87
2015-01-30,91,¡º,68,109,21,2.1,21,90
2015-01-31,120,«·∂»Œ€»æ,91,119,71,2.5,34,92
2015-02-01,116,«·∂»Œ€»æ,88,122,54,2.5,31,92
2015-02-02,77,¡º,56,96,45,2.4,24,90
2015-02-03,81,¡º,60,89,46,2,20,90
2015-02-04,103,«·∂»Œ€»æ,78,105,23,2,18,90
2015-02-05,102,«·∂»Œ€»æ,77,98,42,2.2,27,90
2015-02-06,126,«·∂»Œ€»æ,96,148,51,2.6,28,92
2015-02-07,90,¡º,67,115,25,1.8,18,104
2015-02-08,79,¡º,52,108,35,2.1,21,100
2015-02-09,83,¡º,56,117,54,1.6,19,92
2015-02-10,92,¡º,49,134,49,1.9,19,84
2015-02-11,94,¡º,45,139,41,2,20,86
2015-02-12,80,¡º,54,110,49,2.2,20,83
2015-02-13,81,¡º,56,112,43,2.4,21,60
2015-02-14,112,«·∂»Œ€»æ,44,175,19,1.4,11,93
2015-02-15,226,÷ÿ∂»Œ€»æ,70,368,34,1.7,14,91
2015-02-16,99,¡º,54,147,33,2.1,18,86
2015-02-17,86,¡º,55,121,59,2.1,17,82
2015-02-18,85,¡º,61,119,26,2.3,16,82
2015-02-19,194,÷–∂»Œ€»æ,146,270,269,3,60,46
2015-02-20,84,¡º,58,118,23,1.6,12,98
2015-02-21,90,¡º,56,130,37,1.7,13,86
2015-02-22,90,¡º,48,129,25,1.6,13,103
2015-02-23,87,¡º,42,125,27,1.7,13,94
2015-02-24,90,¡º,56,131,45,2.1,17,79
2015-02-25,81,¡º,53,112,21,1.6,13,80
2015-02-26,102,«·∂»Œ€»æ,65,154,30,1.8,14,71
2015-02-27,92,¡º,68,133,13,1.8,13,62
2015-02-28,75,¡º,50,101,15,1.6,12,78
2015-03-01,86,¡º,58,122,41,2,19,85
2015-03-02,93,¡º,60,136,21,1.9,15,98
2015-03-03,160,÷–∂»Œ€»æ,69,270,28,1.8,15,91
2015-03-04,172,÷–∂»Œ€»æ,72,293,13,1.6,10,85
2015-03-05,90,¡º,53,130,36,1.6,14,87
2015-03-06,98,¡º,61,147,22,1.9,15,105
2015-03-07,84,¡º,58,117,25,1.9,16,108
2015-03-08,63,¡º,43,75,16,1.6,11,109
2015-03-09,80,¡º,44,109,22,1.7,14,102
2015-03-10,90,¡º,54,131,23,1.7,13,120
2015-03-11,85,¡º,46,121,27,1.8,19,118
2015-03-12,84,¡º,52,118,39,1.6,16,86
2015-03-13,102,«·∂»Œ€»æ,60,154,30,2.1,22,98
2015-03-14,120,«·∂»Œ€»æ,68,191,34,2,19,89
2015-03-15,106,«·∂»Œ€»æ,53,163,35,1.9,20,86
2015-03-16,113,«·∂»Œ€»æ,59,176,33,2.2,20,100
2015-03-17,103,«·∂»Œ€»æ,57,156,20,1.7,15,99
2015-03-18,105,«·∂»Œ€»æ,59,160,19,1.8,15,75
2015-03-19,74,¡º,54,96,14,1.6,12,103
2015-03-20,81,¡º,44,113,21,1.5,14,89
2015-03-21,90,¡º,53,130,24,1.9,17,102
2015-03-22,78,¡º,46,105,23,1.8,19,86
2015-03-23,76,¡º,19,68,16,1.8,11,131
2015-03-24,115,«·∂»Œ€»æ,25,61,33,1.6,15,177
2015-03-26,123,«·∂»Œ€»æ,47,105,30,1.9,20,185
2015-03-27,129,«·∂»Œ€»æ,78,134,40,2.4,32,192
2015-03-28,105,«·∂»Œ€»æ,37,151,55,1.7,25,166
2015-03-29,95,¡º,38,104,33,2.1,25,154
2015-03-30,115,«·∂»Œ€»æ,59,142,38,2.4,23,177
2015-03-31,129,«·∂»Œ€»æ,56,132,29,2,20,192
2015-04-01,134,«·∂»Œ€»æ,71,217,18,1.6,14,176
2015-04-02,128,«·∂»Œ€»æ,55,186,26,1.8,17,191
2015-04-03,109,«·∂»Œ€»æ,45,167,24,1.7,17,166
2015-04-04,91,¡º,47,132,11,1.5,11,133
2015-04-05,111,«·∂»Œ€»æ,43,130,13,1.4,8,172
2015-04-06,124,«·∂»Œ€»æ,15,28,10,1.4,7,186
