日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,41,优,25,41,13,0.5,17,58
2015-01-01,47,优,33,46,11,0.7,15,49
2015-01-02,47,优,31,47,11,0.8,18,40
2015-01-03,50,优,30,51,10,1.1,21,39
2015-01-04,42,优,20,42,11,0.7,20,35
2015-01-05,31,优,17,31,13,0.4,8,55
2015-01-06,31,优,20,31,12,0.5,14,55
2015-01-07,31,优,14,31,12,0.6,18,52
2015-01-08,26,优,16,26,10,0.3,10,42
2015-01-09,22,优,11,19,12,0.4,11,43
2015-01-10,26,优,15,26,11,0.7,15,48
2015-01-11,34,优,9,13,7,0.7,12,68
2015-01-12,26,优,12,26,10,0.8,17,51
2015-01-13,33,优,15,33,13,0.7,20,41
2015-01-14,36,优,17,36,10,0.8,14,42
2015-01-15,27,优,17,27,8,0.5,12,54
2015-01-16,30,优,13,19,4,0.6,10,59
2015-01-17,29,优,16,24,4,0.5,10,57
2015-01-18,25,优,15,25,5,0.6,13,35
2015-01-19,21,优,15,18,3,0.5,12,11
2015-01-20,22,优,12,22,3,0.4,12,11
2015-01-21,27,优,15,27,4,0.4,13,24
2015-01-22,30,优,15,30,7,0.8,22,41
2015-01-23,36,优,25,36,4,0.5,13,18
2015-01-28,24,优,13,14,7,0.8,20,47
2015-01-29,26,优,8,13,23,1.4,31,52
2015-01-30,32,优,15,21,5,0.8,27,64
2015-01-31,31,优,19,25,7,0.7,10,62
2015-02-01,38,优,21,31,10,0.8,16,75
2015-02-02,42,优,12,23,11,0.6,14,83
2015-02-03,43,优,16,31,9,0.5,13,86
2015-02-04,48,优,13,22,7,0.5,9,96
2015-02-05,57,良,16,22,7,0.5,10,108
2015-02-06,47,优,16,29,9,0.5,14,94
2015-02-07,50,优,16,26,6,0.6,9,99
2015-02-08,63,良,14,22,5,0.7,8,115
2015-02-09,51,良,19,32,6,0.5,9,101
2015-02-10,45,优,24,39,8,0.7,11,90
2015-02-11,46,优,17,29,9,0.5,11,91
2015-02-12,39,优,14,25,11,0.6,12,78
2015-02-13,43,优,14,29,9,0.3,8,86
2015-02-14,37,优,13,20,7,0.4,13,73
2015-02-15,50,优,14,23,7,0.2,10,100
2015-02-16,50,优,20,20,9,0.4,7,100
2015-02-17,53,良,10,55,8,0.2,7,60
2015-02-18,29,优,12,16,8,0.2,7,58
2015-02-19,66,良,48,59,15,0.4,8,64
2015-02-20,50,优,15,15,12,0.3,13,100
2015-02-21,45,优,10,15,10,0.4,8,90
2015-02-22,71,良,5,91,8,0.6,8,80
2015-02-23,47,优,7,16,12,0.3,12,93
2015-02-24,48,优,12,22,14,0.4,12,95
2015-02-25,47,优,7,15,6,0.3,9,94
2015-02-26,66,良,7,82,10,0.4,7,59
2015-02-27,47,优,7,14,11,0.3,12,93
2015-02-28,66,良,7,82,9,0.5,6,71
2015-03-01,91,良,6,132,7,0.4,6,35
2015-03-02,33,优,9,19,6,0.3,12,66
2015-03-03,35,优,13,31,4,0.1,8,69
2015-03-04,28,优,11,19,4,0.1,9,56
2015-03-05,29,优,10,17,5,0.2,8,58
2015-03-06,30,优,6,17,7,0.2,9,59
2015-03-07,19,优,11,19,8,0.2,14,29
2015-03-08,17,优,9,17,7,0.2,10,22
2015-03-09,20,优,12,20,7,0.2,8,17
2015-03-10,17,优,7,10,8,0.2,6,34
2015-03-11,54,良,6,57,7,0.4,10,52
2015-03-12,32,优,11,32,11,0.6,16,45
2015-03-13,30,优,13,29,28,0.6,13,59
2015-03-14,43,优,17,26,17,0.7,13,85
2015-03-15,43,优,17,29,43,0.8,15,85
2015-03-16,53,良,16,28,17,0.7,16,103
2015-03-17,56,良,16,30,13,0.8,20,107
2015-03-18,43,优,7,13,14,0.8,10,86
2015-03-19,18,优,6,18,18,0.8,13,34
2015-03-20,18,优,7,6,6,0.9,12,35
2015-03-23,13,优,4,13,7,0.8,9,22
2015-03-24,54,良,6,58,10,0.6,13,47
2015-03-26,49,优,8,26,11,0.5,19,98
2015-03-27,44,优,7,20,14,0.7,13,87
2015-03-28,11,优,5,8,6,0.7,12,22
2015-03-29,21,优,7,21,6,0.4,13,18
2015-03-30,40,优,13,40,14,0.8,15,48
2015-03-31,39,优,15,39,5,0.6,14,28
2015-04-01,29,优,9,21,8,0.6,11,57
2015-04-02,28,优,10,24,11,0.7,13,56
2015-04-03,25,优,8,17,4,0.5,15,50
2015-04-04,31,优,10,31,5,0.5,17,14
2015-04-05,52,良,9,55,7,0.5,8,17
2015-04-06,73,良,5,96,7,0.4,9,30
2015-04-07,91,良,4,133,9,0.4,10,72
2015-04-08,76,良,6,102,9,0.5,13,83
2015-04-09,51,良,5,53,16,0.4,11,74
2015-04-10,39,优,6,15,13,0.4,10,78
2015-04-11,81,良,7,111,5,0.3,11,17
2015-04-13,46,优,13,42,26,0.7,14,92
2015-04-14,45,优,14,33,8,0.6,18,90
2015-04-15,40,优,12,40,5,0.4,19,62
2015-04-16,52,良,16,55,9,0.6,16,64
2015-04-17,51,良,21,51,11,0.8,21,45
2015-04-18,33,优,18,33,29,0.7,15,46
2015-04-19,19,优,9,18,14,0.7,31,38
2015-04-20,29,优,11,27,13,0.6,24,57
2015-04-21,38,优,8,14,15,0.4,12,76
2015-04-22,54,良,6,57,15,0.4,21,79
2015-04-23,28,优,10,17,13,0.5,28,55
2015-04-24,32,优,13,23,14,0.4,28,63
2015-04-25,33,优,18,26,13,0.5,58,66
2015-04-26,32,优,22,30,19,0.7,64,50
2015-04-27,34,优,19,22,13,0.7,44,67
2015-04-28,43,优,20,43,13,0.6,38,77
2015-04-29,49,优,23,49,15,0.7,30,84
2015-04-30,54,良,36,58,17,0.8,38,81
2015-05-01,37,优,18,36,15,0.6,24,73
2015-05-02,40,优,18,40,16,0.6,22,69
2015-05-03,38,优,18,38,16,0.5,20,73
2015-05-04,36,优,6,13,14,0.3,15,72
2015-05-05,36,优,10,29,17,0.6,25,72
2015-05-06,35,优,13,35,18,0.6,30,68
2015-05-07,44,优,20,44,15,0.6,28,70
2015-05-08,39,优,10,26,17,0.4,18,78
2015-05-09,39,优,15,35,16,0.6,32,77
2015-05-10,44,优,17,39,16,0.6,26,88
2015-05-11,54,良,33,57,15,0.6,22,102
2015-05-12,54,良,25,58,17,0.7,32,60
2015-05-13,38,优,15,38,18,0.7,38,69
2015-05-14,60,良,34,67,13,0.6,28,112
2015-05-15,58,良,20,32,16,0.7,41,109
2015-05-16,93,良,14,31,15,0.8,21,152
2015-05-17,45,优,14,28,14,1.1,15,89
2015-05-18,25,优,11,17,9,1,34,49
2015-05-19,63,良,13,23,8,0.6,26,115
2015-05-20,75,良,24,39,7,0.7,26,130
2015-05-21,49,优,21,37,8,0.8,26,97
2015-05-22,59,良,10,21,10,0.5,13,111
2015-05-23,63,良,25,29,12,0.7,30,116
2015-05-24,71,良,26,43,10,0.7,23,125
2015-05-25,69,良,37,60,12,0.7,18,123
2015-05-26,50,优,17,36,12,0.7,19,100
2015-05-27,58,良,13,33,12,0.7,14,109
2015-05-28,63,良,20,42,11,0.8,18,116
2015-05-29,62,良,12,21,13,0.7,14,114
2015-05-30,62,良,14,28,12,0.5,17,114
2015-05-31,65,良,25,43,12,0.6,14,118
2015-06-01,63,良,18,36,12,0.6,19,116
2015-06-02,63,良,11,24,12,0.5,18,115
2015-06-03,47,优,8,24,12,0.4,14,93
2015-06-04,55,良,10,60,12,0.4,19,88
2015-06-05,45,优,11,22,12,0.3,15,90
2015-06-06,39,优,21,38,13,0.6,33,77
2015-06-07,44,优,24,40,13,0.5,19,88
2015-06-08,41,优,20,26,14,0.6,36,82
2015-06-09,53,良,22,55,14,0.7,28,35
2015-06-10,58,良,26,65,12,0.5,26,60
2015-06-11,44,优,27,44,12,0.6,18,61
2015-06-12,37,优,26,37,10,0.7,25,49
2015-06-13,33,优,19,31,15,0.5,20,66
2015-06-14,32,优,18,29,13,0.5,25,63
2015-06-15,50,优,25,50,14,0.5,19,55
2015-06-16,49,优,30,49,13,0.7,21,51
